,name,review
0,60 Seconds! Atomic Adventure, 한글 옵션 가서 변경하면 잘 번역되어있고 영상 보기만 하고 폰으로 시작해서 조작감 힘들지만 적응하면 될 거 같고 자주 할 것도 아닌데 할인했을 때 구매해서 과자 한 봉지 값 보다 싸게 삼 2~3번 하면 질릴 수 있으나 심심할 때 하기 좋음 할인할 때 노려 구매하면 좋을 듯
1,60 Seconds! Atomic Adventure, 언어는 본인이 알아서 옵션 들어가서 바꿔야지 그게 기본 중에 기본이잖아요 그런 것도 못하면 게임을 하지 마세요 본인 무식한 거 자랑하고 싶은 건가요? 조작감은 이해하지만 언어 못 바꿔서 1점 주는 건 진짜 노. 이. 해. 다 언어가 영어로 뭔지 모르는 건가? 아무리 영 알 못 이어도 기초적인 건 대부분 알 텐데 ㅋㅋ 진짜 비정상인들 많다
2,60 Seconds! Atomic Adventure, 조작감 구린 거 빼고는 다 만족합니다. 그리고 한국어 안된다 하시는 분들 그 옵션 같은 거 찾아보시고 영어에서 한국어로 바꾸세요.... 조금만 찾아보면 금방 나옵니다
3,60 Seconds! Atomic Adventure, 제가 꼭 해보고 싶었던 게임인데 이렇게 할 수 있어서 좋네요!! 좀 비싸서 고민하고 있었는데 할인이 돼서 한 번 사 봤는데 재밌네요!!
4,60 Seconds! Atomic Adventure, 저는 이 게임이 꿀 잼입니다만 총이나 기타 같은 걸로 밖에 탐사하러나가서 몬스터나 군인들 을 공격할 수 있었으면 좋을 것 같아요
5,60 Seconds! Atomic Adventure, 한국어 안된다는 분들 설정 가서 찾고 말하세요ᄒᄒᄒᄒ 설마 못 찾는 호구 없제?ㅋㅋㅋㅋ 난 바로 찾아서 즐겜인데ㅎ
6,60 Seconds! Atomic Adventure, 님들이 한국어 못 바꾸는 건 대 왜 풀 발함 내가 영어는 못 읽어도 그 정도는 바꾼다 개발자님 욕하지 말고 너 자신부터 봐라
7,60 Seconds! Atomic Adventure, 꿀잼ㅠㅠㅠㅠㅠ다만 한글 번역이 완벽하지 못한지 가끔 스크립트가 중국어로 나오는게있어요ㅎㅎ
8,60 Seconds! Atomic Adventure, 와 지금까지 해본 게임 중에서 최고다.....ㄷㄷ
9,60 Seconds! Atomic Adventure, 한글 찾으시는 분들은 옵션 → 랭귀지에 보면 잉글리시라고 되어있는데 화살표 오지게 눌러서 한국어로 설정하시면 됩니다.
10,60 Seconds! Atomic Adventure, 조작법이 어려운 거 빼고 아무것도 상관없습니다. 예전부터 폰으로 하고 싶었는데 네이버로 다운로드하는 게 실패해서 사고 싶었는데 오늘 세일을 하네요 헤헤헿
11,60 Seconds! Atomic Adventure, 너무 하고 싶었는데 할인해서 바로 질러버렸죠 ㅎㅎ 재밌게 플레이하겠습니다
12,60 Seconds! Atomic Adventure, 아니 이거 한국어로 바꿔도 바뀌기는 바뀌는데 일부분 만 바뀌면 뭐 하자는 거 한 국어 되는 줄 알고 샀는데 환불해주세요
13,60 Seconds! Atomic Adventure, 최고예요 1판 만에 조작 연습 완료했습니다ㅋ
14,60 Seconds! Atomic Adventure, 이거 한글 안된다고 하시는 분들 계시는데 설정에서 한국어로 바꿀 수 있습니다. 게임은 이 가격의 가치 있으니 해보세요!!
