,name,review
0,Age of Civilizations II, I got this game oh yyyyyyy your the best game maker in the world
1,Age of Civilizations II, 많은 업데이트 부탁합니다
2,Age of Civilizations II, Very very nice Łukasz
3,Age of Civilizations II, It's very good.
4,Age of Civilizations II, 드디어 나왔구나
5,Age of Civilizations II, 띵겜
6,Age of Civilizations II, I love Poland.
7,Age of Civilizations II, Best
8,Age of Civilizations II, 좋아요
9,Age of Civilizations II, 내가 게임을 돈 주고 사게 될 줄이야 근데 다 좋은데 인터페이스가 모바일에 부적합함.. 어느 정돈 고쳐야 할 듯 불편함 조금
10,Age of Civilizations II, 더 많은 시나리오가 있으면 좋겠네요. 그래도 일찍 내주셔서 감사합니다 루카시!
11,Age of Civilizations II," Finally, my dream has came true! Thank you Łukasz! And I also love Poland! 폴란드 좋아!"
12,Age of Civilizations II, 이거 바쁜 분들 하면 큰일납니다ㅋㅋ 진짜 1시간이 몇 분 정도로 느껴져요...
13,Age of Civilizations II, 많이 어려워졌지만 진짜 옛날 지도부터 현재 지도까지 구현은 기가 막히네요 masterpiece game!!!
14,Age of Civilizations II, 너무 오래 기다렸습니다 기다림에 대한 보답 좋은 게임성으로 받아 기분 좋네요
15,Age of Civilizations II, HOLY LUKASZ YOU MADE IT!!!!!!
16,Age of Civilizations II, When will AoC3 be released?
17,Age of Civilizations II, 인터페이스가 pc에 맞게 만들어서 크기가 작아 보기 어렵다
18,Age of Civilizations II, Cheer up! Lukasz! :)
19,Age of Civilizations II, I have been waiting for this game so much... thank you!
20,Age of Civilizations II, 좋습니다. 저는 pc가 더 편하긴 해도 모바일은 간편하게 즐길 수 있네요.
21,Age of Civilizations II, I love Poland I love you I kiss you
22,Age of Civilizations II, zapisywanie wymusi zakończenie gry.
23,Age of Civilizations II, good game !!
24,Age of Civilizations II, Very good!
25,Age of Civilizations II, 너무 오래 기다렸어
26,Age of Civilizations II, When It's Ready ;)
27,Age of Civilizations II, 으 알입니다 으악
28,Age of Civilizations II, 킹 갓
29,Age of Civilizations II, Good
30,Age of Civilizations II, 드디어 나왔네 ~
31,Age of Civilizations II, 드디어 나왔다!!!!!! Goooooood!!
32,Age of Civilizations II, 드디어...
33,Age of Civilizations II," Este es un Gran Juego. es muy interesante. gracias, señor Lukasz!"
34,Age of Civilizations II, 흑흑 왜 시험기간에...
35,Age of Civilizations II, B-E-A-UTIFUL.
