,name,review
0,Angry Birds Classic, 재밌고 즐겁습니다.
1,Angry Birds Classic, 꿀 잼
2,Angry Birds Classic, 매우 좋음
3,Angry Birds Classic, 광고 없는 유료화를 해 주세요. 돈 내고 다 원할 생각 있음.
4,Angry Birds Classic, 굿
5,Angry Birds Classic, 앵그리버드 게임 시리즈 엄청 잘 만든 것 같아요. 왜나하면 앵그리버드 게임 시리즈 다 재미있어요. 새로운 앵그리버드 게임도 기대할게요.
6,Angry Birds Classic, 너무 재밌습니다. 웃기기도 하고요.. 대박 나세요!!
7,Angry Birds Classic, 완전 재미있어요♥아이들한테 재미있는 게임이에요
8,Angry Birds Classic, 추억이네요 유치원 때 유행했었는데
9,Angry Birds Classic, 제작자님 다음 맵으로 어떻게 넘어가요 시비
10,Angry Birds Classic, 업데이트의 반대말은 다운 데이트가 아니라 다운그레이드 멍청이야...
11,Angry Birds Classic, 정말 재미있고 시간 때우기 정말 좋음
12,Angry Birds Classic, 게임은 정말 재미있는데요 계정을 만들고 싶은데 회원가입은 어떻게 하는 거예요??
13,Angry Birds Classic, 이 게임이 이젠 고인 물이라고??
14,Angry Birds Classic, 좋긴 좋네
15,Angry Birds Classic, 재밌네요
16,Angry Birds Classic, Good
17,Angry Birds Classic, 짱
18,Angry Birds Classic, 굿
19,Angry Birds Classic," 아이가 재밌게 하고 있습니다. 아들이 실수로 2500원 2번 결제하였는데, 휴대폰 바꾼 지 얼마 안 되었는데, 결제 보호가 안 되어있었네요.. 환불 좀 부탁드리겠습니다."
20,Angry Birds Classic, 사촌이 실수로 결제를 7번 정도 결제를 했는데 환불을 요청하고 싶습니다 결제 보호가 안 되어있었네요
21,Angry Birds Classic, 아이도 재미있게 하니까 저도 해봤더니 재미있네요ㅎㅎ
22,Angry Birds Classic, Wow. This is God make best game! 와우. 이것은 신이 만든 최고의 게임입니다!
23,Angry Birds Classic, 이 글의 수가 처음 들어갔을 때부터 계속 많이 남았으면 좋겠습니다.
