,name,review
0,Angry Birds Rio, 와 너무 추억인데 게임이 변한 게 없어서 진짜 좋았다
1,Angry Birds Rio, 중독성
2,Angry Birds Rio, 재미이는 디 요새로운 것 좀 넣어서 하쇼. 근데 광고없으면안되남?업데이좀하슈
3,Angry Birds Rio, 똥 뱃살 싸지 마
4,Angry Birds Rio, 좋아요ㅎㅎ
5,Angry Birds Rio, 최고의 추억 팔이(그래픽이 바뀌었군...)
6,Angry Birds Rio, Good
7,Angry Birds Rio, 크 언제 해도 재미있는 추억의 게임 앵그리버드 다께서 스타워즈 해보려고요 ᄏᄏᄏ
8,Angry Birds Rio, 서정하가 많이 좋아했던 앵그리버드
9,Angry Birds Rio, 이세이  님  어이없음. 난  광고  하니도  않나 오더    만. 님  이  게임을  못해서  그러겠지. 난  재미만  있음.ㅋ   다른  종류  게임들이  많아서  좋음. 정말  짱짱  최고의  게임.!
10,Angry Birds Rio, 아니 여기 초등학생들 다 아무 말 잔치해놨네ᄏᄏᄏᄎᄏ애니메이션 만드는 게 죄냐 링 여기 있는 초등학생들 선이 짓 개오 지네
11,Angry Birds Rio, ㅇㅎ초초아콘ㄹㅋㅎ톦오어오촡ㅎ
12,Angry Birds Rio, 이 게임이 모든 앵그리버드가 원숭이나 새를 물리치는 게임!
13,Angry Birds Rio, 역시 앵그리버드 제가 맨 처음에 했던 게임입니다
14,Angry Birds Rio, 이 게임을 지웠다 설치하기 벌써 10번째 너무 좋은 게임
15,Angry Birds Rio, 시간 때울 때 최고다 응원해요
16,Angry Birds Rio, 각도만 잘 맞추면 재밌는 게임
17,Angry Birds Rio, 광고는 5초 안에 스킵 하게 해주세요~
18,Angry Birds Rio, 지웠다가 다시 깔았습니다ᄏ중독성 최고!
19,Angry Birds Rio, 광고 안 나오게 하는 방법 와이파이 끄면 돼요
20,Angry Birds Rio, 앵그리버드 완전 많이 했던 게임인데 이것도 정말 재밌어요😃
21,Angry Birds Rio, 짜릿 타니까요
22,Angry Birds Rio, 진짜 대박 재밌어 요
23,Angry Birds Rio, 너무 재미있어요.😇☺😀
24,Angry Birds Rio, !!!!!!!!!!!!!!!!!!!! •••••
25,Angry Birds Rio, 와우
26,Angry Birds Rio, 개굴잰
27,Angry Birds Rio, 너무 좋아요
28,Angry Birds Rio, 좋아요
29,Angry Birds Rio, 정말 좋
30,Angry Birds Rio, 🍯잼
31,Angry Birds Rio, 꿀 잼♥♥
32,Angry Birds Rio, 제작자님 너무하시네 게임이 아니라 예술작품을 만들고 있어...
33,Angry Birds Rio, 유저들아 광고 어쩔 수 없는 거예요 손에 익 분기점 챙기려면 설명해줘도 모를 거 같지만 그런 게 있음
34,Angry Birds Rio, 이  게임  제가  해본  건데   재미는   있어요
35,Angry Birds Rio,광고 나온다고 하시는 분들 와이파이 끄고 하시면 될 것을 왜 자기가 먼저 못하고 왜 제작자한테 욕을 합니까? 제작자도 먹고살아야 합니다. 님들이 게임을 만들었는데 모두 무료로 쓰면 무슨 이익이 있겠습니까? 아무리 나이가 어리신 분들도 그 정도 생각은 하실 수 있을 것 아닙니까.... 그리고 이렇게 한글로 욕하고 광고 없애달라고 해도 로비오 엔터테인먼트는 핀란드 회사이기 때문에 영어로 쓰지 않는 이상 못 알아듣습니다. 제발 욕 좀 그만 이십시오
36,Angry Birds Rio,종비래드가있어쓰면좋캐써요 려롱로너어겨먼몬ㄴㅎ노노노노돌도고노고오도옥
37,Angry Birds Rio,와우!! WOW!! 옛날에 했던 앵그리버드가 생각나는 계기였네요! 제작자 짱입니다!
38,Angry Birds Rio, 옛날에 유행했던 거라서 사실 기대가 많이 없었는데 다시 해보니 재미있네요!
39,Angry Birds Rio,짱 정말 재밌어요 근대 광고 나오신다는 분들 그냥 와이파이 꺼놓고 하면 되잖아요 암튼 최고예요
40,Angry Birds Rio,최고! 흥미진진하고 스릴감이 좀 있네요! 암튼 좋아요!
41,Angry Birds Rio,광고 포함이라 나와있는 앱을 받아놓고서는 광고 타령하는 건가
42,Angry Birds Rio, 나 앵그리버드 마니아 진심으로 이거 젬있다
43,Angry Birds Rio,최고 제가 오랜만에 앵그리버드 하는데  재미있어요!!
44,Angry Birds Rio,스릴감 최고! 다시 해 보니 재미있네요 완전!
45,Angry Birds Rio,최고!!! 근데............................. 약간........... 좀................. 말할 수 없는................ 게................ 있어요..!!........ 실망 받으실 수 있어요
46,Angry Birds Rio,좋아요!! 제 친구들이랑 하는데 자꾸만 하고 싶어지는 게임이에요!
47,Angry Birds Rio, 이 게임 욕하지 마세요
48,Angry Birds Rio, 리오 나오기 전부터 나온 게 잴 재밌어요. 원조를 원해요.
49,Angry Birds Rio,오랜만에 하니 재미는 있음 제 곧 내
50,Angry Birds Rio,앵그리 버그 정말 재밌음
51,Angry Birds Rio, 크킂ㄱㄹ저ㅛㅛㅓㅈㅊ
52,Angry Birds Rio,김도헌 안녕 난 도헌이야
53,Angry Birds Rio, 심심풀이에 딱!
54,Angry Birds Rio, 정말로 최고의 게임!
55,Angry Birds Rio, 짱
56,Angry Birds Rio, 오오오오 옹옹
57,Angry Birds Rio,안 그리 재미있는 거라서
58,Angry Birds Rio,굿 굿굿
59,Angry Birds Rio, 브금 정말 좋아요♡
60,Angry Birds Rio, 짱
61,Angry Birds Rio,굿 굿
62,Angry Birds Rio, 끝내줘요
63,Angry Birds Rio,짱 짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱짱ㅇㅈ??
64,Angry Birds Rio,굿 굿
65,Angry Birds Rio,광고를 보여주는 목적은 돈을 벌기 위해서 임 광고 타령 처하지 말고 곱게 게임해라 너희들이 게임 쳐만드세요 꼬우 면 ㅋㅋㅋㅋㅋ
66,Angry Birds Rio,그럴 거면 게임 전체를 하지 마 장은숙 진짜 노 답이네 제작자도 돈 벌어야 될 거 아니야 광고 처 뜬다고 진짜 왜 욕질이냐
67,Angry Birds Rio,재밌어요^^되게 웃기고 파란색 새가 귀엽더라고요 이 게임 추천해요
68,Angry Birds Rio, 무료니까 광고  많은 건 어쩔 수 없다.  그럼 게임회사는 돈 벌지 말라는 거임?
69,Angry Birds Rio,"Good Yeah, Its really fun. Bc I can play this game without bounch of boxs if I just watch ads."
70,Angry Birds Rio,꿀 팁/광고 뜨는 거 해결법 데이터나 와이파이를 끄시면 광고가 안 나옵니다.  ㅎㅎ광고는 인터넷과 연결돼 있을 때만 나옵니다.
71,Angry Birds Rio,재밌네요 삭제했지만  또 하고 싶ㅇ서 다시 다운로드함
72,Angry Birds Rio,앵글리아 버드 옛날에 타임 말로 잘했는데 김 형사 충성!
73,Angry Birds Rio,새들이 튕겨져 나갈 때 귀여워요. 넘나 귀여움 광고도 안 나와요. 신기하네요.
74,Angry Birds Rio,리오 리오가 애그리 버드 중 제일 재미있어요
75,Angry Birds Rio,재밋 근데 원숭이보다 돼지가 더 귀여워요
76,Angry Birds Rio,이게 최고임 앵그리버드 종류 중에서 이게 제일 재밌어요:-)
77,Angry Birds Rio,광고 싫음 인터넷 꺼놓고 해 라미... 바보들... ㅎ 재미만 좋아요... ㅎ
78,Angry Birds Rio,핵꿀잼 아 밤처럼 화날 때 터졌으면
