,name,review
0,Block Puzzle, 짱!
1,Block Puzzle, 킬링타임용으로 좋음
2,Block Puzzle, Good
3,Block Puzzle, 그럭저럭합니다
4,Block Puzzle, 중독성이 강하네요.ㅋㅋ
5,Block Puzzle, 무료할 때 딱이네요
6,Block Puzzle, 시간 날아가요
7,Block Puzzle, Good
8,Block Puzzle, good
9,Block Puzzle, 잼짱
10,Block Puzzle, 최고!
11,Block Puzzle, Easy good
12,Block Puzzle, 굿굿
13,Block Puzzle, 단순하면서 중독성 강함 시간 때우기는 good
14,Block Puzzle, 광고 많은 거 빼곤 다 좋음
15,Block Puzzle, 시간 보내는데 아주 좋아요
16,Block Puzzle, good
17,Block Puzzle, 단순한데 중독성
18,Block Puzzle, 좋아요. 시간에 쫓기는 것도 아니고 잠깐잠깐 머리 식힐 때 좋네요
19,Block Puzzle, 재미 써 재미 써 원래 게임에 흥미 없어서 처음부터 재미없으면 지워버리는데 이건 며칠 동안 하는 중
20,Block Puzzle, 시간 때울 때 최고입니다
21,Block Puzzle, 저는 테트리스 보다 이 게임이 더 재미있다고 생각해요!
22,Block Puzzle, 은근히 중독성 짱~재미남
23,Block Puzzle, 재미있는 게임이다 단순해서 좋아 단순해서 좋아
24,Block Puzzle, 완전 땽 재미 뗘요
25,Block Puzzle, 시간 때우기 좋음.
26,Block Puzzle, Good
27,Block Puzzle, 시간 때우기 최고
28,Block Puzzle, 정말 재밌다.
29,Block Puzzle, 굿~~~~
30,Block Puzzle, 집중도 좋습니다^^
31,Block Puzzle, 굿
32,Block Puzzle, 굿 베리 굿
33,Block Puzzle, 좋음
34,Block Puzzle, 굿
35,Block Puzzle, 좋음
36,Block Puzzle, 굿
37,Block Puzzle, 굿
38,Block Puzzle, 괜찮습니다. 한번 시작하니 계속하게 된 이. 이런 시간 도둑 같으니라고.
39,Block Puzzle, 너희들 저 삽만 점 넘었는데 잘하는 건가?
40,Block Puzzle," 시간 가는 줄 모르고 하고 있어요. 재미있고, 점수도 잘 올라가요^^"
41,Block Puzzle, 판마다 광고가 나오니까 불편해요
42,Block Puzzle, 내 핸드폰에서 제일 오래 있는 게임ㅁ...
43,Block Puzzle, 은근히 중독성 있음.. 시작하면 손을 못 뗌
44,Block Puzzle, 시간 가는 줄 모르게 재미있고 머리도 굴려야 해요
45,Block Puzzle, 다 좋은데 클래식 게임에서 오른쪽에 점수가 기록이 안되네요 방법 좀 알려주세요
46,Block Puzzle, 중독돼서 계속하게 되네요
47,Block Puzzle, 재밌어요 그냥 생각 없이 하기 좋음!
48,Block Puzzle, 중독 강하고 치매예방 굿
49,Block Puzzle, 재밌음 시간 때우기용
50,Block Puzzle, 재밌어요~시간 가는 줄 모르고 하게 되네요
51,Block Puzzle, 꿀 잼~ 한두 시간 금방 지나가 버림.
52,Block Puzzle, 심심풀이용 게임
53,Block Puzzle, Good game. I really enjoyed it. Thanks
54,Block Puzzle, 블록 게임 중 최고예요~
55,Block Puzzle, 꿀 잼!!
56,Block Puzzle, 무료할 때 한 번씩 하시 좋은 게임
57,Block Puzzle, 심심할 때 시간 때우기 딱 좋네요
58,Block Puzzle, 심심할 때 재미있어요^^*
59,Block Puzzle, 그냥 잼
60,Block Puzzle, 재밌어요 ㅎㅎ
61,Block Puzzle, 재미나요~~
62,Block Puzzle, 재밌어요 ..
63,Block Puzzle, 재미있는 게임
64,Block Puzzle, good
65,Block Puzzle, Good
66,Block Puzzle, Good
67,Block Puzzle, Zz
68,Block Puzzle, Fun!
69,Block Puzzle, Fun.
70,Block Puzzle, gg
71,Block Puzzle, 중독성 쩔
72,Block Puzzle, 좋아요
73,Block Puzzle, 굿
74,Block Puzzle, 굿
75,Block Puzzle, 굿
76,Block Puzzle, 굿
77,Block Puzzle, 짱짱
78,Block Puzzle, 좀 어이없었지만(ㅎㅎㅎ)  재미있고!! 폭탄이 있으니까 힘들고 어려웠고 또~~ 답을 맞추듯이  모형이 나오게 고쳐주세요^^
79,Block Puzzle, 다른 블록 퍼즐 게임과 비교를  해보았을 때 어려움을 덜어주는 게 있으면서도 음악이 재미를 더해줌.
80,Block Puzzle, 간단하고 시간제한이 없는 게 맘에 드네요
81,Block Puzzle, 좋아요 서바이벌게임이 있어서 더 재미나네요
82,Block Puzzle, 와 정말 재밌음
83,Block Puzzle, 되게 재미있어요.
84,Block Puzzle, 시간 보내
85,Block Puzzle, 단순한데 재미있네요
86,Block Puzzle, 테트리스 마냥 깨지면 아래로 내려오게끔 하면 더욱 좋을 텐데 좀 아쉽고 그런대로 재미있네요!!
87,Block Puzzle, 재밌습니다 똑같은 블록이 줄줄이 나오니 난감하네요 골고루 나오게 해주세요
88,Block Puzzle, It's great for brain warming up .
89,Block Puzzle, Good game
90,Block Puzzle, 시간 때우기 좋아요
91,Block Puzzle, 재미나요
92,Block Puzzle, 꿀 잼
93,Block Puzzle, 시간 때우기 최고!
94,Block Puzzle, 두뇌회전에 좋아요^^~
95,Block Puzzle, 재미나요
96,Block Puzzle, 재밌네요^^
97,Block Puzzle, 중독성 있고 신기록 깰 때마다 희열 느낌 최고 기록 십 면 만인데 굿❤❤
98,Block Puzzle, 시간 가는 줄 모르겠네요
99,Block Puzzle, 재미있어요!
100,Block Puzzle, Great  오세요
101,Block Puzzle, 중독성 값
102,Block Puzzle, 정말 좋음
103,Block Puzzle, 재미나
104,Block Puzzle, 재밌음
105,Block Puzzle, 좋아요
106,Block Puzzle, Good
107,Block Puzzle, 제가 해본 테트리스 게임 중 제일 낫네요
108,Block Puzzle," 재밌어요 점수도 많이 주고, 서바이벌도 스릴 넘치고~! 짱짱 굿굿!!"
109,Block Puzzle, 룽버로꽁ㅎㄴㅎㄴㅎㄴㅆ어룽라오노
110,Block Puzzle, 블록이 안도네요. 은근 매력 있어요.
111,Block Puzzle, 예쁘고 재밌어요
112,Block Puzzle, 좀 단순하겐 하나 재미나네요
113,Block Puzzle, 음악도  다양하게 해주세요
114,Block Puzzle, 다운로드하고 지금 바로 첨해봤는데 재미있어요! 증듁설 있네요 노래 들으면서 편안히 하기 좋아서 추천합니다
115,Block Puzzle, 부모님이 너무 좋아하네요 30만 점 돌파~
116,Block Puzzle, 시간 가는 줄 몰라요 ㅎㅎ
117,Block Puzzle, 블록 게임 중 가아 자아 재미있어요 어렵기도 해요
118,Block Puzzle, 정말 재밌고 중독성 있는 게임이네요 ㅎ
119,Block Puzzle, 추억 돋네 유
120,Block Puzzle, 우와!!!
121,Block Puzzle, 시간 보내기 참 좋네요 너무 재밌어요
122,Block Puzzle, 꿀 잼 띠
123,Block Puzzle, 꾸르잼
124,Block Puzzle, 중독성 있을 만큼 재미있어요.
125,Block Puzzle, 재밌네요
126,Block Puzzle, 중독성 쩜 주의
127,Block Puzzle, 되게 재밌음
128,Block Puzzle, 굿~~^-^    도티
129,Block Puzzle, 꿀 잼
130,Block Puzzle, 짱
131,Block Puzzle, 중독
132,Block Puzzle, 좋아요
