,name,review
0,Bloons TD 5, 풍선 타워디펜스는 플레이 안 해봐도 5점
1,Bloons TD 5, 굿굿울
2,Bloons TD 5, 후반 가면 할 거 없는....
3,Bloons TD 5, 꿀 잼 꿀 잼
4,Bloons TD 5," 저장하는 방법, 불로 오는 방법 모르시는 분들은 알려드릴게요. 안되면.. 욕하진.. 말아주세요. 1. 설정에 들어간다 2. 구름모양에 아이콘을 클릭한다 3. 클릭한 다음 왼쪽에 있는 파일을 오른쪽으로 드래그한다 4. 저장을 덮여씌우시겠습니까? 라고 뜬다 여기서 예를 누른다 파일을 불로 오는 방법 1. 설정에 들어간다 2. 구름모양에 아이콘을 클릭한다 3. 클릭한 다음 오른쪽에 있는 파일을 왼쪽으로 드래그한다 4. 저장 정보를 덮여씌우시겠습니까? 라고 뜬다 여기서 예를 누른다 저도 최대한 적은 거예요 참고하세요!"
5,Bloons TD 5," 플래시 기반이던 BTD4 때부터 즐겨왔는데, 6 출시하고도 5를 계속 업데이트해주는 게 맘에 듭니다 ㅎㅎ 지금은 6을 집중적으로 하지만, 5편이야말로 BTD 시리즈의 완전체로, 처음 접하시는 분들은 6보다는 5를 권장해드리고 싶군요 :)"
6,Bloons TD 5, 이거 100% 할인할 때 무료로 샀는데 정말 재밌어요 이 게임이 제가 했던 게임 중에서 1~2위인 거 같아요 벌써 TD6이 출시됐네요 살 수 있으면 살게요
7,Bloons TD 5, 협동 전매청이 잘 안 잡혀요 왜 그런지 모르겠어요.. 답변 부탁드립니다!
8,Bloons TD 5, 클라우드 저장이 안 돼요 구름 아이콘이 활성화가 안 되어 있어요
9,Bloons TD 5, 지우면 하던 거 날라 가 연수정 좀
10,Bloons TD 5, 스토어 더 큰 비컨 구입하고 백업 전환하니 적용이 안됩니다 환불 해주시가 적용 바랍니다
11,Bloons TD 5, 무료로 풀렸을 때 사면 안 되나? 사고방식 무엇?
12,Bloons TD 5, 아니 다른 건 좋은데 왜 결제를 했는데 돈이 안와
13,Bloons TD 5, 재밌다 충성 충성 저장 날아감
14,Bloons TD 5, 100퍼 할인했다고 무료다! 하고 사는 사람들 인성 무엇?
15,Bloons TD 5, 아주 재미있어요 중독돼요!!
16,Bloons TD 5, 디펜스 게임의 레전드
17,Bloons TD 5, 환불해주세요
18,Bloons TD 5, 수순 73까지 갔는데 포맷하고 보니 초기화가 됐습니다 돈도 7만 원이나 있고 쉬움 매달 전부 했는데 복구 부탁드립니다 현금으로 산 스킨은 적용이 되어있는데 수순이랑 타워 돈이 싹 사라졌습니다
19,Bloons TD 5,
20,Bloons TD 5, 풍선 타워디펜스를 좋아하는데 100% 일치하여 너무 재밌어요 앞으로 풍선타워디펀스는 나의 게임!
21,Bloons TD 5, 갓 게임. 6월 14일 풀 타디 6 나옴
22,Bloons TD 5, 엔지니어 스킨을 만들어주셨으면 좋겠습니다
23,Bloons TD 5, 재밌어요. 명작 디펜스 게임이네요.
24,Bloons TD 5, 너무 재밌어
25,Bloons TD 5, btd6사전예약했는데 왜 유료 됨? 사전예약하면 공짜 아님?
26,Bloons TD 5, 미친 원수의
27,Bloons TD 5, 재미있어요~ 처음엔 안 열리는 게 있어서 불만이었는데 천천히 하다 보니 다 열리네요. 결제 유도하는 줄 알고 부정적으로 평가했었는데 번복합니다
28,Bloons TD 5, I'm Btd flash 1~5 player  thx ninjakiwi!!
29,Bloons TD 5, This is good and super fun.the baloons popping is satisfying and you can have lots of fun.
30,Bloons TD 5, It never disappoints me.
31,Bloons TD 5, very good game :)) Ninja kiwi!!
32,Bloons TD 5, 꿀 잼 꿀 잼
33,Bloons TD 5, 결제까지 했다가 폰에서 지웠더니 데이터가 날아갔습니다 랭킹도 남아있는데 데이터만 날아갔습니다. 복구 좀 해주세요
34,Bloons TD 5, 이거 계정이 연결돼있어도 자동으로 복구 안돼요 클라우드 저장을 해야 되는 건데 왜 제작자에게 따집니까?
35,Bloons TD 5, 그럭저럭할만하네요 업데이트 많이 해주시면 좋겠네요
36,Bloons TD 5, 핵  꿀 잼
37,Bloons TD 5, 꿀르잼
38,Bloons TD 5, 흠.... 업데이트도 하고 있고 재미도 있고 아쉬운 점이라면 무료 BTD는 업데이트가 최신인데 이 게임은 1개월 전이라... 욕심인가... 그래도 최고의 게임!
39,Bloons TD 5," 모든 원숭이, 타워들의 스킨들을 모두 만들어주세요. 특히 엔지니어 원숭이를 빨리해주세요."
40,Bloons TD 5, 친구랑도 같이할 수 있고 화질도 끝내줌  그리고 엄청 재미있다
41,Bloons TD 5, I download today but this game is my best game!
42,Bloons TD 5, 굳 재미 bb
43,Bloons TD 5, Best of the best.
44,Bloons TD 5, 꿀 잼
45,Bloons TD 5, 딴 건 모르겠고 전문 타워 닌자 마지막 꺼 좀 바꿔주시면 안 되나요 활성화 능력 오래가지도 않고 별로임... 예를 들면 표창이 납과 냉동 풍선을 터뜨린다든지
46,Bloons TD 5, 채팅 기능 추가 좀.... 상대방이랑 소통하면서 하고 싶은데 채팅이 없네요
47,Bloons TD 5, 무료 배포할 때 받은 거지만 돈 주고 가도 아깝지 않을 거 같다.
48,Bloons TD 5, 전문빌딩 잘못 눌러서 사버렸는데 복구해주실 수 있나요?
49,Bloons TD 5, 타임 킬링 종결자
50,Bloons TD 5, We want a new tower. We want users to build towers.
51,Bloons TD 5, 분명 작년 내로 6 출시한다 하지 않았나.
52,Bloons TD 5, 꾸르잼
53,Bloons TD 5, 내 인생게임이다.... 개 좋아
54,Bloons TD 5, 굿~~
55,Bloons TD 5," 지금 레벨 90 달리고 있는 유저인데요, 모든 타워 다 열고나면 즐길 콘텐츠가 극도로 줄어듭니다. 지금 극한 숙달만 남았는데 거 없나 지루해요... 뭔가 즐길 콘텐츠를 마련해주세요. 예를 들면 자신이 직접 유닛을 만든다든지..."
56,Bloons TD 5, 이거 재미있는데 약간 뭐라지.?.?..??.싱글 플레이하는데.. 클리어 보상이 작아서 싱글 플레이할 맛이 없음
57,Bloons TD 5, Plz make a more new cheracter
58,Bloons TD 5, Very good! 👍
59,Bloons TD 5, 와 꿀 잼
60,Bloons TD 5, 와우 정말 재미있군요! 해보니 터트리는 재미가 좋네요
61,Bloons TD 5, 전문기능에서 한 개만 활성화 말고 돈으로 땅을 사서 다른 전문기능도 한 번에 쓸 수 있는 그런 기능 좀 만들어주셨으면 합니다
62,Bloons TD 5, 클라우드에 파일을 저장해놨는데 파일이다 없어져서 당황스럽네요!! 복구 불가인가요??
63,Bloons TD 5, 와 제작자분 너무너무 대단하십니다 어떻게 이런 게임을 ㅎㅎ 감사합니다.
64,Bloons TD 5, 핸드폰을 바꾸니까 복구가 안 되네요
65,Bloons TD 5, 재밌어요 근데 캐릭터 좀 추가해줬으면 좋겠어요
66,Bloons TD 5, 완전 굿굿굿굿굿굿 제작자 최고!!!
67,Bloons TD 5, 잼잼잼
68,Bloons TD 5, 갓. 게임
69,Bloons TD 5, 인터넷에 플래시 게임도 있고 스팀 (pc판)으로는 프리미엄 스토어가 게임머니로 살 수 있는데 모바일로는 현질해야 살 수 있더라고요. 개인적으로 둘 다 해본 입장으로써는 프리미엄 스토어는 너무 벨붕인거같아요
70,Bloons TD 5, 다 좋은데 게임 다시 깔았더니 리셋...   5000 넌 편질 했는데 복구 좀 페북 기록은 남아있는데...
71,Bloons TD 5," Achievement ""Ultimate specialist"" cannot be obtained. I definitely purchased all special upgrade by paying monkey money, however, both google achievement and btd5 trophy were not obtained. Could you please answer to me why this happened?"
72,Bloons TD 5, 제가 옛날에 했을 때 아케이드 샀는데 다시 까니까 없어졌어요 복구 좀 해주시면 감사합니다
73,Bloons TD 5, 한 달도 안 지나서 다시 깔았는데 초기화됐네요. 게임은 좋은데 저장이 안 되네요
74,Bloons TD 5, 저는 무료인데 제 친구는 유료네요 지웠다 깔아도 무료임 저는
75,Bloons TD 5, 삭제하고 다시 깔았는데 계정 날아간 분들 클라우드로 저장을 안 하셔서 날아간 겁니다
76,Bloons TD 5, Hey. I can help your translate.
77,Bloons TD 5, Good!
78,Bloons TD 5, ★★★★★
79,Bloons TD 5, 휴대폰 타워디펜스 중에선 단연 최고 아니냐..?
80,Bloons TD 5, Good 재밌음
81,Bloons TD 5, 좋아  이 게임 재밌어
82,Bloons TD 5, 꿀 잼
83,Bloons TD 5, 최고
84,Bloons TD 5, 와 수준 이제 74다 이제 실력도 고수고 불가능도 초보 맵은 다 깼다. 프로도 거의 모으고 전문이랑 실험실도 거의 다 가고 크 킥 매치도 내가 다 캐리 한다 덤벼봐!! 덤벼: 뭘 봐
85,Bloons TD 5," 스페셜 빌딩만 잘 이용해도 타르 갬을 제외한 모든 맵을 불가능으로 깰 수 있다(추가 머니, 부활 미사용)                        ps. 타르 갱은 진짜 어떻게 깨라는 거지"
86,Bloons TD 5, 디펜스 게임에서 손에 꼽히지 않을까 생각하네요. 일단 해보면 멈출 수 없음
87,Bloons TD 5, 다 좋은데 폰을 한번 리셋 시켰더니 레벨 1 이네요... 69레벨이었는데 아놔 미치겠네 ....
88,Bloons TD 5, 애플이랑 연동할 수 있는 법 있나요..? 페북 연동 안되던데 ㅠ
89,Bloons TD 5, This game is a game with memories of him. Thank you (I can not speak English. SORRY Understand me) XD..
90,Bloons TD 5, 아 놔 49랩이었는데 리셋돼서 1랩 됐네 ㅠㅠ
91,Bloons TD 5, 대정령에게 감사하세요
92,Bloons TD 5, 일러 취향 고려해도 다른 동류 보다 난 듯
93,Bloons TD 5, 혹시 환불 가능할까요
94,Bloons TD 5, 내 3만 원이 날아감
95,Bloons TD 5, 돈 내고하는 보람이 있네요 따봉!
96,Bloons TD 5, 개꿀 잼
97,Bloons TD 5, 아 이거 왜 삼? 내가 불쌍하다
98,Bloons TD 5, 헤헤
99,Bloons TD 5, 이.... 이것은 풀 타디가 아니오?!
100,Bloons TD 5, 그냥 최고
101,Bloons TD 5, GG
102,Bloons TD 5, (^U^)
103,Bloons TD 5, 무료로 풀었다고 1점주는 애들은 스팀 하면 기절하겠네
104,Bloons TD 5, 리버스 모드는 어떻게 할 수 있나요? 메달을 다 얻어야 숙달 모드가 가능한데 리버스 모드를 할 수가 없네요...
105,Bloons TD 5, 굿 잡
106,Bloons TD 5, 잠수함이 없어지긴 왜 없어져 언락 못해서 아직 못 쓰는 거겠지. 바나나 농장 바나나 못 주워 먹어서 징징대는 사람은 또 뭐죠 농장은 농부랑 같이 쓰라고 있는 건데 한게임에 농부 하나 사서 투자하고 농장 3~4개 이상 편하게 돌리면 게임 끝인데. 설마 쉬움 난이도에서 농장 깔고 농부 쓰기 돈 아깝다고 징징대는 거는 아니겠죠.. 중간 이상 난이도 면 농부 사도 돈 꽤 남는데
107,Bloons TD 5, 후반에 웨이브가 렉 걸리는 점을 제외하면 할만합니다 ( 200웨이브 이상 )
108,Bloons TD 5, 참신하고 좋지만 후반 가면 빌드가 별로 없어서 아쉽네요....(슈퍼몽키or다틀링건)
109,Bloons TD 5, 진짜 개꿀 잼 지금까지 한 디펜스 게임 중 제일 재미있다 뭐 난이도 좀 올리면 헬 이 되긴 하지만 진짜 개꿀 잼 ♥♥♥
110,Bloons TD 5," 풍선 타워 디펜스 5, 배틀, 시티 팬 밴드 있습니다. 여유가 있으시면 들어오시는 게 어떠신지?"
111,Bloons TD 5, 명. 작
