,name,review
0,Bubble Shooter, 할 거 없을 때마다 하면 좋아요!:D 제가 단계를 다 깼는데 업데이트는 언제 되나요??
1,Bubble Shooter, 업데이트가 너무 느려요 ㅠㅠ
2,Bubble Shooter, 2970판 다음 업데이트 부탁드려요 ㅠ ㅠ ㅠ
3,Bubble Shooter, 해보니까 정말 재미있어요!
4,Bubble Shooter, 최 교
5,Bubble Shooter, 재미있네요
6,Bubble Shooter, 좋아요
7,Bubble Shooter, 좋아요
8,Bubble Shooter, 시간 보내기 좋아요
9,Bubble Shooter, 광고만 좀 줄여주삼..
10,Bubble Shooter, 시간이 빨라지는 느낌~!! 너무 좋아요!
11,Bubble Shooter, +😍
12,Bubble Shooter, Good
13,Bubble Shooter, 재미나요
14,Bubble Shooter, 무조건 재미있는 게임
15,Bubble Shooter, 굿
16,Bubble Shooter, 안녕하세요
17,Bubble Shooter, 재밌다 사랑해요 참고로 나에 몸무게는 1점 5톤
18,Bubble Shooter, 너무 재밌습니다 너무 훌륭한 게임입니다 너무 훌륭한 게임입니다
19,Bubble Shooter, 재미남
20,Bubble Shooter, 아는 언니가 추천해줘서 받았는데 중독성 있네요
21,Bubble Shooter, 시간 가는 줄 모름. 업데이트 빨리해주세요~~^^
22,Bubble Shooter, 재밌어요  시간 가는 줄 모르겠어요
23,Bubble Shooter, 시간이 엄청 잘 갑니다.
24,Bubble Shooter, 좋아요
25,Bubble Shooter, Good
26,Bubble Shooter, Good
27,Bubble Shooter, 넘나재밌음
28,Bubble Shooter, 겁나 재밌음
29,Bubble Shooter, 버블 슈터 정말 재밌음
30,Bubble Shooter, 구슬 게임하는 모습
31,Bubble Shooter, Good
32,Bubble Shooter, 버블 슈터는 3개면 퍼펙트에요!
33,Bubble Shooter, 업데이트 빨리 좀 해주세요
34,Bubble Shooter, 정말 최고임
35,Bubble Shooter, 재미나요
36,Bubble Shooter, 즐겁고 건전한  놀이
37,Bubble Shooter, 할만해요
38,Bubble Shooter,
39,Bubble Shooter, 중간중간 광고가 떠서 흐름이 끊기기도 하지만  그래도 시간 보내기는 안성맞춤이네요.
40,Bubble Shooter, 시간 가는 줄 모르고 계속함~~ㅎ
41,Bubble Shooter, 단순한 게 재미짐
42,Bubble Shooter, 짜증 나
43,Bubble Shooter, 시간 때우기 최고~^^
44,Bubble Shooter, 너무 쉽고 간편해요
45,Bubble Shooter, 내 친구는 7.009버전인데 왜 난 7.008버전인가요?
46,Bubble Shooter, 업데이트가 느리네요ᆢ심심할 때 딱 좋아요~
47,Bubble Shooter, 광고가 너무 많아요 그것 빼곤ᄌ괜찮아요
48,Bubble Shooter, 광고를 보는 데 렉이 걸려요
49,Bubble Shooter, 너무 재미난 거
50,Bubble Shooter, 게임짱
51,Bubble Shooter, 시간 때울 때 제격
52,Bubble Shooter, 무한으로 플레이할 수 있어서 좋아요~~
53,Bubble Shooter, 존잼 ㅠ
54,Bubble Shooter, 시간 때우기에 좋아요
55,Bubble Shooter, good
56,Bubble Shooter, 굿 잡
57,Bubble Shooter, 간단하게 즐길 수 있어 좋네요
58,Bubble Shooter, Good 재미있어요😊😊
59,Bubble Shooter, 할수록 빠져드네요
60,Bubble Shooter, 재미나요~
61,Bubble Shooter, 버블 슈터♥21번이 3개짜리  만들기 어렵지만... ㅎ
62,Bubble Shooter, 꿀 잼
63,Bubble Shooter, 공 같은 색만 더럽게처나오네ㅋㅋ
64,Bubble Shooter, 정말 재밌네요!!
65,Bubble Shooter, 굳뜨 좌악
66,Bubble Shooter, 재미있네요 ^^
67,Bubble Shooter, 컴퓨터에 깔았는데 저장된 위치를 모르겠는데 어쩌죠.. ㅜㅜ
68,Bubble Shooter, 심심할 때 하면 좋음 화질도 좋고 컨트롤도 잘 됨
69,Bubble Shooter, 쾌감도 있고 중독성도 있어서 할거 없을 때 하기 좋네요
70,Bubble Shooter, 중독성 굳
71,Bubble Shooter, 재밌네요
72,Bubble Shooter, 좋아요
73,Bubble Shooter, I'm Korean. I can't speak English. So I use a translator. This game is absorutely superb. I do it when I'm bored. It's very funny. Thank you for making it. Please make a lot of next steps. I can't play games. Thanks.
74,Bubble Shooter, 다 깼어요 빨리 업데이트해주세요~ 정말 재밌음
75,Bubble Shooter, 재미나요
76,Bubble Shooter, 업데이트해주세요
77,Bubble Shooter, 최고예요
78,Bubble Shooter, very fun
79,Bubble Shooter, 1450개까지 다 깼어요 다음 단계 빨리 나왔으면 좋겠어요!! 진짜 제가 끈기 있게 다 한게임은 이게 처음이에요!
80,Bubble Shooter, 재미있어요
81,Bubble Shooter,재밌습니다 난이도마다 재밌는 모양의 버블들이 있어서 재밌었어요
82,Bubble Shooter,♥ 이 게임 재밌어요!/This game is very fun!
83,Bubble Shooter, 업데이트 안 되나요?????????????????
84,Bubble Shooter,Perfect I love this game.
85,Bubble Shooter, 굳 좋 아 요
86,Bubble Shooter,Very very fun!! year~~
87,Bubble Shooter,즐거운 시간  되세요 시간 가는 줄 몰라
88,Bubble Shooter,1300업데이트 부탁드려요~ 중독성
89,Bubble Shooter,XD Great! :)
90,Bubble Shooter,최고입니다 중독성 최고
91,Bubble Shooter,대전광역시 중리동 비래동 가양동 가양 비래 공원 장성한 오빠 다른 대학교 결혼식 여정일 2016년 11월 마지막♡성한 오빠 다른 대학교 대전복합터미널
92,Bubble Shooter,심심풀이 좋아요
93,Bubble Shooter,재밌어요 시간 때우기 안성맞춤
94,Bubble Shooter,How can get 3 stars in 21 round I played 21 round hundred times but still 2 star.. OMG please down limit it needs so much score
95,Bubble Shooter,킬링 아닌 다이되는 게임! 시간 가는 줄 모르고 붙잡고 있게 되네요.. 어렵지 않아서 판 깨는 재미가 있어요..
96,Bubble Shooter,최고 재미있재 미 있어요
97,Bubble Shooter,재밌어요 게임을 음미하면서 할 수 있어서 좋아요~
98,Bubble Shooter,재밌음 정말 만든 사람 재밌게  만들었을 것 같아요
99,Bubble Shooter,재밌음 중독됨
100,Bubble Shooter, 1100이 끝이에요
101,Bubble Shooter,굿굿굿 시간 때우기의 최고봉
102,Bubble Shooter, 터지는 재미가 있어요
103,Bubble Shooter,more levels in 'levels' mode please! ♡♡
104,Bubble Shooter,재미있네요 추억이 새록새록
105,Bubble Shooter,중독성 굿 개잼꿀젬
106,Bubble Shooter, 재밌어요
107,Bubble Shooter,짱 짜증
108,Bubble Shooter,개꿀 잼 슈퍼 개꿀 잼
109,Bubble Shooter, 재미있음
110,Bubble Shooter,쉽다 쉬워
111,Bubble Shooter, 재밌어요 ^^
112,Bubble Shooter, 재미있네
113,Bubble Shooter,재밌네요 저 한 명 하니까 저희 가족 다하네욬ㅋ재밌습니다
114,Bubble Shooter,멍 때리고.... 하기 좋은 게임~
115,Bubble Shooter, 재밌긴 한데 자꾸 돈 내 라네
116,Bubble Shooter,재미있네요 ㅋㅋㅋ
117,Bubble Shooter,재밌네요 지루하지 않아서 좋아요
118,Bubble Shooter,짱 ㅋㅋㅋ
119,Bubble Shooter,중독성 있네요 재밌음
120,Bubble Shooter, 좋아요 아주 좋아요
121,Bubble Shooter,하하.. ♥ 꿀 잼♥ 킬링타임쩔어욥ㅠㅠ
122,Bubble Shooter,재미있네요 ㅎㅎㅎ
123,Bubble Shooter,정말 재밌어.... 미쳤어요 저 지금 일주일째 이 게임만 하고 있음....
