,name,review
0,Civilization Revolution 2,최고의 게임 그 어떠한 핸드폰 게임보다 강력하게 재밌고 돈이 전혀 아깝지 않다
1,Civilization Revolution 2, 신작을 내주던지 업데이트를 해주던지요 ㅠㅠ 이렇게 재밌게 만들어놓고 방치하다니 거 너무한 거 아니요 ㅠ
2,Civilization Revolution 2, 죄송합니다ㅜㅜ 정말 기대하고 깔았는데 렉이 엄청 심하게 걸려서 2시간 만에 주문취소를 결정하게 되었습니다.. 환불 요청이요..
3,Civilization Revolution 2,문명하셨습니다. 월요일에 다운로드해 정신을 차리니 목요일. 스팀 문명 5 구매 후 다운로드 중
4,Civilization Revolution 2, PC 게임을 그대로 옮겨왔네요. 게다가 휴대폰으로 언제 어디서나 할 수 있다니 짱입니다
5,Civilization Revolution 2," 여전히 재미있는 게임이지만, 최근 폰들에 맞게 최적화 업데이트 좀 되면 좋겠습니다."
6,Civilization Revolution 2,최고네요. 재작년에 아이폰에서 하다가 플레이스토어에서는 없어서 아쉬웠는데 어느새 나와있네요.
7,Civilization Revolution 2,Plz I cant play because of my phone's poor AP process. I wanna refund. Thx
8,Civilization Revolution 2,최고 어린이날 때 말해 선물로 사줌 최고
9,Civilization Revolution 2,ㅋㅋ 시간 때우기 좋군요
10,Civilization Revolution 2,꿀 잼인데 받지 마세요 며칠 날아갑니다
11,Civilization Revolution 2, 설명이 필요 없다. 12000원이 아깝지 않다.
12,Civilization Revolution 2, 말이 필요 없이 재미있고 중독성이 엄청 강하네요
13,Civilization Revolution 2, 와.... 개꿀 잼임 돈 안 아까워요 진짜 재밌음
14,Civilization Revolution 2, 문명하셨습니다
15,Civilization Revolution 2, 멀 to the 티
16,Civilization Revolution 2,재미있네요 오오오 오옹
17,Civilization Revolution 2, 명작
18,Civilization Revolution 2, Good
19,Civilization Revolution 2, 재미있는 게임
20,Civilization Revolution 2, I want to refund this game. 2k sports company could refund this game please?
21,Civilization Revolution 2, 다음 업데이트해주세요
