,name,review
0,Cluedo, 굳굳 강추합니다
1,Cluedo, 너무 재밌어요 시간 가는 줄 모르겠어요
2,Cluedo, 꿀 잼!
3,Cluedo, Good quality
4,Cluedo, 짱짱!!
5,Cluedo, 굿
6,Cluedo," 클루가 너무 하고 싶어서 혹시나 하고 받았는데, 너무 만족스러워요! 기본 테마만 있어도 충분해서 굳이 유료 테마는 사지 않았어요. 다만 터치가 잘 안 먹는 느낌? 그거 빼면 다 좋아요!"
7,Cluedo," 영어라도 클루 룰 알면 즐겁게 할 수 있지만 어플 자체가 유료인데 인앱결제가 조금 센 가격임 그렇다고 인앱결제 강요하는 게 아니라 캐릭터, 테마가 늘어나는 거라서 기본만 있어도 충분히 좋은 게임"
8,Cluedo, 너무 재밌어요! 사실 처음엔 무슨 게임인가 했고 따로 검색해서 룰을 읽어봐도 이해가 가다 안가다 했는데 턴을 계속 돌며 체크되는 걸 보니 감이 오더라고요! 영어여도 크게 불편함 없이 룰만 알면 즐겁게 플레이할 수 있어서 하면 할수록 재밌네요! 하지만 역시 한국어로도 번역이 되어있다면 사소한 것도 읽어도 보고 처음부터 매끄럽게 즐길 수 있을 것 같아 아쉬웠어요. 번역되면 좋겠네요!
9,Cluedo," Wow I love the board game but this digital version of the game provides you with more magic to it. Graphic is great, the thrill is heightened, brain work well-deserved, and the music and movement are what makes the gsme come alive!"
10,Cluedo, 게임은 재밌는데 터치가 애매한 편
11,Cluedo, 할 줄만 알면 개꿀 잼
12,Cluedo, 검은 화면만 나와요. 왜 그런 건가요??
13,Cluedo, 살까 살까 망설이다가 샀는데 꿀 잼이에요
14,Cluedo, 갑자기 온라인에서 오프라인으로 바뀌었는데 어떻게 다시 온라인으로 킬 수 있나요??
15,Cluedo, 좋은 게임이고 현질할 가치가 있음
16,Cluedo, 꿀 잼
17,Cluedo, 굿
18,Cluedo, 최고
19,Cluedo, 추리하는 거 재밌어요!
20,Cluedo, 한글 번역은 안 되어있지만 재밌음
21,Cluedo, 한글화되면 더 완벽할 듯 게임하는데 무리는 없습니다
22,Cluedo, 굿 잡
23,Cluedo, 꿀 잼
24,Cluedo, 굿
25,Cluedo, 굿
26,Cluedo, 굿
27,Cluedo, 겁나 재밌네
28,Cluedo, 영문판이지만 재밌음.
29,Cluedo, 잼 땅
30,Cluedo, 이름만 알던 보드게임인데 너무 재밌네요~ 풀 패키지 질러서 색다르게 즐기고 싶은 욕구를 꾹 참고 있는 중... 2800원은 진짜 안 아깝네요^^
31,Cluedo, 재미있어요 근데 한국어로도 내주 세용
32,Cluedo, 클루... 설명이 필요한가... 추리게임의 원탑..
33,Cluedo, 의외로 멀티가 잘 잡혀서 놀랍다! 이 게임은 멀티가 진국이니 온라인 고고
34,Cluedo, 영어지만 클루 룰만 알면 쉽게 가능
