,name,review
0,Color Road, 그냥 최고입니다!!!
1,Color Road, 이 게임을 만들어 주신 분들께 감사합니다.
2,Color Road, This is a great game
3,Color Road, 정말 재미있음
4,Color Road, 어렴 웅대 재밌다
5,Color Road, 재미있는 게임
6,Color Road, 어려운데 재미있어요^^
7,Color Road, Fun!!
8,Color Road, 굿
9,Color Road, 좋아요
10,Color Road, 너무 재밌고 심심할 때 하면 좋은 게임이에요.
11,Color Road, 친동생이 추천해 줬는데 너무너무 재밌어요
12,Color Road, 최고의 용
13,Color Road, 심심할 때 좋아요
14,Color Road, 최고
15,Color Road, 굿
16,Color Road, Good game
17,Color Road, ㅈㅁ남
18,Color Road, 계속하려고 하는데( 광고)가 나와요 너무 기분 나쁘게 하네요ᅲᅲ ㅠㅠ (👿😈👹👺😨👽👻💀👾💣💥👅) 맞는 분들 👇
19,Color Road, 정말 재밌어요
20,Color Road, 솔직히 광고가 많으면 와이파이를 끄면 될 거 아니야 머리 있으면 쓰세요 바보들아 님들은 머리에 가락국수가 들었는지 자기들이 못하는 걸 욕하고 난리여
21,Color Road, 광고가 많이 나오긴 하지만 재미있고요.... 이거 만드는 것도 힘든데 악플까지 다시면 만드는 사람은 뭐가 되나요?
22,Color Road, 재미있었어요~ 여러분도 해보세요
23,Color Road, 광고가 조금 많이 나오지만 재미있네요 :)
24,Color Road, 이거 친구랑 하면 너무 스릴 굿~
25,Color Road, 재밌어요~~!~!~~!
26,Color Road, 재미져요 재이죠요 ᄒᄉ
27,Color Road, GOOD👍👍😃😃
28,Color Road, 저기요 이거 만드는데 얼마나 힘든 줄 아세요? 제작자 님께 용서 비세요
29,Color Road, My eye doctor tells me not to use my phone too much but i think he will let me play dis game :33
30,Color Road, 짱ㆍ조ㆍ타
31,Color Road, 재미있긴 한데 힘들어요
32,Color Road, nice
33,Color Road, Good
34,Color Road, 와 재밌긴 한데 요즘 공 게임이 너무 많아서 그냥 그렇다
35,Color Road, 와아아 2판 만에 친구 신기록 깨서 기분 좋았어 오ᅳ♡♡
36,Color Road, 그냥 만점쥬는데 이거 광고 안 뜨려면 와이파이나 데이터 끄고 하세요
37,Color Road, 다 좋은데 스피드가 느려서 힝 들어요
38,Color Road, 최고 광고 뜬다는 분들은 인터넷 연결 끊고 하세요
39,Color Road, 그냥 짜아아앙입니다
40,Color Road, 중독되는 게임입니다 정말 재미있어요♥♥
41,Color Road, 재밌는데.. 광고를 줄여주세요
42,Color Road, 진짜 같고 심심할 때 하면 재미잏ㅇ
43,Color Road, 꿀 잼!!
44,Color Road, 짱 기모띠
45,Color Road, Good so much
46,Color Road, 하트 뿅뿅💝
47,Color Road, 게임도 좋고 다 좋은데 광고 좀 덜 나오면.....
48,Color Road, 이 게임은 정말 재미있는 게임이다
49,Color Road, 와우 재밌어요.
50,Color Road, 한마디로 최고예요😁
51,Color Road, 심심할 때 하기 좋은 게임
52,Color Road, 장이에요
53,Color Road, 정말 재미있는 게임입니다.
54,Color Road, 이거 꼭 갈르세요
55,Color Road, 굿! 최고입니다.
56,Color Road, 아니 이것은??
57,Color Road, 중독성 강한 개임
58,Color Road, 꿀 잼!^^
59,Color Road, Good
60,Color Road, good
61,Color Road, Aa
62,Color Road, 진짜 재미있어요?
63,Color Road, 많이 해주세요.
64,Color Road, 와우😊😀
65,Color Road, Pretty ... ....... .. ..
66,Color Road, 와우 좋아요
67,Color Road, 재미있는 있어요
68,Color Road, 꿀 잼!~^^
69,Color Road, 좋아요
70,Color Road, 최고
71,Color Road, 좋음
72,Color Road, 최고
73,Color Road, 굿
74,Color Road, 좋아요
