,name,review
0,Design Home, 좋아요
1,Design Home, It's very good game~
2,Design Home, perfect! So addictive
3,Design Home, It's fantastic.
4,Design Home, So much fun but wish there are more challenges to enter.
5,Design Home, 레알 밥도둑 정말 좋습니다
6,Design Home, 꿀 잼
7,Design Home, 짱제미있음
8,Design Home, 꿀 잼
9,Design Home, 😇😇🤔🤔🤔🤔🤔😇😇🤔
10,Design Home, 좋아요
11,Design Home, 오예
12,Design Home, 좋아
13,Design Home, 좀비 고에서 가스를  준다고 했는데 안 줘요?
14,Design Home, 냥 코 통조림 안 주나요?
15,Design Home, 그냥 잼
16,Design Home, 재미있는  게임이다 파이팅
17,Design Home, 데 햇
18,Design Home, 좀 비고에 기ㅏ스를 바드니까   그내서 족타
19,Design Home, 리뷰들 보다가 너무 화가 나네요. 아니 좀 비우고 얘기를 왜 이 게임에서 하죠? 규칙을 지켜서 다 했는데도 가스를 못 받았으면 좀 비우고에 따져야지.. 이 앱은 잘못이 없습니다. 별점 테러를 이유 없이 하시네..😡
20,Design Home, 좀 비우고 가스를 왜 여기서 얘기하냐고;; 좀 비우고 무료 가스 들어가면 물음표나 문의하는 곳 있음 거기서 메일 보내면 줌  진짜 머리가 어떻게 됨? 찾아보지도 않고 ㅉ
21,Design Home, 좀 비우고 가서 리뷰를 남겨야지 여기다가 남기면 가스 주는 것도 아니고 이 앱이 가스 안주냐 좀 비우고 측 잘못인데 별점 테러나 하고 있고 이 앱 쓰려고 다운로드 중인데 뭔지도 모르는 좀비가 좀 비고 노래를 부르고 있네
22,Design Home, 아;;안된다는 놈들 왜 그럼? 와는 전 좋고 일련의 단계를 완료해야 가스를 줘요;제작자님한테는 악플입니다;;님들이 못하는 걸 왜 제작자님께 그래요
23,Design Home, 난 어려서 집을 꾸민 적이 없는데 이렇게라도 꾸며서 좋아요. 감사해요. 정말로요.. 제가 한 게임 중에 젤 좋은 거 같아요. 진짜로 감사해요.
24,Design Home, 이 게임의 존재 자체에 감사를 표합니다.
25,Design Home, 재밌고 좋은데 캐시 모으기 졸 힘들어 진도가 안 나감
26,Design Home, 가스 준다고 했는데 왜 안조 ㅠㅠ 가스가 거지라서 가스 왜 안 조
27,Design Home, 섀도 파이터 루비 줘 빨리 이제
28,Design Home, 난 다이야 때문에 받음ㅋㅋㅋㅋㅋ
29,Design Home, 님님 제가 일련 단계 깼는데 최대한 빨리 지급해주세요 쿠키
30,Design Home, 인테리어 하는 거 정말 재밌어요
31,Design Home, 8볼 땜에 했다
32,Design Home, 해 보세요 재미있어요.
33,Design Home, 재밌네요 ㅋㅋ
34,Design Home, 너무 재밌음.
35,Design Home, 내 취향대로 집을 꾸밀 수 있어 좋아요
36,Design Home, 디자인하기가 편리해요
37,Design Home, 참 좋네요
38,Design Home, 꿀 잼
39,Design Home, 꿀 잼
40,Design Home, 최고예요
41,Design Home, 꿀 잼
42,Design Home, 꿀 잼
43,Design Home, 긋 구 소
44,Design Home, 최고👍
45,Design Home, 좋아요
46,Design Home, 최고
47,Design Home, 최고
48,Design Home, 굿굿
49,Design Home, 재밌는데 오늘 왜 계속 접속 장애죠?
50,Design Home, ★맨 처음 시작 시 돈 다 쓰면 안 됩니다. 주어진 돈은 그게 다고 데일리 미션 하면 매일 2500 정도밖에 못 벌어요. 아껴 쓰세요.  재미있고 섬세한 게임. 가구들 디자인도 예쁜 게 끝도 없이 많다. 다만 늘 돈이 부족해서 사고픈 걸 살 수가 없다. 인테리어에 욕심부리자면 현질을 좀 해야 하는 게임... 게임하는데 시간도 많이 안 들고 하다 보면 포트폴리오 마냥 쌓여가는 인테리어 보는 재미도~
51,Design Home, simply the best
52,Design Home, 꾸르잼 한국 브랜드 버전도 있으면 좋겠음
53,Design Home, 가구들과 소품들 5번밖에 사용 못 해서 아쉽지만 마음껏 꾸며볼 수 있어서 좋아요~ 미션을 잘 캐치하는 게 팁입니다. 처음에 그걸 몰라서.. (-_-)
54,Design Home, Cool
55,Design Home, 쉽고 재밌어요
56,Design Home, 공략 매일매일 오는 보상 꼬박꼬박 받는다 데일리로 뜨는 집을 적은 가격으로 괜찮게 맞춰서 4점 이상을 만든다(4점 이상 돼야 보상을 받음) 받은 가구를 사용해서 돈을 절약한다
57,Design Home, There's a little inconvenience when scrolling down all the options of furniture design. However having simultaneously  maximum 2 limitation in furniture borrowing seems reasonable.
58,Design Home, 정말 좋네요.
59,Design Home, 와우 및 너
60,Design Home, So addicting so pretty and easy ^^
61,Design Home, I'm poor... haha
62,Design Home, 좋네요 재가 원하는 인테리어를 할 수 있게 되어 좋고 플레이해보니  재밌어요
63,Design Home, 되게 디테일해요
64,Design Home, Awesome!
65,Design Home, 재밌어요ㅎ게임머니가 모자라요ㅠ
66,Design Home, 멋있다  진짜 사나이 수학 문제 해결을 위한 다양한 프로그램을 운영하고 있다
67,Design Home, 재미난 구성입니다.
68,Design Home, 다 좋은데요 현금이 부족해요ㅠ 보상이 많지 않으니 다이아몬드랑 캐시 모으기가 힘드네요 근데 앱 자체는 좋아요 기타 앱 설치 후 보상받는 것보단 매일 출석이나 다른 방식으로 보상이 저 많았으면 해요!
69,Design Home, 재밌네요ㅋㅋ
70,Design Home, Good job
71,Design Home, 재밌네요
72,Design Home, 안 깔면 후회
73,Design Home, 재미남
74,Design Home, 좋아요
75,Design Home, 과금 없이 플레이 가능. 개성 있는 디자인은 점수가 낮은 것 같아 아쉬워요.
76,Design Home, 재밌는데 돈이 모자라요 T-T
77,Design Home, Nice its awesome good job crowdstar inc
78,Design Home, 재밌고 좋아요!
79,Design Home, お金が少ない。。。。。
80,Design Home, 집 꾸미는 센스를 키우는 데 도움 됩니다.
81,Design Home, very good
82,Design Home, 진짜 재밌음
83,Design Home, good design
84,Design Home, 가구도  진짜처럼  생기고  집도   정말 좋아요^~^
85,Design Home, So pretty..
86,Design Home, Fabulous
87,Design Home," 공략법은 싼 가구로 이쁘게 꾸밀 수 있은 대회만 참가하고,  데일리 대회는 꼭 참가하고...  비싼 상품 주는 거나 예쁜 상품 주는 거 위주로 참가하라는 거?"
88,Design Home, 너무 좋아요 가구도
89,Design Home, 다 좋은데 언어 지원을 부탁드립니다♡ 제작자님 이 앱 만들어 주셔서 감사합니다!
90,Design Home, 한국어로 됐으면
91,Design Home, good
92,Design Home, good
93,Design Home, 정말 좋네요!
94,Design Home, Good
95,Design Home, 진짜 꿀인데 언어가... 좀 아쉬워요..
96,Design Home, this application is amazing!!!
97,Design Home, 한글로 변역돼있으면 더 좋을 거 같아요!
98,Design Home, Good!
99,Design Home, 구작
100,Design Home, So good
101,Design Home, #POPPINMECHUL
102,Design Home,최고예요 첫 번째 디자인부터 4.45 점 받아서 너무 기분 좋고요 ^=^ 디자인을 할 수 있게 물건들을 어느 정도 싸게 해주셔서 너무 좋습니다!!
103,Design Home,재미나요 ㅎㅎ 이런 종류의 앱은 처음인데 재미있네요
104,Design Home,awesome app it is a very creative game and useful for me
105,Design Home, Every things are gooood but i want some more ways to earn money except it this is the best app i have never seen
106,Design Home,오}}}}} 재미나네요 ᄏ 인테리어 센스도 늘 거 같아요
107,Design Home,재밌어요ㅋ 신기합니다~
108,Design Home,Beautiful and dazzling Those modern and unique features in this game caught my eyes.
109,Design Home,너무 좋아요 시간 가는 줄 모르고 재미있게 하고 있습니다
110,Design Home,굿 Good
111,Design Home, 짱짱
112,Design Home, 굿 굿
113,Design Home, 좋다
114,Design Home,제가 찾던 앱! 제가 한 디자인을 평가받을 수 있어서 좋네요ㅎㅎ 디자인 좋아하거나 잘 하시는 분들은 진짜 재밌게 하실 거예요!
115,Design Home,굳 재미
116,Design Home, good^^
117,Design Home, good
118,Design Home,재밌어요 ^^) b
119,Design Home,good 굿
120,Design Home,Good 내가 디자인한 공간 투표되고 선택되면 기분 좋음  재밌음  ..추가) 어제  깔았을 땐 됐는데 왜 오늘은 안됨?  모든 그림이 로딩 뜨며 도전 버튼 눌러도 안 들어가짐
121,Design Home, 재밌어요 가구가 공짜로 되던데요
122,Design Home,쏘 쏘 그럭저럭  괜찮
123,Design Home, Very good
124,Design Home,재밌다 이뻐요 가구
