,name,review
0,Evoland, 재밌습니다 플레이 타임은 길진 않고 초반엔 조작감이 안 좋아서 짜증 났는데 하트 생긴 후부턴 할만해요
1,Evoland, 이번에 세일할 때 사게 되었는데 게임에 필요한 요소들을 보물상자를 먹으면서 게임의 발전된 순서대로 추가되는 것이 참신했다. 다만 후반부에 턴제 RPG가 나온 뒤부터 랜덤인 카운터로 몬스터들이 나와서 지루해지는 구간에 뻔한 스토리가 아쉬웠다. 플레이 타임은 3시간 정도로 길지 않았다.
2,Evoland, 굿
3,Evoland, 게임에 대한 역사 공부 되고 도트부터 3D 그래픽을 보여주는 방식이 신선하고 흥미로웠다.
4,Evoland, 스팀은 2편도 있는 걸로 알고 있는데 모바일도 빨리 나왔으면 좋겠어요
5,Evoland, 돈 쓰길 잘했다
6,Evoland, 에보 랜드가 폰으로 나오다니 정말 최고입니다 가면 갈수록 그래픽이 올라가는 게임을 생각해내다니 에보 랜드 2 모바일화도 기대하겠습니다(근데 막히면 빡겜되는건 여전ㅋ)
7,Evoland,조작이 이상한 게 아니라 님들이 못하는 겁니다 무난하게 별아 모으고 카드 다 모으고 보스도 깼습니다
8,Evoland,별 모으기 겁나 힘드네. 하지만 난 그런 빡겜이 좋아. 플레이할 맛 나잖아?
9,Evoland,100% 클리어하려면 업적 외에 숨은 도전과제 전부 깨야 하네요.
10,Evoland,표절 타령하는 사람들 엔딩부터 보고 오세요 껄껄 이거 엔딩 보면 그 소리 못함
11,Evoland,에보 렌드 2도 나오면 바로 산당 에보 렌드 2도 가능하시면 출시해주 사용 너무 재미있게 플레이했습니다
12,Evoland," 막 버스 양팔 부수고 어디 어떻게 때려야 됨,,"
13,Evoland,기발하다 게임이 참신하고 재미도 있네요
14,Evoland, 고전 JRPG 팬들을 위한 최고의 선물
15,Evoland,진심 재밌다 올ㅋ
16,Evoland,엄지 척 재미있습니다~
17,Evoland,젤다? 같아서 깔아보았다 재밌다
18,Evoland,와 이게 게임이냐 예술이냐
19,Evoland, 모르고 다운로드했네요.. 환불해주세요
20,Evoland,재밌었습니다. 굳굳
21,Evoland,정말 좋아요 1000원 주고 산 게 다행이네요
22,Evoland, 정말 기발한 게임
23,Evoland,잼 핵뀰쨈
24,Evoland,굳 Good
25,Evoland,드디어 이 게임도 모바일로 출시되었네요! 거기다 한글화까지 되어있는 데 pc버전 가격에 비하면 거의 거저 주는 수준입니다! Evoland1은 RPG 게임에 관심 있는 사람이라면 꼭 한 번 해봐야 하는 게임이라고 생각합니다. 2도 빨리 모바일 출시가 되었으면 좋겠네요!
26,Evoland,착한 한글화 착한 최적화 좋아요^^ 개인적으로 세로로 화면 놓고 하는 게 더 모바일 게임 같아서 좋긴 한데 에보 랜드니까 당연 이해 가능! 내 첫 번째 결제 게임
27,Evoland,심플하게 했다 스토리는 짫고 뻔하고 유치한듯한데 게임하면서 그래픽이 바뀌거나 하는 그런 게 맘에 들었다 1000원에 산 게 아깝지 않음
28,Evoland,정말 재미있습니다 근데 죽었을 때 메인메뉴로 나가야 되는 건 좀 귀찮네요
29,Evoland, 최곱니다 진짜 후회 안 하고 즐겼습니다 한글화도 되고 짱입니다!!   너무 재밌어서 시간 가는 줄 몰랐네요 ㅋㅋ
30,Evoland,크..개쩜 2시간인가 3시간 만에 클리어할 정도로 쉽고 짧지만 재미 씀. 근데 별은 대체 왜 모으는 건지..
31,Evoland,여러 가지 재미를 느낄 수 있는 게임 엔딩 보기까지 이틀이면 될 만큼 조금 짧긴 하지만 너무 재밌었어요
32,Evoland,한글화~~좋아요 ㅋㅋ 최고네요 알피지에 진수~!! 진화하는 알피지 ㅎㅎ 신선하고 억수로 재미나요~~♡
33,Evoland,시간 때우기 좋네요 근데 손에 땀 많아서  방향키 움직이는 게 힘드네요
34,Evoland,천 원으로 즐기기 좋은 게임 간단하고 쉽고 아지가 지하고 옛날 생각도 나는 거 같아서 재미있네요
35,Evoland,스팀 판로 클리어했음 이미 스팀 판로 클리어했고 2도 했는데 한글판이라니 ㅠ.ㅠ 다시 해야겠습니다
36,Evoland,영자님 이거 게임 설치만 했어요 모르고 환불 좀 요 3분도 안 지났어요 환불 좀 요
37,Evoland,현질 유도 게임에 지친 사람들 이 게임하세요 너무 재밌어 ㅠ
38,Evoland,음 뭐지? 위험하다는뜻으로쿠파모양쩐다
39,Evoland,굿 다 좋은데 그림자 보스 깨고 나서 검은 화면에 글씨 뜨면서 튕기네요... 버그 고쳐주세요!
40,Evoland,할인 감사요 하고 갑니다
41,Evoland,이런 건 해줘야 됨
42,Evoland,신선해서 좋음 플레이 스타일은 몰라도 스토리 진행 측면은 확실히 신선함
43,Evoland, 어머 이건 꼭 사야 해!
44,Evoland,와 모바일 드디어 모바일 보자마자 샀습니다..
45,Evoland,결제 결제 두 번 됐네요 환불해주세요
46,Evoland,몇 시간 안 걸리지만 최고의 킬링타임 게임~
47,Evoland, 이게 천 원이라니
48,Evoland, 널 기다리고 있었다..
49,Evoland, pc판도 했었는데 재미있네
50,Evoland,음... 딴 건 몰라도 신선한 건 인정!
51,Evoland, 꿀 잼
52,Evoland, gooooooooooooòoooooooooòőd
53,Evoland, ♡
54,Evoland,실행이 안돼요 재설치해도 에러 납니다 환불 부탁해요 실행 시 에러나 요
55,Evoland,achievement 같은 게 있었으면 좋겠어요 달성한 걸 보는 재미가 쏠쏠할 텐데 그 부분이 없다는 게 좀 아쉽네요
56,Evoland,"레트로 게임에서 현대까지 젤다, 드퀘, 파판, 디아블로 등등 추억하는 게임이 있다면 재미를 느낄 수 있음"
57,Evoland,5점 5점 도트 그래픽에서 시작하여 3D까지 진화하는 게임
58,Evoland,Good 간단하고 짧지만 재미있네요.
59,Evoland,2d movement Please 2d movement also made
60,Evoland, 환불해주세요
61,Evoland,Very goooooood!! Is Korean Updates to show up?
62,Evoland,재미납니다 처음에 흑백으로 그리고 턴제에서 롤 플로 점점 변화됩니다 게임 재미납니다 근데 영어임 중학생 수준 영어 ㅎㅎ
63,Evoland,이론류 게임이 많이 나오길 바라며 하지만 좀 짧은 게 흠이라면 흠
64,Evoland, 게임은 재밌는데 결제가 1번 더 됐네요. 취소 부탁드립니다.
65,Evoland, 별 10000개 줘도 아깝다
66,Evoland, 비디오 게임의 역사를 한게임에서 느끼다
67,Evoland, 재밌다
68,Evoland," 보물상자를 먹을 때마다 어떤 변화가 있을까 하는 설렘 덕분에 재밌었습니다. 1,000원에 즐기기에는 너무나도 과분한 게임이었습니다."
69,Evoland,얘 들으아 너희들이 생각하는 그런 rpg가 아니다 난 세일하기 전에 6000원으로 샀는데도 후회하지 않는다
70,Evoland, 할인해서 샀는데 매우 만족 다만 별하고 카드 다 모았는데도 플탐이 좀 짧은 감이 있어서 아쉬웠다. 에보 랜드 2 기대할게요
71,Evoland, 지금 보니까 두 번 결제돼있네요 확인 부탁드립니다
72,Evoland,Surpport EVOLAND I really enjoy playing Evoland2 (PC).    I accomplished all achievements in Evoland2. So I'm surprised when I see Evoland1 in my phone!! I purchase this game with no worry. Thank you for making Evoland series! I wish to see Evoland2 in Google play store someday
73,Evoland,재밌게 했습니다 게임이 색다르고 지금까지 게임 역사의 과정을 본 것 같아서 좋았어요
74,Evoland, 고정키 방향 패드 둘 중 하나를 선택하게 했으면 좋았을 것 같다.
75,Evoland,네 가히 최고입니다 정말 좋은 게임이군요!
76,Evoland,Evoland 뭔가 아쉬운 느낌
77,Evoland,ㅅㅅ 한글화 개이득 보고 있니? 손우야
78,Evoland,환불 환불해주세요
