,name,review
0,Exploding Kittens® - Official, 실제하고 룰이 조금 다른 거 같지만 재밌습니다.
1,Exploding Kittens® - Official, I wish there was option for selecting long game and short game
2,Exploding Kittens® - Official, JACKANOPE! code available?
3,Exploding Kittens® - Official, 튜토리얼조차 거의 필요 없을 정도로 쉽고 재밌음 영어도 필요 없음 눈치 운 블러프 카운팅이 들어간 폭탄 돌리기 게임 슬랩이 적혀있는 횟수만큼 상대 턴 만드는 카드 그 외엔 딱 보면 뭔지 알 거임
4,Exploding Kittens® - Official, fun filled explodin kitties! hope it's future has some leveling or achievement aspects
5,Exploding Kittens® - Official, Great game to play with great people.
6,Exploding Kittens® - Official, 간단하고 재밌는 듯
7,Exploding Kittens® - Official, 핵. 꿀. 잼
8,Exploding Kittens® - Official, 베스트 Best
9,Exploding Kittens® - Official,중학교 영어만 하면 금방 익힙니다 꿀 잼 보드게임입니다 오직 온라인만 가능
10,Exploding Kittens® - Official,"허허 허허 세상은 넓고, 고수는 많구나.."
11,Exploding Kittens® - Official,Mad fun Good quick fun
12,Exploding Kittens® - Official, 굿굿
13,Exploding Kittens® - Official,있다 재미 너무 폭발 고양이는 있다 재미가 너무
14,Exploding Kittens® - Official,꿀 잼 인성 질의 끝판을 볼 수 있음
15,Exploding Kittens® - Official, good game
