,name,review
0,Farming Simulator 18," 안녕하세요 이 게임을 하다가 저장을 못하고 폰이 초기화가 돼서 다시 설치하니깐 기록이다 초기화 대서 처음부터 하라고 하는다 재가 여기다가 47,630원을 현질했슴니다 어떻게 해야 되나요 죄송하지만 개임 안 애소 기록을 돌려주시던지 돈을 돌려주시면 재가 다시 현질을 하던 지하 갰습니다 부탁드립니다 못밋갯스시면 확인햐보고 해주셔도됌니다 부탁드립 갰습니다"
1,Farming Simulator 18, 제작자님 다 좋은데 사람이 기계에 세 올라타고 내리고 버튼이 있으면 좋겠네요 그리고 차도에 자동차즘 다니게 해주세요
2,Farming Simulator 18, 결제했는데 코인이 안 들어와요 획 인해주세요
3,Farming Simulator 18, Get rid of the LEG when you make a Bluetooth Multi please
4,Farming Simulator 18, 간단하면서 재밌네요 Good game thx XD!!
5,Farming Simulator 18, good
6,Farming Simulator 18, 그 청소 돈 안 들개 해주세요
7,Farming Simulator 18, 너무 좋고 재미있어요!!!!
8,Farming Simulator 18, Pc 하고 연동이 안 되나요?
9,Farming Simulator 18, 제가.. 리뷰는  잘 안 남기는데.. 5900원이라서 샀는데 ..세금이 590원이나 나가네요.. 암튼 샀으니 재미나게 해볼게요^^
10,Farming Simulator 18, 재밌네요 시간 가는 줌 모를 정도
11,Farming Simulator 18, 목동은 무엇인가요
12,Farming Simulator 18, pc에서도 즐기는데 모바일로도 굿
13,Farming Simulator 18, 안녕하세요 저는 fs18를 재밌게 즐기고 있는 한 유저입니다 죄송합니다만 혹시 재가 구매한 200만 코인을 환불받을 수 있을까요? 제발부탁드립니다ㅠㅠ
14,Farming Simulator 18, 현질 엄청 많이 했는데 지웠을 때 업데이트가 돼서 다시 깔았는데 다 거품 됨
15,Farming Simulator 18, FS16보다 바퀴랑 그래픽이 아주~~~~~쪼금 덜 좋아진 느낌이에요
16,Farming Simulator 18, 시점과 핸들을 넣어주세요
17,Farming Simulator 18, 베일 지게 추가해주세요
18,Farming Simulator 18, 게임은 재미있는데 한 번하고 안 하는 거 같네요....
