,name,review
0,Flip Trickster - Parkour Simulator, 너무 재미있어서 다 깨버렸어!!!!
1,Flip Trickster - Parkour Simulator, 병맛의 기운이 ㅋㅋㅋ
2,Flip Trickster - Parkour Simulator, 깔아봤는데 재밌어요.
3,Flip Trickster - Parkour Simulator, 빨리 맵이 또 나오면 좋겠네요
4,Flip Trickster - Parkour Simulator, 맵이 너무 적습니다 빨리 다른 맵이 생겼으면 좋겠어요
5,Flip Trickster - Parkour Simulator, 해보세요 병맛게임 ㅋㅋㅋ
6,Flip Trickster - Parkour Simulator, 친구 폰이 성능이 안 좋은데 튜토리얼부터 버그 걸려서 튜토리얼 시범 영상도 착지를 못하고 점프랑 턴 속도가 느리네요 제 폰은 잘 되는데 친구 폰이 안 좋아서 게임이 아예 안돼요 그리고 배 단계 가면 게임이 안돼요 너무 점프도 안되고 턴 속도도 느랴져요 폰 안 좋은 친구랑 똑같이 돼요
7,Flip Trickster - Parkour Simulator, 재밌긴 한데 단계가 너무 적은 것 같아요ㅠ 2일 만에 다 깼습니닾
8,Flip Trickster - Parkour Simulator, 친구추천느로깔았는데재밌어욬ㅋㅋ
9,Flip Trickster - Parkour Simulator, 완전 링 병맛게임 ㅋㅋㅋ
10,Flip Trickster - Parkour Simulator, 재미있고 엄청 쉬움 근데 맵이 없음
11,Flip Trickster - Parkour Simulator, 랙만 ㅠㅠㅠ 암튼 짱이 에이여
12,Flip Trickster - Parkour Simulator, 이거 왜 재미없다 하는지 모르겠음
13,Flip Trickster - Parkour Simulator, 이 게임은 광고가 나오는 만큼 재미있네요~
14,Flip Trickster - Parkour Simulator, 맵 좀 많이 많이
15,Flip Trickster - Parkour Simulator, 꿀
16,Flip Trickster - Parkour Simulator, 개꿀
17,Flip Trickster - Parkour Simulator, 링 갓겜;;;;;;
18,Flip Trickster - Parkour Simulator, 굿
19,Flip Trickster - Parkour Simulator, 최고
