,name,review
0,Florence, 짧지만 정말 강렬하네요 게임이라는 장르의 특성을 정말 잘 살린 한편의 영화 같았습니다 조작법이 무엇을 의미하는지 생각하면 하는 재미도 있었고 그 의미를 깨닫게 될 때마다 소름이 돋았습니다 음악도 분위기를 잘 살려준 것 같고 전체적으로 큰 여운이 남네요... 정말 재밌게 했습니다 감사합니다
1,Florence, 그래픽과 음악이 멋집니다. 캐릭터에 이입할 수 있는 플레이 방식이었습니다.
2,Florence, 기분이 좋아지는 게임이었다. 재밌었다는 평가가 어울린다.
3,Florence, 실수로 구매했는데 환불해주세요 제발요
4,Florence, 미쳤다.. 짧지만 강한 게임이었어요.. 감사합니다 정말 돈이 아깝지 않네요.
5,Florence, Short but memorable
6,Florence, 정말 아름다운 감상이었습니다
7,Florence, 다 좋지만 특히 조작법에서 여러 번 소름 돋았습니다. 조작하는 법만으로 경험을 더 잘 떠오르게 만들 수 있고 실제 내 일처럼 느낄 수 있었네요.
8,Florence, 챕터 음악부터 헤어질 때까지 영화 한 편 보는 것 같았어요. 거의 다 맘에 들었지만 그중에서도 특히 말풍선 간단해지고 뾰족해지고 하나가 되는 부분이 제일 맘에 들었습니다ㅎ^ㅎ
9,Florence, 퍼즐이 점점 쉬워지는 걸로 서로의 대화가 편해짐을 표현하는 점 상당히 맘에 드네요 음악도 그렇고요
10,Florence," 잔잔하지만 즐거운, 그리고 내인ㅅ생을 즐기자는 깊은 뜻이 담긴 아주 멋진 게임이었어요.. 3200원이 아깝지 않은"
11,Florence, 직관적인 조작. 감미로운 음악. 부드러운 그림체. 잔잔한 스토리. 그 어느 것도 사랑하지 않을 수 없어.
12,Florence," 긴 말 필요 없이, 한 번 해보세요"
13,Florence, 크리시의 얘기도 궁금합니다. 기대합니다.
14,Florence, 잔잔하게 울리는 게임입니다.
15,Florence, 음악도 좋고 스토리도 좋고 거의 모든 것이 다 좋은 게임
16,Florence, screenshot mode ! Please ~ The mode give to me maybe Hide triangle button mode !
17,Florence," 낭만적인 이야기, 감미로운 음악, 부드러운 그림, 감각적인 퍼즐, 다 너무 마음에 든다."
18,Florence, 짧지만 즐거웠습니다
19,Florence, 정말 감성이 풍만한 게임이네요!!><><><><
20,Florence, 정말 좋은 게임인 거 같고 꿈을 이루고자 하는 생각이 생겼다. 간단하게 조작할 수 있는 점과 대화가 따로 없어도 감정들이 잘 드러날 수 있어서 좋았다. 다만 아쉬운 점은 한번 하면 끝이라는 거다. 엔딩까지 걸리는 시간이 길지 않아 많이 아쉽다.. ㅠ
21,Florence," 그림, 스토리, 긴박함 뭐하나 안 좋은 것이 없다. 그럼에도 내 주변에는 이 게임을 아는 사람이 없다.(아싸 아니다) 왜 일까.. Goty를 하나 그 이상은 받아야 된다고 생각한다. 메타크리틱 점수는 역대급은 아니다. 82점으로 그리 낮은 점수도 아니다. 만약 원하는 걸 사고 돈이 남았디 면 꼭 사는 걸 추천한다."
22,Florence, 돈 주고 아깝다는 생각이 안 드는 몇 안 되는 게임. 서정적 표현의 직관적 묘사와 각종 퍼즐에 담겨있는 묘사가 굉장히 인상 깊었습니다. 실연의 슬픔도 굉장히 와닿게끔 잘 보여줬고요. 누구에게나 추천하고 싶습니다.
23,Florence," 퍼즐로 스토리를 연출하는 게임입니다. 이야기는 아무 대사 없이 퍼즐로 표현되며 각각의 퍼즐에 아이디어가 돋보입니다. 평소에 게임을 즐기지 않는 여성, 어르신들도 즐겁게 플레이할 슈 있을 것 같은 게임입니다. 앞으로 이런 게임이 더 많이 나왔으면 젛겠구요. 제작자분들~ 이런 게임을 만들어주셔서 정말 감사합니다"
24,Florence," 진짜 이런 스토리, 그림체, 음향효과 무엇 하나 빠지지 않는 게임이었어요. 정말 돈 아깝지 않았습니다. 정말 울뻔했어요 헤드셋 진짜 강력 추천하고요. 다음 작품도 기대하겠습니다."
25,Florence, 짧은 플레이 타임이 좀 아쉽지만 여운이 길게 남는다... 크리시의 이야기도 궁금하다. 차기작이 정말 기대된다. 몰입감은 최고의 수준이며. 로맨스 한편을 본 것 같다.
26,Florence, 평가가 좋다는 이유로 구매했는데.. 사기 전까지만 해도 PC 게임인 줄 알았습니다. 모바일은 그저 안 좋은 게임의 연속이라는 선입견을 가지고 있었으니까요. 그런데 이렇게 멋진 게임이 있을 줄이야! 저는 감동했어요
27,Florence," 마음속 나비를 다시금 꺼내 오늘의 언어로 되새김질합니다. 너무나 뻔하지만 그러기에 마음을 울리는, 플로렌스는 그런 이야기입니다."
28,Florence, 따뜻한 연출. 봄비가 오는 날 하기 좋은 게임. 처음에는 그림이 그다음엔 상호작용이 그리고 음악이 우릴 호강시켜준다. 강추!
29,Florence, 로맨스 영화 한편 본 것 같네요. OST가 너무 훌륭했고 말풍선 등으로 감정을 표현한 게 아주 좋았어요.
