,name,review
0,Geometry Dash, 이거 뭐라 하는 사람들 보면 한심하다. 데몬 맵 왜 안 열려있냐 왜 이렇게 어렵냐 하는데 데몬맵 열려 면 시크릿 코인 그 개수만큼 모으면 되고 어려우면 연습하면 된다. 필자는 연습 많이 해서 데드락이랑 클럽 스텝을 깼다. 다시 말하면 어렵다 하지 말고 어려우면 자기 실력에 맞는 맵을 하는 것을 추천한다
1,Geometry Dash, 정말 말이 필요 없는 갓갓갓갓겜입니다. 그리고 여러분 정식 지오메트리 대시보다 때 모판 지오메트리 대시가 더 다운로드 수가 많습니다. 여러분 그래도 때 모판 재밌게 하면 진판좀 복도로 작작 쓰고 돈 내고 다운로드해요. 그런 복도로 때문에 이 게임이 점점 매출이 떨어지는 거 아니야
2,Geometry Dash, 어떻게 bloodlust가 위클리 데몬이죠? ᄏᄏᄏ 게임 엄청 재밌어요 저는 보통 컴퓨터에서 하는데 핸드폰이 좀 더 어려운 것 같아요. 컴퓨터가 스팀에서 깔면 스팀 전용 스킨들이 있는데 그것도 멋지네요. 그런데 설정에서 유저 코인 10개 모으면 열리고 거기다 password를 치면 나오는 말 중 Rub Rub don't like this라는 말이 있는데ᄏᄏ 자기 자신이 Rub Rub 인걸 인정하시나요?ㅋㅋㅋ
3,Geometry Dash, 고작 16단계 깼다고 자랑이신가요? 게임 못한다고 다른 사람들을 얕보는 건가요? 기분이 나쁘네요. 그리고 유저 코인 똥색 말고 은색을 먹어야 인정됩니다:) 그리고 블루스택으로 하면 랙 걸릴 수도 있으니까.. pc에 최적화된 스팀에서 하세요ㅎㅎ
4,Geometry Dash, 내가 한 게임 중 최고의 게임이다 시간 날 때 가끔씩 하면 재미가 있어 더욱 좋고 인 게임 내에서의 음악들이 전부다 좋다. 조금만 연습하면 단계를 다 깰 수 있어서 좋고 가장 맘에 드는 부분은 광고가 없다 와 현질이 없다이다 게임 자체가 유료이긴 하지만 3000원에 이 많은 걸 체험할 수 있다 난 이 게임 산거 후회 안 한다 갓겜bb
5,Geometry Dash," 임채민 님, 저 사람은 추천한다고 했지, 꼭 자기 실력에 맞는 거만 하라고는 안 했는데요? 글 못 읽으세요? 자기 실력에 맞는 걸로 연습해야지. 시작하자마자 소외 연습하시게요?"
6,Geometry Dash," 역시 지오메트리! 지금까지 라이트 쓰다가 오늘 샀는데 정말 대박입니다. 그리고 복도로 유저들에게 한마디 하겠습니다. ""이런 게임에 2,100원 이 뭐가 아깝다고 복돌이를 씁니까? 그냥 사세요!"""
7,Geometry Dash, 이거 너무너무 재밌네요. 그리고 다른 맵을 플레이할 때 자꾸만 랙이 걸려서 튕기네요 그것만 고쳐주시면 진짜로 좋은 게임 될 거 같습니다 오늘도 롭탑님 파이팅 하시고 즐거운 매일 보네 사요~^^
8,Geometry Dash," 한 번씩 맵 검색 안될 때 있잖아요, 서버가 터진 거니까 좀만 기다리시면 돼요 길어야 20분 정도?ㅎㅎ 암튼 제 인생게임입니다. 최고!"
9,Geometry Dash," 2년 동안 복돌이였습니다. 제가 봉돌의 나쁨을 느끼고 나서 2년 동한 하지 않았습니다. 하지만 생일에 돈이 남아서 질러버렸습니다. 사고해보니 기분이 참 좋군요. 롤 탑, 예전부터 정품이셨던 분들께 사과를 드립니다."
