,name,review
0,Getting Over It with Bennett Foddy, 짜증 나게 구는 사람이 있다면 웃는 얼굴로 그 사람에게 이 게임을 선물해주는 것을 추천. 6천 원의 투자 가치가 있음. 당신이 받았던 짜증보다 더한 화남을 그 사람에게 선물하는 격인. 고마워 남편 덕분에 참 재밌네^^^*
1,Getting Over It with Bennett Foddy, 님들아 근데 이 게임 설치하는데 몇 분 걸림? 개발자님 답 좀 그리고 재미는 있는데 중간에 랙 걸린다... 그래서 첨부터 다시 함 ㅠ
2,Getting Over It with Bennett Foddy, 정말 좋은데 마지막에 설산 넘고 카트 넘기면 렉이 걸려요.. 게임이 힘들 정도.. (하지만 6번 깨서 적응됐다는...
3,Getting Over It with Bennett Foddy, 역시 난이도 최고의 항아리 게임. 삭제해라 애송이가 절로 나온다. 조작은 어려워도 도전정신이 있다면 해보는 걸 추천
4,Getting Over It with Bennett Foddy, 으아ᅡᄀ 화난다.. 중독성 있어서 하긴 하는데 혈압오름ㅁㅋㅋ
5,Getting Over It with Bennett Foddy, 제가 LGQ6사용 잔대요 랙도 것이 안 걸리고 재미있습니다 다른 그래픽 좋은 게임은 데이터로 하면 랙 심한데 이 정도 그래픽에 렉도 안 걸리니 너무 좋아요
6,Getting Over It with Bennett Foddy, 1시간 58분 첫 클리어했습니다. 다 좋은데 일정 구간마다 렉이 너무 심합니다.
7,Getting Over It with Bennett Foddy, 인간의 인생에 관한 가잔 간단하고도 어려운 고찰. '넘어져도 다시 일어나라.'
8,Getting Over It with Bennett Foddy, 기야... 컴퓨터에서 화나다가 이젠 휴대폰으로도 화날 수 있겠다 게 좋네
9,Getting Over It with Bennett Foddy, It's really annoying but I can't stop playing this game!!! Almost smashed my phone
10,Getting Over It with Bennett Foddy, ㅅ1발 존 1 내 어렵네 컨트롤 ㅅ1발 존 1 내 어려움;;(난이도 ㅅ1팔)
11,Getting Over It with Bennett Foddy," 미칠듯한 그래픽과 세밀한 컨트롤까지 신경 쓴 정신 나간 게임 제작자에게 찬사를 보낸다 게임을 하다가 모든 것을 잃었을 때 나오는 병맛 내레이션은 내가 삶을 살 때 무엇을 잘못 하고 있는지에 대한 교훈을 주는 듯하여 도덕 책을 읽으며 똥꼬애 힘을 준 듯한 감동이 전해진다 다들 해보면, 남자들이 군대 2등 병 때 느끼는 자괴감과 인내를 배울 수 있을 것이다 매우 유익하고 ㅈㅎ은 게임이니 모두 해보길 권한다"
12,Getting Over It with Bennett Foddy, 진짜 너무 좋아요!.
13,Getting Over It with Bennett Foddy, 딱 암 걸리게 생겼군요 ㅋㅋㅋ
14,Getting Over It with Bennett Foddy, 드디어 깼다...ㅡㅡ
15,Getting Over It with Bennett Foddy, 솔직히 막노동 많이 하면 쉬움 지금 기록 12분 컷
16,Getting Over It with Bennett Foddy, 이거 엄청 하고 싶었는데ㅠㅠ 감동이다
17,Getting Over It with Bennett Foddy, 혈압 오르기 일부 직전인 게임
18,Getting Over It with Bennett Foddy, 안드로이드 출시 감사합니다.
19,Getting Over It with Bennett Foddy, 내가 38분 만에 깨다니
20,Getting Over It with Bennett Foddy, 대졸 잼 gg
21,Getting Over It with Bennett Foddy, 어렵지만 중독성이 강하다 우리의 현실과도 같다
22,Getting Over It with Bennett Foddy, 대박임 렉도 안 걸리고 빨리되고 하지만.. 멘틀이..
23,Getting Over It with Bennett Foddy, 최적화 빼면 다 좋네요
24,Getting Over It with Bennett Foddy, 멘틀 날아감
25,Getting Over It with Bennett Foddy, 묘한 중독성
26,Getting Over It with Bennett Foddy, 가볍게 깨고 환불하고 잘랍니다
27,Getting Over It with Bennett Foddy, 노트 펜 사용 가능하면 좋을 거 같은데..
28,Getting Over It with Bennett Foddy, 정말 대박인 것 같아요
29,Getting Over It with Bennett Foddy, 좋ㄴ
30,Getting Over It with Bennett Foddy, 진짜 재미있네요 굿
31,Getting Over It with Bennett Foddy, 짜ㅡㅡㅡㅡㅡㅡㅡㅡ증
32,Getting Over It with Bennett Foddy, 잼
33,Getting Over It with Bennett Foddy, 깨꿀
34,Getting Over It with Bennett Foddy, 진짜 진짜 진짜!!!!!! 너무!!!!! 좋아요(^-^) v ❤
35,Getting Over It with Bennett Foddy, 시.... 벌
36,Getting Over It with Bennett Foddy, 굳굳
37,Getting Over It with Bennett Foddy, 보자마자 샀습니다. 항상 안드로이드로도 항아리 해보고 싶었어요. 조작은 마우스로 하던 것과 전혀 달라 처음 했을 때의 경험을 다시 해보았습니다.
38,Getting Over It with Bennett Foddy, 진짜 5분 했는데 환불 안된다고 구라 치는 분들 아 구글 플레이스토어 정책상 무조건 4시간 이내에 플레이했든 말든 환불된다 4시간 지나서 5분 했다고 하는 놈들도 알고 말하자
39,Getting Over It with Bennett Foddy, 5분만 하고 환불 안 된다는 분 한번 환불했다가 다시 구매하고 다시 환불하려고 하면 활불 안됩니다. 저처럼..
40,Getting Over It with Bennett Foddy, 오 정말 좋은 게임입니다. 렉은 안 걸리고 아주아주 재미있습니다.
41,Getting Over It with Bennett Foddy, 너무 재밌는 게임입니다!! 근데 컨트롤이 익숙지 않네요ㅋㅋ 그래도 재미있습니다
42,Getting Over It with Bennett Foddy," 다 좋아요, s 펜만 되게 해준다면 최고일 것 같네요!"
43,Getting Over It with Bennett Foddy, 이거 하려고 기프트카드 샀어요. 재밌네요.
44,Getting Over It with Bennett Foddy, 아니 나만 그런지 모르겠지만 안 들어가지네요
45,Getting Over It with Bennett Foddy, Good but lag on tree :(
46,Getting Over It with Bennett Foddy, 네 인생 최고의 게임이다.
47,Getting Over It with Bennett Foddy, 아니 렉은 조지는데 중독성 미쳐!!!!!
48,Getting Over It with Bennett Foddy, 렉이 너무 많이 걸림;; 고쳐줘요
49,Getting Over It with Bennett Foddy, 최고 군 드디어 안드로이드
50,Getting Over It with Bennett Foddy, 나무 최적화 좀...
51,Getting Over It with Bennett Foddy, 이거 꿀 잼! 구매 추천
52,Getting Over It with Bennett Foddy, 안드로이드도 돼서 good
53,Getting Over It with Bennett Foddy, 어려운데 재미나 유
54,Getting Over It with Bennett Foddy, This game is good
55,Getting Over It with Bennett Foddy, 처음 했는데 가격도 괜찮고 재미있네요
56,Getting Over It with Bennett Foddy, 켠 왕 합니다 가즈야~~
57,Getting Over It with Bennett Foddy, Good~!
58,Getting Over It with Bennett Foddy, 어렵지만 재밌음
59,Getting Over It with Bennett Foddy, 최곱니다. 최적화는 조금씩 해결하면 될테니.ㅎㅎ 그리고 짝퉁 게임은 유료 판매가 안됩니다. 이건 공식 인증 게임으로 확인되었습니다.
60,Getting Over It with Bennett Foddy, 안드로이드폰인데 다운이 안돼요.... 환불도 불가 저는 6000원을 날려 먹었습니다....
61,Getting Over It with Bennett Foddy, 스팀에서도 사고 앱스토어에서도 사고 플레이스토어 와서도 삽니다. 개꿀 잼
62,Getting Over It with Bennett Foddy, 오리지널 항아리 게임이라는 이유만으로도 별 5개는 충분하다
63,Getting Over It with Bennett Foddy, 항아리 게임 기대했는데... 재밌네요~!
64,Getting Over It with Bennett Foddy, 정말 다 좋은데 갤럭시 노트 펜이 안 먹네요 ㅠ
65,Getting Over It with Bennett Foddy," I've played this game, but it won't work. So, can I get a refund? l'm not play game."
66,Getting Over It with Bennett Foddy, 와 스팀보다 편하게 사네 크으ㄱㅅㄱㅅ넘심심한데 토요일에 하루 종일 해야지
67,Getting Over It with Bennett Foddy, 시공은 역시 최고야
68,Getting Over It with Bennett Foddy, 크큭 하고 싶었는데 ㅋㅋ
69,Getting Over It with Bennett Foddy, 항아리 게임은 정말 최고야!!
70,Getting Over It with Bennett Foddy, 굿굿!
71,Getting Over It with Bennett Foddy, 드디어 안드로이드판도 나오다니...
72,Getting Over It with Bennett Foddy, 드디어 나왔네요 ㅎㅎ
73,Getting Over It with Bennett Foddy, 이 게임은 그냥 갓 게임입니다. 시작부터 삐까 뻔적한 항아리를 얻을 때까지의 수행으로 마음을 비우세요. 전 이 게임으로 깨달음을 얻었습니다. 당장 환불해라
