,name,review
0,Goat Simulator, 엄청 재미있는데 예전에 있었던 그 많던 추억의 래그 돌 NPC들은 다 어디 간 거죠?...... 저번에 업데이트가 되면서 요즘에는 몇 종류밖에 안 되는 래그 돌 NPC밖에 없네요......... 제발 예전의 NPC들도 다시 복원해 주세요......
1,Goat Simulator, 안녕하세요 염소실뮬레이터를 산 사람입니다 오랜만에 염소 시뮬레이터를 켰는데 이게 어떻게 된 일이죠 저번에는 잘 되던 게 검은 화면에 영어가 뜨는데 플레이도 안되고... 그래서 그 영어를 해석해보니 염소 시뮬레이터제 콘텐츠 다운로드 자라고 만 뜨는데 이거 어떡하나요
2,Goat Simulator, 리뷰 단 사람들 뇌가 궁금하다 환불해달라고 할 수도 있는 거지 자기들도 몇천 원 아까워서 친구들한테 안 사주는 인생이면서 ㅉ 그리고 다른 앱 샀는데 실행 안 되면 환불 해달라 하지 마라 너네는
3,Goat Simulator, 환불해 달라는 녀석들은 머리가 있나 몇천 원이 아까워서 환불을 해달라고 하네 그리고 게임 실행이 안 되는 것도 자기들 폰이 꾸진 거지 왜 게임 탓을 할까 어쨌든 이 게임 최고임 영
4,Goat Simulator, 내 생애 최고의 시뮬레이터 게임. 이 게임은 정신 나간 맛에 하는거지ㅋㅋㅋㅋ
5,Goat Simulator, 제 폰이 이상해서 그런 건지 모르겠지만 한번 플레이하고 나갔다가 다시 들어가면 화면이 이상하게 뜨더라고요.. 그래도 앱 삭하고 다시 깔면 괜찮아지고.. 허허..
6,Goat Simulator, 이 게임 제작자는 마약을 얼마나 빤 거야.... 너무병맛이잖아! 속마음:재밌으면 됐지... 하하하하하
7,Goat Simulator, 이 게임 가격 올랐네ㅋㅋ 예전에 구매해서 다행ㅎㅎ 암튼 제작자 너무 재밌자너ㅋㅋ
8,Goat Simulator, 처음에 모르고 구매 눌러서 죵 나 화났는데 막상 해보니깐 개잼 ㅇㅈㄱ?
9,Goat Simulator, 아니이거실화닙까?? 너무 재미있어요 아무리 돈을 내야 해도 엄청나게 재미있음 추천드림
10,Goat Simulator, 이 게임 사람이 만듦? ㅋㅋㅋ 마약 한 사발 하였네 ㅋㅋㅋㅋ
11,Goat Simulator, 이거 너무 재미있어서 돈으로 삼ㅋ 이 게임 추천 마인크래프트 보다 더 꿀 잼
12,Goat Simulator, 약! 약을 다오! 약반 게임에 약을 첨가한 완벽한 마약 게임입니다... 하지만 발열량이 조금 많네요
13,Goat Simulator, 한판 플레이하고 환불하려 했는데 너무 재미있어가지고 환불 못하고 즐겜중ㅋㅋ
14,Goat Simulator, 하.... 아니 환불해 달라고 할 수도 있는 거잖아 생각해봐라 몇천 원 안 아까우면 그 몇천 원 가지고 친구한테 게임 사줘라 ㅡㅡ
15,Goat Simulator, 친구가 깔아서 저도 구매해봤는데 개 재밌어욬ㅋㅋㅋㅋㄷㄷㄷ
16,Goat Simulator, 이거 제작자 100퍼 마약 빨았다;; ㄱㄱㅋㅋㅋ 얻기 힘든 염소도 공략들이 있네
17,Goat Simulator, 와이파이 끄고 해야 됨 나도 와 파고 실행했는데 안 됨 근데 데이터만 키고 와파 끄니까 실행이 됨 근데 용량 보소 303MB...
18,Goat Simulator, 정말 레전드 중에 레전드 레전드 오브레전드 게임 5000원 주고 사서 후회했었는데 꿀 잼
19,Goat Simulator, 진짜 돈은 비싼데 꿀 잼 게임 중에 가장 재밌음
20,Goat Simulator, 카메라 돌아가는 게 좀 부자연스럽긴 한데 하다 보면 적응됨
21,Goat Simulator, 염소도 다 모을 정도로 쉽고 약발 아서 개잼ㅋㅋㅋㅋㅋ
22,Goat Simulator, 이런 병 맛ᄉ게임ᄏᄏᄏᄏᄏᄏ.. ᄏᄏᄏ 진ㄴ자 산거 후회 안해욬ㅋㅋ 아 잼 따.. 컬렉ㄱ션도 모 마야 하는데
23,Goat Simulator, 좋긴 좋은데 조종이 힘들고 지도 같은 거 있으면 good입니다
24,Goat Simulator, 나 이 게임 1100원 일 때 샀음 ㅋ
25,Goat Simulator, 재미있지만 다른 시리즈를 구매하고 깊어서 환불이요
26,Goat Simulator, 우와 꿀 잼! 근데 온라인도 있으면 더더욱 좋겠네요..
27,Goat Simulator, 병맛을더해서저가병맛이듯게임을하니다
28,Goat Simulator, 와 내인생이런병맛게임처음봄great!
29,Goat Simulator, 완전병맛게임ㅋㅋ롤러코스터탈때진짜웃곀ㅋㅋㅋㅋ
30,Goat Simulator, 재밌다아아아아ㅏ아아아아아아아아ㅏ아아아아아아아아알아아아아아아이앜ㅋㅋㅋㅋㅋㅋㅋㅋ
31,Goat Simulator, 여러분  이 게임 엄청 재미있어요. 꼭 설치해보세요
32,Goat Simulator, 이거 왜 사자마자 환불되던 시스템이 사라짐?
33,Goat Simulator, 용량이 좀 크지만 재밌음
34,Goat Simulator, 플레이 가 안돼요 환불 부탁드립니다
35,Goat Simulator, 그냥 할 말 없이 꿀 잼 그냥 너무 병맛
36,Goat Simulator, 앙 기모찌 꼭 깔아 삼~ㅋㅋㅋㅋㅋ
37,Goat Simulator, 재미없다 환불해라
38,Goat Simulator, 환불이 안돼서 그냥 플레이 해봤는데 재밌네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 돈 쓴 게 후회가 안돼요~!
39,Goat Simulator, 5600원이 아깝은 거 같은데 막상 게임해보니 꿀 잼
40,Goat Simulator, 한마디로 핵꿀잼임 병맛
41,Goat Simulator, wow who is he and girl gamefrogremer cocain one dringking program good five ster give
42,Goat Simulator, 업데이트할 때 멀티 가능하게 해주셔요 친구 추가도
43,Goat Simulator, 야~~~~~시작할 때 혀 실화? 태화? 오지고 지리고 레릿고 와~~
44,Goat Simulator, 역시 병맛이 최고야
45,Goat Simulator, 딱 간단하게 병맛이면서 개꿀잼임ㅋㅋㅌ
46,Goat Simulator, 진짜 레알 꿀 잼 앞으로 업데이트가 많이 있길
47,Goat Simulator, 진짜 레전드입니다 ㄷㄷ
48,Goat Simulator, 약간 소리가 무서운데 그래도 재미있어요!
49,Goat Simulator, 이런 게임은 정품 삽시다
50,Goat Simulator,hey! im re start! it's fun!
51,Goat Simulator, 돈이 한아도 아깝지 않음. 개꿀 잼
52,Goat Simulator, 이거 오류 빼고 환불해달라는 사람ㅁ 최소 감정 없음
53,Goat Simulator, 미친 것 같다
54,Goat Simulator, 별이 다섯 개!
55,Goat Simulator, ㅋㅋㅋㅋ완벽함 그 자체
56,Goat Simulator, 정말 좋네요
57,Goat Simulator, 병맛 지리고
58,Goat Simulator, 세러 운 맵이 만들어주면 좋아요 *^^*
59,Goat Simulator, 진짜 진짜 재밌어 오
60,Goat Simulator, 너무 재밌어요 정말 고맙습니다
61,Goat Simulator, 이겈ㅋ말도웃기고 최고!!
62,Goat Simulator, 나는 안 들어가진다.
63,Goat Simulator, 불사신 염소라 계속할 수 있어서 재미있어요
64,Goat Simulator, 돈 주고 할만하고 마약 같은 게임이네요
65,Goat Simulator, 괜찮은데 그래픽이 컴 보다 안 좋네요
66,Goat Simulator, 개꿀띠 졸잼
67,Goat Simulator, 진짜 레알 잼
68,Goat Simulator, 와우!
69,Goat Simulator, 너무너무 재미있어요 영원히 안 지워지길 바라요
70,Goat Simulator," 다음에 더 좋고, 재밌는 게임 만들어주세요."
71,Goat Simulator, 업데이트는 언제 하나요?
72,Goat Simulator, 제작자님은 나에게 기쁨을 줬어.
73,Goat Simulator, 정말재밌뜨아~!~!~!
74,Goat Simulator, ㅋㅋㅋㅋ 병맛 실화?
75,Goat Simulator, 최고의 게임. 5600원이 아깝지 않다
76,Goat Simulator, 정말 좋아요!
77,Goat Simulator, 재미고 도 병 맛 가네요~ 해보세요
78,Goat Simulator, 개개 개개 개개 개개 개개 개꿀 잼!!
