,name,review
0,Grand Theft Auto III,최고의 게임일수록 더 낮은 점수가 비례한다. 셀바스 거랑 같은 겁니다ㅋ 단지 버전이 다를 뿐 10주년 기념이라 같다 하는 사람들 당연한 이야기입니다. 좋은 게임 욕하지 마세요
1,Grand Theft Auto III, 뭐 좀 좋네요!! 미션이 좀 어려지만.. 저는.. 8볼인가 어떻게 하는지 모르겠어요 ㅠㅠ 넘나 어려움…그리고 폰으로 하게 돼서 좋습니다!! 또 5도 폰으로 하게 해주시고 멀티 가능하면 하게 하주세요 부탁드립니다 그리고 이건 셀바스 걸로 하는 게 좋습니다... 여러분 왜냐면 차 패치도 거기밖에 안 되고 버전도 그게 더 좋고 그래픽이 더 좋으니까요 락스타 짱!!^^
2,Grand Theft Auto III,개꿀 잼 근데 왜 비행기가 하늘을 날지 못하나요???      날 수 있으면 좋겠습니다.^^                             환불해달라는 분들은 들으세요!  님 폰이 쓰 렉이 겁니다.
3,Grand Theft Auto III,댓 보다가 너무 답답해서 쓴다 아니 환불해달라는 도둑놈들은 뭐지? 실컷 즐기다가 오류 하나 나오니까 10분 훨씬 지나놓고 환불 운운하네? 나 참 어이가 없어서...  그리고 셀바스 거랑 같은 거라고? 당연한 걸 가지고 환불 운운하니... 어이가 없네... 당연히 제목이 gta 3이면 같은 게임이지.  gta 3 이 세상에 하나밖에 없는데 그럼 다르겠냐? 그리고 재미없어서 돈 환불해달라는 급식 무뇌충 도둑놈들은 아예 답이 없다. 재미없으면 10분 안에 환불하던가.
4,Grand Theft Auto III, ViceCity보다 나은 점은 바퀴 터지게 하는 지뢰가 없어서 더 자유로운 레이싱이 가능하다는 것. 나름대로 명작이다.
5,Grand Theft Auto III,업데이트 좀 해주세요 ㅠㅠ 최고의 게임인데 지원이 종료된 것이 너무 아쉬울 뿐....
6,Grand Theft Auto III, 왜 속도계라 번역했는지는 모르겠지만 속도계 설정은 중력센서를 이용한 운전 설정입니다. 만약 운전 중 멋대로 핸들이 꺾인다면 속도계 설정을 확인해보시길
7,Grand Theft Auto III,핵잼!? 저기 자전거 오토바이들을 추가해주세요 그리고 좋은 게임 욕하지 마라 게임 구매자들아
8,Grand Theft Auto III,최고의 게임 셀바스가 한글화한 것을 유통한 것밖에 없습니다. 이 게임을 만든 회사는 이 회사가 맞습니다.
9,Grand Theft Auto III,노트 5 사용자입니다. 프레임 상한을 끄니까 엄청 부드러워지네요. 재밌게 잘 플레이하고 있습니다.
