,name,review
0,Granny, 그러니 진짜 너무 재밌고 심심할 때 항상 하고 있는 게임이에요!! 한 가지 피드백을 드리자면 두 명에서 할 수 있는 팀전 플레이가 나왔으면 좋겠어요ㅠㅠ 게임 잘하고 있습니다 ❤❤
1,Granny, 그러니 시작한 지 1달 된 유저입니다. 그래니까 너무 재밌어 계속하다 보니 벌써 익스트림을 6번이나 클리어를 하게 됐네요. 미친 아줌마를 찾으면 나오는 엔딩이 생겼으면 좋겠네요
2,Granny," Granny가 더 어려워졌어요!! 이건 어떻게 하는 건가요? 아... 너무 힘드네요... 그러나 Practise 모드로 연습해서 Easy, Normal, Hard 모드 도전해보도록 하겠습니다! 수고하세요, DVloper."
3,Granny, 이정우 님 정말 어이없네요 ᄏᄏᄏ 아니 니퍼를 못 찾겠으면 공략 영상을 보고 오든가ㅋㅋㅋㅋㅋ 아 진짜 어이없네? 뭐라 해야 할지 모르겠넼ㅋㅋㅋ 웃음만 나온닼ㅋㅋ 진짜 이런 말 같지도 않은악플달지마세옄ㅋㅋ 아니면 화나겠지만 판 다시 돌리든가
4,Granny, 음... 다 좋아요 근데 물어볼게 있어서요 2층 계단 위쪽을 보시면 양초 같은 게 있어요 근데 그거 어띃게 꺼내요 이럴 때를 데비 해서 멀리서도 물건을 얻을 수 있게 만들어 주세요 그렇게 해주시면 별 10000000000개도 더 들 리 수 있어요. 그렇게 해주시면 정말 정말 감사하겠어요.
5,Granny," 멀티플레이가 나왔으면 더 좋을듯싶네요. 물론 지금도 좋지만 멀티플레이가 나오면 여러 가지 방법으로 게임을 플레이할 수 있을 것 같네요. xbox나 디스코드, 핫스폿, 블루투스로 연결 가능해지면 좋겠네요"
6,Granny, 간이 콩알만 한 제가 그나마 쫄리면서 할 수 있는 공포 게임이에요! 적당히 무섭고 레벨도 많이 나누어져 있고 재미있습니다
7,Granny, 이 게임 외어 나옴 너무 재밌잖아요 제 형한테도 추천했더니 무섭지만 제밌있다네요 제작자님 이 게임 너무 재밌게 하고 있는 유저니다 이지도  탈출했는데 이지~익스트림 도 탈출헸어요 다음엔 이펙트 트림 난이도 추가해주세요 ^^
8,Granny," 그러니 게임 재밌어요! Garnny game goodjed! 감사합니다! Tnank you! 이건 진짜 별 100개도 모자라요! This is t' enough of hundred stars! (기쁨) , (happy)"
9,Granny, 거미 엔딩 좀 만들어 주세요. 그리고 한 명은 그러니 한 명은 사람으로 하는 온라인 도 만들어주세요
10,Granny, 갑자기 실력이 늘었네요 첨에 못했는데 하는 거 강좌 보고하니 금방 늡니다 다른 업데이트도 새로운 거 생기길 바랍니다.
11,Granny, 이거 익스트림도 깼는데 맵 투가 하거나 이스터에그 아니면 난이도 추가해 주세요 인세인 같은 거
12,Granny, 완전 짱! 무섭지 않네요. 저도 무서운 거 싫어하지만.. 이거는 안 무섭네요.
13,Granny, 너무 재미있어요! 하지만 모드가 돈을 내야 해서 좀 안 좋아요!
14,Granny, 할머니 안 나오는 이지 밑에 Pr 뭐 하면 안 나와서 걱정 없어 근데 거미... 개 징그러운(무서운 것보다)
15,Granny, 왠지 할머니가 식인종인 거 같아요 ᄏ 마지막에 게임 오버일 때 할머니 얼굴 나오면서 입을 크게 벌리는데 잡아먹어버리는 게 아닐까요?ㅋㅋ
16,Granny, 이대로도 정말 좋지만 멀티도 있었으면 좋겠어요!! 친구들이랑 멀티로 플레이하면 재미있을 듯 ㅎㅎ
17,Granny,
18,Granny,
19,Granny, 왜 제가 단순하지 않다고 하냐면!~ 문이 잠훌쇠가 많아서 더욱 재밌단 말이죠~^^ 파이팅
20,Granny, 저는 개인적으로 쉬운 모드나 어려운 모드가 있잖아요! 모드 따로 연습모드가 있으면 좋겠어요 ㅠㅠ 뭐 속도 같은 거 ...?
21,Granny, 정우야~네가 못 찾는 골어 돌게 게임 제작자한테 떠넘기냐? 너무 한다... 네가 게임 제작자 면 다른 사람이 너처럼말하면어떻게할래?그래도입다물고가만히있을거임?ㅋㅋㅋㅋ아니잔어ㅋㅋㅋ
22,Granny, 그레니가 무섭지만 중독되고 재밌어요. 다른 분들이 하면 좋겠네요^^(남자분들)
23,Granny, 굿이거너무재밋음저오늘그래니엄마봉인된거봐음ㅋㅋ
24,Granny, The game is really fun and good! But the fact that there's no multiplayer So I would really appreciate it if you could update me to play multiplayer!:)
25,Granny, 와 그러니 익스트림 까지 다 깼는데 업데이트하면서 뭔가 복잡해지고 어려워졌어요 그래도 꿀 잼
26,Granny, 재가 무서운 건 잘 못 보는데 그래 너는 중독성이 있네요ㅎㅎ
27,Granny, 처음에는 무섭워는데 이제 괜찮아요 그러니 짱 ㅋㅋ그리고 애들한테 장난으로 하라고 하면ㅋㅋ꿀잼
28,Granny, 원래는 쉬웠는데 4층이 생겨서 더 어려워져서 더 재미있네요!
29,Granny, 작가님 이 게임 엄~~~청 재밌어요. 근대 친구랑 같이하는 모도 있으면 더~욱 재밌을 것 같아요^^ 이 게임 제가 엄청 좋아해요.
30,Granny, 계속 지웠다 깔아서 깔 때마다 새롭네요 ㅎㅎ 무섭지만 항상 재밌게 플레이하고 있어요^^
31,Granny," 와우~진짜 정말 재밌어요. 이거 업데이트되니까, 할머니도 없고 좋네요. 제작자님 최고예요! 감사합니다. 이거 그러니 절대로 삭제하지 않을게요. ♡♡♡♡♡"
32,Granny, 아이템 못 찾았다고 징징대는 사람 최소 리신 아니냐?ㅋㅋ 잘찾아 보세요ㅡㅡ
33,Granny, 정말 재미있고 진짜 이번 업데이트로 어려워졌어요.. ㅜㅜ
34,Granny, 너무 재밌ㅇㅓ요. 스릴과 공포가 있어서 너무 잿있어요.
35,Granny, 너무 재밌어요 처음에 무서워서 막 숨고 숨고ᄏᄏᄏ근데 깨보니까 실험하기도 좋네요!!
36,Granny," Hello, I am a user who makes Jenny fun.Please update me more and end me when I die.And I think it would be nice to make Granny two online."
37,Granny, 제작자님 4층까지 추가해주셔서 감사합니다 자동차 엔딩에 다 슬렌더 리나 엄마도 봉인되어 있는 것까지 모두 좋네요 ㅎ 그리고 할머니가 없어 초보도 할 수 있는 practise 모드도 생겨 정말 좋아요 ㅎㅎ근데 여기에 멀티 만날 수 있는 것을 좀 해주시면 좋겠네요 그러면 사람들이 서로 서로 만날 수 있으니까요 그리고 할머니한테 죽으면 어쩌다 1번씩 광고 거 떠요 ㅠ
38,Granny, 저도 할머니 작아지게 하는 모드로도 해보고 싶어요 그건 어떻게 하나요?
39,Granny, 나 처음에 봤을 때 10만이 벌써 5000만이네 ㅎㄷㄷ유튜브에힘인가
40,Granny, 제작자님! 너무 잘하고 있습니다! 멀티 로 해주시면 완전 더 재미있을 것 같습니다 2명만요
41,Granny, 이 게임은 렉도 안 걸리고 토요일 밤 새벽에 하면 개꿀 잼! 그리고 슬렌더 리나 도 개꿀 잼 (슬렌더 리나 시리즈 다깨봄)ㅎㅎ
42,Granny, 우왕! 미친 할머니 무서워서 최고! 이게 진짜 무서운 거임
43,Granny, 정말루 재밌어요! 근데 멀티도 나왔으면 정말 재밌을 듯해요!😄👍👍
44,Granny, 제갘ㅋㅋㅋ 이가 깔아놓고 무서워서 계속 안 하고 있다가 심심할 때 한 번 해보니까 엄청 재밌더라고요 ᄏᄏᄏ 구리고 무섭지도 않고 재미로만 할 수도 있는 게임인 것 같아요 할머니의 행동 하나하나가 정말 재밌더라고요
45,Granny, 재밌긴 한데 중간에 랙이 걸려서 좀 게임하는데 지장이 있는 거 같습니다 재 폰이 안 좋은 건진 모르겠어요
46,Granny, 재밌어요 아이템은 맵에 다 있음 그리고 가끔 할머니가 하는 행동이 되게 웃김
47,Granny, 연습용 모드로 했는데 재밌네요! ♥♥ 게임이 어렵지만 재미있네요ㅎㅎ 연습용 자동차 엔딩 없이 연습용 만들어 주시면 감사하겠습니다.
48,Granny, 제작자 신고 어떻게 함? 제작자님 제가 분명히 드라이버를 얻었는데 갑자기 드라이버가 땅으로 들어가서 엑스트라 나니 도를 버그로 깨지 못했습니다. 고쳐 주세요 신고 버튼 가르쳐주세요.
49,Granny, 다 좋은데 멀티 있으면 좋은데요.... 그레니가 침대보 때 위로 나오면 어떨까요? 그럼 어떻게 되나요?
50,Granny, 멀티플레이 모드가 나왔으면 좋겠어요 그래픽도 좋고 조작감도 좋고 다 좋아요!! 멀티플레이만.. ㅠ
51,Granny, 진짜 이런 공포 게임은 본 적이 없다 제작자님은 천재다. 자동차 엔딩은 유튜브 김왼팔 공략 보고하세요
52,Granny, ㅋㅋㅋ 오타 나셨네요 Practise가 아니고 Practice입니다
53,Granny, 눈꽃님 그건 석궁으로 맞추면 돼요! 제작자님 그레니 너무 웃기고 ㅋㅋ 재밌어요! 그리고.. 그레니 귀엽♡ ㅎㅎ ㅋㅋ
54,Granny, 여기에 샷건 생긴 것도 있는데 자동소총 생기면 재밌겠다ᄏᄏᄏᄏᄏ
55,Granny, 다 좋긴 하지만 멀티 기능이 생겼으면 합니다! 방을 파서 한 명은 그러니 한 명은 생존자 정도로만 해주셔도 엄청난 갓겜이 될 것 같네요! 그러니 파이팅!
56,Granny, 다음 업데이트는 5층이 생겼으면 좋겠어요 부품이 들어가는 방이요
57,Granny, 제작자님 할머니는 어디 있나요? 답 빨리 부탁드립니다
58,Granny, 업데이트 해서 너무 재미있어요!!!! 별은 더 드리고 싶은데 별 재한 때문에..........
59,Granny, 너무나 재미있네요 그런대 친구하고 하는 모드만 있으면 좋겠어요
60,Granny, 저도 이걸 하려고 하는데 했는데 너무 무서워서 게임을 지울려고요
61,Granny, 연습모드가 나와서 할머니 집은 더 탐험할 수 있네요 감사합니다
62,Granny, Great job this is a good game very good but I found the bug and please create the multiplayer okay and I found a swich what is swich do?
63,Granny, 이야 제가 소문난 쫄 보라스 그래 너를 못함;;; 그래서 프렉티스모드함 최고 제작자
64,Granny, 으에엥 너무 무서워요ㅠ
65,Granny, 모바일 공포 게임의 끝판왕 그래 너는 최고의 게임입니다
66,Granny, 정말 재밌어요 근데 좀 별로에 여
67,Granny, 제작자님 오늘 업데이트 신기하네요
68,Granny, 버그가 많아서 더 재밌습니다
69,Granny, 눈꽃님! 2층 계단 위에 있는 건 양초가 아니라 드라이버에요. 석궁을 얻고 계단 위에 있는 깡통을 치시면 드라이버가 떨어져요^^제 의견에 도움 됐으면 함다~~~~~^^
70,Granny, 한번 했봐는데 너무 무서 유서 포기ㅠ TT
71,Granny, 이거 3도 업데이트됐으면 좋겠어요ᅲᅲ너무 재밌는데
72,Granny, 께 발자 님 새로운 기능 좀 만들어주세요 ㅠㅠ
73,Granny, 짜릿하긴 한데 연습모드로 하니까 깰 수 있었어요 다른 분들도 해보세요
74,Granny, 초보 분들을 위해서 석궁 키는 변기 안에 유지시켜주세요
75,Granny, Granny NullZerep 버그판 링크 가 업데이트됐으면 좋겠다 제발 좀 빨리
76,Granny, ㅗ어어오오오오려려ㅓ로뇨ㅓㅂ 녀ㅕㅕ뎌도오도오여ㅕ오늌ㅂ혀
77,Granny, 멀티 하게 해주세요 그레니도 그리고 그레니도 되게 해 주주고 3인 친 전방 할 수 있게 해요
78,Granny, 그래 네가 4층이 생기고 나서 너무 어려워요.
79,Granny, 책 아이템은 어디다 쓰는 건가요? 댓글 좀..
80,Granny, 노아 님 저장공간 부족 아니야?
81,Granny, ㅋㄱㅋㅋㅋ 진짜 좋은 게임이에요
82,Granny, 그러니 갑자기 나옴 깜놀함ㅋ
83,Granny, I have a qusetion :) On the night of the 5th mr grandmother 😣 threw mo and popped her in the face. Are yon kissing mo? Or are yon eating mo? 😨
84,Granny, 거미 엔딩 좀 부탁이 요 ㅠㅠ
85,Granny, 그래 너에 치트가 되지 않았어요 어떻게 해요?
86,Granny, 연습모드로 차 엔딩 봤네요! 감사합니다
87,Granny, 문 있는 거랑 없는 거로 너무 짜증 나요 적당히 할 거예요 적당히 하면 알려 주세요 알려 드려 너무 덥당이에요
88,Granny, 그래 너는 유튜브 김왼팔 공략 보면 깔끔하게 깰 수 있습니다.
89,Granny, 착장 뒤에 고간 있는 거 같아요!
90,Granny, 처음에는 진짜 재미없었는데 가면 갈수록 개꿀 잼 ㅋㅋ 하드모드 깨고 있어요
91,Granny, 그래 네가 너무 맛있군요
92,Granny, 그러니ㅜ모드 만들어주세요
93,Granny, 난 텍스처 팩이라서 개 좋음 ㅋㅋㅋㅋ
94,Granny," I like everything about Granny, but I feel like a spider. And should rack and system not work well? Anyway, please."
95,Granny, 무조건 부조건 까세요 진심 꿀 잼 ㅋㅋㅋㅋㅋ
96,Granny, 이게임그래도재밌네요ㅎㅎ
97,Granny, 공포대박.ㄷㄷ
98,Granny, 우와~~너무 무서워요... (노래가 무서움)
99,Granny, 핸드폰에도 점프 모드 좀..
100,Granny, ㄹㅇ로다가 ᄅᄋ 재미있음.
101,Granny, 정말 재미있네요 ㅎ
102,Granny, 제가 공포를 좋아하는데 이거 저 안테 딱 맞는 거 같아요👍👍
103,Granny, 에이케이도만들어주세욬ㅋㅋㅋㅋㅋ
104,Granny, 연습모드만 쉽네요
105,Granny, 할망구 농락이 재밌네요
106,Granny, 4층이 추가됐네요♥️
107,Granny, 너무 재밌어요! 업데이트 게 속되니 더 어러워져요!
108,Granny, 4층이 있으니까 거미도 있는데 5층도 추가해 주시고 에스컬레이터 탈 수 있는 모드 추가해주세요
109,Granny, Good granny game is easy mood good
110,Granny, 재미있고 공포에 개임♡
111,Granny, Before update floor 4 it was not lagging but now is so lagging
112,Granny, 그래 너는 배그보다 갓 게임입니다
113,Granny, 존싀나게무서워요우^^ㅠㅠ
114,Granny, 무섭기도 하구 다음에는 다른 모드 해주세요
115,Granny, 공포여서 무섭기도 하지만 중독성도 있고 좋아요 업데이트 많이 해주세요~
116,Granny, 무섭지만 재미있는 것 같아요 그리고 꿈에 나올까 봐 무서워요
117,Granny, 이거를 친구랑 같이 플레이할 수 있게 바뀌면 좋을 거 같아요 모바일로요!
118,Granny, 드디어 다크 모드 하드모드를 클리어했습니다. Nice DarRer+Hard clear !! Good games
119,Granny, 그레니를 진짜 죽일 수 있게 해주세요
120,Granny, 제작자님 게임 너무 잘 만드셨고 업데이트까지 많이 기다렸습니다 정말 감사합니다
121,Granny, 재미있어요 김 왼팔이 해서
122,Granny, 꿀 잼인데 멀티플레이 모드를 만들어 주세요
123,Granny, 정말 실감 나고 공포라서 즐거운 게임을 즐기면 좋다
124,Granny, 옛날엔 했는데 오늘 다시 깔아보니 업데이트도 돼있고 해서 다시 깔게 됐어요
125,Granny, 퍼스트 모드 나고 그레니 가 없는 모드니까 한번 해보세요
126,Granny, 그래 네 딸 엔딩도 있었으면 좋겠어요
127,Granny, 무서운데 재미있어요 ㅎㅎ
128,Granny, this is a good game! up date good job.
129,Granny, 고수여서 쉽네요
130,Granny, 겁나 무섭고 약간 깜놀
131,Granny, 그레니 가족이 다 나오는 게임도 만들어주세요
132,Granny, 왼팔님 사랑해욥!
133,Granny, Pc 판나와서 바로 지움ㅋ (스팀에서 10500원)
134,Granny, I cleared the extreme mode easily so please get harder extreme mode
135,Granny, 랩이 좀 많이 걸리고 버그가 너무 많이 걸러요
136,Granny, 같이할 수 있는 게임 이면 좋겠네요
137,Granny, this gane is good job please make B3 and mutley player
138,Granny, 멀티플레이어로 해서 같이하면 좋겠습니다
139,Granny," That really jemisseo! But Doha, and better with online friends, to sipsseo!"
140,Granny," For the next updata, l'd like to add a mod for myself"
141,Granny, 진짜 재밌음
142,Granny, ㅈ디ㅣ사깃ㄴㅂᆞㅂㄱㅅㅈㅂㄱㅂ나넛.ㄱ.ㄴㅂㅇㄷㅈㄱ싴.ㄷㅂㅣㄷㅈᆞ딕ㄷㄴㅅᆞ
143,Granny, 진짜 재밌어요! 강추해요♡ 제작자님 이렇게 죠 은 게임 만들어주셔서 감사함다---☆
144,Granny, 왼팔님 있는데 한국 1위 왼팔 님!
145,Granny, 와 연습모드 때문에 한다 그리고 차로 탈출하는 거 있어서 더 좋음
146,Granny, 난 인간이 아니다 I am momo
147,Granny, 왜 버그가 안돼요?
148,Granny, 이거 어떻게 깸 깨는 분 게 임신
149,Granny, 재밌는데요 그리고 또 연습모드는 할머니가 업는 건가요???
150,Granny, 이 게임 진짜 재미있는데 업데이트하기 전이 더 좋은데 어떻게 할 수 없나요?
151,Granny, 멀티플레이할 수 있게 해주세요
152,Granny, 캐릭터 볼 수 있게 헤자 세용
153,Granny, 제작자님 치트 어떻게 쓰지
154,Granny, 내디 금 모드가 생기지 않았습니다
155,Granny, 업데이트가 안돼요.ㅠㅠㅠㅠ
156,Granny, 재밌어요.(전에 댓글은 제가 적은 게 아니에요) 업데이트 많이 해주세요
157,Granny, 재미ㅠㅠ 있어요
158,Granny, 아ㅋㅋㅋ 너무 무서움
159,Granny, 언제 18세됬디야..쨋든 스팀으로도 만들어주셔서 감사합니다
160,Granny, 이 게임은 할만함
161,Granny, Granny is fantastic game!!! this game is really funny!
162,Granny, 언젠간 그레니 멀티게임이 생겼으면 좋겠어요 운영자님
163,Granny, 이 게임 다 좋은데 멀티만 있으면 더 좋을 거 같아요
164,Granny, 와파 안 쓰고도 재미있게 할 수 있는 혁신적인 게임이네요 즐겜하고 있어요
165,Granny, 한 마디로 재밌어요
166,Granny, 다음 업데이트 기대하겠습니다 앞으로도 힘내세요
167,Granny, 여자 축구 국가대표팀이
168,Granny, 공포 게임 중 최고!! !!
169,Granny, practise 모드는 할머니가 안 나오는 건가요?
170,Granny, I wanna play other ending. creepy game. 😚
171,Granny, 재미있고 무서워요
172,Granny, 조금 무섭긴 한데 재미있어요
173,Granny, 멀티 좀 만들어 주세요.
174,Granny, 핼러윈 업데이트해 주세요!
175,Granny, 개임이 정말 최고예요 맵도 최고예요 DVI OPER 감사합니다.
176,Granny, 가족 마나 면 좋겠어요!
177,Granny, 무섭지도 않고 꿀 잼!
178,Granny, 할머니가 못생겼어요
179,Granny, 무서우면서 재밌어가지고 좋아요!!
180,Granny," I like your new update stuffs and ""new"" mode anyway I enjoyed it."
181,Granny, 아주 짱!
182,Granny, Hi! Im korean! Granny is good!!!! Thank you DVloper!!
183,Granny, 재밎당~!ㅎㅎ
184,Granny, 완전 재미있어요. 별점을×999999999999999999999999999999999999개 드리고 싶네요
185,Granny, 연습모드도 있어서 또 이지 모드 껬네요^^
186,Granny, 되게 재미있네요
187,Granny, 너무너무 실감 나고 재미있어요
188,Granny, 익스트림 게 어려움
189,Granny, 지나님 석궁으로 맞춰 떨어 트림이데요
190,Granny, 핼딩북숙베놔버
191,Granny, 대박 버그 발견 옷장에서 이러서다 앉자 다 하면 버그 됨
192,Granny, 치트어터게섰요
193,Granny, 저 차트사 주세요
194,Granny, 별로 무섭진 않아요
195,Granny, 무서우기도 하고 재미있기도 해요
196,Granny, 그래니발써14번탈출~!!
197,Granny, 그러니 모바일 PC버전으로 업데이트하고 싶어요.
198,Granny, Please add the muity mod
199,Granny, 헤 엣 겁나 재밌음
200,Granny, 너 너무 호들갑
201,Granny, 넘나 무섭네요
202,Granny, 그래 너 업데이트하기 전에 쉬웠는데 업데이트하니 개 어렵네요....
203,Granny, 무서워서 재밌음
204,Granny, 말할 게 없을 정도로 재미있음
205,Granny, 버그 하는 것이 잘 안돼 내요 ㆍ
206,Granny, 책은 어떻게 해요?
207,Granny, 재미는 디 다른 것도 더 주가해줘
208,Granny, 5000만!
209,Granny, 텍스처 펙좀 바꿔주세요.
210,Granny, 이 게임 너무 재밌어요.
211,Granny, 재미있는데 모드는 어떻게 해요?
212,Granny, very good game~
213,Granny, 이 세임 치트 어딨어요? 유튜브에 치트있ㄴ데?
214,Granny, 어렵네요 ㅎㅎ
215,Granny, Good game!
216,Granny, 님들 모드 어떻게 깔아요?
217,Granny, 너무 무섭고 재미있네요
218,Granny, 무섭긴 해도 재미있어요
219,Granny, 무섭긴 하지만 재미있어요
220,Granny, 아기 모드 짱!!!!!!!
221,Granny, 너무 좋아요 그런데 한국판도 해주세요
222,Granny, When this game update?
223,Granny, 제작자님 멀티도 만들어주세요 제발요 제발
224,Granny, 이 게임이 테스터 서버가 있어서 정말 좋아요
225,Granny, 다음 업데이트는 5층이 나오면 좋겠어요
226,Granny, 그러니 4층 생기니까 더 어렵다
227,Granny, 다음엔 5층과 새로운 무기를 주세요
228,Granny, 그러니 꿀쨈
229,Granny, 아빠 언제 와
230,Granny, I want online
231,Granny, 너 무 재밌어요! 얻이 데이트가 돼서 너무너무 재밌어요
232,Granny, 거미 어떻게 보는 건가요?
233,Granny, 이제 버그 안됨
234,Granny, 넘나 젬 꿀젬
235,Granny, 꿀 잼 무섭지만
236,Granny, Plz make multiplayer
237,Granny, 무섭지만 재미있어요.
238,Granny, 너무 잼 있네요
239,Granny, 그래픽에 놀랐다
240,Granny, 할머니 개 무섭
241,Granny, 넘나 재밌습니다
242,Granny, Plz multi play
243,Granny, 너무 최고예요
244,Granny, 이거 연습용 나왔어 기분이 좋아요 그러니 있이 못해는데★★★★★드려서요
245,Granny, 너무 무서워요.
246,Granny, GOOD!!!
247,Granny, 재밌어요!!!!
248,Granny, 저는지 그 익스트림으로 하는데 어렵네요
249,Granny, 새벽에 불 끄고 게임하면 무서움
250,Granny, 멀티플레이가 생기면 재밌을 거 같군요
251,Granny, 제가 한 게임 중에 젤 재미있습니다
252,Granny, 전 granny is don't Houes 모드가 좋아요. ※ granny is don't Houes=연습 모드. ※
253,Granny, It's a fun game! But it's so hard and scary...
254,Granny, 안녕하세요 반갑습니다 즐거운 시간 보내고 계시나요
255,Granny, 재미있어요♡♡
256,Granny, 12세에서 갑자기?
257,Granny, 정말 재미있네요.
258,Granny," 그러니 너무 재밌고, 익스트림 모드 너무 쉬움"
259,Granny, 재미있다!!~~^!^
260,Granny, 무섭고 어려워요.
261,Granny, 어서.... 업데이트 어서... 어서요 어서.... 현기증 나;;
262,Granny, 게임을 너무 잘 만드셯어요♡
263,Granny, 5층까지 생길까?
264,Granny, 컴퓨터로 하든 폰으로 하든 짱!
265,Granny, 4층 업데이트되어서 정말 좋음
266,Granny, 게임 세상 스튜디오 구독과 좋아요
267,Granny, 5층 제발해주고 슈퍼모드
268,Granny, 연습을 미리 할 수 있어서 좋아요
269,Granny, 최고네요! 너무 재미있는 것 같아요!
270,Granny, 나중에는 열쇠 많이 꽂아서 5층쯤에 옥상에서 사다리 구해서 탈출하는 거도 만들어 주세요😁😁😁😁😁😁😁😁😁😁😁😁
271,Granny, 레알 꿀 잼 업데이트 더해주면 좋겠다. 업데이트하라!!!
272,Granny, Nullzerep 있으면 좋겠어요
273,Granny, 무섭고 재미있어요
274,Granny, 온 전대 박게 꿀 군데 3층 다리가..
275,Granny, 다 좋긴 한데... 어떻게 깨요?
276,Granny, 재미있어요
277,Granny, 넘꿀잼
278,Granny, 개꿀 잼
279,Granny, 꾸르잼
280,Granny, 제 있어
281,Granny, 재미있어요 쫄깃쫄깃하게 하는 느낌이에요~^^
282,Granny, 아주 재미있지만 어렵네요
283,Granny, 이 게임은 세계 최고
284,Granny, 무섭지만 재미있는 게임이에요
285,Granny, 스팀 나온 거 축하드려요
286,Granny, Jessica whee
287,Granny, 제미 꿀젬
288,Granny, 넥
289,Granny, 개꿀 잼
290,Granny, 게 무섬
291,Granny, 무서우면서 재밌다
292,Granny, 꼭 해보세요 개꿀 잼이에요!~
293,Granny, 올 꿀 잼~
294,Granny, 멀티플레이 좀 만들어 주세요..............
295,Granny, 좀 잘해라
296,Granny, 무서워
297,Granny, 재미없습니다
298,Granny, 너무 재미있어요!
299,Granny, 넘나 재밌는 것!
300,Granny, 너무 재미있어요!
301,Granny, 2인 멀티플레이를 못 하는 게 아쉬워요.....
302,Granny, 세상에서 최강 게임
303,Granny, 다 좋은데 모두는 어떻게 해요?
304,Granny, 제밌억 히히힣
