,name,review
0,Happy Glass, 광고가 너무 많은 거 같아요 한판에 하나씩 나오는 게... 말이 안 돼요 그래도 재밌어서 별 5개!! 드립니다 아!! 그리고 물병 표정 좀 추가해주시면 더 좋을 것 같아요~♡ bb
1,Happy Glass," 폰은 있는데 밖이고 데이터도 없을 때나 지하철, 버스, 야외에서 기다리거나 할 거 없을 때 간단하게 할 수 있는 게임이에요"
2,Happy Glass, 단순한 킬링타임으로 시작했는데 뇌 저~안쪽을 쓰는 기분이랄까요^^ ㅋㅋ 단순한듯하면서도 뭔가 궁리하게 되네요. 다만 광고가 많은 편이라 조금 맥이 끊길 때가 많은 게 아쉽지만. 공짜 게임이니 감수합니다~^^
3,Happy Glass, 아니 생각을 좀 해봐요 데이터를 끄고 하면 되잖아요
4,Happy Glass, 아우 진짜 광고 땜에 내가 이 게임 삭제한다
5,Happy Glass, 250단계까지 갔었는데 다 초기화됐어요 다시 복구해 주면 좋겠네요
6,Happy Glass, 창의력이 솟아나는 기분임 광고가 많지만 어쩔 수 없는 부분이고 그냥 게임 자체가 굉장히 흥미롭게 재밌어서 자꾸자꾸 하게 됨
7,Happy Glass, 너무 재밌고 귀엽고 신기하고 재밌고 암튼 재밌습니다 많이 맘에 들어서 몇 번 결제도 했어요 개발자님 파이팅
8,Happy Glass, 이거 정말 재미있어요. 근데 물병 세우기 정말 어려워요. 이거 근데 물병 세우기 얼마큼 있어요?
9,Happy Glass,
10,Happy Glass, 재밌어요 다음 레벨 언제 뜨나요 ㅜ하고 싶은데 할 수가 업ㅆ..
11,Happy Glass, 재밌어요 안 끝나기를 바라면서 하는 중
12,Happy Glass, 이 게임 짜증도 나지만 재밌어요!
13,Happy Glass, 광고가 좀 많긴 함 그래도 할만함
14,Happy Glass, 공부도 되고 좋았음
15,Happy Glass, 이 게임 은 재밌어요! 그리고 아빠랑 해요.
16,Happy Glass, 친구들과 할 수 있도록 해주시면 돼요!
17,Happy Glass, 좋은데.. 광고가 좀 많고.. 색깔 추가 좀 해주세요..
18,Happy Glass, 조항요 재밌어ᅭ 시간보내기ㅜㅣ 딱이네요
19,Happy Glass, 그냥 재미 있어온
20,Happy Glass, 개잼 도전 더 주세요
21,Happy Glass, 꿀 잼^^ 계속하게 됨ㅋㅋ
22,Happy Glass, 표정 좀 많이 해주셨으면 더 재밌을 것 같습니다~>o<~!!
23,Happy Glass, 정말로 재미있게 플레이하고 있어요.
24,Happy Glass," 렉 걸린다는 놈들아, 니폰 이 쓰레기임"
25,Happy Glass, 열받지만 재미나요. 잘 만들었습니다.
26,Happy Glass, 재밌어요 시간 가는 줄 모르겠어요
27,Happy Glass, 1860판까지 깼는데 다음 업데이트가 없네요... 지울까요? 기다릴까요?
28,Happy Glass, 이 게임을 하다 보면 머리가 좋아지는 것 같아요!
29,Happy Glass, 야생의 창의력을 폭발시켜 잡는다 아아아아아 아바 아아 알아!!!!
30,Happy Glass, 시간 가는 줄 몰라요
31,Happy Glass, 수분 섭취 권장 게임
32,Happy Glass, 나플라 투팍
33,Happy Glass, 이거 사기 있음ㅋㅋㅋㅋㅋ
34,Happy Glass, 정말 재밌어요!
35,Happy Glass, 재밌어요 ᄒᄒ
36,Happy Glass, 참 좋은 게임이에요
37,Happy Glass, 재미있고 창의적이네요
38,Happy Glass, simple but unbelievably fun. can't stop playing it haha.
39,Happy Glass, 창의적이고 재미있음
40,Happy Glass, 시간 때우기 좋음
41,Happy Glass, 시간 때우기 좋아요
42,Happy Glass, 개꿀 잼이구먼
43,Happy Glass, 너무 좋아요
44,Happy Glass, 머리를 많이 쓰는 게 마음에 들어요
45,Happy Glass, 너무 어려워서 좋아요😃
46,Happy Glass, 광고 좀 제발... 그만..
47,Happy Glass, 광고가 많아요.
48,Happy Glass, 재미있는 게임이에요
49,Happy Glass, 굿 게임 갓겜
50,Happy Glass, 재미나네요
51,Happy Glass, 개꿀 잼
52,Happy Glass, 너무 재미있어요 감사합니다
53,Happy Glass, 재미있지만 속 터지네요
54,Happy Glass, 재밌떠영
55,Happy Glass, 재미나요
56,Happy Glass, 걍그럼
57,Happy Glass, 너무 꿀 잼
58,Happy Glass, good game
59,Happy Glass, Why there is no white color? ♥
60,Happy Glass, 대졸 잼
61,Happy Glass, 재미나요
62,Happy Glass, 아주 재미있는 게임이 내요♡
63,Happy Glass, 안녕 안녕하세요 ㅋㅋ ㅋㅋ ㅋㅋ
64,Happy Glass, 광고 좀
65,Happy Glass, 재밌네요
66,Happy Glass, 꿀젬
67,Happy Glass, 심심풀이로 아주 좋네요
68,Happy Glass, 시간 때우가 좋아요
69,Happy Glass, 재미있는 이야기
70,Happy Glass, 뇌가 운동되는 느낌이에요^~^강추!!!
71,Happy Glass, 너무 많이 좋아요.
72,Happy Glass, 재밌었어요!!
73,Happy Glass, Good
74,Happy Glass, Good
75,Happy Glass, 나 잼
76,Happy Glass, 짱잼
77,Happy Glass, 정말 좋아요
78,Happy Glass, 잼 굿
79,Happy Glass, 꿀 잼
80,Happy Glass, 꿀 잼
81,Happy Glass, 최고임^^~~
82,Happy Glass, 좋아요.
83,Happy Glass, 엄청 재미 써요..
84,Happy Glass, 😀😀
85,Happy Glass, 굳
