,name,review
0,Helix Jump, ﻿제가 해 본 카카오 게임 중에 최고입니다 댓글 중에 게임 로딩 시간 고치라 이런 거 있는데 원래 2537인에서 게임하면 기다려야 하는 게 정상 아닌가요?? 핸드폰 기종마다 속도가 다른 건 당연한 건데.. 그리고 현질 안 하고도 업적 달성을 해서 충분히 좋은 차랑 캐릭터를 얻을 수 있는 거 같아요 ^^
1,Helix Jump," '헬릭스 점프'는 친구가 하게 되어서 알게 되었는데요, 예상보다 재미있더라고요. 바깥에서 할 일이 없을 때는 언제나 휴대전화를 잡고, 이 게임을 키게 되는 것 같아요. 정말 재미있기는 한데, 광고가 너무 많이 나와서 집에서 헬릭스 점프를 할 때도 언제나 와이파이를 끄게 되네요... 뭐 그것도 장점이라면 장점 같아요. 재미있는 게임 만들어주셔서 감사합니다!"
2,Helix Jump," 이거 진짜 갓겜 입니닷! 여러분 제가 광고 안 나오게 하는 꿀팁 알려드릴까요? 이거는 와파를 끄고 해도 실행은 되는 게임입니다. 그러니 와파를 끄고 하면, 게임은 실행되지만, 실시간으로 뜨게 되는 광고는 와파가 없으니 안 뜹니다. 게임 실행 중이시라면, 와파를 끄고, 처음부터 다시 시작하시면 됩니다! 유용하게 이용하세요ᄒ"
3,Helix Jump, 광고 많이 나오신다는 분들 와이파이 끄세요. 그런데도 나오면 데이터를 킨 거예요. 이 게임 갓 게임입니다. 뭐 와파 끄면 부활이 없긴 하지만... 어쨌든 갓겜은 갓 게임입니다. 근데 가끔 버벅거리는 렉이 있더라고요. 그런 것만 조금 수정해주시면 되겠습니다
4,Helix Jump, 광고 이겨내는 꿀팁! 1 집에 와이파이 터지죠? 근데 왓 바를 잠깐 끄세요 2데이터도 꺼주세요 ㅎㅎ 3게임을 하면서 한... 2~3번 정도? 하다가 죽으면 와이파이를 키세요 4그러면 광고가 안 나와요((하나도 팁! 단 살아나는 광고는 나와요 5 제가 발견한 꾸러 팁입니다 6 재밌는 플레이하세요!!
5,Helix Jump, 해보니 광고 정말 많이 나오네요 게임하는 건지 광고 보는 건지 .. ㅎㅎㅎ 지금 바로 삭제해요 이게 뭔 시간 낭비야 ㅋ 여러분 이거 진짜 깔지 마세요 게임 두 번에 광고 한번 나와요 ;;;
6,Helix Jump," 너무 재미있어요. 근데 한가지 광고가 너무 많고요, 또 하나 제가 200레벨이었는데 한순간 게임을 켜보니 1레벨로 돼있고 아니겠어요?!! 그것 좀 복구해주세요! 그리고 광고도 조금 줄여주세요"
7,Helix Jump, 아니 광고 좀 어떻게 해달라고요!! 제가 어려운 부탁하나요? 평가글 보기나 하세요? 진짜 답 없네 게임을 잘 만들었는데 광고 좀 주리던가 없애 주던가 하라고요!! 욕 나오게 진짜!! 마지막 부탁입니다!
8,Helix Jump, 재미있긴 한데 광고가 너무 많이 나와서 힘들고 짜증이 .... 하... 그리고 플레이 중에 광고 가 나와 진행을 못하고 있습니다. 그래서 말인데 광고를 줄려주시면 감사하겠습니다.
9,Helix Jump, 너무너무 재밌게 플레이하고 있습니다!!💜💜💜그리고 광고에 불만 있는 분들은 와이파이 끄고 하시면 아무리 죽어도 광고가 나타나지 않아요~물론 2번째 기횐 못하지만;^^
10,Helix Jump," 진짜 재미있고, 특히 할 거 없을 때 딱 틀어서 하면 진짜 굿!👍 또 100단계 넘으면 핵인싸되요ㅋㅋ"
11,Helix Jump, 정말 재미있어요 오. 깔려고 고민하시는 분들 꼭 까세요! ㅎㅎ제가초보라그런데..몇단겨까지있나요??
12,Helix Jump," 이거는 처음으로 해봤는데요! 너무너무 재미있는 거였는 거예요!! 저는 처음에 재미없는 줄 알고 안 시켰는데 ""와! 내가. 안 시킨 것이 왜 이렇게 재미있어??""했어요 여러분들도 시켜봐요 짱!"
13,Helix Jump, 정말 재미있습니다. 그런데 깰 때마다 광고가 나오는데 그것도 제가 끌려 하니까 안 꺼지고 그 광고가 끝나니까 끌 수 있더라고요.. 광고 좀 없애주세요!
14,Helix Jump, 재밌긴 한데... 광고가 너무 많음... 광고 없애면 1위 하고 대박 날 듯... 광고가 많아서 이 게임 지운 애들 내 친구들 중에서 한 32명 정도.. 광고 없애 주세요~
15,Helix Jump, 엄청 재밌고 제 최애 게임이에 오! 그리고 광고 좀 없애 주요 이것 빼곤 다 좋아요! Helix Jump Love ♡
16,Helix Jump," 갓 게임이네요★ 그리고 광고가 많으면 와파나 데이터 끄면 되고, 렉은 자기 폰이 나쁜 거 아닌가요? 어쨌든 저는 잘 하고 있습니다^^"
17,Helix Jump, 다 좋은데 광고가 너무 많이 나와요!!! 게임 2판 하면 광고가 떠요!! 광고 좀 안 뜨게는 안되죠?? 진짜 게임하는 시간보다 광고 보는 시간이 더 많은 것 같아요~~~~
18,Helix Jump," 저는 이 게임 거의 1년이 다 갈 때까지 이 게임 단골인 플레이어입니다. 이 게임을 여러 번 해본 이상 이 게임은 조금 광고가 많고, 렉이 심하게 걸릴 때도 있습니다. 하지만, 그것만 빼면 아주 재미있고, 인기 많은 게임이 될 수 있겠네요~이 게임 열심히 만들어주신 제작자님 정말 감사합니다~^^♥"
19,Helix Jump," 음.... 일단은 너무 랙이🖒🖒🖒🖒🖒고요. 광고 조금만 주려주셨으면 합니다. 그리고 이 게임 재미있어요~~!! 이 게임 정말 올려주 시 분 게임 프로그래머님 진심으로 감사하고요. 앞으로도 재미있는 게임 많이 올려주세요!!!! 다음 게임 제목은 나는 나는 물고기라고 해주세요. 자기 자신이 물고기를 분양받아 갔고 가고 있었는데 번개 맜아서물고기가 사람이 되고, 내가 물고기 가 되어서 물고기는 나와 잘 통해서 내가 몸짓을 할 수 있다고 치고 사랑을 100까지 사랑을 받는 것 물고기와 산책하면 2 주고 빙고 3개 하면 5개 주고 이런 식으로 해주세요. 그럼🖑🖑🖑"
20,Helix Jump, 내 친구들이 하길래... 저게 머가 재미있어 하면서 그냥 친구 폰으로 한번 했는데... 너무 재미있는 거야.. 그래서 깔았소 쭉~~ 하다가... 배 그가 너무 하고 싶은 거야! 그래서 이거 지우고 배그를 깔았는데 계속 생각나. 그래서 배그 포기하고 이거 깔아서 4일 만에 46단계다! 내가 원래 게임을 못해서 이 정도면 완전 대박이라고 샹각해..ㅎㅎ 4일 만에 46단계라니..ㅎㅎㅎㅎ 다들 한번쯔무햐볼만헌 게임이야!!
21,Helix Jump, 진짜 강추입니다~!!!!😄♥ 근데 광고 만 좀 줄여주세요ㅠㅠ 죽었을 때 계속 광고 나와서 짜증나요ㅠㅠ
22,Helix Jump," 여러분이 광고가 많이 나온다고 하시는데 43? 45? 단계 정도서부터 광고가 나오지 않습니다!! 전 이게 정말 정말 재미있다고 생각합니다!! 하지만 아까운 건 렉이 좀 심하더라고요.. 와 파에 연결을 했는데도 공의 움직임이 불안하고, 돌렸는데도 가만히 있어 어쩔 수가 없고... 이런 것만 고쳐주시면 진짜 재미있을 곳 같습니다!!"
23,Helix Jump, 광고 봐도 죽는 건 좋아졌어요>< 근데 와이파이를 키고 즐기다 보면 화질이 이상해지고 광고도 많이 나오더라고요. 근데 재밌으니 참을 수 있어요! 대신 부활은 못하지만요.. 그래도 함 깔아보세요 진짜 재밌고 후회 안 할걸요?
