,name,review
0,Hill Climb Racing 2, 이 게임 1년 만인데도 아직 옛날과 똑같네요 ㅎㅎ
1,Hill Climb Racing 2, 진짜 재미있고 꿀만 잠 대박 재미 훌 륭하다
2,Hill Climb Racing 2, 3 있으면 좋겠어요.
3,Hill Climb Racing 2, 재미있게 즐기고 있습니다 ^^
4,Hill Climb Racing 2, Mens and
5,Hill Climb Racing 2, Good
6,Hill Climb Racing 2, 최고
7,Hill Climb Racing 2, 처음 시작차 지프로 끝까지 클리어 가능해서 다른 차를 안 사게 되네요 차량 밸런스 조절 좀
8,Hill Climb Racing 2, 음 오토바이 속도 좀 줄여주시면 좋을 것 같아요
9,Hill Climb Racing 2, 이거 진짜 최악은 아니고 꿀 잼 진짜 꿀 꿀 잼
10,Hill Climb Racing 2, 정말로 재밌게 하고 있는데 빨리덤프자동차같고싶어요ㅠㅠ
11,Hill Climb Racing 2, 곡 ㅈ ㅐ ㅜ ㅁ ㄹ
12,Hill Climb Racing 2, 재밌음 개꾸르 이득 이득 이득
13,Hill Climb Racing 2, It's very fun! I like this game.
14,Hill Climb Racing 2, 희기 품이 잘 나오네요
15,Hill Climb Racing 2, GOOD GAME
16,Hill Climb Racing 2, 재미있게 봐주세요 감사합니다
17,Hill Climb Racing 2, 시간 죽이기 최고
18,Hill Climb Racing 2, 나 잼
19,Hill Climb Racing 2, Good
20,Hill Climb Racing 2, 최고
21,Hill Climb Racing 2, 기기변경을 하면 처음부터 다시 해야 하나요? 난감하네요!
22,Hill Climb Racing 2, 정말 재밌음. 많은 게임을 해왔자만 이 게임을 가장 오랫동안 지금도 하는 중
23,Hill Climb Racing 2, 이거 달 착륙선 어떻게 사요 다른 건 다 꿀 재인데 달 착륙선 사는 게 문제예요
24,Hill Climb Racing 2," 재밌어요, 근데 길에 돈 좀 많이 깔아주세요"
25,Hill Climb Racing 2, 오? 생각보다 꿀잼인데ㅋㅋ
26,Hill Climb Racing 2, 게임이 광고가 많지가 않아요 꿀 잼이에요
27,Hill Climb Racing 2, 버스가 부셔 저서 재밌어요 그러니까 버스 더 큰 것도 만들어주세요
28,Hill Climb Racing 2, 돈이 별로 없어요
29,Hill Climb Racing 2, 꿀 잼!
30,Hill Climb Racing 2, 1시리즈에 이어 2도 굿임다
31,Hill Climb Racing 2, good!!!!!
32,Hill Climb Racing 2, 중독성이 심함 주의 요망
33,Hill Climb Racing 2, 재미있는 게임ㅋㅋㅋ
34,Hill Climb Racing 2, 재밌네요
35,Hill Climb Racing 2, 재미나요
36,Hill Climb Racing 2, 재미나요
37,Hill Climb Racing 2, 재미나요
38,Hill Climb Racing 2, 광고 무료 버전은 구매 못하나요?
39,Hill Climb Racing 2, 재밌네요
40,Hill Climb Racing 2, It's really fun
41,Hill Climb Racing 2, 대박 재미있다
42,Hill Climb Racing 2, 꿀 잼
43,Hill Climb Racing 2, Good
44,Hill Climb Racing 2, 재미있게 하네요
45,Hill Climb Racing 2, 좋아요
46,Hill Climb Racing 2, 좋아요
47,Hill Climb Racing 2, 최고
48,Hill Climb Racing 2, 좋아요
49,Hill Climb Racing 2, 굿
50,Hill Climb Racing 2, 서지원 박경택
51,Hill Climb Racing 2, 너무 재미는 데요
52,Hill Climb Racing 2, 빠져드는 매력
53,Hill Climb Racing 2, 좋아요
54,Hill Climb Racing 2, 안녕
55,Hill Climb Racing 2, 재밌음
56,Hill Climb Racing 2, 굿 게임
57,Hill Climb Racing 2, 내 인생 게임 ♡♡♡♡
58,Hill Climb Racing 2, 최고
