,name,review
0,Hill Climb Racing, 꾸준한 업데이트 감사합니다. 차에 브레이크 등이 들어왔으면 좋을 거 같고 차량의 속도도 알 수 있었으면 좋겠습니다. 그리고 차량마다 계기판의 디자인도 달랐으면 좋겠습니다. 그런 디자인에 좀 더 신경 써주시면 좋겠습니다!!!
1,Hill Climb Racing, 에 빨간 비행기 같은 차로 달리니깐 나무 잘 깨지네요. 근데 너무 어려워요. 나무가 잘 깨졌으면 해요.
2,Hill Climb Racing, 악플러들아 너네가 못한다고는 생각 안 하니?
3,Hill Climb Racing, 저도 예전에 이 게임 일했는데 재미있었어요.
4,Hill Climb Racing, 오랜 기간 동안 사랑받은 이유가 있습니다 간단히 즐기기에도 재밌네요
5,Hill Climb Racing, 오랜만에 해서 재미있네요ㅡ
6,Hill Climb Racing, 중독성 있게 재미있습니다
7,Hill Climb Racing, 중독성 있고 재밌네요
8,Hill Climb Racing, 한 마디로 갓겜
9,Hill Climb Racing, 재밌네
10,Hill Climb Racing, 게임 굿이에요.👍
11,Hill Climb Racing, Good
12,Hill Climb Racing, 굿 게임^^
13,Hill Climb Racing, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ👆
14,Hill Climb Racing, 👍👍
15,Hill Climb Racing, 😊
16,Hill Climb Racing, 굿굿 꿀 잼
17,Hill Climb Racing, 굿
18,Hill Climb Racing, 좋아요
19,Hill Climb Racing, 굿
20,Hill Climb Racing, ♡♡♡♡♡♡♡
21,Hill Climb Racing, 이거 버그 몬스터 트럭 만렙 하고 우주 가면 1판에 10만 유언 벌수 있음
22,Hill Climb Racing, 와 아악 데이터 다 날아갔네 다시 키워야지 키우는 건 쉬우니까
23,Hill Climb Racing, 흠잡을 거 없이 재밌어요 근데 한국어로 바꾸는 거 하나 만들어 주시면 완벽한 게임입니다
24,Hill Climb Racing, 튕기면 님들 폰이 안 좋은 거임
25,Hill Climb Racing, 결제 후 튕김 현상으로 아무것도 못하고 있습니다. 답변 부틱합니다
26,Hill Climb Racing, 밌긴한데 매우 어렵네
27,Hill Climb Racing, 이거 꿀 잼임!!!!!!
28,Hill Climb Racing, Wow!!
29,Hill Climb Racing, 모든 자동차 게임의 대명사 Hill Climb Racing
30,Hill Climb Racing, 정말 저 말 꿀 잼
31,Hill Climb Racing, good job
32,Hill Climb Racing, 굳!!!
33,Hill Climb Racing, 나이 뜨
34,Hill Climb Racing, 재미남~
35,Hill Climb Racing, 재밌음
36,Hill Climb Racing, 굳
37,Hill Climb Racing, 굿
38,Hill Climb Racing, 굿
39,Hill Climb Racing, 굿
40,Hill Climb Racing, 굿
41,Hill Climb Racing, 굿
42,Hill Climb Racing, 흥미 하네 음.....................
43,Hill Climb Racing, 결제하면 오류 있습니다 차고지 계속 튕기네요 이 글 보시고 절대로 현지하지 마세요 아직 안 고쳐졌습니다
44,Hill Climb Racing, 이거 오토바이 사고 달에서 막노동하면 1500 000빨리 벌림
