,name,review
0,Hole.io, 진짜 재미있어요! 그런데 맵을 선택할 수 있으면 좋겠네요 ㅎㅎ
1,Hole.io, 심심할 때 좋아요 만렙 찍었네요 맵 많이 있으면 좋겠어요 그리고 맵 선택 가능하게 해주실 수 있나요?
2,Hole.io, 앱 터치가 안 되네요 어떻게 처리 좀 부탁드립니다
3,Hole.io," 왕!중독되면서,재밌어져!ㅎㅎ재작자 짱!!"
4,Hole.io, 넘나 재밌어요!!!!!><
5,Hole.io, 👍굿
6,Hole.io, 광고가 많이 안 나와서 좋네요!!
7,Hole.io, God game
8,Hole.io, 너무 재미있다
9,Hole.io, 정작 좋아요
10,Hole.io, 재밌음 추천 ^^
11,Hole.io, 굿
12,Hole.io, 게임은 상당히 재미있고 심심할 때 하기 딱 좋아요! 그 메인화면에서 자동차나 사람은 다 움직이고 정상인데 터치가 안 먹히신다는 분들 혹시 블루 라이트 차단? 이런 거 해놓으셨으면 터치 안 먹혀요. 그거 끄고 다시 시도해보세요! 그러면 다들 즐겜하세요!
13,Hole.io, 왠지 모르겠지만... 갑작스럽게 메인화면에서 아무것도 터치는 안되는데 캐릭터나 자동차들은 움직이네요! 근데 아무것도 터치가... 안됩니다..... 고쳐주세요ㅜㅠㅠㅠ 얼른 게임하고싶어요ㅠㅠ
14,Hole.io," 마을을 깨끗이 정리해주는 마음 같고, 또 개인전이기 때문에 꼴등하다가 1등 한 적이 많은데 1등 하면 기분도 좋고 실력도 쌓아서 좋아요 재밌는 게임이고 추천하는 게임이니깐 다들 한 번쯤은 해보셨으면 좋겠습니다"
15,Hole.io," 처음에는 좀 어려워서 지웠다 깔았다 계속했는데, 며칠 하다 보니 익숙해져서 거의 일등 다 해요. 이거 진짜 재미있어요. 한번 깔아보세요"
16,Hole.io," 정말 재밌어서 눈물이 날 것 같고 게임 컨트롤이 잘 되고, 짱짱!! 엄청 재밌어요^^♥!~ 정말 정말.. 이 게임을 만들어주셔서 감사하고, 사랑합니다♥^^"
17,Hole.io," 해변, 도시 버전 2가지가 있는데 랜덤보다는 고를 수 있게 해주셨으면 더 좋았을 듯해요"
18,Hole.io, 게임 너무 재밌어요!!! 그런데 배경? 이 2개밖에 없어서 좀 그래요 앱 좀 여러 개 만들어주세요!!
19,Hole.io, 너무 재미ㅇ어요 근데 좀 어렵네요 그래도 저는 어려운 걸 좀 좋아해서 좋네요
20,Hole.io, 아 진짜 랙 겁나심하네 내가 만들어도 이것보단 잘 만들겠다 저도 게임 만들 줄 알고요 님보다 더 잘해요. 그리고 3.2까지밖에 안 나왔는데 다른 분들이 다 출발해요 저만 늦게 출발하고요. 이딴 거 나 잼이네요. 참.. 다시 만들세요 쓰레기 게임이네 진짜
21,Hole.io," 제가 유일하게 잘하는 게임이고, 정말 재미 어요^^"
22,Hole.io, 너무 재미나고 먹는 잼도 있어 용 ㅎㅎㅎ
23,Hole.io, BIG BIG BALLER 이랑 비슷하네요 ᄒᄒ
24,Hole.io, 빠지게 되네요 ㅎㅎ 재미나요 리얼하네요 ^^
25,Hole.io, 시간 좀 늘려주세요
26,Hole.io, 저 겨 블루로 멀티 하는 거 다시 추가해주세요
27,Hole.io, 심심할 때 하는 게임
28,Hole.io, 블루투스 모드 아이폰만 있던데 갤럭시도 만들어주세요
29,Hole.io, 귀여운 스킨도 많기도 하고 좋네요
30,Hole.io, 렉이 안 걸리게 해주세요!
31,Hole.io, 재미있는 게임 ㅎㅎ
32,Hole.io, 바다만 없었으면 좋겠어요.
33,Hole.io, I love it!!
34,Hole.io, 최고에 욥!!
35,Hole.io, 중독성 장난 아님. 간단하면서 너무 재밌어요~
36,Hole.io, 킬링 타인으로 최고!!!!!
37,Hole.io, 재밌어요
38,Hole.io, 진짜 재밌어요~!
39,Hole.io, 먹는 게 세포 키우기 같아서 재미있습니다
40,Hole.io, 맵이 많고 다양했으면 좋겠다
41,Hole.io, 너무 재미있고 중독성 있는 것 같아요! ♥
42,Hole.io, 오 아 우
43,Hole.io, 재밌다
44,Hole.io, hole.io is my best game :D
45,Hole.io, BYE BYE LOL
46,Hole.io, 재밌네요^^
47,Hole.io, 재밌네요~~^^
48,Hole.io, 블루투스로 하는 멀티플레이가 없어져서 별로......
49,Hole.io, 재미있어요!
50,Hole.io, 재미 다수 보유
51,Hole.io, 잘 만들었어요
52,Hole.io, 꿀 잼
53,Hole.io, Good
54,Hole.io, Good
55,Hole.io, 재미있어요.
56,Hole.io, 최고예요
57,Hole.io, 굳
58,Hole.io, 👍👍👍😁
59,Hole.io, 좋아
60,Hole.io, 굿
61,Hole.io, 좋다
62,Hole.io, 좋음
63,Hole.io, 좋아요
64,Hole.io, 진짜 재밌어요 ♥♥♥♥♥♥
65,Hole.io," 괴혼 재밌게 했던 사람이라 이 게임도 재밌게 하고 있습니다. 광고 나오는 것은 와이파이/데이터 끊으면 해결됩니다. 인터넷 안 되는 환경에서도 즐길 수 있다는 점에서 만점을 줄 수 있는 게임이라고 생각하고요, 먼저 아이팟에서 즐기던 버전은 맵이 2개인가 더 있는데 안드 버전은 아직 1개뿐인가 보네요. 빠른 업데이트 기대합니다."
