,name,review
0,Infinite Flight - 비행 시뮬레이터," Can you add airport buildings, cities and more to Infinite Flight? I would appreciate it if you could add it"
1,Infinite Flight - 비행 시뮬레이터," Hello, can I ask for Air Pohang livery for CRJ200? It is the only plane they have in their fleet."
2,Infinite Flight - 비행 시뮬레이터, I want to add to a A350^^
3,Infinite Flight - 비행 시뮬레이터, 게임은 진짜 좋아요. 근데 제가 다운로드할 때 할인을 해서 공짜로 받고 들어갔는데 중간에 결제하는 게 또 있더군요. 그걸 무시하고 a380으로 KORD에서 EHAM으로 가는데 갑자기 화면 위쪽에 빨간 글씨가 뜨면서 갑자기 속력이 줄어들더군요. 어떻게 된 거죠?
4,Infinite Flight - 비행 시뮬레이터, 제가 세계여행 업데이트 전부터 했는데 정말 세계여행 업데이트까지 온 게 대단하신 것 같습니다. 앞으로 더 많은 기종과 도장들 그리고 전투기들 공항 여러 가지 것들을 많이 개발해주셨으면 좋겠습니다. 앞으로도 응원하겠습니다!! 감사합니다~^^
5,Infinite Flight - 비행 시뮬레이터, 인천공항 2여객 터미널 좀 추가해주세요 Please add lncheon airport (^-^)~~~
6,Infinite Flight - 비행 시뮬레이터," I really like this game to various airlines, Korean Air, Asiana Airlines, really and airplane type are. This game is really the best. But one thing I need a favor. Incheon International Airport to airports are added in Asia, please, please add - please."
7,Infinite Flight - 비행 시뮬레이터, Lol 게임을 목적으로 하지 마세요
8,Infinite Flight - 비행 시뮬레이터,
9,Infinite Flight - 비행 시뮬레이터, My favorite game! But why I need to play nother airplan for pay? I brought this game but why!!!!
10,Infinite Flight - 비행 시뮬레이터, this is very good game but please make jeju(제주) airport and gimpo 김포 airport
11,Infinite Flight - 비행 시뮬레이터, Could you add A350 aircraft including Asiana Airline?
12,Infinite Flight - 비행 시뮬레이터, I want A350-900 or 1000 can you make A350??
13,Infinite Flight - 비행 시뮬레이터, Hello~ I am korean. Thank you for make this game. This game is perfect!!
14,Infinite Flight - 비행 시뮬레이터, Please add B737 MAX
