,name,review
0,Kingdom Rush Vengeance," 묘하게 이전 시리즈보다 타격감이 약해졌어요. 뭐라고 딱 집어서 말하긴 어려운데 킹덤 러시 특유의 착 달라붙는 조작감 같은 게 덜 느껴져서 아쉽네요. 여타 타워디펜스보다 킹덤 러시가 좋았던 게 그 미묘한 조작감의 차이 때문이었는데... 생각해보면 아이언 마린도 같은 이유로 아쉬웠는데 그때쯤부터 뭔가 변했나 싶기도 하고요. 그래도 여전히 갓덤갓쉬라 재미는 있습니다. 다만 전작들이 워낙 갓갓이라 그런 거죠. 아 참, 그리고 유료 타워는 없어도 플레이에 지장이 없었습니다."
1,Kingdom Rush Vengeance, 엔딩 후 추가 보스 같은 건 없나요? 엔딩 보고 나서도 숨겨진 보스 같은 거 있으면 좋겠네요.
2,Kingdom Rush Vengeance, 최고입니다 앞으로도 많은 게임 제작 부탁드립니다
3,Kingdom Rush Vengeance, 역시 믿고 하는 아이언하이드
4,Kingdom Rush Vengeance, 너무 재미있는데 좀 어려워요
5,Kingdom Rush Vengeance, 예전 시리즈부터 재밌게 해왔습니다~ 유로 타워는 아쉽네요ㅠㅠ
6,Kingdom Rush Vengeance, Little bit miserable that premium tower has added... but still awesome as always!!!
7,Kingdom Rush Vengeance, 과금 유도가 많아진 거 말고는 괜찮습니다
8,Kingdom Rush Vengeance, 역시 킹덤 러시!
9,Kingdom Rush Vengeance, 존존잼잼잼존잼존존잼댐존잼
10,Kingdom Rush Vengeance, 역시 킹덤 러시 시리즈는 재미없는 게 없네요
11,Kingdom Rush Vengeance, 현질이 아쉽다
12,Kingdom Rush Vengeance, 믿고 하는 게임 킹덤 러시~
13,Kingdom Rush Vengeance, 아이언하이드는 항상 믿고 플레이합니다^^~
14,Kingdom Rush Vengeance, 믿고 하는 아이언하이드 :)
15,Kingdom Rush Vengeance, 짱!
16,Kingdom Rush Vengeance, I like ironhide
17,Kingdom Rush Vengeance, RPG 디펜스 게임 완전 꿀 잼
18,Kingdom Rush Vengeance, 재밌네요
19,Kingdom Rush Vengeance, 기다려온 게임 만족합니다.
20,Kingdom Rush Vengeance, 말이 필요 없음.. 최고의 귀환
21,Kingdom Rush Vengeance, Excellent!👏👏👏👏
22,Kingdom Rush Vengeance, 명불허전
23,Kingdom Rush Vengeance, 명불허전
24,Kingdom Rush Vengeance, 갓겜 갓겜 갓겜
25,Kingdom Rush Vengeance, 좋다
26,Kingdom Rush Vengeance, 과금 타워라니 좀 긴박하긴 한데... 그거보다 타워 사용 개수 제한이 플레이할 때 생각할 여지를 남겨줘서 좋네요
27,Kingdom Rush Vengeance, 약간 좀 어려워진 거 같은데..
28,Kingdom Rush Vengeance, 재미나요
29,Kingdom Rush Vengeance, 굿~~!!
30,Kingdom Rush Vengeance," 역시 믿고 하는 아이언하이드.. 전달 킹덤 러시들에 비해 좋아진 점도, 아쉬운 점(건물을 4레벨까지 올리면 바로 알 것이다)도 있었지만 재미있는 것 또한 마찬가지다!"
31,Kingdom Rush Vengeance, 확실 난이도 올라서 더 재밌어졌어요! 전 것들 너무 쉬운 면 있는데 악당인 만큼(?) 어려운 난이도여서 더 신경 쓸 부분 많아져서 게임하는 맛 나요!! 타워도 영웅처럼 바꿀 수 있는 게 갓 아이디어
32,Kingdom Rush Vengeance, 최적화 엄청 잘 돼있음 처음에 주는 아처 타워가 워낙 강력해서 현질 없어도 베테랑 별 3개도 가능. 그런데 사전예약 혜택은 없는 건가요..?
33,Kingdom Rush Vengeance," 아이언하이드 스튜디오 게임을 전부 해봄. 이번 작은 기존의 킹덤 러시의 고유한 컨트롤과 플레이를 잘 살리면서도, 반대세력의 입장에서 플레이하게 했다는 점에서 세계관의 전환을 보여줌. 매우 흥미로운 시도라고 평가되며, 플레이 역시 명불허전임."
34,Kingdom Rush Vengeance," 캐시 타워, 플레이해보고 넣은 거 맞니? 캐시 5타워 공중 공격 영 갑갑하다"
35,Kingdom Rush Vengeance," ● 장점 1. 다양해진 타워 2. 깔끔해진 인터페이스 3. 기존작의 장점을 모두 계승 ● 단점 1. 게임 내 기존 사용 가능 타워가 8개였던 것에 비해 5개로 줄어듦 2. 노말 모드 시 막힘없이 올 클리어 가능한 난이도 3. 아이언 모드 등 모드가 별을 주지 않아 유인이 부족 4. 불가능 난이도 추가됐으나 베테랑, 불가능한 도 클리어 유인이 부족, 달성 과제로 준다거나 선택 화면에 클리어 난이도별로 차별을 줄 필요가 있음 5. 아직 볼륨이 많이 부족한 느낌 6. 유료 타워 가격이 좀 비싸고 타워 간 밸런스도 안 맞아 보임"
36,Kingdom Rush Vengeance, 아니 근데 다 깨면 아무것도 없음? 전에 시리즈처럼 더 난도 높은 스테이지 나오지도 않네요
37,Kingdom Rush Vengeance," 기기 호환 문제로 영웅, 타워 번들 이중 구매 되었습니다. 먼저 구매한 내역 환불 부탁드립니다"
38,Kingdom Rush Vengeance, 역시 디펜스 게임 중 최고예요 이 게임은 절대로 잊을 수가 없어요 다음 시리즈가 그것도 살 거예요
39,Kingdom Rush Vengeance, 킹덤 러시 시리즈별로 다 하고 있는데 이번에도 역시 실망시키지 않네요! 굿굿
40,Kingdom Rush Vengeance, 믿고 사는 킹덤 러시 시리즈입니다 디펜스 게임 중에 이거보다 재밌는 거 본 적이 없어요
41,Kingdom Rush Vengeance," 유료 타워 없이도 충분히 올 3스타 가능합니다. 자신이 못하는 것을 ""유료 타워에 난이도 맞춰놨네~""하지 마시고요."
42,Kingdom Rush Vengeance, 매 시리즈마다 꾸준히 하고 있는데 타워 디펜스는 진짜 이만한 거 별로 없는 듯 돈 주고 할만한 몇 안 되는 게임
43,Kingdom Rush Vengeance, 진짜 다 좋은데 캐릭터랑 타워 유료가 너무 비싼 거 같아요 ㅠㅠ 가격만 적당하면 살 거 같은데 ㅠㅠ
44,Kingdom Rush Vengeance, 스토리 방면이나 콘텐츠 면에서도 최고입니다. 추후 콘텐츠 업데이트가 무척이나 기대됩니다
