,name,review
0,PUBG MOBILE, 제작자님 너무나 재밌고요 이거는 현질을 안 하면 할 수 없는 게 너무 많아요. 좀 줄여줬으면 합니다. ㅎㅎ
1,PUBG MOBILE, This game is f$#@ing perfact just add 8 squad pls and can you make team kills too?
2,PUBG MOBILE, 소리 가 너무 좋아 진짜 잘 어울리는 것 같아요. 업데이트할 때까지 계속 저는 기다리고 있습니다 그리고 저는 제가 좋아하는 것 같은 느낌이 들어요 안녕히 계세요 🇱🇷🇱🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇱🇷🇱🇷🇰🇷🇰🇷🇰🇷🇱🇷🇱🇷🇰🇵🇰🇵🌏😀🤲🙌
3,PUBG MOBILE, 넘날 고인물들이 많네(나도 고인 물 ㅋㅋ)
4,PUBG MOBILE, 엿 나라에는 아빠랑 피시방에서 했는데 모바일로 하니까 너무 좋아요.
5,PUBG MOBILE, Please add update to Android 0.9.1 I could give you five stars if you could let the Androids update
6,PUBG MOBILE, 가끔씩 죽을 때 로비로 가는 버튼이 안 떠요
7,PUBG MOBILE, Lovely game I loce it
8,PUBG MOBILE, The best game
9,PUBG MOBILE, 배그 열심히 할게요
10,PUBG MOBILE, 너무 재밌어요!!!
11,PUBG MOBILE, 업데이트된 거 너무 완벽
12,PUBG MOBILE, 세상에서 제일 재미있어요!!! 짱짱짱!!!😁
13,PUBG MOBILE, 게임이 안대요
14,PUBG MOBILE, 한국 서버랑 똑같아도 재미있어
15,PUBG MOBILE, Awesome!!
16,PUBG MOBILE, 한국어로 설정하는 거 어떡하나요? 제발요~
17,PUBG MOBILE, 다 좋은데 9.5버전 업데이트해주세요
18,PUBG MOBILE, 아주 재미있습니다.
19,PUBG MOBILE, 이 게임 추천
20,PUBG MOBILE, ada
21,PUBG MOBILE, 꿀 잼
22,PUBG MOBILE, Gut
23,PUBG MOBILE, SKRT SKRT
24,PUBG MOBILE, 엄청 좋다
25,PUBG MOBILE, 최고
26,PUBG MOBILE, 좋아요
27,PUBG MOBILE, 사 녹 맵도 생겨서 다 너무 좋은데 요즘 계속 classic 모드 하려고 게임에 들어가서 비행기 탈 때까지 기다릴 때 계속 앱 이 나가지고 다시 들어와도 나가지네요. arcade 모드는 괜찮네요. 근데 다른 사람들은 괜찮던데. 이거 최대한 빨리 고쳐주세요
28,PUBG MOBILE,
29,PUBG MOBILE, 안녕하세요 제가 제일 좋아하는 배틀그라운드를 만들어 주셔서 감사하고요 제가 원하는 거는 일단 총을 적한테 맞으면 핸드폰에 렉이 걸리네요... 예를 들어서 3뚝에 2레벨 갑옷을 입고 있었는데 적한테 우지 맞아서 렉이 걸려서 3대 맞고 죽었어요... 그리고 배틀그라운드를 패션 그라운드로 만들지 마시고 그거 만들 시간에 최적화 좀 빨리하세요... 그리고 현질 유도 좀 그만하세요... 물론 게임은 제가 하고 있는 게임 중에 최고입니다!!
30,PUBG MOBILE, 안녕하세요 개발자님 PUBG를 재미있게 하고 있는 한 유저입니다 제가 리뷰 드린 이유는 렉이 너무 심해서입니다 1킬을 아이 못합니다 갤럭시 6입니다 하지만 렉이 너무 심해서 친구랑 하면 욕을 먹습니다 게다가 그래픽을 최대로 낮 쳤는데도 렉이 심합니다 부탁드립니다
31,PUBG MOBILE, 인터넷 연결(핑) 표시를 원하는 위치에 옮길 수 있게 해주세요 게임할 때 인터넷 상태가 어떤지 확인하고 싶은데 보기 불편합니다
