,name,review
0,Plants vs. Zombies FREE, 이거 PC에서는 화분 2500원인데 왜 5000원이죠? 돈 낭비가 되네요 그리고 미니게임할 때 꼭 50000원 내야 되나요.. 돈 모으기 힘들어요 어드벤처에서 돈 750원만 썼는데 19000원 나왔네요.. 매 좀 추가해 주시면 좋겠어요 제가 체험판에게 너무 기대를 했나 봅니다
1,Plants vs. Zombies FREE, 저번에 했는데 갑자기 지워져서 다시 깔았음 ㅋㅋ 꿀잼ㅋㅋ똨ㅋ다솜님 잎은 나는 놈 날려요.
2,Plants vs. Zombies FREE, 밤에도 해바라기를 쓰세요 밤 직전에 버섯을 써도 안돼서 해바라기를 썼더니 껬더라고요 그리고 밤바다 모드에서 유도탄이 좋습니다
3,Plants vs. Zombies FREE, 연잎은 물 위에 놓지 못하는 식물들을 물 위에 올릴 때 사용합니다.(연잎을 놓고 그 위에 다른 식물을 놓으세요.)
4,Plants vs. Zombies FREE, 재미있음. 한번 해보면 중독성 끝장입니다
5,Plants vs. Zombies FREE, 이거 계정 연동 가능? 저장이 안 됨... 지웠는데
6,Plants vs. Zombies FREE, 힝 시간 잘 가고 너무 재밌게 했어요^^ 2탄으로 갑니다~ 즐겨요~~~
7,Plants vs. Zombies FREE, 너무 재미있어요 ᄒᄒᄒ
8,Plants vs. Zombies FREE, 1탄 끝 2탄 갑니다
9,Plants vs. Zombies FREE, ㅜ_ㅜ
10,Plants vs. Zombies FREE, 너무 재밌음 꼭 깔아보세요
11,Plants vs. Zombies FREE, 가꿀
12,Plants vs. Zombies FREE, Good
13,Plants vs. Zombies FREE, Fun game
14,Plants vs. Zombies FREE, Awesome
15,Plants vs. Zombies FREE, 잼
16,Plants vs. Zombies FREE, 굿
17,Plants vs. Zombies FREE, S.H Park 님 계정 연동을 안 했으니까 당연히 그동안의 저장과 현질 당연히 다 날아가죠ᄏ; 물론 앱 실행이 되지 않은 것은 관리 못한 제작자 잘못이 있지만 삭제해 놓고 날아갔다고 하면 좀 어이없네요ㅋㅋ당연한거 아닌가요
18,Plants vs. Zombies FREE, 솔직히 나 잼이고.. 계속하면 막 튕겨서 삭제하고 다시 해야 돼요.. 이 점만 고쳐주세요
19,Plants vs. Zombies FREE, 그냥 꿀재애앰!!!! 유료일 땐 돈 낭비되는 줄 알았는데 어느 순간부터 무료돼서 아주 계꿀잼하게 즐기는 중입니다♥♥ 이건 그냥 별 100개 줘도 된다
20,Plants vs. Zombies FREE, 누가 게임이 재미없다 난리야 그냥 깔았으면 하시지 자기가 깔아놓곤 재미없다란 사람 진짜! 재미있는데! 그냥 하락이!
21,Plants vs. Zombies FREE, 플랜츠 대 좀비 2는 대용량이라 못 깔았즌데 이것도 꿀 잼이네요! (플래츠대 좀비 2는 다른 핸드폰에 깔았었음)
22,Plants vs. Zombies FREE," 다 좋았는데 갑자기 접속이 안돼요ㅠㅠㅠ 제발 살려주세요... Suddenly, I can't connect ... Please fix it."
23,Plants vs. Zombies FREE, 이 게임이 나 잼이라는 새끼들은 대칭의 재미를 못 즐긴 듯
24,Plants vs. Zombies FREE, 전기 식물과 화염 식물을 만들면 될 듯
25,Plants vs. Zombies FREE, 신물 대 좀비 2보다 재미있어요
26,Plants vs. Zombies FREE," 이거 체험판 같은 거야, 제대로 하고 싶으면 돈 주고 사서 해"
27,Plants vs. Zombies FREE, 재밌어요. 안 될 땐 독특하게
28,Plants vs. Zombies FREE, PC로 즐기다 모바일로 접했는데..... 역시나..... 여전히..... 재미있네요^^
29,Plants vs. Zombies FREE, 중독성 있는 갓 게임이네요
30,Plants vs. Zombies FREE, 재밌게 하고 있는데 보니깐 EA 문구 보고 식겁함..
31,Plants vs. Zombies FREE, 신신신ㅅㄱㄴㅅㄱㄴㅅㄱㄴ신신시신진신진지진신시진진신시진진신신삿
32,Plants vs. Zombies FREE, 갞ㄹ잼고ㅔ임ㅁ
33,Plants vs. Zombies FREE, 짱!!
34,Plants vs. Zombies FREE, 스킬은 더 세게 해요
35,Plants vs. Zombies FREE, 굿입니다!
36,Plants vs. Zombies FREE, 중독성도 있고 심심할 때 자주 생각나네요~~
37,Plants vs. Zombies FREE, 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
38,Plants vs. Zombies FREE, 엄청 재미있다
39,Plants vs. Zombies FREE, 꿀 잼
40,Plants vs. Zombies FREE, 대칭에 취한다
41,Plants vs. Zombies FREE, 😆😆😆😆😊😊
42,Plants vs. Zombies FREE, 굿
43,Plants vs. Zombies FREE, 굳
44,Plants vs. Zombies FREE," 제작자님, 플랜츠 vs 좀비 굉장히 재밌습니다. 그런데 FREE라서 그런지 뭘 할 때마다 광고가 시도 때도 없이 뜨네요.....  광고 뜨는 거만 좀 없애주시면 진심으로 감사하겠습니다"
45,Plants vs. Zombies FREE, 진짜 다른 거 다 필요 없고 업데이트해라 더 어렵게 해라 이딴 거 솔까 안 했으면... 전 이게 자체가 정말 좋으니 그대로 내버려 두고 아쉬운 건 오랜만에 다시 다운로드해서 하는데 식물 8개 피할 수 있는데  마지막 픽 하는 칸은 왜 꼭 광고를 시청해야 되게끄롬 바꿨나요. 이게 와파 없이 되는 게 장점 중 1나였는데 이젠 와파가 떠야 광고 시청하도 칸수를 늘리던 해야 하잖아요 이것만 좀 고쳐주시면 정말 좋겠습니다.  제발 광고 좀 ㅠㅠㅠㅠㅠ
46,Plants vs. Zombies FREE,
