,name,review
0,Pocket City, 땅이 더 넓었으면 좋겠습니다. 레벨이 높아지면서 더 많은 건물을 지을 수 있지만 이미 땅이 꽉 차버렸어요.
1,Pocket City, 심시티 좋아하면 해보세요 똑같음 할인 이벤트 ㄱㅅ
2,Pocket City, 소소하게 재밌어요~앞으로 더 다양한 콘텐츠와 넓은 맵을 지원해주셨으면 좋겠어요 굿 럭
3,Pocket City, korean patch plz
4,Pocket City, awesome
5,Pocket City, 후반부인데 돈 20000 이상 저금이 왜 안되죠ㅜㅜ 땅 넓혀야 되는데... 한번 사면 최소 3일 이상 하게 돼요
6,Pocket City, 나쁘지는 않다. 설정부터 건물까지 영어 해석하는데 걸리는 시간만 빼면.
7,Pocket City, 과금 시스템이 없습니다
8,Pocket City, plz korean
9,Pocket City," 여러분 3000원이 아깝지 않은 게임입니다 정말로 꼭 해보세요 구글 플레이 잔액이 3000원 정도 남으면 무조건 이거 하세요 이 앱 결제 시스템이 없고, 전문적인 게임 요소와 현실 같은 사람들의 움직임, 다른 게임과는 다른 정말 현실적 요소가 깃든 여러 가지 건물들, 경제적 기반 시스템까지 없는 게 없습니다! 퀘스트를 깨는 맛도 쏠쏠하고 퀘스트 냥이 무려 초반에 30가지가 넘습니다~캬 이게 끝이 아니에요 전략 요소들이 숨어있어요!! 꼭 해보시길 바랍니다ㅏ!! ♥♥"
10,Pocket City, 2800원이 아깝지 않은 게임입니다. 처음으로 모바일 게임을 돈 주고 사봤네요 약간의 컨트롤만 개선이 된다면 정말 완벽하겠네요
11,Pocket City, 모바일용 심시티. 처음에는 단순해 보이지만 교통과 치안이 유지되는 살기 좋은 도시를 예쁘게 만들기 시작하면 꽤 깊이 파고들어야 한다. 심시티 팬이라면 추천.
