,name,review
0,Poly Bridge, 긴박하고 적당한 중독성 그래픽 감성 모두 너무 좋아요 ♡♡♡ 한가지 부탁드리고 싶은 게 노트 9 s 펜으로 컨트롤 가능하게 해주세요ㅠㅠ s 펜만 되면 진짜 편하고 재미있게 즐길 수 있을 것 같아요! !
1,Poly Bridge, 여윽시 정말 재밌습니다! 다만 이게 핸드폰으로 하다 보니 손가락에 가려서 화면이 잘 안 보이는 경우가 있습니다. 그런 거는 좀 고쳐주시면 좋을 것 같아요!
2,Poly Bridge, 2-11까지는 괜찮은데 12부터 뭔가 이상해요 .. 프로그램 문제인 거 같기도 하고 ㅜㅜ확인한 번만 해주시면 안 될까요?
3,Poly Bridge, 재밌어요 근데 1에서 15스테이지 별 3개 어떻게 해요? 예산미만인데왜안되죠돈적게쎃는데
4,Poly Bridge, 꽤 재밌네요 약간의 힌트 있었으면 좋겠고 플레이 화면 종류가 한가지 더 있었으면 좋겠습니다 좋은 게임 맘에 들어요
5,Poly Bridge, 손으로 하는 거라 조작이 조금 불편한 거 빼면 잼슴
6,Poly Bridge, 폰으로는 펜이 없으면 불편하긴 하지만 갓겜 ㅋㅋ
7,Poly Bridge,
8,Poly Bridge, 6000원 할 때는 부담되어서 못 샀는데 1200원에 살 수 있어서 너무 좋아요.
9,Poly Bridge, 되게 재밌네요 근데 이거 터치펜은 사용 못 하나요?
10,Poly Bridge, 개꿀 잼. 머리 굴려야 돼요. 롤러코스터 만드시는 분은 뭐 하시는 분들인지...
11,Poly Bridge," 정말 재밌어요 ㅋ 유료인데 후회 안 되고, 시간 정말 잘 가여 ㅋ"
12,Poly Bridge, 재미있네요 단지 내 손가락이 화면을 가려서 짓기가 힘들 뿐
13,Poly Bridge, 좋네요 컨트롤 불평하다고 하시는 분들 왼쪽 상단에 네모칸들 선명해지는 거 해제하시고 하시면 각진 컨트롤이 조금이나마 부드러워지실 겁니다 그게 어려우시다면 뭐 확대해서 하시는 방법밖엔..
14,Poly Bridge, 우와아 개꿀 잼 후회 안 함 깔아요 네ᄆ드
15,Poly Bridge, 제가 이 게임을 하고 있다는 게 실감이 안 날 정도로 빠져있었답니다 갓겜!!!
16,Poly Bridge, s 펜만 됐으면 개쩔었겠지만 그래도 재밌네요
17,Poly Bridge, 다른 다리 건설 게임은 광고 많음 이게 낫다
18,Poly Bridge, 진짜 개꿀 잼 돈이 안 아까움 1만 원 정도 돼야 적당할 가격을 1200원으로 팔으시니 정말 한이 없네요..
19,Poly Bridge, 재밌는데 어려워요 ㅠㅠ 힌트 기능이라도 있었으면 좋겠습니다
20,Poly Bridge, 정말 재밌어요 1200원이 아깝지 않아요
21,Poly Bridge, 정말 좋은 게임이에요 1200 아깝지 않아요
22,Poly Bridge, 오아ㅗ아오 아아아아ㅏ재밌어
23,Poly Bridge, 아이폰에서만 되어서 부러웠는데 이제 안드로이드도 되네요^^
24,Poly Bridge, 졸잼인듯 어려운 듯 개잼잼
25,Poly Bridge, 1200원에 이 정도면 겁나혜자입니다 사세요
26,Poly Bridge, 터치가 조금 힘들지만 재밌어요
27,Poly Bridge, 펜만 지원하면 정말 최고일 듯 손으로 하기 조금 불편함
28,Poly Bridge, pc 버전 살려다가 모바일 게임 할 게 없어서 샀더니 역시 검증된 게임!
29,Poly Bridge, 환불 좀 해주세요 실수로 샀는데..
30,Poly Bridge, 손가락으로 하기 좀 힘들지만 갓 게임이네요
31,Poly Bridge, 실수로 깔았지만 재밌는데?
