,name,review
0,ROBLOX, 이 게임 버그는 걸리고요 재미있어요 그런대 그 버스가 갯속 나가 저요 고처주세요ㅠㅠ 그런대 이미 만든 게임이라서 바꾸지 몼해요 그리고 로블록스2가나오며ㄴ 좋겠어요
1,ROBLOX, 나무 좋아요! ★★ 근데 가끔 내가 앞으로 움직이는 버튼을 안 눌렀는데 저절로 움직이는 거 좀 고쳐주시면 진짜 감사하겠어요@!!!@
2,ROBLOX," 너무 좋아요.! 저는 아무리 찾아봐도 이런 게 이은 없는 것 같아요ㅎㅎ 제작자님 감사합니다 .,!"
3,ROBLOX, 재미있지만 한국어가 아니어서 아쉬워요
4,ROBLOX," All right, Job... But... l ho pecanplay games that can be done Witnacpmputer... on a mobile pnone"
5,ROBLOX, 너무 재미 따.. 근데요. 한국어도 보내지게 해주세요... 친구랑 하는데 안돼요
6,ROBLOX, 운동 타이쿤 했는데.......... 운동기구가 다 안돼요 그거 좀 고쳐주세요
7,ROBLOX, 데이터와 와이파이를 쓰지 않고 게임을 플레이하면 좋겠어요. 데이터가 없어요
8,ROBLOX, 로딩 시간이 너무 길어요 기다리는데 30 분 넘게 지다려야 해요
9,ROBLOX, 갑자기 안되더니 다시 들어가니깐 되더라고요~~ 고쳐주셔서 감사합니다 이 게임 정말 재미있어요~~♥
10,ROBLOX, 현질하면다됨ㅋㅋ
11,ROBLOX, 점프 키를 크기 조정할 수 있게 해주세요
12,ROBLOX, 재밌는데 메인화면에서 오류 걸려요
13,ROBLOX, 이 게임 사린 해요
14,ROBLOX, 대박입니다 재밌습니다
15,ROBLOX, 로그인할 때 한국어가 있어 정말 좋아요
16,ROBLOX, 로블럭스 재미있어요 한 번만 해보세요.
17,ROBLOX, 너무너무 게이 이 재미있어요!
18,ROBLOX, 안 들어가죠요.
19,ROBLOX, 지나갔어요.
20,ROBLOX, Fierigrg 긷
21,ROBLOX, 핵꿀잼
22,ROBLOX, 개꿀 잼
23,ROBLOX, 재미고 즐겁니다
24,ROBLOX, 너무 재밌는 게임이에요
25,ROBLOX, 좋아요
26,ROBLOX, 너무 재미있어요.
27,ROBLOX, 재미있습니다
28,ROBLOX, 재미있어요 너무
29,ROBLOX, 한국어로 해주세요
30,ROBLOX, 아주 재미있어요
31,ROBLOX, 박혜민
32,ROBLOX, 엄쳠좋아요
33,ROBLOX, 최고임
34,ROBLOX, 최고
35,ROBLOX, 굿
36,ROBLOX, 그냥 렉 걸린다 판정 극혐이다 하는 사람들은 그냥 폰이 쓰레기거나 실력이 쓰레기이신듯 컴퓨터로 하세요 왜 굳이 폰으로 하시면서 게임 욕함;;
37,ROBLOX, 저도 이거 렉이 걸리기는 하는데 이게 원래 컴퓨터에 최적화가 되어있기 때문에 크기가 큰 폰이어도 렉이 걸리는 거예요. 그래도 재미있어요.
38,ROBLOX, 내 너무 재미있습니다. 하지만 저는 모바일 우저입니다 차를 운전할 때 안 가고 큰 맵을 들어갈 때 계속 튕기네요.
39,ROBLOX, 400로 벅스를 사보았는데 로블 녹스가 안돼서 제거했다 다시 설치했는데 게임에다 돈을 슨 게 처음이라 없어지는 주 몰랐어요 그러니까 5900원 환불해 주시고 벌 시뮬레이터만 계정 돌려주세요 제발요 (공벌 빼고)
40,ROBLOX, 좋아요!! 제가 컴퓨터로도 하고 있는데 정말 재미있네요 어떤 사람들은 안된다 랙 걸린다 막 이러는데 그 사람들 폰이 안 좋은 거 에요!! 정말 최고!!
41,ROBLOX, 어떤 분이 사기당했다고 하시는데 그거는 여따가 문의하는 게 아니라 그 게임 만든 사람 빅 게임스(big games) 문의를 넣어야죠 사기당한 그쪽이 더 잘못 한 겁니다;;
42,ROBLOX, 핸드폰으로 프리즌 라이프 하는데 경찰로 범죄자들 많이 죽이면 원래 자동으로 죽어서 범죄자가 왜 되나요???????? 그 버그 좀 고쳐주세요
43,ROBLOX, 껌 부는 게임 검은 구름 그리고 토성이 튕기지 안 캐 해주세요
44,ROBLOX, 뭐가 불만이야 그냥 플레이해 핵 재밌구먼
45,ROBLOX, 게임은 재밌는데 왜 로버스 있던 게 사라지죠? 복구 좀 부탁드립니다(33로 벅스입니다)
46,ROBLOX, 친구가 알려줘는 데 너무 재밌었용!
47,ROBLOX, 짱 재밌어요 아니 다른 분들은 렉 걸린단 데 저는 괜찮네요
48,ROBLOX, 터치가 안먹커요 그거 좀 고쳐주세요?
49,ROBLOX, 저는 이 🎮이 재미있는데 저희 반 애들은 재미가 없데요 남자애들만 여자애들은 아니고요.
50,ROBLOX, 렉이 걸려서 짜증 나지만... 재미있어요👌👌👏
51,ROBLOX, ㅈㅁ ㅇ 음 재미있음
52,ROBLOX, 네모네모 세상이어서 좋아요 20
53,ROBLOX, 제가 유튜브를 보고 뉴비 스킨을 만들려고 했는데 컴퓨터만 되고 모바일은 안돼서 모바일도 될 수 있게 고쳐주세요
54,ROBLOX, 이 게임 너무너무 재미있어요 핸드폰으로 해도 잘 돼요 로그인할 때 막 하면 돼요
55,ROBLOX, 컴표터로는 로블럭스 구울 하는데 폰에도 하게 해주세요
56,ROBLOX, 좋긴 하다.
57,ROBLOX, 나는 점프 앱 이조와 요
58,ROBLOX, 넘나재 밑은 데렉 좀.... 그래도 개 꿀 잼 평점을 100점 만점의 100점의 최고의 게임
59,ROBLOX, 제 및 는데 너무체팅을만이쳐서렉레오
60,ROBLOX, 완전 재미있다 좋아요: 무한 번
61,ROBLOX, 이 개임 최고애요
62,ROBLOX, 로블록스 너무 재밌어요!!😍
63,ROBLOX, 로블록스짱짱 정말 재밌습니다♡♡♡♡♡
64,ROBLOX, Great!!!!!
65,ROBLOX, 이게임은기랙틱이너무좋아요 현질 100000000원 혈 질했어요 짱짱 😰👍👍
66,ROBLOX, 꿀 잼 앙기모띠 앙자삐띠
67,ROBLOX, 진짜 재밌어요!! 핸드폰으로도 들어가지고 컴퓨톯 둘어가지고 재미나요! 1
68,ROBLOX, 스킨을 공짜로 해주세요!!!!! 그게 제소원이니깐요
69,ROBLOX, 안 움직이는 버그 거림
70,ROBLOX, Next update please add slides
71,ROBLOX, 제작자분 로브록스 꿀 잼
72,ROBLOX, 다른 건 다~~좋은데 컨트롤이 좀...
73,ROBLOX, 너무 재미있어요.
74,ROBLOX, 너무 재미지다
75,ROBLOX, 유명인들도 즐겨 하는 게임 로블록스!
76,ROBLOX, This is great game
77,ROBLOX, 이거 이상해요
78,ROBLOX, 저알 좋아요
79,ROBLOX, 한국어 지원 좀....
80,ROBLOX, 앞에 투명해서 안 보여요 이거 고쳐요
81,ROBLOX, 깐 다음 어떻게 해요?
82,ROBLOX, 도잠 크로스
83,ROBLOX, PC랑 모바일 둘 다 꿀 잼이네요.
84,ROBLOX, 너무 재미있고 다양한 개 많아요
85,ROBLOX, 게꿀젬ㅋㅋㅋㅋ
86,ROBLOX, 너무 꿀 잼
87,ROBLOX, 너무 재밌어요
88,ROBLOX, 개꿀 잼
89,ROBLOX, 나 지그
90,ROBLOX, 넘날 꿀 잼
91,ROBLOX, 이 게임 정말 재미있어요.
92,ROBLOX, 따봉!
93,ROBLOX, 정말 재밌어
94,ROBLOX, 짱짱 재미있어요
95,ROBLOX, 최고!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
96,ROBLOX, 너무너무 재밌어요 추천
97,ROBLOX, 핵꿀짐이 예요.
98,ROBLOX, 너무 좋아요^^
99,ROBLOX, 너무너무 좋아요 고맙습니다.
100,ROBLOX, 꿀젬 인정? 어 인정!!
101,ROBLOX, 간단히 리뷰 남기기
102,ROBLOX, 꼭 깔아보세요
103,ROBLOX, 재미있는 게임
104,ROBLOX, 오우ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ야🤑🤑
105,ROBLOX, 왕유 굿 매리 굿
106,ROBLOX, 재밌어요/~~
107,ROBLOX, 짱
108,ROBLOX, 재밌네요♡♡♡
109,ROBLOX, 짱
110,ROBLOX, 꿀 잼
111,ROBLOX, Good
112,ROBLOX, 완전 꿀 잼 인정?
113,ROBLOX, 재미짱자
114,ROBLOX, 최고예요
115,ROBLOX, 굿 게임
116,ROBLOX, 거나 재미
117,ROBLOX, 감사합니다
118,ROBLOX, 짱짱맨
119,ROBLOX, 재밌어요 ♡<>
120,ROBLOX, 최고
121,ROBLOX, 최고!!!!!!!!!!!
122,ROBLOX, ♥좋아! ♥
123,ROBLOX, 최고👍
124,ROBLOX, 최고
125,ROBLOX, 굿
126,ROBLOX, 좋네요
127,ROBLOX, 재미있어요 ♡♡♡♡♡♡^^ ^^ 😄
128,ROBLOX, 굿👍👍👍👍👍👍👍👍👍👍👍👍
