,name,review
0,Real Drift Car Racing, 재미있지만 새로 까니까 차가 사라졌어요 토요타 86이랑 Lexus LFA
1,Real Drift Car Racing, 2년간 했는데 패치를 하면서 더 좋아 저습니다
2,Real Drift Car Racing, 정말 좋습니다 1000원이 안 아까운 게임!
3,Real Drift Car Racing, Best
4,Real Drift Car Racing, 이거 기본 옵션이 머죠?? 갑자기 옆으로 돌리기만 해도 브레이크가 강하게 잡혀서 제 혼자 멈추네요.... 좀 알려줘요
5,Real Drift Car Racing, 현질 날아간 유저들에게 한마디: 이 게임 수동 저장이라 따로 클라우드 세이브해야 돼요 인 게임에서 찾아고 샘
6,Real Drift Car Racing, 수동기어로 설정해 두면 가끔씩 자동 기어로 제멋대로 바뀌는 거 말곤 완벽한 게임..
7,Real Drift Car Racing, Good.!
8,Real Drift Car Racing, 무료 버전 하다가 못 참고 질렀습니다 ㅋㅋ 이런 흥미 있는 게임은 사야죠 ㅋㅋ 천 원인 게 어딘가요  개발자님 감사합니다!
9,Real Drift Car Racing, 너무 좋은 게임이에요 야간 주행이 가능하면 너무 좋을 거 같아요 😊
10,Real Drift Car Racing, 한국어 버전이 있으면 좋겠습니다.
11,Real Drift Car Racing, 이 역시 갓겜
12,Real Drift Car Racing, 와!!!!!!!!!!!!!!!!! 우!!!!!!!!!!!!!!!!!!!
13,Real Drift Car Racing, Good
14,Real Drift Car Racing, 좋아요
15,Real Drift Car Racing, 다 좋은데 SUV 차량도 나오면 정말 좋을 것 같아요
16,Real Drift Car Racing, 예전부터 해왔지만 드리프트 하는 맛도 있고 튜닝과 커스텀이 개꿀이네요. 재미있게 하고 있습니다. 약간 아쉬운 점은 자동차 종류가 많이 없다는 게.. 그렇습니다.
17,Real Drift Car Racing, 처음 해봐서 재밌는데 조작법을 못 바꾸나요?
18,Real Drift Car Racing, 링 개 명작
19,Real Drift Car Racing, evo  bnr32 .....
20,Real Drift Car Racing, 할 말이 없을 정도로 재밋 씀.
21,Real Drift Car Racing, 나의 돈을 복구해 주세요
22,Real Drift Car Racing,일단 갑임 이 정도 퀄 나오기 어려운듯합니다. 몇 년 전부터 전화기 바꿔도 계속 설치하는 게임이에요!! 가끔씩 맵 업데이트도 계속되고... 너무 만족합니다 그런데 이번 업데이트부터 맵 로딩 중 다시 처음으로 돌아가 버려서 플레이가 불가능하네요.. 이건 바로 좀 수정해주셨으면 좋겠습니다.
23,Real Drift Car Racing, 진짜 산 게 안 아까움 링 명작
24,Real Drift Car Racing, 재미있다고 해서 사봅니다
25,Real Drift Car Racing,게임은 잘 만들었지만 ... 게임은 잘 만들었지만 현실적인 물리적인 대미지가 없어서 안타깝습니다      차량 충돌이 출동할 때 차량이 부딪힌 자리가   파괴되고 흠집이 나면 더 좋겠습니다                 그리고 커스터마이징에 할 때 범퍼하고 스포일러 사이드 범퍼 헤드라이트 등 추가로 넣어주셨으면 합니다
26,Real Drift Car Racing,이거 갑 이거나 잼이란 놈들 바보임 이 정도면야.          만들기도 어렵다
27,Real Drift Car Racing,유료 값하는 듯? 그래픽 좋고 차도 꽤 다양하고 재밌네요
28,Real Drift Car Racing,잔액으로 샀는데 정말 최고다!!! 기대 이상ㅎ
29,Real Drift Car Racing,제 계정 초기화됐네요 오랜만에 설치해서 들어가니 구글 로그인해도 제가 샀던 차들이나 맵들 다 초기화돼있네요   빨리 복구해주시길 바랍니다.
30,Real Drift Car Racing,레이싱 게임 중 최고 ㅈ군
31,Real Drift Car Racing,재가 ㄹ케이싱 게임을 좋아하는데 함 깔아보죠!!!!!
32,Real Drift Car Racing,재밌어요 드리프트가 생각보다 잘 돼서 재밌군요 ㅋㅋ
33,Real Drift Car Racing, 레이싱 게임 중에서 제일 재미있어요.!!!
34,Real Drift Car Racing,오우미 친 이니셜디 덕으로썬 갓겜이닿....☆
35,Real Drift Car Racing,굿 아주 좋은 게임입니다!
36,Real Drift Car Racing,돈 천 원 아끼지 마요ㅋㅋㅋ 개꿀잼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
37,Real Drift Car Racing,훗 자세한 설명은 별로 표기한다
38,Real Drift Car Racing,재미나요~~ 핸드폰 바꾸고 재다 온 받아서 다시 하네요~~꿀 잼...
39,Real Drift Car Racing,굿 자동차 게임 중 최고 천원 아깝지 않음
40,Real Drift Car Racing,재미있음 굳~!!
41,Real Drift Car Racing,Lg g2 무료로 했는데 재밌어서 삼
42,Real Drift Car Racing,"유후! 이제 차를 다 볼 수 있게 됐어요! 그러면 이제 스포일러를 달거나, 데 칼을 직접 달았으면 좋겠습니다..."
43,Real Drift Car Racing,드리프트만 잘하면 ㅋㅋ 현질 유도 따위 없습니다 ㅎㅎ 궁금하시면 저한테 가져오세요 1시간 안에 차 다 뽑아드릴게요
44,Real Drift Car Racing,드리프트만 질하면 진짜 아무 차나 다 좋다 ㅋㅋㅋ 드리프트만 연습 많이 하세요 차 살 생각하지 말고 드리프트만 연습하시면 아무 차나 다 쓰기 좋습니다
45,Real Drift Car Racing,재밌습니다 아직 초보라서 어렵긴 한데 드리프트 하는 재미는 있네요 ㅋㅋ
46,Real Drift Car Racing,다 좋은데... 다 좋은데... 맵에 아무 데나 갈 수 있게 해주고 경주하게 해주세요. 부탁드립니다. 답장은 한글로만.
47,Real Drift Car Racing,진짜 시간 때우기 지 존 차 엔진 소리만 더 키워서 현실감 키우면 개대 밖
48,Real Drift Car Racing,추가 업데이트 예정은 없나요? 맵 추가해주셨으면 하는데.... 재밌는데 맵 적은 게 단점이네요 다운힐도 하나라ㅜ.ㅜ
49,Real Drift Car Racing,굳듯 조작도 쉽고 특히 튜닝이 아주 세세하게 할 수 있어서 마음에 드네요
50,Real Drift Car Racing,리뷰 보고 샀어요 아직 몰라서요 ㅋㅋ
51,Real Drift Car Racing,재밌어요 트랙이 좀 적어서 아쉬움
52,Real Drift Car Racing,최고 그나마 나은 랠리 게임. 모바일 중에선 제 생각으로써 top.5안이네요
53,Real Drift Car Racing,오졌다 돈도 벌기 쉽고 한지 17분 됐는데 벌써 토요타 구매했음 캬  최고~~~~~
54,Real Drift Car Racing,Good Very very gooooood
55,Real Drift Car Racing, 킬링타임에 좋고 중독성도 쩜
