,name,review
0,Reigns, 왜 v3 악성코드 검사하면 게임이 악성코드라 삭제 권장이 뜨죠 게임을 삭제하고 재설치해도 똑같네요 여왕 버전이나 왕좌 버전은 안 뜨는데 이것만 악성코드로 뜨네요
1,Reigns, 4가지의 선택지와는 관계없이 하나의 목적(저주를 푸는 것)을 위한 게임이다.
2,Reigns, 재밌는 게임이네요
3,Reigns," 알 수 없는 수수께끼의 인물들과 악마, 그리고 인간과 신, 검과 돈 이 모든 것이 한 국가의 지도자인 당신이 갖춰야 할 것들이자 어느 한쪽으로도 치우쳐버릴 수 있는 도박들입니다 당신은 성군입니까?"
4,Reigns, 인생게임이다ㅡ 최고 통치기간이 105년도 있었다. 힘들었다. 지하감옥도 이젠 미로 같지가 않다ㅡ 도전과제가 조금 남았지만 이젠 지루해서 삭제한다. 정말 재밌게 했다. 엄지 척!
5,Reigns, 사탄의 힘으로 사탄을 죽여버렸어요. 난 악마보다 나쁜 사람이야..
6,Reigns, 좋아요 근데 왜 이 게임을 18금으로 했는지 모르겠네
7,Reigns, 최고의 게임이긴 한데.. 겁나화나
8,Reigns, 게임 안에서 이렇게 자연스럽게 리뷰 유도를 하는 게임은 처음입니다~ ㅎ
9,Reigns, 다 좋은데 리셋 어떻게 하죠?
10,Reigns, 저렴한 가격으로 3시간 동안 즐겁게 보낼 수 있다.
11,Reigns, 메탈 킴 리뷰 보고 샀는데 재미나요.
12,Reigns, 할거 없을 때 꿀
13,Reigns, 추천 게임
14,Reigns, 존잼
15,Reigns, 굳
16,Reigns, 굿
17,Reigns, 제작자님. 연애 카드도 추가되었으면 합니다. 라마 스쿨스 카드도 더 추가되면 좋을 텐데 말이죠
18,Reigns, 오래 하면 글씨가 깨지는 현상이 발생합니다 고쳐주세요
19,Reigns, 단순한 플레이 재미나 엔딩 보기 등 재미지다
20,Reigns, 재밌네요 마저 하러 감
21,Reigns, 이런 식의 게임은 처음 본다 참신해서 좋다.
22,Reigns," 깔끔한 그래픽과 밸런스 속에서 왕이 선택해야 할 갈림길을 정하는 멋진 게임입니다. 오히려 이런 형식이 아니었다면 어떻게 표현 해냈을지 상상하기 어렵네요. 전략 게임으로서의 가치가 충분한 게임입니다. 잔고가 있으신가요? 그렇다면, 지르십시오."
23,Reigns, 생각보다 대단한 게임입니다. 단순히 선택만 해서 멀티 엔딩 보는 거로 만 알았는데 해보니까 지금의 플레이가 후대에 미치는 영향이 한두 가지도 아닐뿐더러 안 좋은 선택을 기억하냐 마냐가 차후 생존에 큰 도움을 주네요. 덕분에 깔자마자 몇 시간 하고서도 이따금 해도 재밌을 것 같습니다. 추천
