,name,review
0,RollerCoaster Tycoon® Classic, 샌드박스 모드는 툴킷 구매하면 가능합니다. 그리고 도트 게임이 아닌 3d 그래픽을 캡처해서 2d로 옮긴 거고요. UI나 최적화 등 이식은 완벽한 수준이고 전체적인 난이도 조절까지 되어있습니다. 유저 친화적으로 가속 기능도 지원하여 완성도가 더 높아졌습니다.
1,RollerCoaster Tycoon® Classic, 제가 원하던 게임을 그대로 담고 있어서 좋습니다. 로코 타도 처음 접했을 때 영어로 했었기에 딱히 거부감은 안 들더군요. 또 맵도 엄청 많아서 대여섯 하다가 귀찮아서 안 한 지 4달이 넘었네요. 앞으로도 안 할 거 같습니다. 굉장히 재밌습니다! 다운로드할 돈이 아깝지 않습니다. 지금 바로 설치하세요!
2,RollerCoaster Tycoon® Classic, 예전에 하던 거랑 똑같이 플레이할 수 있어서 너무 재밌어요. 그런데 건설한 놀이기구 파괴할 때같이 설치된 장식도 제발 같이 사라지게 해주세요. 그거 다 하나하나 삭제하려니 힘들어요 ㅠㅠ 그리고 영토 살 때 드래그해서 한 번에 살 수 있게 해주세요 그것도 한 개씩 클릭하려니 너무 힘듭니다 ᅲᅲ막노동 ㅠㅠ 그거 말고는 너무 재밌고 좋아요!!!!! ♡
3,RollerCoaster Tycoon® Classic, 영어 대충이라도 알게 되면 재밌는 게임... 근데 문제가 고장이 너무 잘남... 정비공을 불러서 수리하게 되면 딱딱 맞춰야 하는 게 좀 불편한 감이 있어요
4,RollerCoaster Tycoon® Classic, 공원 가치 어떻게 올리나요... ㅠㅠ 공략 좀.. 공원 가치 맵 몇 판째 해도 30만이 안돼서 못 깨고 있음 흑
5,RollerCoaster Tycoon® Classic, 어릴 때 하던 롤코 생각나서 받았는데 구현이 매우 잘되어 있어서 재밌음 영문판이지만 어려운 단어 없고 초등영어만 떼도 게임하는데 전혀 지장 없음 시나리오도 다양하고 툴킷만 추가 결제하면 유저 시나리오도 플레이 가능해서 계속 즐길 수 있음 매우혜자스러운 게임이라 말하지 아니할 수 없습니다
6,RollerCoaster Tycoon® Classic, 모든 부분 다 완벽한데 번역이 없다는 것 하나만 아쉽네요..ㅠㅠ 제발 번역 좀 해주시면..
7,RollerCoaster Tycoon® Classic, 롤코타 완벽 이식 게 감동했음 영어이긴 한데 원래 영어로 했던 거라 전혀 거부감 없고 기본적인 영어만 알면 눈치로 다 할 수 있음
8,RollerCoaster Tycoon® Classic, 한글 패치되면 더 좋았겠지만 너무 재밌는 추억의 게임이라 ㅎㅎ 감안하고 즐깁니다★
9,RollerCoaster Tycoon® Classic, 90초반 세대 어릴 때 열렬히 키웠던 CD 속 놀이동산을 그대로 옮겨뒀습니다ㅠㅠㅠ 예전엔 멋모르고 재미로 했던 게임을 제대로 경영하고 이해하고 퀘스트도 해내니 기분이 오묘합니다.. 예전 그 게임 아는 분들 추천.. b 단점은 시간 가는 줄 모릅니다...
