,name,review
0,Scribblenauts Remix,재미있네요 영어 공부도 되고요 ㅎㅎ
1,Scribblenauts Remix,감사합니다 몇 년 전부터 하고 싶던 게임 드디어 찾았네요 보자마자 결재했습니다
2,Scribblenauts Remix, 오랜만이네요 ㅋㅋ 추억 인생게임인데 개꿀 잼
3,Scribblenauts Remix,이런 게임은 찾기 힘든데 최고입니다
4,Scribblenauts Remix,정말 재미있어요. 돈 주고 사용해도 안 아까운 게임이네요.
5,Scribblenauts Remix, 한글 지원 좀 해주세요
6,Scribblenauts Remix, Wow this game vere weasome!
7,Scribblenauts Remix, 짱! 짱! 이것이 제가 원하던 게임입니다!
8,Scribblenauts Remix, 역시 이 게임은 gta처럼 해야 제맛
9,Scribblenauts Remix, Very good
10,Scribblenauts Remix, VERY GOOD
11,Scribblenauts Remix,최고 재밌어요
12,Scribblenauts Remix, 캐잼
13,Scribblenauts Remix, Gg
14,Scribblenauts Remix, Fun
15,Scribblenauts Remix,컴퓨터게임이 나오다니 와우. 처음엔 못 깔 줄 알았는데 모바일로 나왔네요. 감사
16,Scribblenauts Remix,겁나조음 근데 한국어도 됐으면 좋겠어요. 다음 업데이트 기대하겠습니다
17,Scribblenauts Remix,참신한 Pc판 언리미티드 먼저 하고 구매했는데 자유도는 좀 제한적이지만 역시 재미있네요
18,Scribblenauts Remix, WOW 정말 감사합니다. PC로 있던 게임을 모바일로도 나오다니... ^ㅇ^
19,Scribblenauts Remix, 게임 정말 재밌게 하고 있는데요 레벨 3-7부터 계속 튕겨요 어떻게 해야 되죠?
20,Scribblenauts Remix,pc로 만하다가 모바일로 하니까 더 재미나네요
21,Scribblenauts Remix,환불 부탁드립니다 삭제했습니다 환불 부탁드려요
22,Scribblenauts Remix,굿 굳
23,Scribblenauts Remix,환불 환불 좀 해주세요 제발요 진심
24,Scribblenauts Remix,꿀 잼 다 좋은데 한국어 면 모자란 게 없음 업데이트 기다릴게요~^~^
25,Scribblenauts Remix,야하 이거 영단어 깡그리 꺼낼 시간이네!? ^오^
26,Scribblenauts Remix,환불해주세요 환불 부탁드립니다
27,Scribblenauts Remix,재밌긴 한데 환불점...
28,Scribblenauts Remix,와우 제가 처음으로 유료 구매한 게임입니다 최고예요
29,Scribblenauts Remix, 환불 하고시프다아아앙
30,Scribblenauts Remix,good 쫗와욥
31,Scribblenauts Remix,Awesome Good good good good good
32,Scribblenauts Remix,최고!!!! 컴퓨터에서 좋아하는 건데 핸드폰으로도 나오다니!!!!
33,Scribblenauts Remix,개 꿀 잼
34,Scribblenauts Remix,good Good
35,Scribblenauts Remix,굿 1년이나 했는데 굿
36,Scribblenauts Remix, 하촤고다
37,Scribblenauts Remix,졸잼 영
38,Scribblenauts Remix, Good
39,Scribblenauts Remix,즐겨요 즐겨
40,Scribblenauts Remix,좋아요 좋아요
41,Scribblenauts Remix,해보고 싶었던 게임인데 핸드폰으로 나왔는지 몰랐네요!! 진짜 재밌습니다 ★★★★★
42,Scribblenauts Remix,굿굿 예전에 닌텐도로 재밌게 했었는데 모바일로 다시 보니 진짜 반갑네요ㅠㅠㅠㅠ
43,Scribblenauts Remix,최고의 학습게임 영어를 잘 안다면 즐길 수 있음 옆에 영어사전이 있다면 무엇이든지 할 수 있을 거다
44,Scribblenauts Remix,개꿀 잼 닌텐도로 했는데 여기서 찾았는데 개꿀 잼. 물건이 더 많아짐
45,Scribblenauts Remix,와 이래서 대용량이구나 물건이 진짜 많음
46,Scribblenauts Remix,대박 돈이 안 아까움
47,Scribblenauts Remix,Cool I do this every day! (-;
48,Scribblenauts Remix, 재밌음
49,Scribblenauts Remix,와 쩐다 이거 돈이 아까울 필요가 없을 듯 아주 명작인 듯ㅋ
50,Scribblenauts Remix, 크 꿀 잼
51,Scribblenauts Remix,"팁 Meteor, tidal wave, nuke 등으로 다 파괴 가능 wings, jet pack으로 날 수 있음 무기에 automatic을 붙이면 탄창이 더 많아짐 acid를 이용해서 멀리 떨어진 생물도 중독 가능 무기 앞에 explosive를 붙이면 탄환이 터짐 또 들 수 있는 도구 앞에 taming을 쓰고 사나운 애들한테 쓰면 얌전해짐"
52,Scribblenauts Remix,ㅁㅊ 앱은조흔데 두 번 결제됐네 요처 넌 환불 좀 화 불됐네요 별 5개
53,Scribblenauts Remix,드래건은 큐피드의 화살 러브 에로였나 쏘면 탈수 있습니다 가장 만들기 쉬운 탈것은 ufo 앞에 mini를 붙이면 칼 것도 작아져서 쉬운 이동이 가능
54,Scribblenauts Remix,오 좋아요 maxwell 쳐서 책 얻고 땋 그리고 드래건에 mild를 븥이면 타진다???
55,Scribblenauts Remix,"Good, it is wonderful My friend said to do this game so i played it. It was really fun! I'm thinking to buy more stages too! It was best game i ever played"
56,Scribblenauts Remix,근데... dragon도 탈 수 있게 해주세요 그러면 자유도가 좀 좋을 것 같아요
57,Scribblenauts Remix,스모 시가 해서 해봤는데 꿀 잼임 ㅎㅎ
58,Scribblenauts Remix,겁나 좋음 한글화 좀
59,Scribblenauts Remix,너무 재미있어요 Black hole 치면 다 빨아드림
60,Scribblenauts Remix,이거 smosh에서 굉장히 재밌게 본 것인데 기대만큼 굉장히 재밌습니다!
61,Scribblenauts Remix,첫 번째 결재 이 게임 너무 재미습니다.
62,Scribblenauts Remix,Impressive game Power of word!
63,Scribblenauts Remix,졸잼 개꿀 잼
64,Scribblenauts Remix,최곱니다 정말 재밌네요
65,Scribblenauts Remix, 어렵노
66,Scribblenauts Remix, 진짜 재밌어요
67,Scribblenauts Remix, 나 잼
68,Scribblenauts Remix, Scriblenaut
69,Scribblenauts Remix,재밌어요 ㅎㅎ
70,Scribblenauts Remix,굿 재밌어요 근데 땅이 파지 면 어떻게 채워요?
71,Scribblenauts Remix,환불 이제 좀 지겹네요 so boring 환불해주세요
72,Scribblenauts Remix,와;; 결제 끝나고 다운로드 기다리는데 100프로에서 1에서 다시 시작함 짜증 나네;;폰은 문제없는데
73,Scribblenauts Remix,이거 갑자기 잘 되다가 언제 보니 갑자기 안되는데 환불 안 되나요?;;
74,Scribblenauts Remix,damn It's not start to touch the icon
75,Scribblenauts Remix, 환불 좀!!
76,Scribblenauts Remix,하하 해하
77,Scribblenauts Remix, 믿고 합니다
78,Scribblenauts Remix,최고입나다!!~ 너무너무 재밌어요~~♥
