,name,review
0,Star Trek™ Fleet Command, 나는 원해요 한국어 스타 플릿의 개발자들 한국어에 불만 있어요? 당신의 불만 나의 과금으로 대체되었다 AND I ALSO 트랙 좋아
1,Star Trek™ Fleet Command, 오랜만에 좋은 게임을 만났네요. 얼른 한글화돼서 좀 더 원활한 플레이를 할 수 있었으면 좋겠습니다.
2,Star Trek™ Fleet Command, 재밌습니다~ 한국어 지원하면 더 꿀 잼일 거 같습니다~
3,Star Trek™ Fleet Command, Need korea language. 한국어 지원이 필요합니다.
4,Star Trek™ Fleet Command, 복잡한데 재미남 시간 투자 필요
5,Star Trek™ Fleet Command, Awesome game. I hope no paying users could keep playing this game in good environment.
6,Star Trek™ Fleet Command, I love it. but there is too much PK. It's too hard to mine something.
7,Star Trek™ Fleet Command, Very well This game is very interesting
8,Star Trek™ Fleet Command, 한글 지원하면 좋겠다
9,Star Trek™ Fleet Command, Hope to meet TNG characters and ships.
10,Star Trek™ Fleet Command, 한국어 해주세요 제발! 해주세요
11,Star Trek™ Fleet Command, 한글판은 언제쯤 나올까요
12,Star Trek™ Fleet Command, 한국어 버전이 나올 때까지 기다릴게요:(
13,Star Trek™ Fleet Command, 우주여행 고고
14,Star Trek™ Fleet Command, need to korean
15,Star Trek™ Fleet Command, 한글화만 되면 좋을 것 같다.
16,Star Trek™ Fleet Command, 잼 써요
17,Star Trek™ Fleet Command, good
18,Star Trek™ Fleet Command, Good
19,Star Trek™ Fleet Command, 짱
20,Star Trek™ Fleet Command, 👍👍👍
21,Star Trek™ Fleet Command, 재미나요
22,Star Trek™ Fleet Command, 굳
