,name,review
0,Stickman Hook," 현금▷카지▷노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치 설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버 3773이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는 게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요"
1,Stickman Hook, 이 게임 정말 재미있긴 한데 제가 지금 445단계이거든요. 근데 올라가도 큰 차이가 없어요. 난이도가 다 비슷해요 그리고 캐릭터도 더 만들어 주세요
2,Stickman Hook, 게임 자체는 잘 만들었습니다 그러나 광고가 너무 많습니다. 이 점은 와이파이를 끄면 되지만 너무 번거로운 점이 있어 광고를 자제해주셨으면 좋겠습니다 +같은 곳에서 튕기다 보면 엄청 빨라지는 거 의도한 건가요?
3,Stickman Hook, 이건 레알 게 꿀 재이다 광고가 만지만 와이파이 끄면 되니까 괜찮아요 그리고 중독성 쩔고 밖에서 시간 때 우거나 기다리거나 할 때 하면 좋을 듯. 굳!
4,Stickman Hook, 진짜 핵잼꿀잼이고 진짜 재미있는데 캐릭터를 도 다양하게 해줬으면 좋을 거 같아요 광고도 다 보고 캐릭터 다 얻었는데 더 새롭고 신기한 캐릭터가 추가됐으면 좋겠네요! 그럼 좋은 시간 보내세요~!
5,Stickman Hook, 버그 땜에 65단계 통과가 안됐어요;; 너무 멀리 위로 날아가서 골인 지점까지 들어갔는데 죽더라고요 버그 좀 고쳐주세요
6,Stickman Hook, 이 게임 순위 없나요? 있으면 좋을 거 갔습니다. 참고로 800 단계 초반임
7,Stickman Hook, ㅋㅋㅋㅋㅋㅋㅋ 은근 재미나네..... It is fun! Good for passing time!!
8,Stickman Hook, 어제 깔았는데 지금까지 이 게임에만 빠저있어요ㅋㅋㅋㅋㅋㅋ 하는 방법도 간편하고 아주 쉬운 게임이에요 날아다닐 때는 스파이더맨 깉은느낌이 들어요 아주 재미있는 게임이에요 그러니까 다른 사람들도 지금 해보세요!
9,Stickman Hook, 캐릭터 좀 더 늘려주세요 캐릭터가 다 있어서 할 맛이 않나요
10,Stickman Hook, 이거나 샀을 때가 어 잰대 고수됨 어렵게 만들어주시고 캐릭터 좀 추가요
11,Stickman Hook," 정말 재밌어요 근데 광고 좀 줄여주세요. 깨거나 떨어지면 계속 나와요,"
12,Stickman Hook, 재밌긴 재밌는데 중독성이 강해요 ㅋㅋ 엄마가 영아 일기 써라고 하면 응 해놓고 이 게임만 해요 ㅋㅋ
13,Stickman Hook, 다른 게임 하고 비교가 안 봼
14,Stickman Hook, 그럼 와이파이를 꺼야죠 조금 있으면 광고 안 뜨는데....
15,Stickman Hook, 재미있네요 그런데 맵의 모양이 좀 비슷한 것 같아요
16,Stickman Hook, 개꿀 팁 와이파이 끄고 하면 광고 안 나옵니다 걔 꿀~
17,Stickman Hook, 이거 재미없다고 한 사람 거짓말임 개꿀 잼!
18,Stickman Hook, 처음에 500만 명이라 해서 깜짝 놀랐습니다
19,Stickman Hook, 이거 너무 어렵지도 않고 재밌어요
20,Stickman Hook, 장애물을 추가하면 좋을 거 같아요 그래도 굿!!
21,Stickman Hook, 이건맟차가지로재미있
22,Stickman Hook, 심심할 때는 이 게임해보세요
23,Stickman Hook, 환불해주세요 실수로 눌러버렸어요
24,Stickman Hook, 어제 시작했는데 167단계 ....ㄷㄷ 중독성
25,Stickman Hook, 이 게임 너무잼있엌ㅋㅋ
26,Stickman Hook,
27,Stickman Hook, 너무 재밋!! 스파이더맨 흡사!
28,Stickman Hook, 아주아주 재미있게 플레이하고 있습니다 근데 계속 플레이하면 가끔씩 버그가 걸립니다
29,Stickman Hook, 스윙스타 따라 하네
30,Stickman Hook, 다 좋은데 이번 업데이트로 가지고 있던 캐릭터가 다 없어졌어요 복구할 수 있으시면 해주세요
31,Stickman Hook, 이거 짝퉁이라는 사람 누구냐
32,Stickman Hook, 재밌게 잘 하고 있습니다. 데이터 끄니까 광고도 하나도 안 나오고 좋네요 ㅎ
33,Stickman Hook, 좋아요!! 재밌어요^^/
34,Stickman Hook, 재미네ㅋㅋㅋㅎㅎㅎㅈㅅ
35,Stickman Hook, 아이디어 ㅁㅊ 최고다
36,Stickman Hook, 겁나 재미있어요
37,Stickman Hook, 광고 좀 줄여주세요
38,Stickman Hook, 캐릭터를 스파이더맨으로 하면 더 좋을 것 같아요
39,Stickman Hook, 귀엽고 재밌어요 왕으로 플레이하고 있는 플레이어입니다
40,Stickman Hook, 다른 사람과 대결이나 pvp를 못 한다는 게 아쉽지만 정말 재밌어요! 추천합니다♡♡♡♡
41,Stickman Hook, 음악을추가하면젛을것닽읍니당
42,Stickman Hook, 저 스트레스 안 받는 게임이 이게 최고예요
43,Stickman Hook, 평가를 해도 계속해달라는 창이 계속 뜨는 거 이외엔 좋아요.
44,Stickman Hook, 레벨이 올라가도 난이도가 똑같음
45,Stickman Hook, 뒤로도 가고 막장 재미있는 게임 같아요
46,Stickman Hook, 광고가 너무 많은 것 같아요 광고 조금만 줄여주심 안돼요?
47,Stickman Hook, 너무 좋아요 근데 광고가 많고 난이도가 비슷해요
48,Stickman Hook, 간단하고 재밌어요
49,Stickman Hook, 정말 게임이 알차게 짜여있다
50,Stickman Hook, 컨트롤은 어려워서 더 재미있어요 이 게임 추천함
51,Stickman Hook, 캐릭터를 추가하면 더 좋을 것 같아요.
52,Stickman Hook, 다른 게임도 만들어주세요
53,Stickman Hook, 14스테이지 어떻게 해야 하나요
54,Stickman Hook, 엄청 꿀 잼 스파이더맨 개임
55,Stickman Hook, 대아 진아 진자 재밌다
56,Stickman Hook, 역시 인기 게임 2위라 제미이습니다
57,Stickman Hook, 이거 좋아요!
58,Stickman Hook, 너무 재미있어요!
59,Stickman Hook, 이거 근데 캐릭터 reach level5라 뜨며 캐릭터 설정이 안됩니다 하하하...
60,Stickman Hook, 단순하게 재미나네요
61,Stickman Hook, 정신없긴 한데 꿀 잼
62,Stickman Hook, 앱이 않겨 저요
63,Stickman Hook, 이거 개조
64,Stickman Hook, 간단하고 재밌어요
65,Stickman Hook, 제작자님 이거 끝이 어디죠?
66,Stickman Hook, 정말 꿀 잼!!
67,Stickman Hook, 갓겜찾았다!!
68,Stickman Hook, 아주 좋아
69,Stickman Hook, WOW BEAUTIFUL!
70,Stickman Hook, 와 이거 진짜 최고임 한 번씩 해보세
71,Stickman Hook, 너무 재미!!
72,Stickman Hook, 꿀 잼!!
73,Stickman Hook, 좋다!
74,Stickman Hook, 진짜 개꿀 잼임
75,Stickman Hook, 짱 진짜 꿀 잼
76,Stickman Hook, 너무 재밌어요.
77,Stickman Hook, 정말 재미있어요 안 깔면 후회합니다
78,Stickman Hook, 너무 좋아요
79,Stickman Hook, Good!!!!!!
80,Stickman Hook, 재밌어요!!!~
81,Stickman Hook, ㅏㅇㅇㅇ Djdnjec
82,Stickman Hook, it's good
83,Stickman Hook, 김정범 바보 되지 인정
84,Stickman Hook, 꿀 잼 캐릭터 재미있어요 GOOD!!
85,Stickman Hook, 너무 재밌어!!!
86,Stickman Hook, 좋고 재밌네요.
87,Stickman Hook, 재미있는 깨임
88,Stickman Hook, 생각보다 재밌다
89,Stickman Hook, 엄청 재미있어요
90,Stickman Hook, 재밌어욥ㅎㅎㅎㅎ
91,Stickman Hook, ㅅ 재밌어요
92,Stickman Hook, 진짜 시간 때우기 좋은 게임
93,Stickman Hook, 개꿀 띄
94,Stickman Hook, Good jab
95,Stickman Hook, 갸꿀띠
96,Stickman Hook, 좸있따
97,Stickman Hook, 재미나네
