,name,review
0,Subway Surfers, 심심하고 와이파이 안 터질 때 하면 딱 좋네요 재밌어요~
1,Subway Surfers, 몇 년 전에 하다가 복귀했는데 역시 꿀 잼은 꿀 잼!
2,Subway Surfers, 업데이트돼서 너무 예쁘고 재미있어요. 앞으로 더 재미있게 해주세요
3,Subway Surfers, It's good when you do not have Wi-Fi! Full chan! But let me get a lot of item boxes (?) When I play games.
4,Subway Surfers, 업데이트돼서 더 좋고 와이파이가 필요 없어서 어디서든지 할 수 있어서 좋네요
5,Subway Surfers, 꿀 잼입니다!
6,Subway Surfers, 안녕하세요 ㅠ
7,Subway Surfers, Lllllllooooooovvvvvvvveeeeee iiiiiiittttt!!!!!!
8,Subway Surfers, Good best game
9,Subway Surfers, 재밌어요
10,Subway Surfers, 좋음
11,Subway Surfers, 게임 재미있게 만들어주셔서 감사합니다
12,Subway Surfers, 정말 좋네요 예전에도 좋아했는데 이 게임을 꼭 해보세요~
13,Subway Surfers, 이 게임은 옛날ㄹ부터 해오던 거임
14,Subway Surfers, 오랜만에 해봤는데 정말 재밌다♡
15,Subway Surfers, 사실 다 뻥이에요
16,Subway Surfers, 너무 재밌어 요
17,Subway Surfers, 와이파이 없거나 시간 날 때 하는 게임~
18,Subway Surfers, 심심할 때마다 하는 게임인데 할만해요
19,Subway Surfers, 진짜 엄청 재밌어요!
20,Subway Surfers, 심심할 때 하면 완전 꿀 잼
21,Subway Surfers, 미션으로 캐릭터였기
22,Subway Surfers, 정말 잼 써요
23,Subway Surfers, 너무 재미이어요
24,Subway Surfers, 짱
25,Subway Surfers, 꿀 잼
26,Subway Surfers, 굳굳♥
