,name,review
0,SuperRetro16 (SNES), 슈퍼패미콤 인가 현대수퍼컴보이 게임이 하고 싶을 땐 이게 정말 좋습니다.
1,SuperRetro16 (SNES), 게임별 바로 실행 위젯 기능 추가해 주세요~
2,SuperRetro16 (SNES),유료 버전 쓰지만 하나도 안 아까움.. 드롭박스에 데이터 저장시켜서 다른 단말과 공유하는 기능도 매우 편리함 다만 프레임이 조금 떨어지는 듯
3,SuperRetro16 (SNES),게임 목록이 2개씩 생기는 건 뭐예요 게임 목록 불러오면 두 개씩 생기는데 뭐죠??
4,SuperRetro16 (SNES),Great Good for you
5,SuperRetro16 (SNES),이거 게임은 어떻게 다운 어떻게 다운로드하고 집어넣음? 어디서?
6,SuperRetro16 (SNES),굳 굳
7,SuperRetro16 (SNES),환불 요청 Phantagy star 4 가 되는지 알았는데 에뮬을 잘못 깔았어요ㅜㅜ 환불 요청 바랍니다
8,SuperRetro16 (SNES), Excellent
9,SuperRetro16 (SNES),
10,SuperRetro16 (SNES),진짜 좋습니다. 크로노 트리거 치트 쓰려고 구입했습니다.  근데 CHT 파일 넣으면 인식을 안 하는 거 같네요... 치트 일일이 다 입력해야 하네요 ㅠㅠ.  참고로 치트 입력 시 종류를 밑에 걸로 선택하고 입력하셔야 합니다. 그리고 여긴 리뷰입니다. 환불 요청 적는 사람 이해가 안 됨...
11,SuperRetro16 (SNES),엄청 좋아요 제가 라이트만 썼는데 이걸로 저장도 돼서 ㅋ
12,SuperRetro16 (SNES),제대로 해보고 까라 잘만 되는구먼 ㅡㅡ 강추
13,SuperRetro16 (SNES),잘만 되네요 못 쓰는 사람들은 인터넷 좀 보고 쓰면 금방 씁니다.  닌텐도 DS 게임은 당연히 안 되고요 GBA도 당연히 안되겠죠. 에뮬에 맞는 롬을 찾아서 하면 잘 됩니다.
14,SuperRetro16 (SNES),잘 쓰고 있음. 갤럭시 3에서 에뮬 잘 돌리고 있습니다~ 슈로 대 4차 한글 파판 6한글 성검전설 3영문 다 잘 돌아감~
15,SuperRetro16 (SNES),Rool Good
16,SuperRetro16 (SNES),굿~~~ 추억 돋네요
17,SuperRetro16 (SNES),아주 훌륭합니다 그리고 추가로 Sd 건담 gx 가 안됩니다 물론 여타 에뮬도 안되는 건 알지만 혹시나 했는데 역시 버그 걸리더군요 ᆢ 기술력을 발휘하셔서 꼭 구동됐으면 좋겠습니다  그리고 스타오션도 구동 중 튕김 ᆢ 뭐 이것도 에뮬로 구동하기 힘든 고퀠리티 인 건 알지만 한벗 새초롬 기대해봅니다
18,SuperRetro16 (SNES),밑에 이걸로 닌텐도를 돌리겠다는 사람이 있음;;  충격 굿 잡 잘 쓰고 있는 완소 앱 ㅋ 근대 천지창조 실행하니깐 크러시가 어쩌고 뜨면서 소리가  안 나옴 그거 왜 그럼?
19,SuperRetro16 (SNES),와ㅠㅠ 추억의 snes... 조작이 약간 아쉽지만 그건 뭐 어쩔 방법이 없는 것이고 폰으로 snes를 이렇게 쉽게 즐길 수 있다는 것만으로도 감동이네요 ㅠㅠ 링크된 사이트 가면 롬도 바로 구할 수 있고요. 리뷰에 ds 게임 같은 거 받아놓고 안된다고 하시는 분도 계시는 것 같은데 이건 snes(슈퍼패미콤) 전용  어플입니다~~! 닌텐도 게임 다 되는 게 아니고 snes 용 게임을 받으셔야 실행됩니다.
20,SuperRetro16 (SNES),좋네요 호환 문제로 사운드 깨지는 건 어쩔 수 없지만 슈퍼패미콤 롬 파일 돌릴 수 있다는 게 정말 좋아요
21,SuperRetro16 (SNES),아.. 정말 좋은 어플인데 쓸 줄도 모르는 것들이 모르겠떠염 안돼요 찡찡거려서 내가 다 화가 나네
22,SuperRetro16 (SNES),전 잘만 되던데..;; 갤노트 1입니다. 정말 잘쓰고있어요ㅎㅎ 예전에 엄마가 게임팩을 버려서 지금까지 못하고있었는데..ㅠㅠ덕분에 폰으로 다시하고있어요ㅎㅎ 사용법 모르시는 분들은 인터넷 검색하시면 나와요!
23,SuperRetro16 (SNES),감사합니다 되는 게임도 있고  안되는 게임도 있지만  업데이트를 통해서  해결될 거라고 보고 별 5개 드려요
24,SuperRetro16 (SNES),좋네요 이거저거 써 봤지만 이게 젤 좋네요 유료라 조금 망설였는데 돈값은 하네요 ㅎ
25,SuperRetro16 (SNES),넥서스 7 젤리빈에서도 잘 됨 HTC HD 2 랑 Nexus7에서 FF6 하려고 샀는데 잘 되네요 다만 한글판은 치트가 안 먹히는 거 같아서 쪼끔 실망 ㅋㅋㅋ 가끔 화날 때 치트 쓰고 싶은 충동이 팡팡 터짐
26,SuperRetro16 (SNES),ㄹ휴 촉루
27,SuperRetro16 (SNES),좋습니다 좋고요 사운드만 된다면 진짜 짱입니다
28,SuperRetro16 (SNES),좋습니다 안드로이드용으로 나온 SFC 에뮬 중 가장 완벽한 것 같습니다. UI도 깔끔한 것이 마음에 듭니다. 다만 진 여신전생 구동시 텍스트 아래 커서가 안 보이는데 이 게임을 좋아하는 입장에서 살짝 아쉽네요. 다른 대부분의 유명 게임들은 돌려본 결과 거의 완벽했습니다
29,SuperRetro16 (SNES),환불 자금 사용해보려 했더니 안됨 치트 코드 사용 안 됨 환불 요청
30,SuperRetro16 (SNES),굿 유료라는 게 아쉽지만  간단하게 파판 6 같은 거 하긴 좋네요.
31,SuperRetro16 (SNES), 성재
