,name,review
0,Swing Star, 너무 재미있어요. 전 오늘 아침 9시 48분부터 10시 27분까지 광고가 안 나와서 좋고요. 한 끈을 넘어도 안 죽어서 너무 좋아여♡~~재작자님 힘내세요.!!!~~♡
1,Swing Star, 재밌어요 업데이트 많이 해주세요
2,Swing Star, 쩔어
3,Swing Star, 가꿀 잼
4,Swing Star, 친구 폰으로 해봤는데 재미있어서 저도 이 앱 깝니다
5,Swing Star, 해거 없을 때 하면 꿀ㅈ잼! ㄹㅇ재미있ㅇ음
6,Swing Star, 진짜 제미 어요
7,Swing Star, 재미있어요 😊
8,Swing Star, 대~~~~~~~~~~~~~박!!!!!!!!!!!!!!!!!!!!!
9,Swing Star, 구우 우우 우우 우우 우우 우우 우우 웃
10,Swing Star, 재밌네
11,Swing Star, 재미있게 햇 습니다
12,Swing Star, Fun!
13,Swing Star, Good
14,Swing Star, 좋아
15,Swing Star, 굿
16,Swing Star," 현금 카지▷노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치 설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버 656이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는 게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요"
17,Swing Star," 현금카▷지노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치 설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버 812이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는 게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요"
18,Swing Star," 현금▷카지▷노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치 설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버 3777이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는 게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요"
19,Swing Star," 현금 카지▷노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 제작자님 제발 팀킬을 없애 주셨으면 합니다. 오늘 지금 음성으로 저를 놀리고 수류탄으로 팀킬하고 말 안 했다는 이유로 팀킬을 시도하고 이 팀 킬러들은 패거리로 다니는 사람들이 너무 많습니다. 이 점과 제가 말해주는 사람을 계정 영구 정지시켜줬으면 좋겠습니다 이름은 남자 덕원, TRLDwook, rujvfrhj 좋겠습니다 트입니다 제발 그전처럼 계정 영구 정지해 주시기 바라고 팀킬 없고 차별 없는 배그 세상이 되었으면 좋겠습니다"
20,Swing Star, 저 110 단계인데 제작자도 귀찮았는지 100단계부터 짜증 쉽다. 근데 광고가 너무 많은 단점 그리고 100단계 1단계보다 쉬움 근데 요즘 너무 쉬워서 재미가 없어요
21,Swing Star, 제발 광고가 많이 나온다고 만까지 말아주세요. 물론 광고가 많이 나온다고 생각한다면 와이파이를 끄고 하시는 것을 추천합니다.
22,Swing Star, 기분 나쁘시면 제 거리 삭을(리뷰 삭제)를 하겠습니다 이거 약간 스틱맨 훅 표절이 좀 생각이 듭니다 거의 70%가 똑같아요 그래서 리뷰를 남깁니다에서 보다시피 기분 나쁘시면 리 삭하겠습니다
23,Swing Star, 정말 재미있어요 이거 설치할까? 말까?라고 고민하는 사람들은 당장 꼭 설치하세요
24,Swing Star, 이거 정말 재밌어요!😭 즐기며 할 수 있으니 짜증도 안 나고ㅠ 좋습니다!
25,Swing Star, 업그레이드 좀 했으면 좋겠다는 생각이 많이 듭니다. ㅋㅋㅋㅋ 긑
26,Swing Star, 어려울 것 같아서 설치 안 하다가 친구하는 거 보고 쉽고 재미있어서 설치했어요 ᄒᄒ
27,Swing Star, 아 근데 ㆍㆍ‥ 사용자 관리 요청 오늘 립밤 아 근데 진짜 너무 좋아 좋아하는 사람
28,Swing Star, 이 게임은 뭔가... 하면 할수록... 중독되거나 빠져드는 게임인 것 같네요 짧게 말하면 짱짱 재미있는 게임
29,Swing Star, 광고 많다고 하는 애들 너네들이 게임을 만들어는봤나ㅋㅋ
30,Swing Star, 너무 재밌네요 게임 중 2위입니다
31,Swing Star, 재밌는데 광고 많다고 하시는 분들 제작자분 광고 아님 돈 못 벌어요 그니까 그냥 와파나 데이터 끄고 해요
32,Swing Star, 67단계에서 아무것도 못하고 계속 죽어요 ㅜㅜ
33,Swing Star, 정말 대박이에요 진짜 굳 good! 엄청 재밌고 게임 클리어 판정 범위도 엄청 커요 완전 진짜 제가 찾던 인생 최고의 게임이에요 good!!!!
34,Swing Star, 뭔데 이 미친 갓겜은 아니 미친 뭔데 개 갓겜자너 ㅁㅊ뭔데
35,Swing Star, 이거 뭐임? 재밌는데 66단계에서 왜 잡는 거 없음? 이거 고쳐주세요
36,Swing Star, 렉이 나 오류가 생기는데 좀 고쳐주세요.
37,Swing Star, 와이파이 끄고 하면 광고 없다 바보들아
38,Swing Star, 이상한 광고만 안 나왔으면 좋겠네요
39,Swing Star," 게임 자체는 좋은데요, 광고가 너무 많이 나옵니다 그러니 제발 광고 좀 줄여 주세요"
40,Swing Star, 67단계 개발 중임? 못 깸 ㅋㅋ
41,Swing Star, 구으ㅡ으으으으ㅡ므으응웃
42,Swing Star, 재밌는데 광고가 많이 줄어 주시고 멋있는 스킨 좀 추가하셨으면 좋겠어요
43,Swing Star, 음 그냥 그래요
44,Swing Star, 광고 좀 어떻게 해주세요 제발 좀 👌
45,Swing Star, 100단계 이후 다시 1단계로 돌아가는 건지 모르겠지만 101단계부터 쉬워지는군요. 재밌게 했습니다.
46,Swing Star, 이런 게임 또 없나요
47,Swing Star, 재미있긴 한데 좀 더 어렵게 해주시면 좋겠어요
48,Swing Star, 이거 100단계 넘어가면 다시 1단계부터 초기화돼요 단계는 101단계로 나오는데 난이도는 1단계임
49,Swing Star, 여 노노
50,Swing Star, 강추합니다 진저 꿀 잼임ㅋㅋㅋ
51,Swing Star, 광고 보기 싫으면 와파나 데이터 끄고 한샘
52,Swing Star, 님들아 이거 개 재밌음 달아 열 추천해주는 더니깐
53,Swing Star, 재미있었어요 근데 좀 어려운 게임입니다
54,Swing Star, 광고가 심하면 와이파이 끄면 되는데 그걸 모르네;
55,Swing Star, 너무 재밌음 랙도 안 걸리고
56,Swing Star, ㅈㄱㄷ느느그느느
57,Swing Star, 이 게임 만든 사람 최굑!
58,Swing Star, 67단계 어떻게 깨죠? 줄 묶을 게 없는데
59,Swing Star, 광고 뜨면 와이파이를 끄면 됩니다.
60,Swing Star, Good but to much ads
61,Swing Star, 67단계 어찌 깨죠
62,Swing Star, 갬브링도해
63,Swing Star, 줄 타는 개꿀 잼
64,Swing Star, 몰라 일단 재밌어
65,Swing Star, 스파이더맨ㅋ
66,Swing Star, 뭐 괜찮아요
67,Swing Star, 간단하고 재밌는데 왜 소리가 안 나나..
68,Swing Star, 재미ㅛ네오 ㅋㅋ
69,Swing Star, 멌있어요!
70,Swing Star, 재미있어요!!!
71,Swing Star, 스파이더맨 찍찍
