,name,review
0,Tank Stars, 오류가 너무 많고요 광고도 너무 많아요... 보상으로 상자를 주는데 솔직히 광고 보고 까는 건 점 아닌 것 같아요.... 한판 끝날 때 미다 광고 보고.. 그래도 이건 참을 만해요 근데! 오류가 너무 많아요 예를 들어 갑자기 튕긴다든지 아니면 갑자기 화면이 멈춘다든지 이것만 개선해주시면 더 재미있는 게임이 될 것 같아요
1,Tank Stars, 많이 재미있어요. ㅎㅎ
2,Tank Stars, 캐시 결제 완료 떴는데 게임에 머니랑 아이템 안 들어왔음요
3,Tank Stars, 재밌긴 한데 광고 좀 제발 줄여주세요 너무 광고 많이 떠요ㅠㅠ
4,Tank Stars, 재미있는데 업데이트 후 렉이 좀 걸리네요 그래도 재미있어요^^
5,Tank Stars, 최악이란 인간 내가 그 집 가서 그 인간 없앤다. 어!는 뻥
6,Tank Stars, 앙세나 띠니는 네가 못하는 거
7,Tank Stars, 와 넘나 재미있는 걸요 해보세요님덜ㄷㄷ
8,Tank Stars, 조작도 간단하고 조준 계심 좋아하는데 정말 재미있게 플레이하고 있습니다♥
9,Tank Stars, 재미있긴 한데 들어갔는데 메뉴 화면이 안뜸 탱크 만음 이거 진짜 다 격음
10,Tank Stars, 재미있긴 한데 정확도가 안 좋네요
11,Tank Stars, 렉이 좀 거리네요 그거만 고쳐주세요.......
12,Tank Stars, 짱! 이세요 탱크 이거 실화? ᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏ이세요! 바이~
13,Tank Stars, 너 무지막지하게!
14,Tank Stars, ㅗㄱㅎㄹ너옺ㅍㄹ
15,Tank Stars, 너무너무 재미인 시어 요 꿀 잼 최고
16,Tank Stars, Kv2도 출시해 주세요
17,Tank Stars, 어로ㅓㅇ어ㅓ너여영
18,Tank Stars, 아기자기한 그래픽에 탱크들도 개성 넘치고 재밌어요!
19,Tank Stars, 이 게임 정말 재밌어요!!
20,Tank Stars, 이렇게 해서 바로 조음
21,Tank Stars, 너무 재밌네요
22,Tank Stars, 처럴ㄹ24ㅗ.txt
23,Tank Stars, ㅎㅎㅎ제밌다
24,Tank Stars, 계속 게임을 하면 스마트폰이 거진 다.
25,Tank Stars, 가장 재미있어요
26,Tank Stars, 온라인 매치 만들어주세요 Please make an online match.
27,Tank Stars, 완전 대박날 게임 친선전잏었으면좋겠다
28,Tank Stars, 와 인생게임
29,Tank Stars, 진짜는 재밌음
30,Tank Stars, Wow!
31,Tank Stars, 게임이 재밌어요.
32,Tank Stars, 광고가 조금 많다....
33,Tank Stars, GOOD!
34,Tank Stars, 대박 인기가요 보고 싶다 진짜
35,Tank Stars, 스트레스가 잘 풀려요
36,Tank Stars, Good game
37,Tank Stars, 그냥 재밌음
38,Tank Stars, 시간 때우기 좋은 게임입니다.
39,Tank Stars, 재밌네요
40,Tank Stars, 재미는 있는 게임
41,Tank Stars, 너무 재미있어요!!
42,Tank Stars, 완전 재미있다는😇
43,Tank Stars, 정말로 재밌다
44,Tank Stars, 재밌어요 ㅎㅎㅎ
45,Tank Stars, 정말 정말 재밌어요!
46,Tank Stars, 재미있는 게임입니다
47,Tank Stars, 게 꿀 잼(실력은 영)
48,Tank Stars, 좋아요 😊😊
49,Tank Stars, 개꿀
50,Tank Stars, 감사함다
51,Tank Stars, 개꿀
52,Tank Stars, 그냥 잼
53,Tank Stars, 재밌어요
54,Tank Stars, Ahhh
55,Tank Stars, 꿀 잼
56,Tank Stars, Good
57,Tank Stars, 엄청 좋아.
58,Tank Stars, 👍
59,Tank Stars, 감사합니다
60,Tank Stars, 감사합니다
61,Tank Stars, 굳
62,Tank Stars, 굳
63,Tank Stars, 좋음
64,Tank Stars, 굿
65,Tank Stars, 좋아요
66,Tank Stars, 굿 잡
67,Tank Stars, 굿
68,Tank Stars, 굿
69,Tank Stars, 굿
70,Tank Stars, 최고
71,Tank Stars, 근데 이거... 300 정도 모아놨던 호박들이 모두 어디로 사라진 거죠? 한번 오류가 걸려서 게임이 끝나고 돈이 들어온 후 오류가 걸렸나 해서 다시 들어왔더니 호박이 모조리 사라졌네요 호박 좀 돌려주세요 -_-; 하필 며칠 안 남았을 때 사라져서 난감하네요....
72,Tank Stars, 업데이트 후 화면이 탱크만 뜸 (I have update and then no picture and there in a only tank grapic
73,Tank Stars, 이 개임이 계속 총을 쏘면 갑자기 멈추다가 튕깁니다 해결 부탁드립니다
74,Tank Stars, 보로 적을 공격할 수 있어서 재밌어요 적을 수록들을 수 있어서 재미있어요 적으로 적을 쓰러 트리 수 있어서 재밌어 적과 싸울 수 있어서 재밌어요
75,Tank Stars, 신태 만들죠.. 핼러윈도 얻고. ㅋㅋㅋ 1일 만에
76,Tank Stars, 업데이트 좀 해주세요 안이면 지울 거예요
77,Tank Stars, 정말 재밌고요. 정말 새로워요.
78,Tank Stars, 자폭 빼면 괜찮을 듯
79,Tank Stars, 이거 재미있어요ㅠㅠ
80,Tank Stars, 이거 진짜 상위권하고 하위권 나눠 주시면 안 돼요? 두 번 맞으면 RIP야
81,Tank Stars," 재밌네요, 그데 조금 더 좋아지면 좋겠어요 ♡"
82,Tank Stars, 너무 재미있어요ㅎㅎㅎ
83,Tank Stars, 딴 게임보다 100000000000000배 더 재밌어요
84,Tank Stars, 이번 핼러윈 보상 탱크 어디서 받아야 하죠?
85,Tank Stars, 할로원이 되니까 그림만 보이네요 빨리 수정해 주세요!!
86,Tank Stars, 조종 모양 하고 터치도 없어졌어요
87,Tank Stars, ♡5500원 풀어주시면 안 돼요♡
88,Tank Stars, 엄청 재미있어요
89,Tank Stars, Awesome game man
90,Tank Stars, Thank you for update
91,Tank Stars, 개꿀 잼임 레알
92,Tank Stars, 여러분도 해보세요
93,Tank Stars, 정말 잘 만든 게임 베스트 1위임
94,Tank Stars, Good games
95,Tank Stars, !!!!!!!! 재밌어!
96,Tank Stars, 저 말 최고야 (폭하다)
97,Tank Stars, 이 게임 그래픽이 최고 재밌다
98,Tank Stars, 보통이네요
99,Tank Stars, 겁나 꿀 잼
100,Tank Stars, this is good game
101,Tank Stars, 내ㅇ
102,Tank Stars, 재미있는 것일
103,Tank Stars, 재밌다아아아앙!!!
104,Tank Stars, 좋은 게임이네요
105,Tank Stars, 너무 재미있네요
106,Tank Stars, Good
107,Tank Stars, good
108,Tank Stars, good
109,Tank Stars, 잼
110,Tank Stars, 꿀
111,Tank Stars, 재미있는 게임
112,Tank Stars, 굿
113,Tank Stars, 굿굿
114,Tank Stars, 굿
115,Tank Stars, 좋아요
116,Tank Stars, 굿
117,Tank Stars, 좋다
118,Tank Stars, ♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡
119,Tank Stars, 옛날에 했던 유저입니다. 옛날에는 재미있게 했지만 요즘 다시 들어가 보니 들어가서 시작한 다음 한 발 쏘면 화면이 멈추고 아무것도 안되네요. 하지만 옛날에는 잘 되었는데 다시 까니가 이러네요. 옛날에는 재미있게 했기 때문에 갓 게임인 건 알지만 게임을 못하니 힘드네요
120,Tank Stars, 장난합니까? 10월에 3일 동안 다이아몬드 멤버십 체험판 사용했더니 지금까지 주간 8000원을 그냥 꽁쳐가는게? 그동안 게임도 안 하고 정식으로 다이아몬드 멤버십 가입조차도 안 했는데 이렇게 사기를 치시네요? 10월부터 지금까지 돈 납부했던 것 모두 환불 부탁합니다. 솔직히 게임은 재밌었는데 이렇게 통수를 후려치네요?
121,Tank Stars, 음... 다 좋은 게 튕김 오류가 너무 많이 나서요... 게임 중간에는 안 튕기는데 게임 끝나거나 상자 열려고 광고다 보면 갑자기 나가죠요.... 오류 좀 해결해주세요
122,Tank Stars, 친구 추가해서 같이 2개의 폰으로 대결하는 기능이 있게 되면 이 게임은 제 인생 중에 제일 재미있는 게임이 될 겁니다.
123,Tank Stars, 개꿀 게임 발견! 친구가 알려줬는데 정말 재미있어요. 솔직히 광고는 재미없더라고요. 광고를 더 재미있게 만들면 더 많은 사람들이 설치할 것 같아요. 업데이트가 쭉쭉 되면 좋겠습니다.^^
124,Tank Stars, 이. 너 누나 눈 거 이상한 게임 안임 그러게 생각함용임
125,Tank Stars, 제작자님 진짜 이런 게임 어떻게 만드셨었어요??나도 이런 게임 만들고 싶어요( 너무 잘 만듦)
126,Tank Stars, 다 좋긴 한데 광고 좀 고안하고 오류도 고쳐주세
127,Tank Stars,
128,Tank Stars, 이렇게 재밌는 게임은 처음 다른 게임은 계속하면 질리지만 이 게임은 최고👍
129,Tank Stars, 근데 까는 시간이 너무 길어요.
130,Tank Stars," ㅎㅎㅎ 초등학생 때 PC로 했었는데, 새록새록 기억이 나네요. 재밌습니다.^^"
131,Tank Stars, 다 좋은데 광고 좀.ㅡ
132,Tank Stars," 탱크도 귀엽고, 그래픽 등등 다 좋은데 가끔씩 렉이 걸릴 때가 있어요. 그것만 고쳐주시면 완벽합니다."
133,Tank Stars, 스킬이 여러 가지 있어서 재밌네요
134,Tank Stars, 근데요 차가 자살에서 자꾸 이 껴요
135,Tank Stars," hello , i want to say a few requitrments. there is no rank system in this game. please consider rank system."
136,Tank Stars, 탱크를 사용하는 게 좋습니다! 자세히 보기
137,Tank Stars, 스~저는 엄청 재밌네요 별 5게 드리겠습니다
138,Tank Stars, 재미있어요~^^ 근데 방금 깔아서 잘 못해서 허파 보고 배웠어요 더 재미있게 만들어 주세요~~♡
139,Tank Stars, 와이파이 끄고 하면 공고 안 뜸
140,Tank Stars, frost tank is overspec onekill nono
141,Tank Stars, 꾸르잼 근데 광고가 많음 그래서 나는 와파 끄고 함ㅋ
142,Tank Stars, 사운드가 오락가락하네요?
143,Tank Stars, 간단히 포트리스 생각나고 재밌네요
144,Tank Stars, 저 이거 제가 해 본 게임 중 제일 최고임
145,Tank Stars, 온라인이면 좋겠다.
146,Tank Stars, 너무너무 재미있습니다. ^^
147,Tank Stars, 광고 좀 없애주세요
148,Tank Stars, 와으으으ㅡ으응
149,Tank Stars, 잼 있음 ㅡㅡㅋ
150,Tank Stars, 광고 미친 듯이 나와서 돈 주고 광고 없앴는데 광고는 그대로 뜨네요 머죠
151,Tank Stars, 진짜 와이파이 끄면 광고 안 뜨네
152,Tank Stars, 이모티콘은 어째 사용하나요? pvp 할 때 상대가 이모티콘 쓰던데..
153,Tank Stars, 돈 투자!!!!!!
154,Tank Stars, 업데이트 정말 멋있습니다
155,Tank Stars, 진짜 제 있음ㅋㅋㅋ
156,Tank Stars, 여러분 꿀 팁이요 오! 와이파이랑 데이터 연결 끊으면 광고가 나오지 않습니다^^
157,Tank Stars, 겜브링님요거재미어요
158,Tank Stars, 이 게임 너무나 재미가 있어요
159,Tank Stars, 넘나재민는것 근대 랙 심함
160,Tank Stars, 재밌는데 상대가 너무 이상해요
161,Tank Stars, 팀점 좀 해주세요.
162,Tank Stars, 너 우우 너 너ㅓ는
163,Tank Stars, 광고 줄이 연 꿀 잼 게임
164,Tank Stars, 탱크가 정말 멌집니다
165,Tank Stars, 더 만은 게임을 만들어보세요!
166,Tank Stars, 렉이 너무 많이 걸리는 것 만 고치면 최고의 게임이에요
167,Tank Stars, 재밌어요 업데이트 나중에 기다릴게요
168,Tank Stars, More tank mean more fun-! And that's what I'm looking after👍
169,Tank Stars, 처음인데 아주 재밌어요
170,Tank Stars, 광고만 줄여 주세요. 너무 많아요.
171,Tank Stars, 저도 오류가 나요
172,Tank Stars, ㅛ 그리고 내가 다
173,Tank Stars, 가는 중입니다 아
174,Tank Stars, 추억의 게임
175,Tank Stars," 나네요, 러시아 킥 있다"
176,Tank Stars, 와 재미다
177,Tank Stars, 재 재 재밌다
178,Tank Stars, 이런 탱크게임 처음 함 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
179,Tank Stars, 이거엉청 재밌음
180,Tank Stars, 진짜 재가한 게임 중 재미있고 추천하고 싶어요^^
181,Tank Stars, 객군 잼 0
182,Tank Stars, ㅗ너노냐 컨
183,Tank Stars, I like this game
184,Tank Stars, 표현할 수가 없어요.. 대게 재밌어요
185,Tank Stars, 정말 재밌다
186,Tank Stars, 아 개꿀 잼
187,Tank Stars, Wow that is so awesome
188,Tank Stars, I like it
189,Tank Stars, ㄴ나나나 자
190,Tank Stars, 이 맵잘 만들었다
191,Tank Stars, ㅏ다ㅇㅈ
192,Tank Stars, 너무 재밌다
193,Tank Stars, 짱 재미있어요
194,Tank Stars, 최고로 재밌어요
195,Tank Stars, 죽이는 맛이데 박!!!!!!!!
196,Tank Stars, 상자 얻은 거 어떻게 열지 모르겠어요
197,Tank Stars, 아주 좋소
198,Tank Stars, 개꿀 잼
199,Tank Stars, 정말 재미있어요.
200,Tank Stars, 너무 쉬워요~
201,Tank Stars, Good!!~
202,Tank Stars, 아주아주 재밌어요.
203,Tank Stars, 추억 돋음!!!
204,Tank Stars, 재미있는 게임이다
205,Tank Stars, 우. 와. 정. 말. 재. 미. 다
206,Tank Stars, 너무 귀엽다
207,Tank Stars, 재미나요
208,Tank Stars, 아주 조연
209,Tank Stars, 응 아니야.
210,Tank Stars, 괜찮은 편입니다^^
211,Tank Stars, 이거 그래픽 보소 최고다
212,Tank Stars, 게임이 참 재밌고 좋다
213,Tank Stars, 재미있게 잘 어울리는 그런 느낌
214,Tank Stars, This is 스파르타
215,Tank Stars, 좋네요
216,Tank Stars, 굴재므
217,Tank Stars, 재미나요
218,Tank Stars, 게 꿀 잼임
219,Tank Stars, 핵꿀잼
220,Tank Stars, 게꿀띠
221,Tank Stars, 게 꿀 잼
222,Tank Stars, 개꿀 잼
223,Tank Stars, 재미나네요
224,Tank Stars, 시간 때우기 좋음!
225,Tank Stars, 탱크 짱 짱
226,Tank Stars, 겁나 꿀 잼
227,Tank Stars, 제민 아제 미나
228,Tank Stars, 심심할 때 좋은 게임
229,Tank Stars, 시간 때울 때 좋음
230,Tank Stars, 은근 중독성 재미있음
231,Tank Stars, very fun!
232,Tank Stars, 와!! 너무 재미있네요.!!
233,Tank Stars, 죔죔
234,Tank Stars, 오호라
235,Tank Stars, 진동 ㅋㅋㅋ
236,Tank Stars, 중말 밥 도둑이에요~
237,Tank Stars, 엄청 재미있어요
238,Tank Stars, 재미있는 게임입니다
239,Tank Stars, 재밌어요 추천
240,Tank Stars, 너무 재미있어요
241,Tank Stars, 너무 재미있어요
242,Tank Stars, 재미있습니다
243,Tank Stars, 아주 재미있어요
244,Tank Stars, 간단히 조와 여
