,name,review
0,The Room Two, 캐릭터 하나 얻으려고 수만 원을 써야 하는 창렬 한 가챠로 가득한 게임보다 저렴한 가격으로 완결된 게임을 즐기는 것이 당신의 즐거움을 위한 선택이다. 현질 유도 게임보다 훨씬 플레이 경험도 뛰어나다.
1,The Room Two,그럭저럭 퍼즐 좋아하면 재밌게 할 듯. 그래픽에 눈 호강합니다ㅠ 중간중간 무서운 장면도 있긴 한데 그럭저럭할 만해요.  하지만 5단계가 끝이라 너무 서둘러 하다가는 돈 아까울 수 있음. 그래도 단계마다 시간이 좀 걸리니 돈 값어치만큼은 하네요
2,The Room Two,재밌어요! 한국어로 번역 안된 게 좀 아쉽긴 하지만ㅋㅋㅋㅋ대충 다 알아먹겠더라고요.. ᄒᄒ 이제 3 사러 갑니다
3,The Room Two,재밌어요. 1편 해보다가 3편까지 결제해서 다 엔딩 봤어요. 요번에 ios는 2까지 한글화됐던데 안드도 빨리 됐으면 좋겠어요. 정말 재밌습니다.
4,The Room Two,2천 원으로 피시방 가서 오버워치 두 시간 할 바엔 이거 하나 사서 사고력 기르는 게 100배는 더 좋네.............. 팔로 떠납니다
5,The Room Two,한글판도 룸은 다시 구매해야 되는 건가요?? 예전에 이거 영문판 너 룸을 돈 주고받았었는데 한글판 나왔다길래 뭐 그냥 한글판 되겠지 했는데 안 되는 거 같은데... 한글판 너 룸은 다시 돈을 주고받아야 하는 건가요??
6,The Room Two,역시나 다룸 1 때랑 달라진 게 있다면 더 깨야 할 게 많아짐 그리고 아쉬운 점은 힌트가 영어...ㅠㅠ 1은 한국어였는데 2에서는 한국어 지원이 안됨 마지막은 영화급 퀄리티 굳굳
7,The Room Two,방금 엔딩 봤어요 아... 아직도 가슴이 뛰는 것 같아요 정말 시간 가는 줄 모르고 푹 빠져서 두근두근하며 즐겼습니다 진짜 재밌어요! 이제 3 시작해야지
8,The Room Two,고퀄리티 퍼즐 게임 짜임새 있는 구성에 훌륭한 연출! 한글판이 빨리 나왔으면 좋겠네요~
9,The Room Two, 뼈다귀 나올 땐 심장이 좀 뛰더군요~하얗게 밤을 지새웠습니다 ㅎㅎㅎ 2017년 말에 하나 더 나온다던데
10,The Room Two,최고다 말이 필요 없는 3탄까지 날 새서 하게 된다
11,The Room Two,재밌어요 ㅋㅋ 방 탈출 게임 중에 단연 최고네요
12,The Room Two,음  보컬의   게임 다 굳
13,The Room Two,The best 돈 더 받아야 되는 게임입니다.
14,The Room Two,정말 최고임 오랜만에 이런 게임 하네 정말 최고다
15,The Room Two, 상상력 자극 두뇌 자극 꿀 잼이다
16,The Room Two,검색... 이거 왜 검색이 안되는 거죠?
17,The Room Two,꿀 잼!! 번역이 없어서 아쉽지만 눈치껏 할 수 있어요!!
18,The Room Two, 어려웠지만 해볼 만한 퍼즐. 드디어 제대로 방이란 걸 탈출:)
19,The Room Two, 시간 가는 줄  몰랐네요
20,The Room Two, 완전 인생게임 그래픽도 최고인데 스토리도 최고이고 문제도 최고
21,The Room Two,말 필요 없다
22,The Room Two,재밌음 4시간이 금방 지나가네
23,The Room Two, The best game ever ! Worth to try
24,The Room Two,The room Is must have item
25,The Room Two,당연 최고 설명이 필요 없음..
26,The Room Two, 정말 졸잼
27,The Room Two, 긴박한 게임 두 번째!
28,The Room Two,최고 시간 가는 줄 모름.
29,The Room Two,thanks gg
30,The Room Two,최고 죄고 탈출 게임계 최고
31,The Room Two,작살 재밌음 대박
32,The Room Two,강추. 이만 원도 아깝지 않습니다.~^^
33,The Room Two, 짱
34,The Room Two, 최고의 게임
35,The Room Two, 굿.. 그래픽 좋음..
36,The Room Two, 최고
37,The Room Two,최고예요 이런 게임은 처음이에요ㅠㅠㅠ 리뷰도 웬만해서 안 쓰는데 너무 재밌어서 추천하려고 씁니다. 단서도 머리 조금만 쓰면 찾을 수 있고 그래픽도 훌륭해요. 암호 풀 때 억지가 없어서 더 좋았음ㅎㅎ다들 한 번씩 해보시길 ㅠㅠㅠ
38,The Room Two,21세기 최고의 게임! 이 게임은 말하자면 유죄이다. 그냥 말 안 해도 모두가 이해하고 즐기는 최고의 게임! 새 챕터 열릴 때가 조금 무서웠지만 정말 엄청나다. 초등학생이라면 용돈 모아서 편의점에 기프트카드 사세요! 더 이상 말하기 힘들....쀍뛝...내..ㅇ...입..뿛뛟췛쵊
39,The Room Two,※필독 자꾸 게임이 안된다는 분들께 핸드폰 사양 좀 보세요 님들 자꾸 안된다고 하시지 말고 플레이하다 보니 사양이 높은 편이라서 사양 호환성 체크도 하시고요 참고로! 전 갤럭시노트 3입니다 잘 돌아가고 플레이하는데 지장 없습니다 그리고 재미있네요 좀 뭐랄까 미궁의 방 탈출 수수께끼 같은 모험적인 플레이 같네요 최고!
40,The Room Two,진짜 고퀄리티 게임! 비록 하루 만에 다 클리어했지만 (클루를 남발했고^^;) 진짜 긴장감 최고에 재미있는 게임이었습니다.  이번 2탄이 처음이었는데 1탄이랑 3탄도 다운로드 확정입니다!
41,The Room Two,이거 하면 다른 방 탈출 게임이 시시해져요 2500원이 하나도 안 아까운 정도가 아니고 이 퀄리티가 2500원밖에 안 한다니 놀라운 정도예요. 그래픽 퀄리티가 너무 좋아서 그거 감상하는 재미도 쏠쏠했어요. 다 깨고 나니까 끝났다는 게 너무 아쉬워요ㅜㅜ
42,The Room Two,"한편의 영화다 내용과 그에 따른 완성도가 매우 높다. 억지스러운 진행이라든지 뻔한 스토리의 전개가 없어 지루하지가 않았고, 그래픽이나 조작 등 퀄리티가 상당하다. 게임을 하고 나서 마치 한편의 영화를 본듯했다. 최고 몰입도의 게임!!"
43,The Room Two,정말 재미있네요 혹시 계속 cloud와 동기화돼서 문제가 되는 분들은 동기화 옵션 끄고 진행하면 됩니다 저도 그것 땜에 삽질을..
44,The Room Two,재미있었어요 굿굿. 1 해보고 믿고 결제했어요. 반나절 동안 재미있게 했네요. 아쉬운 건 한국어가 안 되어있다는 것?? 1처럼 한국어도 나오면 좋겠어요~
45,The Room Two, 몇 달 전에 갤 5에서 약간 오류가 있었는데 다시 해보니까 고쳐졌어요. 그래서 또 재밌게 플레이했습니다. 진짜 돈 더 줘도 안 아까운 게임. 너무 재밌어요.
46,The Room Two,재밌어요!!! 방 탈출 게임 중에 최고 퀄리티라고 말할  수 있을 것 같아요. 엔딩 보면서 감탄했어요ㅎㅎ 계속 좋은 후속작 만들어주시길~
47,The Room Two,"3은 언제 나오나요? 아주 고대하고 있습니다. 1, 2도 정말 몰입도 최고였어요. 적절히 머리도 쓰고요 ^^좀 더 어렵게 나와도 쾌감 있을 것 같아요."
48,The Room Two,"좋다 스토리의 개연성을 떠나서, 게임 자체가 재밌다. 전편이 상자 하나 가지고 별 짓을 다해서 더 참신하게 느껴지긴 했지만 이번 건 더 넓어짐."
49,The Room Two,룸 1에 이어 플레이합니다 돈이 전혀 아깝지 않은 게임이죠~하지만 한국인이라면 아쉬울 한 가지! 아직 룸 2는 한글화가 안됐네요 ㅋㅋ 게임 특성상 눈치껏 하거나 그렇게 장문의 영어는 아니니 힌트 정도를 읽는 데는 큰 문제는 없지만 그래도 몰입감이 한글에 비해 떨어지는 건 사실이네요... 그래도 별 5개가 아깝지 않은 게임입니다
50,The Room Two,"말도 안 되는 미친 퀄리티 적절한 난이도와 뛰어난 그래픽, 환상적이고 으스스 한 연출력 어느 것 하나 깔게 없는 최고의 게임"
51,The Room Two,"돈값은 확실히 합니다.. 방 탈출, 퍼즐 좋아하는 분이라면 추천합니다. 룸 1은 렉 때문에 못하겠던데 2는 렉도 없이 신선한 내용도 있어서 추천합니다."
52,The Room Two,1 하고 왔는데 최고네요 너무 여기저기 왔다 갔다 해서 귀찮긴 했는데 너무 재밌게 해서 괜찮아욥
53,The Room Two,두말 필요 없다 2천 원으로 즐길 수 있는 최고의 시간이었다. 퀄리티는 무조건 보장. 한글판을 기다려본다
54,The Room Two,꼭 해봐야 해요 고퀄 그래픽에 기하학... 미스터리한 요소가 많아서 적당히 섬뜩했던 거 같아요. 진짜 집중하게 만들어요...!!
55,The Room Two,룸 2에서 드라이버 구하고 나서요 상자 아랫부분 옆으로 젖히는 거 계속 제자리로 돌아오는데 그거 어떡해 고정시키나요
56,The Room Two,최고의 게임!! 돈이 아깝지 않을 만큼 재밌어요ㅎㅎ
57,The Room Two,소름 돋았다. . 돈이  전혀  안 아깝다고 느낀 게임... 어떻게 이런 게임 만들었지... 이어 후..  만 원에  팔아도 살만한 가치가 있는 게임
58,The Room Two,멋진 게임 기존의 방 탈출 게임류와는 비교불허. 힌트 보는 것에 부끄러워하지 말자
59,The Room Two,한마디만 한다면 담 편 나오면 필구 합니다
