,name,review
0,The Room,"퀄리티 최고입니다. 참고로 한글판도 나왔는데 영문판이랑 결재 연동되지 않습니다.(즉, 새로 구매해야 한다는 얘기) 참고하세요."
1,The Room,This game is My first payed game and i love it! Thx u guys to mack this game and i'm going to play room 2 so cya
2,The Room,버벅임 해결된 듯 굿!
3,The Room, Magnificent!  Puzzle after puzzle!  It's just awesome!
4,The Room," So addictive, abt to buy Room 2"
5,The Room, 긴박한 게임!
6,The Room,재밌네요 재밌어요
7,The Room, 와.... 하나하나 해결해 나갈 때마 짜릿해요; 게임 진짜 잘 만들었다
8,The Room,Too addictive Omg
9,The Room, 돈이 안 아까울 만큼 재밌네요
10,The Room,왕 재밌다 Fireproof Games 정말 감사합니다
11,The Room, Have patience
12,The Room,최고~~ 별점 열 개 주고 싶을 정도
13,The Room, 최고 perfect game
14,The Room, Www
15,The Room, 굿
16,The Room,아주 재밌습니다. 영어로 메모 같은 거 나오는데 안 읽어도 아무 문제 없고. 아이템 한두 개 얻으면 곧바로 소모해버리니 별로 복잡하지도 않아요.
17,The Room,굿 매우 재밌는 게임!
18,The Room,진심 좋아요 정말 시간 가는 줄 모르고 플레이했네요. 번역이 안 되어있어 힌트라던가 편지 같은 건 읽을 수 없어도 영어를 잘 모르더라도 충분히 게임을 즐길 수 있게 되어있어요. 이런 게임이 1달러 정도라니... 제작진 짱짱만!!
19,The Room,"지금까지 경험한 스마트폰 게임 중 최고!! 유저분들의 찬사를 믿고서 다운로드했는데, 저 역시 찬사를 보낼 수밖에 없네요... 그래픽, 재미, 모든 면에서 훌륭해요!! Escape game을 좋아하시는 분들이라면 강추!! 초보자분들은 화면 오른쪽 상단의 ""?""버튼과 eyepiece를 잘 활용하시길!!"
20,The Room,정말 잘 만든 게임 한편의 영화를 보는 듯 긴장감을 주면서 퍼즐에 대한 몰입감과 기발한 아이디어가 돋보인다. 챕터가 짧은 게 흠이라면 흠. 막판에 좀 더 반전적인 요소가 있었더라면 어땠을까? 힌트를 보게 되면 난이도가 낮아지니 보지 않고 하길 추천합니다
21,The Room,고퀄리티 명작 게임 머리가 아프고 어려워서 중간 막힐 때마다 공략 보고 풀긴 했지만 돈 안 아까운 게임이네요. 그래픽도 아이디어도 훌륭해요. 다만 제가 영어를 못해서 스토리를 이해 못 한다는 게 함정 ㅜ.ㅜ 한글화 나왔으면 좋겠어요
22,The Room, 폭력성을 거세하고도 이런 작품을 만들 수 있다는 사실이 믿기지 않는다. 스파크처럼 튀는 상상력이 두꺼운 이불을 뒤집어쓰고 절제된 동작으로 대응한다. 그 안에서 둔중하게 전개되는 긴장이 압권이다. 오랜만에 제대로 된 게임을 만진 기분이다.
23,The Room,말이 필요 없다 닥트 영어라 불편함이 있을 수는 있지만 그딴 건 안드로메다로 보내버리는 게임 다 깨고 2 받으러 간다 곡
24,The Room,굳굳! 영어 유저가 아니라는 데에 좌절했지만 영어 좀 알아보시는 분은 쉽게 깰 듯 ..ㅋㅋ 근데 제작진 천재인 듯 ㅡㅡ; 오만가지를 저 작은 박스에 욱여넣다니ᅳᅳ:
25,The Room,진심 돈하나도 안 아깝다 오히려 더 줘야 할듯한 기분임. 다운로드하고 진짜 딴짓 안 하고 이것만 할 만큼 몰입도도 쩔고 그만큼의 퀄리티가 있다. 돈 전혀 안 아까웠고 개발자님 잘 즐겼습니다.
26,The Room,최고 정말 게임이 짧다는 거에 이렇게 아쉬움을 느낄 줄이야ㅜㅜ정말 돈을 더 주고서라도 더 많은 단계가 있었으면 하는 게임 진짜 퀄리티가 장난 아님. 어떻게 이런 게임이 이 가격이지?
27,The Room,절전모드 끄니까 다 되네요 챕터 2 누르면 열리다가 멈추고 열려서도 터치 한 번 하면 또 멈춰서 곤란했는데 절전모드 끄고 하니까 되네요!!! 진짜  좋아요 짱잼 ㅎㅎ
28,The Room,내 생애 최고의 모바일 퍼즐게임 모뉴먼트 벨리? 다 ㅈ까라 이 게임이 최고다 나중에 상황 봐서 2도 지른다. 좀 짧은 감이 없지 않지만 1200원인데 컵라면 하나 안 사 먹고 해볼 만한 게임
29,The Room,말로 설명이 안 된다 처음에 순간 더블 탬ㄱ미속 다른데 해서 좀 헷갈럈는데 1챕터 깨니까.. 와.. 이건 엄청나다 이 말밖에 안 나옴 진심 지르길 잘한 듯
30,The Room,이거 진짜 대박..... 이건 무슨 게임이지.. 제작자는 대체 어디서 온 사람인가.. 이건 혁명이다 시밤 이런 게임은 듣도 보도 못했어 이제서야 이런 게임을 해보다니 으엉엉ㅜㅠㅠㅜ 닥치고 내 돈 가져가 지갑을 다 가져가
31,The Room,재밌네요. 기발하고 비밀스러운 상자의 비밀을 풀기 위해 세심한 관찰력과 약간의 응용력이 필요합니다. 완성도 높은 작품에 박수를 보내며 후속편도 기대됩니다.
32,The Room,"딱 내가 원하던 게임 '검은 방'이나 '회색도시' 같은 걸 즐겨 하던 사람이라면, 이 게임 강추합니다.  '방 탈출'따위와는 비교가 안됨.  스토리라인이 없어서 허전하지만, 퍼즐 그 차체가 이 게임의 모든 것을 커버하네요."
33,The Room,영어 알면 좋음. 설명이랄까 힌트가 영어로 나오는데 읽을 수 있으면 도움이 됨. 그런데.... 풀지도 않은 룸들이 왠지 모르기 다 언락되 있는 건 왤까..
34,The Room,재미지네요 막히면 중간중간 힌트도 나와서 공략도 따로 안 보고 할 수 있었어요. ㅎㅎ게임을 진행할수록 신비롭고. . 어쨌든 오래간만에 만족스럽네요. ㅎㅎ
35,The Room,별 5개가 아쉬운 게임 5개로는 모자라요!! 10개 20개 100개는 주고 싶은 게임! 어떻게 이런 걸 생각해내죠?????? 방 탈출/추리게임을 좋아한다면 강추!!! 이게 1200원이라니!!! 더 비싸도 좋으니 이런 게임 더 만들어주세요ㅠㅠㅠㅠ
36,The Room,대박 잼 돈 전혀 안 아까움ㅋ.ㅋ 나도 이거 4시간 만에 풀고 자고 일어나서 바로 tow 받아서 했지만 완전 꿀 잼 레알잼ㅋㅋ 다 깨고 다시 해도 재밌음
37,The Room,"인정할 순 없지만, 핵. 꿀. 퍼즐이라서 기대해서 샀는데, 와 이건이 정도 유로 1,200인데 진짜 꿀 한 번 사보시고 해보면 두뇌 돌아갈 듯.  그리고 심지어 돈이 안 아까워, 아 이거 해보세요 몇 번 하니까 공략 자체를 외우게 됨"
38,The Room,스스로 리뷰 달긴 첨이네요 좀 짧은 감이 있지만 정말 재밌게 했습니다 돈이 아깝지 않을 만큼ᄒ엔딩 나오는 게 아쉽더라고요 ᄒᄒ
39,The Room,장난 아니게 최고임 처음에는 평가들 보고 좀 의심스러웠는데 해보니 그 말들이 플린 말은 아니군요! 나중에 2도 사야겠어요
40,The Room,오~~~~최고 이런 거 많이 만들어쥬세여~^^ 너무 재미나네요~하나하나 풀고 해결할 때마다 흥미진진ㅋㅋ 근데 이거 2 어디서 받나요 플레이스토어 아무리 찾아도 없어요...ㅠㅠ
41,The Room,"일단 사보세요 진짜. 뭔가 조용한 분위기와 소리, 조작감이 몰입하는데 아주 좋네요. 기분 좋게 머리 굴리긴 또 처음입니다. 돈이 안 아깝습니다. 너무 마음에 들어요."
42,The Room,엄청나게 머리를 많이 쓰는 트릭형이라기보다는 숨은 장치를 찾고 이리저리 건드려서 깨는 타입? 근데 재밌다. 마냥 쉽지도 않고. 잘 질렀다고 생각함. 영어고 자라 한국어로 번역되면 더 편하겠다 싶긴 함
43,The Room,최고! 설치하고 나서 계속 풀어 엔딩 보고 2탄도 결제해버렸어요. 조금 아리송하지만 차근히 풀다 보니 다 풀리네요
44,The Room,좋네요 어디 오류도 안 보이고 그래픽도 쩔어요. 단지 그래픽이 쩔어서 그런가 로딩이 좀 길다는 것 빼고는 다 좋아요 ㅎㅎ
45,The Room,진짜 최고 평잔 안 남기는데 이 게임은 최고다... 영어 몰라도 깰 수 있다 정 모르겠으면 공략 찾아서 모르는 것만 하고 혼자 하려고 하면 더 좋다
46,The Room,퀄리티가 높은 반면 가끔 생기는 렉이 단점이지만 그 정도는 감안이 될 만큼 좋은 게임인 거 같아요. 2탄하고 나서 1탄도 했어요. 3탄 꼭 나왔으면 좋겠어요
47,The Room,내 생에 최고의 퍼즐게임 이러니까 광고같네ㅋㅋ 암튼 돈 내고 산 값을 정말 톡톡히 하네요. 첨엔 분위기가 무서워서 아씨 잘못 산 거 아냐 싶었는데 나중엔 그것도 즐길 만큼 재밌었습니다. 원랜 탈출 게임할 때  힌트 자주 보고했는데 이 게임은 힌트 보면 괜히 자존심 상함ㅋㅋㅋ
48,The Room, 다운로드하고 4번인가 플레이했는데 몇 번을 해도 안 질리고 재밌네요. 색다르고 재밌고 신선하고. 오히려 너무 싼값에 플레이하는 거 아닌가 싶을 정도로 좋아요. 빨리 3도 나왔으면 좋겠음
49,The Room,독특해요 게임을 이렇게 멋지게 만들 수 있다니 놀라워요. 힌트가 없었다면 절대 못 끝냈을 거예요ᄒᄒ
50,The Room,진짜 잘만든게임ㄷㄷ 평들이 너무 좋길래 구입했는데 첨엔 영어라서 완전멘붕ㄷ 근데 영어 해석 하나도 안 하고 해도 게임하는데 큰 지장은 없는 듯ㅋ 진짜 탈출 게임 좋아하는 마니아들한테는 완전 강추!!! 진짜 이 정도 퀄리티에 이 가격이면 그냥 공짜로 한다고 봐야 할 듯??  근데 사운드는 진짜 호러임ㅠㅠ 두부 멘틀이라 무서워서 결국 사운드끄고함ㅠㅠ
51,The Room,엄청나다. 진짜 이 퍼즐을 풀어나가는 사람보다 이런 퍼즐게임을 만든 분께 존경을 표합니다.
52,The Room,이 정도 유료 면 싼 겁니다 꼭 해보세요 자기 전에 불 꺼놓고 하면 엄청 재밌습니다 2도 바로 겔 제해서 했는데 돈이 안이깝네요
53,The Room,개쩔어;;; 와ㅋㅋㅋㅋㅋㅋ진짜 내가 게임 수백 개 해봤지만 이거만큼 치밀하고 완성도 높은 게임 처음 봤네요 소름;; 진짜 재밌다.. 다른 게임 비교불가;;;; 이거 돈 아깝다는 애들은 미친 거ㅋㅋㅋㅋㅋ
54,The Room,오랜만에 퍼즐게임 재밌게 했네요 이 가격에 스테이지도 꽤 있고 난이도도 적당하니 좋았습니다 다만 제가 영포 자라 스토리는 전혀 이해 못 하고 있는지라... 그게 아쉽네요
55,The Room,재미있네요 다룸 2도 하고 싶은데 기기 호환이 안된다고 다운이 안되네요.. 베가 시크릿 노트인데 호환되게 해주시면 안 되나요?;;
56,The Room,게임은 정말 재밌습니다 최적화가 안 돼있는 건지 제 핸드폰이 문제인 건지... 이해가 안 가는 건 gpro로 렉 없이 구동되는 게 에 지 플러스로 멈춰서 못 해먹겠어요
57,The Room,걸작 용량도 작고 추가 다운도 없음. 그래픽 및 미스터리한 음악도 좋음. 영어 몰라도 충분히 진행 가능. 막히면 힌트만 번역해서 공략 없이 진행 가능. 구성비 매우 뛰어남.
58,The Room,재밌습니다 영어의 압박은... 스토리와 힌트를 이해할 수 없다는 정도? 플레이하는 데는 지장 없네요 스토리도 보면 좋겠지만 게임 자체만으로도 별 5개는 충분합니다
59,The Room,버그 아니면 평가 잘 안 남기는데 유료지만 유료일만하네요.. 이스케이프 시리즈다 해봤는데 이거 진짜;;; 대박 ㅜㅠ 너무 재밌어요 머리가 살짝 아프긴 했지만 풀만했음!!! 강추!!
60,The Room,짱먹어 게임렉 걸려서 안 된다고 별 1개 주는 사람들 빼고 별 5개 안 주는 사람들 반성하세요 님들이 이 정도 퀄리티 에이 가격에 내놓을 거 같아요 이걸? 아 어차피 못 만드니 상관은 없겠네
61,The Room,이거 정말 어렵네요 ㅋㅋ 근데 챕터는 약간의(?) 도움을 받아서 클리어했습니다. ㅎㅎ 뭐.... 본편 먼저 깼지만.... ᄏᄏ
62,The Room,ㅡㅡ... 진짜 웬만해선 귀찮아서 댓글 안 쓰는데 이건 진짜 개 씹진다 만든 이들의 창의력에 진짜 감탄밖에 나오지 않는다 1200원이 아깝다고 이 게임을 안 받는다면 12000원 이상의 손해를 보는 것과 다름없는 듯 당장 2 받으러 곡 이 게임이 진정한 소장용 게임ᅳᅳ
63,The Room,상자 까는 재미가 쏠쏠 2탄까지 해봤는데 꿀 잼이네 ㅎㅎ
64,The Room,환불 좀 해주세요 렉이 너무 심해서 못하겠네요 환불 부탁드립니다
65,The Room,진짜 좋아요 와 게임이 좋다 해봤자 그냥저냥이겠지 싶었는데...  진짜 장난아니네옄ㅋㅋㅋ 1 하고 2를 안 살 수가 없어요ㅋㅋㅋㅋㅋㅋ  근데 1 에필로..그으으으으으으으아악
66,The Room,정말 재밌어요 ㅋㅌ 가끔 막히기는 한데 재밌는데 왜 The room2는 안 나오나요 ㅠㅠㅠㅠㅠㅠ
67,The Room,약간의 접근성 제외하곤 매우 만족 난이도가 좀 쉽습니다. 그리고 중간중간 나오는 퍼즐들도 굳이 머리 쓰지 않고도 풀만해서 약간 귀찮을 때도 있고요. 근데 뭐 난이도는 개개인에 따라 다 다르니까요. 그래도 이 가격에 이 정도 퀄리티 면 굉장히 선방한 거죠. 만족합니다. 아 그리고 약간의 접근성이 조금 짜증 날 때가 있더라고요. 그것 제외하면 재밌었습니다.
68,The Room,잘 만들었네 새벽 세시부터 여섯시까지 풀어서 끝냈습니다 열라 재밌어서 잠을 못 자고 빠져 풀었네요
69,The Room,난이도 장난아님ㄷㄷ 하지만 그래픽도 매우 좋고 무엇보다 꿀 재미네요 굿굿 베리굿!
70,The Room,지금 룸 2 받으러 감 이런 장르의 게임은 처음인데 너무 재미있어서 집중하게 되네요! 그냥 믿고 받으세요~리뷰 남기는 것도 처음ㅎ
71,The Room,대박 재밌음ㅋㅋㅋ 이 게임이 천 원이라니 와우ㅋㅋㅋㅋ 진짜 퀄리티든 뭐든 어딜 봐도 깔곳이음슴ㅋㅋ 게임하고 리뷰처음써봄ㅋㅋ 적극 추천임 완전ㅜㅜ
72,The Room,한가지 단정 지을 수 있는 것은 인간이 만든 게임이 아니다. 지구를 침략하려는 외계인의 소행임에 틀림없다.
