,name,review
0,Toon Blast, 재미있고 도전 성취감 있어요
1,Toon Blast, 참 재미남
2,Toon Blast, 고퀄 게임입니다. 대박.
3,Toon Blast, GOOD
4,Toon Blast, 👍
5,Toon Blast, 좋아요
6,Toon Blast, 진짜 진짜 진짜 너무 재밌는데 혹시 곰돌이 터치 5개 남았을 때 표정 안 좋아지는 거 차라리 응원하는 모습이면 좋을 거 같긴 해요.. '어떡할 거야 너 이제 못해' 하는 거 같아서 너무 기분나빠ㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠ
7,Toon Blast, 오프라인으로 할 수 있다니ㅠㅠ)bb 게임 방식은 한 번 클리어하면 다시 못하고 바로 다음 레벨로 넘어감. 월드 서버에 세계인들과 경쟁도 함. 길드? 클럽? 도 있으니 모두와 함께 튼 블래스트~
8,Toon Blast, 광고 보고 처음에는 재미없을 줄 알았는데 해보니까 너무 재미있어 가지고 우리 가족들한테 소계 해 줬어요
9,Toon Blast, 재밌어요. 깰수록. 근데 하트를 좀 더 주세요 ㅠㅠ
10,Toon Blast, 간단한데 재밌네요. 광고 보다가 설치해서 하긴 첨인 듯
11,Toon Blast, 너무 재밌네요~ 근데 처음부터 또박또박 다시 시작하고 싶은데.. 게임 초기화가 안되는데.. 방법이 없을까요?
12,Toon Blast, 너무 재밌는데 하투가 너무 늦게 채워져요
13,Toon Blast, 진짜 최고예요 여러분 꼭 하세요 두 번 하세요 세 번 아니 맨날 하세요 계속하세요
14,Toon Blast, 거의 1년째 하는 중... 무의식으로..
15,Toon Blast, 처음에는 별로일 거 같았는데 생각보다 꿀 잼이에요💕
16,Toon Blast, 좋아요 많은 이벤트가 있으면 더욱 좋겠습니다
17,Toon Blast, 시간 때우기에는 안성맞춤 게임.. 근데 코인 보상 너무 짠돌이..
18,Toon Blast, 한국어 좀 넣어주세요
19,Toon Blast, 생각보다 재미있어 용
20,Toon Blast, 아주 흥미 있고 즐길 수 있는 게임입니다
21,Toon Blast, 퍼즐게임 중 최고네요~^^
22,Toon Blast, 재밌네요. 간단히 즐기기 좋네요
23,Toon Blast, 아직ㄲ지는 괜찮음
24,Toon Blast, 그냥 심심할 때 하면 좋은 거 같아요
25,Toon Blast, 레벨 계속 높게 만들어 주세요..
26,Toon Blast, 재미었요! 최고예요! 감사합니다!^^
27,Toon Blast, 심심할 때 좋아요 ㅎ
28,Toon Blast, 중독 값!
29,Toon Blast, 단순하고 시간 잘 감
30,Toon Blast, 수능 망치게도 운 게임
31,Toon Blast, 캐릭터가 커요 움
32,Toon Blast, 재밌어요 ᄒ
33,Toon Blast, Good!!
34,Toon Blast, 재밌어요!!!
35,Toon Blast, 재밌어요 ᄒᄒ
36,Toon Blast, Good!
37,Toon Blast, 가족 모두 즐길 수 있는 게임~굿!
38,Toon Blast, 재밌나요
39,Toon Blast, Gooooooooid!
40,Toon Blast, 할만하네요.
41,Toon Blast, 재미있어요.
42,Toon Blast, 간단하고 쉽고 재미있습니다
43,Toon Blast, 중독성쩌네요 엄청 재미있어요
44,Toon Blast, Nice game
45,Toon Blast, 젬나용
46,Toon Blast, 재미나요
47,Toon Blast, 짜릿하고 재밌어요
48,Toon Blast, 재미나요
49,Toon Blast, 재밌다
50,Toon Blast, 재미나요
51,Toon Blast, 재밌네요
52,Toon Blast, 재미있고 매일 하게 돼요.
53,Toon Blast, 재밌네요
54,Toon Blast, 재밌네요
55,Toon Blast, 재미나요~
56,Toon Blast, 재밌어요 🍮
57,Toon Blast, good.
58,Toon Blast, 중독성이 큼
59,Toon Blast, 최고 게임임
60,Toon Blast, 멈출 수가 없어요
61,Toon Blast, 머리 식히기 좋아요
62,Toon Blast, 시간 잘 간다
63,Toon Blast, 너무 재미있어요
