,name,review
0,True Skate, omsi 2 님 재미없다고 환불해달라는 게 말이 돼요?
1,True Skate, 너무 재밌네요ㅎㅎ 돈 주고 산 의미가 있는 거 같아요ㅎ
2,True Skate, It's very funny. It's very controlled.
3,True Skate, 맵 일부분만 다는 안 원하는데 일부분만 맵 그 게임 돈으로 좀 바꿔주세요
4,True Skate, 생각보다 정말 재밌는 게임이다
5,True Skate, 할인해서 깔아봤는데 꿀 잼입니다
6,True Skate, VERY GOOD
7,True Skate, 꿀 잼
8,True Skate, 이거 2300원 값 하긴 하는데 공짜로 뿌리면 링 갓 게임
9,True Skate, 와.... 너무 좋네요 이 게임 제작자분 정말 감사합니다
10,True Skate, 돈 주고 살만함 개꿀 잼
11,True Skate, 진짜 대박이에요!!!
12,True Skate, 리뷰 보면 세일해서 700원에 샀다는 분들이 있는데 이번 세일 전에 세일이 있었는데 그땐 세일해서 공짜였음 ㄱㅇㄷ
13,True Skate, 님들 700원에 이 정도면 완전 대박 개꿀임 개 재밌음
14,True Skate, 저이벤트로공짜로삼ㅎㅎ
15,True Skate, How do l  test my skills?
16,True Skate, 와 난 세일해서 공짜로 얻음
17,True Skate, 공짜 다운(할인해서 공짜일 때 다운)
18,True Skate, 다들  괜찮다고 해서 2300원 주고 샀다... 세일할 때 살걸...
19,True Skate, 그냥 재밌음 ㅋㅋ
20,True Skate, 이 갓겜을 무료 이벤트에 사길 잘했다
21,True Skate, 진짜 재밌어요
22,True Skate, Good
23,True Skate, 여기 초기화된다고 하시는뷴들 .... 자습서는 건너뛰기 할 수 있어요
24,True Skate, 다 좋은데요. 와이파이 잘 뜨는데 구글 로그인이 안 돼요.ㅠ 고쳐주세요.
25,True Skate," 아주 좋아요 근데 초기화 때문에 자습서를 10번 했네요 But, this game is very good!"
26,True Skate, 맵이나 보드 종류는 실제 돈으로 하지 말고 게임 코인을 만들어서  살 수 있게 하면 안 되나요??
27,True Skate, 정말 깔끔하고 잘 만들었다. 실제 보드 타는 사람으로서 충분히 만족스러움
28,True Skate, 너무 재미있어요~~♡
29,True Skate, 나 이거 돈내기 전에 깔았다ㅎㅎ
30,True Skate, 컨트롤이 너무 어려움
31,True Skate, 제가 맵을 다 샀는데 멀티플레이 기능을 만들어주시면 안 될까요? 그리고 님들 참고하세요 자꾸 초기화된다 하는데 true 설정에서 프로필 들어간 다음 구글 플레이 로그인하면 초기화가 안될거에욯ㅎ^^
32,True Skate, 빨리 환불해줘요 sls 맵 6개 잘못 결제했습니다
33,True Skate, 이거 작년엔 공짜였는데ㅋㅋ
34,True Skate, 재미있는데 맵을 투루 크레디트로도 살 수 있으면 좋겠어요
35,True Skate, 개꿀 잼
36,True Skate, 좋음
37,True Skate, 폰을 바꿨습니다. 전에 폰에서 현금을 써서 구입한 게 있는데 현재 폰에서 적용이 안되네요 페북 계정 연동했습니다.
38,True Skate, 두 달 전에는 현질이어서 못 했는데 공짜라니!! 감사합니다
39,True Skate, 짱!!!!!!!!!!!😇☺😊😀😁😃
40,True Skate, 좋다
41,True Skate, 그래픽 최고이고 맵도 많아요
42,True Skate, 난 버그판임 ㅋㅋ
43,True Skate, 👍👍👍👍
44,True Skate, 오오...  손가락으로  딸 X2 만 가능한 줄 알았는데... 스케이트보드도 가능하다니... 나의 손가락은 갓가랑...
45,True Skate, 가끔 튕기긴 하지만 무료라서 꿀 잼 너무 재밌어요
46,True Skate, 진짜 최고 현질함 후회 안 함
47,True Skate, 무료라서도 좋고 재미있다는
48,True Skate, 개꿀 무료!!!!
49,True Skate, 재미있슴니돠
50,True Skate, 굳!
51,True Skate, 꿀 잼
52,True Skate, Good
53,True Skate, 대박 꿀 잼
54,True Skate, 진짜 최고
55,True Skate, 무료 개꿀
56,True Skate, 핑거보드 재현율이 어마어마하네요ㅎ
57,True Skate, 옛날에 많이 했었는데 유로로 바뀌었네요ᅲᅲ
58,True Skate, 너무 재미 써요!
59,True Skate, 나 잼일 줄 알았으나 꿀 잼 이어서 5천 원 지름ᄏᄏᄏᄏᄏ
60,True Skate,꿀 잼 넘나 재미있다
61,True Skate,맵비쌈 맵이 넘나 비싸요
62,True Skate, True Skate
63,True Skate,최고 짱
64,True Skate,꿀 잼 제작자님 많은 업데이트 부탁드립니다.
65,True Skate,온라인 온라인 모드가 업데이트되면  좋겠습니다
66,True Skate,재밌음 이거 대전 모드 있으면 좋게다 서로 술래잡기 식으로
67,True Skate,재미는 무진장 있음 근데 기본으로 주어지는 맵이 하나이고 돈 주고 맵을 더 사야 함.
68,True Skate, 느 어어... 무료가 된 건ㄱ(-...
69,True Skate, 최고입니다
70,True Skate,정품 인증 재미있어요! 그런데 맵을 더 만들어주시면..
71,True Skate,졸잼 킬링 타일 꿀
72,True Skate,저기 저돈주고샀는데이렇게무료가되면ㅠㅠ
73,True Skate,... 저 게임 실행이 안되는데요
74,True Skate,환불 요청 환불해주세요
75,True Skate, 다른 게임보다 현실성 있음. 후회 안 함
76,True Skate, 이 게임 때문에 스케이트보드도 타기 시작했는데 감사합니다
77,True Skate,개꿀 진짜 스켑이랑 다를 개 없음
78,True Skate,좋아요 만족합니다
79,True Skate, Bast game
80,True Skate, 꾸르잼~ 꾸르잼~
81,True Skate,최고입니다 사도 후회 안 해요
82,True Skate, 좋아! 좋아!
83,True Skate, 진짜 보드 타는 사람은 꼭 사야 한다 2년 넘게 계속하는 중
84,True Skate,Ture 꿀 잼
85,True Skate,"다 좋은데 처음 나왔을 때 하다가, 요즘 다시 해보려고 설치했더니 페이스북 계정 연동이 안되네요. 자꾸 튕깁니다. 그리고 조작감이 바뀐 건지, 더 구려졌네요. 옛날에는 튕기는 게 잘 되었는데, 지금은 엄청 세게 터치해야 되는 수준이네요."
86,True Skate,튕긴다고 하는 분.. 님 혹시 램은 확인하면서 돌리심? 이게 물리엔진이 암만 최적화 잘 돼있어도 g3 beat 같은 저사양 폰으론 한계가 있음.
87,True Skate,우왕 굳굳 이건 돈 쓸만하네요 ㅎㅎ 명작
88,True Skate,진심 최고입니다 이거 살까 말까 고민하시는 분이라면 사도 절대 후회 안 함
89,True Skate,ㅎㅎ 다 좋은데 맵 어떻게 바꿈?
90,True Skate,언어 변경  있으면 참 좋을 텐데.. 쉬는 시간마다  틈틈이 하고 있는데  너무 꿀 잼이네요  어렵긴 하지만  재미있어요           ㅎ~ㅎ
91,True Skate,명작인 듯 진짜 진심 이건 칭찬밖에 안 나오는 게임임 ㅇㄱㄹㅇ 질러도 후회 안 함
92,True Skate,좋아요 가능하다면 올드스쿨 스케이트보드도 추가해주세요
