,name,review
0,Wordscapes, Fun!
1,Wordscapes, Fun game
2,Wordscapes," 몰랐던 단어가 참 많네요. 그래서 재미있고 공부도 됩니다. 1. 마지막 단어의 뜻을 볼 수 있도록 기다려주세요~ 2. 발음 버튼이 있거나, 발음 기호도 보여주면 좋겠습니다."
3,Wordscapes, Nice graphics. Very well designed throughout. Love it.
4,Wordscapes, 시간 때우기 너무나 좋네요^^
5,Wordscapes, 재미있네요.
6,Wordscapes, 어휘에 도움이 되는 게임
7,Wordscapes, Gud
8,Wordscapes, Awesome
9,Wordscapes, Good
10,Wordscapes, 단어의 뜻 한국어 버전도 출시해주세요
11,Wordscapes, 실수로 결제했는데 환불 부탁드립니다
12,Wordscapes, 다 좋아요. 그런데 컨트롤이 좀...
13,Wordscapes, 좋아요 감사히 잘 사용하고 있습니다.
14,Wordscapes, 배경이 예쁨. 글자 쓰는 것도 재밌음.
15,Wordscapes, Nice game
16,Wordscapes, Good
17,Wordscapes, 영어 단어ㅜ공부하면서 게임하는 거 재밌는 거 같아요
18,Wordscapes, Good
19,Wordscapes, It's really fun
20,Wordscapes, I can get 5coin free
21,Wordscapes, excellent
22,Wordscapes, 재밌고 학습에 도움이 되네요~
23,Wordscapes, 최고!
24,Wordscapes, It's very educational and fun
25,Wordscapes, Good
26,Wordscapes, Gooooood
27,Wordscapes, Fun
28,Wordscapes, just. coooool!
29,Wordscapes, good
30,Wordscapes, Good game
31,Wordscapes, Best of best
32,Wordscapes, It's really fun and I can't control myself in playing it. I really love to play with my friends and we really enjoy it.
33,Wordscapes, I love it so much lol love it but it kind a hard too when you are too high level bye but its good too
34,Wordscapes, 영어 공부도 되고 좋네요
35,Wordscapes, Godgame
36,Wordscapes, 좋다
37,Wordscapes, ( ^-^) ノ∠※。.:*:・'°☆ d=(^o^)=b＼(^_^)／
