,name,review
0,ePSXe for Android, 추억에 플스 게임 파판을 할 수 있다니 다만 게임 파일을 구하기 어렵단 것이 아쉽네요 많은 초보자들이 게임 파일을 못 구하는 거 같음
1,ePSXe for Android, This is a best emulator I'd ever seen.
2,ePSXe for Android, 뭐 계속 쓰던 거라
3,ePSXe for Android, PC버전과 더불어 안드로이드 버전도 잘 쓰고 있습니다.
4,ePSXe for Android, 유료지만 값어치 하네요
5,ePSXe for Android, 돈이 아깝지 않은 앱입니다. FF7 실행하고 있는데 기본 설정만으로도 잘 실행되네요... 근데 FF9 실행하신 분들 세팅을 어떻게 하셨는지?
6,ePSXe for Android,앱 중단되는 경우 발견 소니에릭슨 st15i 사용 중 온 스크린 버튼 위치를 조정하려고 하면 앱이 중지됨. 확인바람.
7,ePSXe for Android,아주 좋습니다 끊기지도 않고 좋아요 단지 설정이 어딘가에 숨어있고 리셋되어서 번거롭고 영어라서 읽기도 어렵지만 기능은 확실히 좋아요
8,ePSXe for Android, FF9 디스크 교체할 때 튕기는데 방법 좀 알려주세요
9,ePSXe for Android,드롭박스 업로드 다운로드 기능 좋군요 좋은 앱입니다.
10,ePSXe for Android, Very good
11,ePSXe for Android,"구성비 굳 파판 7 사려다 한글 버전이 인터넷에 있다기에 그냥 이 에뮬을 샀는데 좋네요. 시디를 언마운트 하고, 마운트 해야 하는 것만 빼고는 굳."
12,ePSXe for Android,thank you.!!!!!!!!!! Good ps1 game play thank you ^^
13,ePSXe for Android,사운드만 한 템포 빠르면... 참 좋을 텐데 달리할 말이 없네
14,ePSXe for Android,it runs as good as original ps on my old galaxy s3
15,ePSXe for Android,만족합니다 옵션도 많고 편리하네요
16,ePSXe for Android,님 좀 최고인 듯
17,ePSXe for Android,좋아요 좋아요
18,ePSXe for Android,아주 잘 됩니다 ㅎㅎㅎ 개발자님들 고생하시네요 게임 잘 됩니다 ... 근데 호환성(?)이 좀 안 좋네요..?좀 화질이 ...안 좋습니다 ... 그리고 이 어플 ui 좀 바꿉시다  개발자님들아 ... ㅜㅜ 다른 에뮬 어플은 ui 좋습니다 근데 이건 아니네요 설 정창 들어가면 너무 옛날 ui 같네요 ..ㅜㅜㅜㅜ 무슨 이 어플 ui 가 1900년 대 같습니다 ㅜㅜㅜ 좀 ui 좀 비 꿔주세요 ㅜㅜㅜㅜ다른건 다 좋습니다 ㅜㅜ ui만 좀 ..... 그리고 업데이트 좀 자주 해주시오 부탁드립니다 ㅜㅜ 전 알 바 아닙니다 ㅜㅜ
19,ePSXe for Android,오호 너무 좋아요 월하의 야상곡하고 바흐 2 하고 있는데 잘 돼요 ㅎㅎㅎㅎ
20,ePSXe for Android,최고네요 냉우
21,ePSXe for Android, 덕분에 폰으로 파판 9 재밌게 하고 있음ㅋ
22,ePSXe for Android,Don't play ps2 game I have ps2 bios. But I don't play ps2 game. why don't play ps2 game?
23,ePSXe for Android,드디어 고해상도 옵션 추가됐네요 ㅋ 아픈지 엘 ㅃㅃ2 ㅋㅋepsxe는 거의 완전체가 됐네ᄃ
24,ePSXe for Android,캬 레이 스톰ㅡ레이 크라이시스  구현력보소ㄷㄷ
25,ePSXe for Android,조이패드 진동 안 되나요? 조이 토론에서 나온 EX M AIR 사용 중인데 패드 설정에서 진동을 켜도 안되네요 원래 조이패드 진동은 안 되나요?
26,ePSXe for Android, Good! (최고)
27,ePSXe for Android,can I have a refund? I took this app for an emulator running ps2. I searched 'ps2 emulator' and this app was on top of the list. So I misunderstood ps'x' as ps one and other. Could you return money?
28,ePSXe for Android,이만한 플스 에뮬 없습니다. 인터넷에 룸이나 바이오스 사용하는 방법 설명 많습니다. 잘 공부해서 사용하시면 최고의 어플입니다.
29,ePSXe for Android,업데이트가 추가가!!! 여전히 지원되는 게임이 늘어가는군요. 추천합니다.
30,ePSXe for Android,최고이긴 한데.. 게임 저장하고 나서 다시 할 때 왜 세이브가 사라지는 거예요?
31,ePSXe for Android,아주 잘 사용하고 있어요. 만족합니다. 최고.
32,ePSXe for Android,Great Goooood!!!
33,ePSXe for Android,바이오스 파일이 메일로 보내주세요 메일 보냈습니다 바이오스 파일 좀 보내주세요
34,ePSXe for Android,이건 뭐 반신반의했는데 풀 프레임이네 옵션 조금만 수정하면 요즘 게임처럼 깨끗하게 나오는데 나는 옛날 느낌이 좋아 일부러 기본옵으로함 초강추 플스 1게임 은근 명작 많은데 이거 있음 끝
35,ePSXe for Android,최고의 안전성! PC버전부터 꾸준히 개발되어왔고 안전성 및 호환성에 있어서도 최곱니다. 안드로이드도 점점 더 좋아지네요
36,ePSXe for Android,고수님들 부탁드립니다 파판 9 영문판 말고 한글판은 어디서 받을 수 있나요 아시는 분 있으면 알려주세요 부탁드립니다
37,ePSXe for Android,최고입니다 기린의 야망 바이오스까지 있어서 정말 잘 됩니다 치트도 즉석에서 다운로드할 수 있게 해놨네요 우려했던 프레임 드롭도 없습니다 최고입니다
38,ePSXe for Android,바이오스 부탁드려요 바이오스가 없다고 실행이 안됩니다 메일 드렸습니다
39,ePSXe for Android,업데이트 후 오픈 gl 활성화 시 화면 전할 경우 검정 화면이 나오는 문제가 해결되었네요
40,ePSXe for Android,무슨 평가가 필요하랴!! 가히 완벽하거늘...
41,ePSXe for Android,업데이트가 시급합니다 꼭 완벽하게 돌릴 수 있게 개발자님들 힘내세요
42,ePSXe for Android,ㄷㄱㅌㄴㅌㄴㅌㄴㄷㅅㅅㄴㄷㄴㅌ ㄷㅅㅊㅅㅉㅅㅌㅅㅈㅅㄷㄱㄷ느
43,ePSXe for Android,돈 주고 산 보람 있으면 가지고 있는 플스 롬 다 돌아감 ㅎㅎ
44,ePSXe for Android,유료 어플이지만 돈 하나도 안 아까워요 추억의 게임 잘 하고 있네요 ㅎㅎㅎㅎ
45,ePSXe for Android,환불... I Want a refund 이거 환불 못하나요;; 게임 하나도 없고 그래서 게임 찾아봤는데 어디서 찾는지도 모르겠고;; 환불 부탁드립니다
46,ePSXe for Android,굳 좋음
47,ePSXe for Android,I need option during gaming. Because key swap is necessary to play of metalgear solid. And I hope to add korean strongly!!!!
48,ePSXe for Android,아주 만족입니다 어차피 조작 때문에 시뮬레이션이나 rpg 하려고 했는데 이 정도면 아주 만족입니다
49,ePSXe for Android,후회 없는 앱 유료 앱 중 가장 훌륭한 앱 중 하나!
50,ePSXe for Android,ㅁ장짱맨 히히
51,ePSXe for Android,좋아요 Psp처럼 구동 잘되고~ 좋아요~~~
52,ePSXe for Android, 잘 쓰고 있어요^^
53,ePSXe for Android,"옛날 그대로 파판 1부터 9, 슈로 대 알파, 알파 외전  아무 문제없이 잘 돌아갑니다.  이 감동을 다시 폰으로 느끼다니 감회가 새롭군요. 8부터 그래픽이 좀 깨지나 하는데 크게 무리는 없는듯하네요."
54,ePSXe for Android,일단 괜찮은데ᆢ 사운드 싱크가 조금 늦네요. 밑에 어떤 분이 이미 써놓으셨지만 사운드를 노멀 모드로 하면 음이 한 템포 느리고 로모 드로 하면 중간중간에 음정이 떨어지며 로 2로 하면 중간에 음이 깨집니다 이것만 해결되면 진짜 최고임.
