,name,review
0,마블킹, 굿~!!
1,마블킹, 재미있는 놀이였습니다.
2,마블킹, 200이 끝?? 아쉬워요 300까지 추가해주세요^^
3,마블킹, 변화가 다양하여 재미가 많아요
4,마블킹, 재밌어요 시간 가는 줄 모르는 게임
5,마블킹, Good game
6,마블킹, 굿~
7,마블킹, 재미나요
8,마블킹, 굿
9,마블킹, 좋아하는 게임
10,마블킹, 중독성이 심해요
11,마블킹, Good😍
12,마블킹, 찬던계임
13,마블킹, 시간 때우기+ 안구정화에 탁월
14,마블킹, 속도가 좀 떠요
15,마블킹, 충청남도 논산시 상월면 선비로 1166 성모의 마을 장애인 복지 시설에 살고 있습니다
16,마블킹, 마블 킹은 정말 쉬운 게임 중 하나입니다!
17,마블킹, Good
18,마블킹, 200탄 다 깼으니 맵 추가해주세요
19,마블킹, 개발자님 오늘 200판 다 깼는데 더 만들어서 업데이트하실 계획은 없으신가요...?🤔
20,마블킹, 좀 더 빠른 진행을 했으면 좋겠어요 속도가 느림
21,마블킹, 좋아요 조금 어렵네요
22,마블킹, 시간 가는 줄 모르겠어요 재미있어요
23,마블킹, 200판이 마지막이군요
24,마블킹, 재밌네
25,마블킹, 좋음
26,마블킹,171번째 어떠한 기술을 써도 아이템 없으면 절대 못 깰 듯ᅮ노하우 좀 가르쳐주세요ᅮ재미 있어서 포기하기 싫은데ᅮᅮᅮᅮᅮᅮᅮᅮᅮᅮᅮᅮᅮᅮᅮ
27,마블킹, 같은 종류 다른 게임에 비해 진행이 산뜻하고 좋네요.
28,마블킹, 색깔마다 맞추면 터지고 점수가 올라가니 재밌어요
29,마블킹, 171번 너무 어려워요ㅠㅠㅜ
30,마블킹, 너무 재미있네요
31,마블킹, 플레이 편하고 재미나요
32,마블킹, 시간 때우기로 좋은 게임 ^^
33,마블킹, 완전대박꿀핵잼
34,마블킹, 너무 집중해야 돼서 시간 가는 줄 모르겠네요... 재밌습니다
35,마블킹, 재미있네요 good
36,마블킹, 무지 재밌어요
37,마블킹, 수   굿
38,마블킹, Good
39,마블킹,최고 예전에 해본 추억을 되살려서 좋아요^^
40,마블킹,재미 재미 짱
41,마블킹,굿 궁
42,마블킹,다른 비슷한 게임보다 더 나음 광고가 눈에 안 거슬려서 마음에 듦
43,마블킹,재미나네요 살짝 튕기는 게 아쉽지만 나름 괜찮음
44,마블킹,다른 것은 느려 이것은 빠름
45,마블킹,옛날에 그전에 많이 했는데 지금도 재미있네요
46,마블킹,굿 다른 게임보다 쉽고 잼있씀
47,마블킹, 시간 때우기 딱
48,마블킹,빠름 주마 전설은 느림
49,마블킹,정말 재미 👍
50,마블킹, 재밌어요
51,마블킹, 재미있네요
52,마블킹, 굿
53,마블킹,재미있네요 지뢰 찾기 게임을 해보고 싶었는데 마침 잘됐죠 게임을 할 수 있어서....
54,마블킹,재밌네요 오랜만에 하니까 재밌어요ㅋㅋ
55,마블킹," 새로운 주마, 재미나는데, 171번째 너무 빨라서, 못하겠어요^^"
56,마블킹, 어려우면서도  재밌어요
57,마블킹, 원래 좋아했던 거예요
58,마블킹,재밌네요~~ 강추
59,마블킹,굳 굳
60,마블킹,심심할 때 최고 굳굳
61,마블킹,재미 재미 시간 때우기 좋네요
62,마블킹, 좋아요
63,마블킹,최고 최고
64,마블킹,최고 눈 돌아가네.. ᄏᄏ
65,마블킹,원ㅇ래 이건원랴재밌으
66,마블킹, 재미져요
67,마블킹,최고ᆞ~~^♡^ 재미나네요~~
68,마블킹,ᆞ추억의 게임 이 게임을 하면서 추억에 잠기 네여
69,마블킹,재미있기 ㅓㅋ토노너ㅓ누늉ㅎㅇㅎ오녀ㅓ너ㅓ노오머ㅓ무카로토옽ㅎㅎㅊㅍㅊ포튜투너ㅜ쿹키ㅡ투츄퉄쿠ㅜ큐튜튜쿠ㅜ타타ㅗ녀얼. 어어.     ㅓ너유ㅠ러나오ㅠ어으ㅡㅜ퉈누오튜이니투ㅜㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅍㅎㅎㅎㅎㅎㅎㅎㅎ
70,마블킹,시간 때우기 최고의 개임이네요~ 아무 생각 없이 하기에 정말 최고의 개임이네요~ 주말에 할 일 없이 마블킹으로 시간 때우고 있네요~ 난도도 어렵지 않아서 애들도 잘하네 소~
71,마블킹,재밌군... 아직은 어렵지 않아서 재밌네... ᄏᄏ
72,마블킹,버블 킹 새로운  감각을   일으키는   모션과   쏠쏠한  재미가  쾌감을  준다
73,마블킹,볼 볼을 터트리는 게임이어서
74,마블킹, 시간 때우기 그만
75,마블킹,Good Very good
76,마블킹,잼남유 재미지게 하구 있어요
77,마블킹,꿀 잼이네요 ㅎㅎㅎㅎ
78,마블킹,fgh ghjj
79,마블킹,좋아요 편하게 간단하고
80,마블킹, 정말 재미있는 게임
81,마블킹, 게임 잘 만들었네요^^
82,마블킹, 안녕하세요 짱짱
83,마블킹,최고 재미
84,마블킹,마블 좋아요
85,마블킹,오 좋네요
86,마블킹, 굳
87,마블킹,굿...! 재미나네...!
88,마블킹, 좋아요
89,마블킹,좋네 재밌음 굿~~~[~~~~[~[[
90,마블킹,Good 
91,마블킹,마불킹 김남기
92,마블킹, 재미나요
93,마블킹, Good
