,name,review
0,마이토킹안젤라 (My Talking Angela)," 게임은 되게 재밌고 좋은데 보석이나 골드 모으는 게 너무 힘든 것 같아요! 출석이나 이벤트로 보석, 골드, 음식 등등 주는 걸로 하면 되게 좋을 것 같아요"
1,마이토킹안젤라 (My Talking Angela), 만드신 분 존경! 그리고 안젤라 귀요미 구 요 저 안젤라 6세 고 요 어른스럽게 꾸며도 완전 귀요미에요 만드신 분♡~♡
2,마이토킹안젤라 (My Talking Angela), 이 게임을 만드신 부운! 정말 존경하고요 재미있습니다~별 5개 누릅니다
3,마이토킹안젤라 (My Talking Angela), 어머나 이렇게 이쁜 게임은 처음 봤어요 ♡ 안젤라가 너무 사랑스러워서 중독성 잇습니다 ㅇㅁㅇ ㅎㅎ
4,마이토킹안젤라 (My Talking Angela), 앤젤리나 가 귀엽고 옷도 입힐 수 있고 화장을 할 수 있으니까 더 좋아 요
5,마이토킹안젤라 (My Talking Angela)," 재밌셔용^^제ㅏ 11녀인데 재밌어요! 제작자님, 조경하옵나다!"
6,마이토킹안젤라 (My Talking Angela), 재미있고 지루할 때 하면 좋은 게임이에요~!
7,마이토킹안젤라 (My Talking Angela), 안젤라가 너무 귀엽고 전에는 없던 춤추는 기능이 있어서 전보다 더 재밌게 게임을 즐길 수 있어서 좋네요! ♥♥ 재밌는 게임 감사합니다! 잘 쓰고 있어요~~!
8,마이토킹안젤라 (My Talking Angela)," 다른 건 다 괜찮은데, 밥 안 먹는 거는 좀 힘들어요."
9,마이토킹안젤라 (My Talking Angela), 안젤라가 춤을 엄청 잘 춰요
10,마이토킹안젤라 (My Talking Angela), 귀여운 아기 고양 일 저의 앞에서 춤추고 따라 하는 게 너무 귀여워요!😄
11,마이토킹안젤라 (My Talking Angela), 정말 재미있어요.
12,마이토킹안젤라 (My Talking Angela), 와우 근데 다이아몬드 없어
13,마이토킹안젤라 (My Talking Angela), 너무너무너무 재미있어요♥★
14,마이토킹안젤라 (My Talking Angela), 업데이트를 많이 해서 다양하고 좋아요 삭제해도 이어서 할 수 있어서 좋아요😍
15,마이토킹안젤라 (My Talking Angela), 정말 재미있어요!
16,마이토킹안젤라 (My Talking Angela), 완전 재미잏고 이때까지 해본 게임 중에서 가장 좋아요
17,마이토킹안젤라 (My Talking Angela), 오! 좋네요
18,마이토킹안젤라 (My Talking Angela), 엄청 귀여워요
