,name,review
0,마이토킹톰 2, 토킹 톰 말하는 게 너무 귀여워서 화날 때 요거하면 화가 싹 풀려서 좋아요
1,마이토킹톰 2, 완전젛은데 돈을 벌 수 있게 해주세요
2,마이토킹톰 2, 캐릭터가 넘넘 만족스러워요 대 만족
3,마이토킹톰 2, 너무좋와여!!!!!!
4,마이토킹톰 2, 재미있는 스마트폰 게임
5,마이토킹톰 2, 뀬잼 핵종ㅅ
6,마이토킹톰 2, 감사 감사 😍😍
7,마이토킹톰 2," 15 레벨부터 약간 캐릭터 움직임이 부자연스럽습니다. 그래서 그것만 좀 고쳐주면 좋겠고, 너무 다른 게임을 따라 한 미니게임이 많은 것 같습니다. 훨씬 독창적인 미니게임을 만드는 것이 좋다고 생각합니다. 그 외에는 다 좋은 것 같습니다"
8,마이토킹톰 2," 역시 예상대로 귀여운 게임이네요. 저번 시리즈에 없던 펫이 있어서 마음에 들고, 다른 추가된 것들도 좋네요. 단순히 게임성으로 보자면 좋지만 광고가 자주 나와 귀여운 톰을 보는데 흐름이 깨집니다. 한 번씩 나오면 좋을 것 같네요."
9,마이토킹톰 2, 마이 토킹 톰 왕팬인데 마이 토킹 톰 2 사전예약해서 11월 7일에 깔아서 했는데 너무 만족해요 이런 갓 게임은 별 100개 드릴 수 있는데 5개가 최대여서ㅠ
10,마이토킹톰 2," 제가 토킹 톰 팬이어서 전부 다 깔려있는데 나온 거 보니까 너무 존귀네요~ 짱! 아, 그리고 안젤라도 부탁드려요~"
11,마이토킹톰 2, 황박사는역시예쁜고양이보면황빅사마음이치료가되고마음이안정된다그래서황박사이같은방식으로구굥도하고만지면서즐겁게보내는마이토킹톰2다
12,마이토킹톰 2, 너무 귀여운 게임입니다. 펫이 생겨서도 좋고 미니게임도 만들어주셔서 정말 재밌어졌어요. 에너지가 조금 더 천천히 달면 좋겠네요^^
13,마이토킹톰 2, 와... 제가 마이 토킹 톰 진짜 좋아했는데...!! 이거 진짜 너무 좋아요ᅲᅲ♡ 특히 톰에 더욱 귀여워진 것 같아요♡♡ 진짜 이 게임 너무 좋습니다!!! ♡☆♡
14,마이토킹톰 2, 이거 처음에는 그냥 그랬었는데 막상 맨날 해보니 시간도 금방 가고 계속 사고 싶어져요. 제가 정말 추천드립니다. 빨리 마이 토킹 톰 3도 나왔으면 좋겠네요~~*^^*
15,마이토킹톰 2, 와...토킹돔1과 엄청나게 비슷하고 그래픽솨 플레이 그 자체가 칭찬받을만합니다~^^업데이트 부탁드립니다
16,마이토킹톰 2, 과거의 톰에 대한 추억을 떠올리게 해주며 마이 토킹 톰과 톰을 합쳐놓은 기분이 들고 새로 개편된 것이 많아 좋은 것 같습니다
17,마이토킹톰 2, 와 역시 기대한 만큼 아주 재미있습니다 다만 구글 계정으로 로그인하여 계속 그 계정이 남아있으면 좋겠네요
18,마이토킹톰 2, 광고 뜨신단 분들 와이파이 끄고 데이터로 게임 키세요 그럼 당분간 게임할 수 있을 거예요 아 물론 될 그 종은 되고 안 될 기종은 안됨 ㅇㅋ?
19,마이토킹톰 2, 조금 더 놀게 많아지긴 했지만 역시 콘텐츠는 고갈이 빠를듯하다. 더 해봐야겠지만
