,name,review
0,마이홈 - 꿈의 디자인, 게임이 좋은데... 광고가 너무 많아서 리뷰 남깁니다~죄송합니다ᅲᅲ
1,마이홈 - 꿈의 디자인, 너무 재밌어요! 아직 어린 나이지만 미래에 내가 살 집을 상상해서 나타내어 보는 게임이 있었으면 했는데 여태까지 본 집 꾸미기 게임 중에 재 일 좋은 것 같아요!ㅎㅎㅎㅎ
2,마이홈 - 꿈의 디자인, 가구도 너무 이쁘고 게임도 재밋 있어요. 그리고 코인으로 하는 거라 더 편해요♥
3,마이홈 - 꿈의 디자인, 새로운 게임이라 재밌어요.. ㅋ
4,마이홈 - 꿈의 디자인, 이 게임 창의력이 뛰어나고 이 게임을 하면 운 좋은 날이 생겨서 재미있어요ㅎㅎㅎ
5,마이홈 - 꿈의 디자인, 가구도 예쁘고 한데 한 번씩 게임하는 게 너무 어려운 게 나오는데 이걸 깨는데 너무 오래 걸려요
6,마이홈 - 꿈의 디자인, 좋아요 재밌어요 제발 현질 좀 안 하게 했으면 ㅜㅠ
7,마이홈 - 꿈의 디자인, 료ㅗ로촟호촟허초초ㅓ처ㅗ처ㅛ처ㅛ
8,마이홈 - 꿈의 디자인, 시간 가는 줄 모르겠어요 ㅋ 꾸미는 재미도 쏠쏠하고 ㅋ 하트가 좀 빨리 충전됐으면 하는 바람이 있네요
9,마이홈 - 꿈의 디자인, 하트 한 개에 30분.. 기다리는 것도 지루하지만 벌리는 코인도 거의 한정적이고 무엇보다 꾸미는 거 좋아 시작한 유저로서 다른 게임을 해서 코인을 벌어 꾸며야 한다는 한정적인 룰 때문에 접기 직전이네요 게다가 핼러윈이나 추수감사절 같은 이벤트는 기간이 짧은데 벌리는 코인도 적고 현질 유도만 해대니 의미가 없어요 이벤트 룸 기껏해야 일주일도 안되는데 돈 쓰고 사라져버리니 당최 돈 들여 꾸밀 이유가 없네요
10,마이홈 - 꿈의 디자인, 재밌어요 여주인공이 너무 예쁘네요
11,마이홈 - 꿈의 디자인, 이 게임이 너무 많이 재미있는 거가 게임 미션을 완수하고 돈을 갔고 원하는 가구를 사니까 재미있어요.~~^^♡
12,마이홈 - 꿈의 디자인, 너무 재미 어셔요 하루에 한 30분?쯤은 하는 거 같아요! 여러분들도 한번 해보세요
13,마이홈 - 꿈의 디자인, 히여... 힘들게래벨업햇어여~ㅇ 정말 재밌어요
14,마이홈 - 꿈의 디자인, 저에게 부족한 걸 찾았어요.
15,마이홈 - 꿈의 디자인, 너무 재미가 있고 다른 음식 만들기 같은 것이 나왔으면 좋겠어요 진짜 인생게임이 되었답니다
16,마이홈 - 꿈의 디자인, 되게 이뻐요 그런데요 시간 너무 빨라요 좀 천천히 속도 낮춰 아니 줄여 주세요
17,마이홈 - 꿈의 디자인, 와 진짜 내 인생게임 ㅠㅠㅠ
18,마이홈 - 꿈의 디자인, 이 게임 정말 재밌네요!
19,마이홈 - 꿈의 디자인, 재밌고 예쁜 것도 많아서 제가 진짜 살고 싶어요 제가 그림 그리기랑 꾸미는 거 좋아하거든요.
20,마이홈 - 꿈의 디자인, 지능과 순발력과 침착성 요하는 게임이라 유익
21,마이홈 - 꿈의 디자인, 집 꾸미는 재미가 좋아요 아주 어렵지도 않고
22,마이홈 - 꿈의 디자인, 기다려지는 게임ㅋ
23,마이홈 - 꿈의 디자인, 돈을 하루에 한 번씩 10개만 주면 좋을 것 같아요!!
24,마이홈 - 꿈의 디자인, 너무 재미고 짜증도 잘 안 나서 너무 좋아 리뷰 했습니다 ❤❤
25,마이홈 - 꿈의 디자인, 정말 재미있고 설명도 정말 잘해주셨고 정말 재미있어요
26,마이홈 - 꿈의 디자인, 나중에 제 집이 정말 이렣으면 좋겠네요.
27,마이홈 - 꿈의 디자인, 정말 저의 최에 게임입니다
28,마이홈 - 꿈의 디자인, 지금까지 했더니 했던 집 꾸미기 게임은 이게 최고예요!
29,마이홈 - 꿈의 디자인, 광고가 없어서 좋아요
30,마이홈 - 꿈의 디자인, 가구들을 설치하고 하는 것이 너무 재미있는 것 같아요.
31,마이홈 - 꿈의 디자인, 진짜 재미있고 자기가 원하는 집을 만드는 게 정말 좋아요👍
32,마이홈 - 꿈의 디자인, 약간 짜증 나요
33,마이홈 - 꿈의 디자인, 재밌어요 ㅋ
34,마이홈 - 꿈의 디자인, 좀 더 해볼게요
35,마이홈 - 꿈의 디자인, 중간 광고 빼고는 재미남
36,마이홈 - 꿈의 디자인, 내 집 꾸미기 짱입니다
37,마이홈 - 꿈의 디자인, 좋아요 ᄏᄏᄏ진 짜임ᄏ
38,마이홈 - 꿈의 디자인, 지폐를 모으기가 힘들어요!!!!!!
39,마이홈 - 꿈의 디자인, 어려운 것도 있죠?
40,마이홈 - 꿈의 디자인, 재미있는데 지폐는 로그인 안 하고 받으면 좋게 너요
41,마이홈 - 꿈의 디자인, 잼 재미있는 것 같아요~ 나중에라도 이렇게 집을 꾸미고 싶어요~
42,마이홈 - 꿈의 디자인, 집 꾸미기 재미있어요 내가 원하는 대로 꾸며서 더 재미있어요
43,마이홈 - 꿈의 디자인, 재미있어요ㅎ심심할 때 하면 좋아요
44,마이홈 - 꿈의 디자인," 야, 정말 재밌어요!"
45,마이홈 - 꿈의 디자인, 최공!
46,마이홈 - 꿈의 디자인, 다음 업데이트 언제 되나요?
47,마이홈 - 꿈의 디자인, 재밌어요
48,마이홈 - 꿈의 디자인, 간단한 블록 게임으로 내 집 꾸미기~ 좋아요
49,마이홈 - 꿈의 디자인, 하다 보니 재밌음
50,마이홈 - 꿈의 디자인, 재밌어요!!
51,마이홈 - 꿈의 디자인, 내가 원하는 대로 디자인을 할 수 있어서 재이 있어요♡♡
52,마이홈 - 꿈의 디자인, 재밌어요!!
53,마이홈 - 꿈의 디자인, 오늘 처음 깔아서 잘 모르겠지만 재미있어요
54,마이홈 - 꿈의 디자인, 제 미래의 도움이 되는 거 같아요
55,마이홈 - 꿈의 디자인, 괜찮은 게임 예여.
56,마이홈 - 꿈의 디자인, 잼!!!!
57,마이홈 - 꿈의 디자인, 내 집을 꾸미는 것 같아서 좋아요
58,마이홈 - 꿈의 디자인, 이사 가서 많은 도움이 돼요
59,마이홈 - 꿈의 디자인, 사람이랑 펫 등이 있으면 좋겠어요
60,마이홈 - 꿈의 디자인, 집 꾸미는 게임 좋아요 이쁘게 꾸미고 싶어요^^
61,마이홈 - 꿈의 디자인, 예쁜 가구들을 사용할 수 있어서 좋습니다^^
62,마이홈 - 꿈의 디자인, 재미있나 여
63,마이홈 - 꿈의 디자인, 너무나도 재미있어요
64,마이홈 - 꿈의 디자인, 재미있다 그리고 실제 같아서 좋다.
65,마이홈 - 꿈의 디자인, 재미있는 것 같다
66,마이홈 - 꿈의 디자인, 짱짱 너무 좋아요
67,마이홈 - 꿈의 디자인, 정말 재미있음
68,마이홈 - 꿈의 디자인, 정말 재미있네요
69,마이홈 - 꿈의 디자인, 재미있는 게임입니다
70,마이홈 - 꿈의 디자인, 와는 전조와 요
71,마이홈 - 꿈의 디자인, 너무 좋아요!
72,마이홈 - 꿈의 디자인, ㅠㅠ너무 재밌어요ㅠㅠ
73,마이홈 - 꿈의 디자인, 재미나요
74,마이홈 - 꿈의 디자인, 광고가 자주 안 나와서 좋아요
75,마이홈 - 꿈의 디자인, 인테리어 그래픽이 훌륭해요
76,마이홈 - 꿈의 디자인, 너무 재밌어요 현실적인 디자인 좋아요
77,마이홈 - 꿈의 디자인, 정말 이 게임 재미있어요
78,마이홈 - 꿈의 디자인, 너무 재밌어요
79,마이홈 - 꿈의 디자인, 재미나요
80,마이홈 - 꿈의 디자인, 재미나요
81,마이홈 - 꿈의 디자인, 재밌어요
82,마이홈 - 꿈의 디자인, 꿀 잼인 듯
83,마이홈 - 꿈의 디자인, 재미나네요
84,마이홈 - 꿈의 디자인, 미니게임이 너무 재밌어요.
85,마이홈 - 꿈의 디자인, 집을 꾸밀 수 있어서 너무 좋아요.
86,마이홈 - 꿈의 디자인, 강추!
87,마이홈 - 꿈의 디자인, 재밌네요
88,마이홈 - 꿈의 디자인, 너~ 재밌어요.
89,마이홈 - 꿈의 디자인, 좋아요
90,마이홈 - 꿈의 디자인, 재밌어요 꼭! 한번 해보세요~
91,마이홈 - 꿈의 디자인, 좋아요 최고 게 잉
92,마이홈 - 꿈의 디자인, 시간 보내기 좋아요 재밌어요
93,마이홈 - 꿈의 디자인, 기분전환으로 좋아요
94,마이홈 - 꿈의 디자인, 재미있어요 한번 해보세요
95,마이홈 - 꿈의 디자인, 최고 👍 완전 재미있음
96,마이홈 - 꿈의 디자인, 재미있어요 시간 때우기 좋네요^^
97,마이홈 - 꿈의 디자인, 굳
98,마이홈 - 꿈의 디자인, 재미있어요!
99,마이홈 - 꿈의 디자인, 재밌네요
100,마이홈 - 꿈의 디자인, 너무 좋아요~^^
101,마이홈 - 꿈의 디자인, 이 앱 너무 좋아요
102,마이홈 - 꿈의 디자인, 너무 재미있어요
103,마이홈 - 꿈의 디자인, GOOD!^0^~
104,마이홈 - 꿈의 디자인, 기분도. 좋아져요.
105,마이홈 - 꿈의 디자인, 와우
106,마이홈 - 꿈의 디자인, 잼
107,마이홈 - 꿈의 디자인, 짱
108,마이홈 - 꿈의 디자인, 잼
109,마이홈 - 꿈의 디자인, 재밌어요
110,마이홈 - 꿈의 디자인, 존잼
111,마이홈 - 꿈의 디자인, 귯귯
112,마이홈 - 꿈의 디자인, 👍👍👍👍👍
113,마이홈 - 꿈의 디자인, 너무 재미있어요^^
114,마이홈 - 꿈의 디자인, 👍👍👍👍👍
115,마이홈 - 꿈의 디자인, 좋아요!!
116,마이홈 - 꿈의 디자인, go👍👑
117,마이홈 - 꿈의 디자인, 너무너무 좋아요😙
118,마이홈 - 꿈의 디자인, 재밌었어요~
119,마이홈 - 꿈의 디자인, 이 게임 만든 사람 최고👍👍👍👍
120,마이홈 - 꿈의 디자인, 👍
121,마이홈 - 꿈의 디자인, 재미있어요
122,마이홈 - 꿈의 디자인, 굿!!!
123,마이홈 - 꿈의 디자인, 최고예요
124,마이홈 - 꿈의 디자인, 정말 좋아요
125,마이홈 - 꿈의 디자인, 정말 좋아요
126,마이홈 - 꿈의 디자인, 구수 굿
127,마이홈 - 꿈의 디자인, 완전 최고
128,마이홈 - 꿈의 디자인, 재미있는 게임
129,마이홈 - 꿈의 디자인, 그래픽 굿굿
130,마이홈 - 꿈의 디자인, 재미있어요
131,마이홈 - 꿈의 디자인, 정말 좋음
132,마이홈 - 꿈의 디자인, 좋아유
133,마이홈 - 꿈의 디자인, 잘하고 있음
134,마이홈 - 꿈의 디자인, 너무 재미있어요~~^^
135,마이홈 - 꿈의 디자인, 고맙
136,마이홈 - 꿈의 디자인, 굳
137,마이홈 - 꿈의 디자인, 굳
138,마이홈 - 꿈의 디자인, 굳
139,마이홈 - 꿈의 디자인, 너무너무 재밌어요. 한번 해 보세요 🙄😀✔👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
140,마이홈 - 꿈의 디자인, 짱짱만!!~♡
141,마이홈 - 꿈의 디자인, 너무 재밌어요♡♡
142,마이홈 - 꿈의 디자인, 굿
143,마이홈 - 꿈의 디자인, 좋아요.
144,마이홈 - 꿈의 디자인, 짱짱 재밌는데요... 계속 멈춰요.......
145,마이홈 - 꿈의 디자인, 좋아요👍👍💝
146,마이홈 - 꿈의 디자인, 좋아요
147,마이홈 - 꿈의 디자인, 최고
148,마이홈 - 꿈의 디자인, 굿
149,마이홈 - 꿈의 디자인, 굿
150,마이홈 - 꿈의 디자인, 최고
151,마이홈 - 꿈의 디자인, 굿
152,마이홈 - 꿈의 디자인, 좋아요
153,마이홈 - 꿈의 디자인, 좋아요
154,마이홈 - 꿈의 디자인, 좋다
155,마이홈 - 꿈의 디자인, 굿
156,마이홈 - 꿈의 디자인, 좋아요
157,마이홈 - 꿈의 디자인, 굿
158,마이홈 - 꿈의 디자인, 좋아요
159,마이홈 - 꿈의 디자인, 좋아요
160,마이홈 - 꿈의 디자인, 굿
161,마이홈 - 꿈의 디자인, 굿 잡
162,마이홈 - 꿈의 디자인, 좋아요
163,마이홈 - 꿈의 디자인, 완전
164,마이홈 - 꿈의 디자인, 좋음
165,마이홈 - 꿈의 디자인, 굿
166,마이홈 - 꿈의 디자인, 굿
167,마이홈 - 꿈의 디자인, 좋아요
168,마이홈 - 꿈의 디자인, 좋아
169,마이홈 - 꿈의 디자인, 좋아요
170,마이홈 - 꿈의 디자인, 굿 굿
171,마이홈 - 꿈의 디자인, 베리 굿~~~~
172,마이홈 - 꿈의 디자인, 👍👍👍👍👍최고👍👍👍👍👍
173,마이홈 - 꿈의 디자인, 게임이 재밓기는한데 처음에 글이 너무 많네요ㅠㅠ 제가 너무긴 글을 보면 머리가 아파서ㅠㅠ 이점 참고해 주시면 감사하겠습니다
174,마이홈 - 꿈의 디자인, 중독성 값.. 근데 게임 속조차 집 꾸미기도 노동이 필요하고 돈도 부족...ㅜㅠㅠ
175,마이홈 - 꿈의 디자인, 정말 재밌고 디자인하기 정말 쉬어요ㅎ 그리고 너무 중독돼요 꼭 한번 해봐요~! 정말 재밌다는 점 있지 마세요 이 게임 추천 뜨길 빌어요ㅎ 💐🌸💮🌹🌺🌻🌼🌷☘🌱🌲🌳🌴🌵🌾🌿🍀🍁🍂🍃🗻🌙🌟🌛🌜🌝🌚🌞🌋🌌🌑🌒🌓🌔🌕🌖🌗🌘🌠
176,마이홈 - 꿈의 디자인, 다 좋아요 ㅎㅎ 근데 초록색 돈 모으기 너무 힘들어요 ㅠㅠ
