,name,review
0,버블 슈터 아이스 - 버블 팝, 시간 때우기 좋음
1,버블 슈터 아이스 - 버블 팝, 250 뒤는 업데이트해주세요
2,버블 슈터 아이스 - 버블 팝, 시간 때우면서 하기 좋은데 너무 금방 끝나요 업데이트는 언제쯤 될까요?
3,버블 슈터 아이스 - 버블 팝, 107번은 어떻게 깨죠?
4,버블 슈터 아이스 - 버블 팝, IQ 좋아짐
5,버블 슈터 아이스 - 버블 팝, 업데이트해주세요~~
6,버블 슈터 아이스 - 버블 팝, 깔깔
7,버블 슈터 아이스 - 버블 팝, 좋아
8,버블 슈터 아이스 - 버블 팝, 너무 재밌어요~배터리 닳은지도 모를 정도로 재밌어요~남편 하구 단계 따라가기 승부욕 붙어가지고~
9,버블 슈터 아이스 - 버블 팝, 생각보다 안 질리고 재밌네요
10,버블 슈터 아이스 - 버블 팝, ㅡㅡ What the fork
11,버블 슈터 아이스 - 버블 팝, Simple but very funny
12,버블 슈터 아이스 - 버블 팝, 난이도 괜찮고 재밌어요
13,버블 슈터 아이스 - 버블 팝, 한글 좀
14,버블 슈터 아이스 - 버블 팝, 👍👍굿
15,버블 슈터 아이스 - 버블 팝, Best
16,버블 슈터 아이스 - 버블 팝, 너무 재미있어요
17,버블 슈터 아이스 - 버블 팝, 재밌다
18,버블 슈터 아이스 - 버블 팝, 업데이트는 더 없나요ㅜ 재밌긴 한데 앞으로 좀만 더 기다려봐도 업데이트가 안된다면 그냥 지워야겠어요..
19,버블 슈터 아이스 - 버블 팝, 너무 재밌어요 방법도 간단하고 중독성 쩔어요
20,버블 슈터 아이스 - 버블 팝, 갑만에 재미남
21,버블 슈터 아이스 - 버블 팝, 재밌어요 킬타임
22,버블 슈터 아이스 - 버블 팝, 굳!
23,버블 슈터 아이스 - 버블 팝, 시간 때우기 굿
24,버블 슈터 아이스 - 버블 팝, 아직 굳
25,버블 슈터 아이스 - 버블 팝, 완전 최고
26,버블 슈터 아이스 - 버블 팝, 굿게요
27,버블 슈터 아이스 - 버블 팝, 색감도 화사하고 단순하지만 중독성이 장난 아니에요
28,버블 슈터 아이스 - 버블 팝, 업데이트 좀 해주세요 ..ㅠㅠ
29,버블 슈터 아이스 - 버블 팝, 그냥 재미있음
30,버블 슈터 아이스 - 버블 팝, 재밌게 하고 있습니다
31,버블 슈터 아이스 - 버블 팝, 지영이 모
32,버블 슈터 아이스 - 버블 팝, 중독성 값
33,버블 슈터 아이스 - 버블 팝, 굿
34,버블 슈터 아이스 - 버블 팝, 정말 재밌어요~ㅎ 시간 가는 줄 모를 정도입니다.. 시간 때우기에 딱!! 강력 추천합니다!! 강추!!
35,버블 슈터 아이스 - 버블 팝, 190까지 다 깼어요 업데이트해주세요
36,버블 슈터 아이스 - 버블 팝, 하트 주세요ᅲᅲ
37,버블 슈터 아이스 - 버블 팝, 하트 많이 주세요ㅠㅠ
38,버블 슈터 아이스 - 버블 팝, 시리즈 다 해보는 중~^^ 슈팅 중 최고네요 빠르기도 최고!
39,버블 슈터 아이스 - 버블 팝, 좋음
40,버블 슈터 아이스 - 버블 팝, 굿
41,버블 슈터 아이스 - 버블 팝, 재미있네요~~
42,버블 슈터 아이스 - 버블 팝, 160에서 끝났어요 ㅠㅠ 재밌는데 언제 다음 단계 되는 걸까요?
43,버블 슈터 아이스 - 버블 팝, 스피드짱 그래픽짱 파격감 짱
44,버블 슈터 아이스 - 버블 팝, 어른이 시간 때우기는 최고인듯하네요
45,버블 슈터 아이스 - 버블 팝, 존잼
46,버블 슈터 아이스 - 버블 팝, 최고
47,버블 슈터 아이스 - 버블 팝, 게임을 난 줄에 어떤지 다 갈아서 최고의 힘으로 다운 최고죠
48,버블 슈터 아이스 - 버블 팝, ㅇㄷㄱㆍㄴㅂ
49,버블 슈터 아이스 - 버블 팝, 더 재밌게! 신나게!
