,name,review
0,버블 슈터, 저만 그런가요?? 휴대폰 게임에서 재일 재밌네요!! 이거 하명 스트레스가 다 풀리는 느낌이럴까??ㅎㅎ
1,버블 슈터, 게임 차체는 재미있음... 현재 403회 광고만 좀 줄여준다면 굿......
2,버블 슈터, 아이템들도 좋고 심심할 때 하기 딱 좋아요 진짜 재밌습니다!! ♥
3,버블 슈터, 재미있는데 바탕화면에 바로 가기가 안 생기네요 어떻게 해야 생기나요
4,버블 슈터, 너무 재밌어요 근데 광고만 너무 많이 나오네요ㅜㅜ
5,버블 슈터, 다 좋은데 판마다 광고가 많네요
6,버블 슈터, 간혹가다가 다음 단계로 안 넘어가는 경우가 있네요.
7,버블 슈터, 시간 보내기도 좋고 특히 침대에 누워서 하다 보면 잠이 솔솔 와요
8,버블 슈터, 진짜 쉽고 재밌습니다
9,버블 슈터, 범사에 감사합니다 많이. ♡♡♡
10,버블 슈터, 와 이게 진짜 꾸르잼이네요 와 저 이게 다운로드하길 잘했네요 이게 진짜 핵꿀잼!!
11,버블 슈터, 재밌네요 심심할 때 하기 딱 좋아요
12,버블 슈터, 넘나리 꿀르잼
13,버블 슈터, 버블 슈터 재미있어요
14,버블 슈터, 재밌고 귀여워요
15,버블 슈터, 계산적이다.
16,버블 슈터, 강력 추천
17,버블 슈터, 그래.. 난 좋아
18,버블 슈터, 버블 슈터 꼭 해보세요
19,버블 슈터, 감사합니다
20,버블 슈터, 정말로 최고네요.💕
21,버블 슈터, 단순하지만 지루하지 않아요^^
22,버블 슈터, 짱
23,버블 슈터, 아주 잘하고 있어요
24,버블 슈터, 쉽고 편해서 좋아요
25,버블 슈터, 시간 잘 가네
26,버블 슈터, 중독성 쩌내요
27,버블 슈터, Good
28,버블 슈터, 재미있습니다
29,버블 슈터, 추전 게임
30,버블 슈터, 재미있네요
31,버블 슈터, ^_^ 재미게
32,버블 슈터, 굳
33,버블 슈터, 👍👍👍👍👍최고예요
34,버블 슈터, 좋음
35,버블 슈터, 굿
36,버블 슈터, 굿
37,버블 슈터, 굿 잡
38,버블 슈터, 굿굿
39,버블 슈터, 최고👍👍
40,버블 슈터, 꿀 잼 ♥♥♥♥♥♥♥♥♥ ★★★★★★★★★
41,버블 슈터, 아이들한테 좋은 것 갓 아이 색깔 별로 할 수 있어서 좋아요 다른 어머니들 한번 아이들 과 함게 해보세요
42,버블 슈터, 3410판에서 넘어가질 않아요ㅠㅠ 어찌해야 하나요?
43,버블 슈터, 너무 좋습니다 곰돌이도 귀엽고 공 실제로 하나 갖고 싶다
44,버블 슈터, 광고를 없애주시면 좋겠어요
45,버블 슈터, 너무 재밌어요. 꼭 다 깨고 싶어요!!!!
46,버블 슈터, 좋아요
47,버블 슈터, 중독성이 좀 있네요
48,버블 슈터, 아주 굿
49,버블 슈터, 재밌네요
50,버블 슈터, 재밌어요^^
51,버블 슈터, 재밌어요
52,버블 슈터, 너무 재밌어요. 감사합니다.
53,버블 슈터, 재미있네요
54,버블 슈터, 좋아유
55,버블 슈터, 굿
56,버블 슈터, 굿
57,버블 슈터, 곰 도리 가자미 있어요 그리고 참 좋 😇😇😇🐩🐩🐩🐇🐇🐇🐢🐢🐢🐒🐒🐒🍀🍀🍀🌹🌹🌹🌸🌸🌸🍁🍁🍁👏👏👏
58,버블 슈터, good
59,버블 슈터, 잘 정리돼서 더 좋아요 별 5개 드려요~
60,버블 슈터, 재밌어요~~! 계속하는 중입니다 ㅋㅋ
61,버블 슈터," It's really easy to play and it is really, really, REALLY fun"
62,버블 슈터, 너무나 재미있으실 겁니다. 다 함께 즐겨주실 것을 확인차 보내드립니다!!!! THAT'S A PERFECT APP GAME. VERY VERY NICE GAME💖
63,버블 슈터, 재미없는 것도 아닌 재미있는 것은 맞는..
64,버블 슈터, 게임하느라 빠져드네요 정말 재밌어요
65,버블 슈터, 이거 만랩이 몇인가요?
66,버블 슈터, 광고 안 보고 싶다..
67,버블 슈터, 잼이다 ㅎ
68,버블 슈터, 너무 재미있어요
69,버블 슈터, 재밌어요~~^^
70,버블 슈터, 칼쌈
71,버블 슈터, 좋아
72,버블 슈터, 굿
73,버블 슈터, 심심할 때 시간 때우기 좋네요 쉽고 간단한 놀이입니다
74,버블 슈터, 젬남
