,name,review
0,블록 퍼즐 보석, 아 진짜 너무 최고예요! 그리고 저는 광고 안 나오기를 제 방식대로 하고 있어요! 맨 위에 Ⅱ 이거 누르시고 다시 하기를 누르면 빠르게 다시 할 수 있어요. 광고가 안 보여서 지겨울 정도랍니다ㅎ 게임 플레이어였습니다ㅎ!
1,블록 퍼즐 보석," 와.... 진짜 질리지도 않고 계속하게 되는 중독성이 있어요!! 제가 앱이 많아서 지울려 해도 막상 지울려다 이건 못 지울 것 같아서 진짜 재밌어요! ♡ 안 해보신 분들 꼭 플레이해보시길,,,!"
2,블록 퍼즐 보석, 여러분! 제 말 좀 들어주세요 이 게임이 어려우시다면요 이 게임은 우리의 재미를 위해 열심히 만든 것이라고 생각합니다^-^ 만약 여러분이 열심히 만든 게임을 사람들이 어렵다고 하면 어떨까요? 생각해보세요 ~♡
3,블록 퍼즐 보석, 심심할 때 도 하기 좋고 또 광고 만 없어 으면 좋겠습니다 그리고 이 게임 이 재밌었어 별 5 개를 주었어요 !~~ 그럼 안녕 이게 세요 !~
4,블록 퍼즐 보석, 완전 최고 놰요 울 엄마도 태트리스엄청좋아해서재핸드폰으로저꺼하고울엄마는엄마핸드폰으로대결을했는데역시태트리스왕인제가우승을했죠제가이게임을한7살때패드로해서그런거같내용제올해이게임을울엄마덕에하게돼었네용
5,블록 퍼즐 보석, 저는 좋습니다. 근데 생각해보세요 이거 만드신 분도 돈을 벌어야 하기 때문에~ 광고는 안 줄이는 게 좋겠네요
6,블록 퍼즐 보석, 뇌운동 되는 게임인 것 같고 재미있어요 상당히 머리를 써야 하는 게임이어서 게임을 반대하는 저희 어머니도 허락하시고 친구들도 재미있어해요 이 게임 만드신 분은 너무 훌륭하시고 좋 자신 분일 것 같아요 재미있어요♡
7,블록 퍼즐 보석, 그냥 했는데 중독성이..ㅋㅋ 재밌네요 ㅋㅋ 시간 때울 때마다 하는 중
8,블록 퍼즐 보석, 재밌는데 광고 좀 없애주세요ㅡ.ㅡ 게임할 때마다 너무 많이 나오잖아요
9,블록 퍼즐 보석, 게임하는데 우리 아빠가 아빠만 하고 너는 하지 말라고 그러네요 나도 할 수 있는데 참 너무 안 해
