,name,review
0,어메이징 스파이더맨 2, 아니 무슨 알이 20개도 아닌 100개는 심하지 않나요? 그리고 슈트 업그레이드 기능 추가 좀 그리고 거미 폭풍 스킬 쓰다가 자꾸 주먹부터 날아감
1,어메이징 스파이더맨 2, 안녕하세요. 유튜브분들이 하시는 걸 보고 결제하면서 플레이해보고 싶었는데 타격감도 좋고 결제해도 아깝지 않은 후회 안 할 게임인 거 같습니다. 정말 영화처럼 잘 만드셨네요. 감사합니다.^^
2,어메이징 스파이더맨 2, 제가 no 현질로 라이노 깼는데 진짜로 할 게 없어요 최종 보스 깨면 그래서 업데이트될 때까지 방치 게임이 돼요 그래서 기꺼이 7000원 주고 샀는데 열심히 돈 벌고 있는데 더 이상 살 것도 없어서 최종 보스 깬 이후로도 할 수 있는 거 많이 추가해주세요
3,어메이징 스파이더맨 2, 얘들아 ㅋㅋㅋ 진짜 궁금해서 그러는데 다 해놓고 뒤에 재미없다고 환불해 달라는 건 머야 개 웃기네 진짜 ㅋㅋㅋ 자기들 할 건 다 해놓고선 좀 하다 보니 재미없네? 그래서 바꿔 주라 한다곸ㅋ ㅁㅊ. ㅋㅋㅋ
4,어메이징 스파이더맨 2, 흠... 저는 보스를 잡고 그러는 것도 좋지만 약간 놀 수 있는 거 없나요? 뭐 사람(특정) 죽여서 돈을 얻어서 무기를 사는(gta 비슷하게) 그런 모드도 만들어주세요... 플레이 안 하고 환불 되겠지 하고 다운로드했는데 환불 안되는 건 어쩔 수 없으니 이런 사항 좀 받아주세요
5,어메이징 스파이더맨 2, 진짜 재밌다 고 확인 버튼 떠서 눌러도 작동이 되지를 않아요. 돈 받고 게임도 못하게 하는 게 어딨어요.
6,어메이징 스파이더맨 2, 게임 좋고요 세일할 때 빨리 사시고 여 안 좋은 점 있으면 그렇구나.. 하시면 좋고요 악성 댓글 필요 없고요 현질 요구하는 건 맞긴 맛고여 즐겜하세요~~^^
7,어메이징 스파이더맨 2, 와 이런 게임 좋습니다 제가 좋아하는 스파이더맨 스파이더맨으로 게임을 되게 잘 만들었습니다 옛날에는 별로였는데 정말 진화했네요
8,어메이징 스파이더맨 2, 제가 어메이징 스파이더맨 2 영화 보면서 이거 해봤는데 영회 같은 장면 은 없지만 스파이더맨 시리즈 다 보고 플레이하니까 재밌어요!!!
9,어메이징 스파이더맨 2, 랙이 너무 많이 걸리고 보스 잡기가 힘들고 이상하니깐 환불해주세요 게임도 환불하면 지울게요 그리고 저 한 15분 봤게 안 했으니깐 꼭 환불해주세요~그리고 저 갈 깐 거 아니라서 환불 해달라고 하는 거예요 꼭꼭 환불해주세요 그리고 별 5개 해 들릴 거니깐 꼭 환불해주세요~안 하면😭😭
10,어메이징 스파이더맨 2, 아니 고블린은 제가 50번을 해도 못 깨는 겁니다. 피가 너무 많습니다
11,어메이징 스파이더맨 2, 진짜 전작은 미션도 어렵고 그래픽도 별로 고 움직임도 안부 더러웠는데 그런 점 전부 고쳐지니까 좋네요 별이 5개!
12,어메이징 스파이더맨 2, 님들 계속 업데이트 하라고 하는 거 다 복사해서 유튜브로 찼아서 했으니까 그렇지 내 친구가 그렇게 했다가 스토어에다가 펑가씀 진짜 자기가 잘못했으면 잘못했다고 해야지
13,어메이징 스파이더맨 2, 제가 그린 고블린 깼는데 다시 해라 하고 산 스킬도 없어졌어요
14,어메이징 스파이더맨 2, 캣우먼이 와서 오스코프 회사 중간에서 싸우는거잏는데 그거 도저히 못 깨겠네요 경비원 한 5초 남기고 다 죽였는데도 보초에게 붙잡혔다 하는데 어떻게 해야 하나요 이거 깬 사람 있으시면 답변 좀 부탁합니다 ㅠㅠ
15,어메이징 스파이더맨 2, 저 이거 왜 환불이 안되죠? 저 딱 1~3번 했는데
16,어메이징 스파이더맨 2, 재미있고 움직임 도 현실 갔어 보이고 신기합니다
17,어메이징 스파이더맨 2, 최고근데쳅터4에서블랙켔이내주는폭동4번맞으니깐죽잖아요아니무슨돈다뜻어먹고피좀늘려주세요
18,어메이징 스파이더맨 2, 좋긴 한데 그래픽이 약간 유치한 거 같아요 조금 더 진짜같이 해주시면 감사합니다.
19,어메이징 스파이더맨 2, 너무 재밌어요 5개 드리께요
20,어메이징 스파이더맨 2, 한마디 이거 사여 존잼 참고로 개인적 성애 안맞읓수고
21,어메이징 스파이더맨 2, 진짜 제가 꿈꾸던 게임이 드디어 나왔네요 ᄒᄒ 재밌게 플레이하고 있습니다
22,어메이징 스파이더맨 2, 재미없을 수가 없다 그런데 돈은 안 들면 좋겠다
23,어메이징 스파이더맨 2, 첫 유료 게임 결제인데 만족스럽습니다
24,어메이징 스파이더맨 2, 드디어 패치됐네요 이젠 재밌게 게임 플레이 중입니다^^
25,어메이징 스파이더맨 2, 여러분 갑자기 됐는데 이거 1일 뒤면 됩니다 리얼 갓겜^^
26,어메이징 스파이더맨 2, 제작사님 아으로 많은 업데이트 부탁드립니다
27,어메이징 스파이더맨 2, 게임이 정말 재밌네요!
28,어메이징 스파이더맨 2, 기프트카드로 샀는데 꿀 잼이 내 요 근데 갱단 좀 더 많이 해주세요
29,어메이징 스파이더맨 2," 꿀 잼이네요, 근데 챕터 3 90%가 너무 어려워요."
30,어메이징 스파이더맨 2, 꿀 잼이에요 근데 스킬 어떻게 쓰는 거예요
31,어메이징 스파이더맨 2, 재밌고 쉬운데 어렵다는 초등학생들은 뭐냐
32,어메이징 스파이더맨 2, 7000원이 아깝지 않은 그래픽에 조작감이 너무 맘에 드네요!
33,어메이징 스파이더맨 2, 음.... 오늘 깔았는데..... 산 이유가 있습니다 좀 버그는 있지만...ㅎㅎ
34,어메이징 스파이더맨 2, 보스 좀 추가해주세요.
35,어메이징 스파이더맨 2, 돈은 내야 되지만 따봉
36,어메이징 스파이더맨 2, 돈은 내야 되지만 따봉
37,어메이징 스파이더맨 2, 다 너무 재밌어서 좋아요 즐겁고
38,어메이징 스파이더맨 2, 아주 갓 게임이군요!!!!!
39,어메이징 스파이더맨 2, 게임 재밌네요 ᄒ
40,어메이징 스파이더맨 2, 어메이징 하게 재밌다
41,어메이징 스파이더맨 2, 다 좋은데 가끔 들어가지지가 않아요 그것만 잘해 주시면 좋을 것 같아요
42,어메이징 스파이더맨 2, 개꿀 7000원이 아깝지 않다
43,어메이징 스파이더맨 2, 너무 어렵고 돈이 아까워서 환불해주세요
44,어메이징 스파이더맨 2, 개꿀 잼 돈으로 산 게 아깝지 않음
45,어메이징 스파이더맨 2, 진짜 재밌어요!!!!
46,어메이징 스파이더맨 2, 정말 재미있어욥!!
47,어메이징 스파이더맨 2, 이 게임 너무 재밌어요 개꿀 잼
48,어메이징 스파이더맨 2, 게임 구매했는데 실행이 안 되네요
49,어메이징 스파이더맨 2, 와~돈 주고 살만하다 스파이더맨 좋아하는데 완전 재밌음
50,어메이징 스파이더맨 2, 1보단 재미있음
51,어메이징 스파이더맨 2, 야 이거 진짜 재밌다 전엔 모욕해서 미안합니다...
52,어메이징 스파이더맨 2, 제밋어용요ㅛ요요ㅛ요요ㅛ요요ㅛ요요ㅛ요ㅛ요요요ㅛ요요ㅛ요ㅛ요요ㅛ요요ㅛ요ㅛ요요요ㅛ요요ㅛ요ㅛ요요요ㅛ툐요ㅛㅌ
53,어메이징 스파이더맨 2, 존잼 인정한다 내가 이거 너무 재미있었어 못 지운다
54,어메이징 스파이더맨 2, 결재한 게 아깝지 않네요
55,어메이징 스파이더맨 2, 거의 노력하셔
56,어메이징 스파이더맨 2, 완저 재밌음
57,어메이징 스파이더맨 2, 와........... 이거 사고 싶었는데 기대 이상임ㅋㅋㅋ
58,어메이징 스파이더맨 2, 정말 재밌는데 차를 타고나 헬기를 탔으면 좋겠다
59,어메이징 스파이더맨 2, 너무 꿀 잼
60,어메이징 스파이더맨 2, 100% 끝나도 안 깔림
61,어메이징 스파이더맨 2, 너무 좋아요
62,어메이징 스파이더맨 2, 진짜 개꿀 잼
63,어메이징 스파이더맨 2, 너무 재밌고 할인할 때 사서 더 좋네요!!
64,어메이징 스파이더맨 2, 너무 재미있게 플레이하고 있어요 감사합니다.
65,어메이징 스파이더맨 2, 재미있음ㅋㅋ
66,어메이징 스파이더맨 2, 너무 재미있는 리액션이 과수기 넘치는 게임이 내요^^
67,어메이징 스파이더맨 2, 이 게임을 만들어주셔서 감사합니다
68,어메이징 스파이더맨 2, 갓겜있니다.
69,어메이징 스파이더맨 2, 돈 내고 깐 보람이 있네요!!
70,어메이징 스파이더맨 2, 개굴 잼
71,어메이징 스파이더맨 2, 한불 해주세요
72,어메이징 스파이더맨 2, 56점
73,어메이징 스파이더맨 2, 재밌다
74,어메이징 스파이더맨 2, 갸꿀띠
75,어메이징 스파이더맨 2, 꾸르잼
76,어메이징 스파이더맨 2, 꿀 잼이고요
77,어메이징 스파이더맨 2, 핵꿀잼
78,어메이징 스파이더맨 2, 와 중말 재미있어요!
79,어메이징 스파이더맨 2, 다 좋습니다.
80,어메이징 스파이더맨 2, 다시 이렇게 하니 좋습니다
81,어메이징 스파이더맨 2, 재미있게 플레이하는 중
82,어메이징 스파이더맨 2, 다 좋고 재미있네요
83,어메이징 스파이더맨 2, 이야 너무 재미있다
84,어메이징 스파이더맨 2, 액션이 좋아요!
85,어메이징 스파이더맨 2, 1보다 2가 더 좋아요 다만 슈트가 현질.....
86,어메이징 스파이더맨 2, 정말 정말 재미있습니다 너무^^
87,어메이징 스파이더맨 2, 짱
88,어메이징 스파이더맨 2, GOOD
89,어메이징 스파이더맨 2, 너무 재미있게 했어요
90,어메이징 스파이더맨 2, 중말 재미있음
91,어메이징 스파이더맨 2, 개꿀 잼 돈이 안 아까워요^^♡♡
92,어메이징 스파이더맨 2, 굴 잼
93,어메이징 스파이더맨 2, 꿀 잼
94,어메이징 스파이더맨 2, 짱
95,어메이징 스파이더맨 2, Ohsj
96,어메이징 스파이더맨 2, 꿀 잼
97,어메이징 스파이더맨 2, 꿀 잼
98,어메이징 스파이더맨 2, GOOD
99,어메이징 스파이더맨 2, 갓겜
100,어메이징 스파이더맨 2, G-O-O-D
101,어메이징 스파이더맨 2, 제미
102,어메이징 스파이더맨 2, 유료 인정? 어 인정
103,어메이징 스파이더맨 2, good good
104,어메이징 스파이더맨 2, 모띠모띠 모티
105,어메이징 스파이더맨 2, 나 잼 나 잼 나 잼 나 잼
106,어메이징 스파이더맨 2, 너무 재미있어요^^~!
107,어메이징 스파이더맨 2, 재미있는 서요
108,어메이징 스파이더맨 2, 재미있는 게임
109,어메이징 스파이더맨 2, 완전 꿀 잼
110,어메이징 스파이더맨 2, 최고의 게임
111,어메이징 스파이더맨 2, 굿굿굿
112,어메이징 스파이더맨 2, 너무 좋습니다
113,어메이징 스파이더맨 2, 재미있네요
114,어메이징 스파이더맨 2, 정말 좋아요
115,어메이징 스파이더맨 2, 굳
116,어메이징 스파이더맨 2, 굿
117,어메이징 스파이더맨 2, 굿
118,어메이징 스파이더맨 2, 굿
119,어메이징 스파이더맨 2, 최고
120,어메이징 스파이더맨 2, 굿
121,어메이징 스파이더맨 2, 굿
122,어메이징 스파이더맨 2, 굿 잡
123,어메이징 스파이더맨 2, 굿
124,어메이징 스파이더맨 2, 근데 알고 보니 그 겁나쌘 라이노가 최종이었네? 나도 업글 잘 안 했고(에이 돈 없는데) 뭐... 그냥 깨야지 어쩌겠냐
125,어메이징 스파이더맨 2, 풀 터치 아이콘이 어디 있나요? 게임은 재미있는 데 핸드폰을 바꾸니 컨트롤러용으로 바뀌어 있네요. 답장 좀 해주세요! 아시는 분 없나요?
126,어메이징 스파이더맨 2, 듣보잡님 님이 소문낸다고 영향은 크지 않아요 그리고 구글 계정 연동해도 이 게임은 스킨 같은 것만 복구 버튼 누르면 복구되는 거고 나머지는 전부다 초기화돼요
127,어메이징 스파이더맨 2, 가아가 아장 마지막 보스 라이노를 전부 깨니까 이제 할 것이 없네요 .. 그러니까 무료로 하고 온라인기능만들몀 안 되나요;;
128,어메이징 스파이더맨 2, 새로운 업데이트가 있습니다 지금 다운로드하세요 뜨고 게임이 안되네요 삭제하고 다시 깔아도 똑같은데 어떻게 된 겁니까 환불을 해주던가 플레이하게 해주던가 빨리 조치 좀 하소!!!
129,어메이징 스파이더맨 2, 이거 백업해야 하나요? 구글 플레이에 로그인하면 되는 줄 알았는데 초기화됐네..... 그리고 거미 줄타기 어렵고 현질 유도가 조금 있네요..... 제가 못하는 건가요....
130,어메이징 스파이더맨 2, 똑같은 미션이 너무 많음. 현제 ps4 용으로 나온 스파이더맨처럼 여러 가지 기능들을 추가해 주었으면 좋겠음.
131,어메이징 스파이더맨 2, 근데 왜 갑자기 업데이트인가요? 업데이트 목록 봐도 없는데 이것 때문에 게임을 할 수가 없어요
132,어메이징 스파이더맨 2, 퀄리티도 좋고 게임 플레이도 재밌어서 좋네요 업데이트 많이 해주시고 맵 좀 넓혀주시면(건물 안에 들어가는 미션이나 기능) 갓겜이 될 것 같습니다
133,어메이징 스파이더맨 2, 아이언스파이더맨심비오트스파이더맨사긴했는대업데이트를하라면서업데이트가안돼내요업데이트를해주새요제발요ㅠㅠ
134,어메이징 스파이더맨 2, 근데 다 좋은데 피터 슈트 사고 나서 계속 게임이 튕기네요 고쳐주세요 제작자 님은 이 댔을 봐주세요 감사합니다
135,어메이징 스파이더맨 2, 저기 위에 업데이트는 안 뜨는데 업데이트가 있습 니드 설치해주세요 하면서 뜨는데 어떻게 해야 하나요
136,어메이징 스파이더맨 2, 퀘께로 가면 큰 글 나올 때 심한 랙이 있는데... 고쳐주세요
137,어메이징 스파이더맨 2, 어메이징 스파이더맨 2 내용이랑은 약간 다르지만 재미있고 화질도 좋고 조작감도 괜찮네요.
138,어메이징 스파이더맨 2, 후..... 새 업데이트가 나왔다고 해서 확인 눌렀는데 네이버로 가졌다고 다시 여기로 와지네요 이거 때문에 게임도 못하는 중인데.. 어떻게 하죠?
139,어메이징 스파이더맨 2, 어렵다고들 하시는데 전 기본 슈트로 최종 보스 라이노 깼습니다. 보스전 할 때는 꼭 물약 챙기세요
140,어메이징 스파이더맨 2, 아니 크레이븐 버그 좀 고쳐주세요 아니 크레이븐이 칼로 때릴 때 스파이더맨 가만히 있으면 때릴 때도 있고 안 때릴 때도 있어요 그래서 계속 죽어서 좀 고쳐주세요
141,어메이징 스파이더맨 2, 저 들어가지도 못했는데 계속 새로 업데이트를 하라고 떠요 고쳐주세요
