,name,review
0,체스, 짱이에요(앙파상되는진 안 해봤지만). 그리고 체스 규칙 모르는 분들은 게임 탓하지 말고 체스 규칙을 좀 보시면 어떨까요? 체스에는 키슬링이란 규칙도 있고 스테일 메이트라서 무승부 되는 경우도 있는데 상대가 킹이랑 룩이랑 한 턴에 같이 움직인다거나 갑자기 무승부가 된다고 징징 데지 마시고 규칙 좀 아시고 하세요
1,체스, 그랜드 마스터 어떻게 깸^^ 100판은 한 거 같은데
2,체스, 즐거운 체스 게임
3,체스, 좋아하는 게임
4,체스, Good chess
5,체스, 좋음
6,체스, 개 유익
7,체스, 좋아요
8,체스, 체스 실력이 느는 데 도움이 많이 됨
9,체스, 앙파상 추가 좀 요 한글 패치도
10,체스, 난이도가 매우 맘에 듭니다
11,체스, 인공지능 난이도가.....
12,체스, 굿 한국어로도 있었으면
13,체스, 뭐 아주 재밌게 잘 하고 있어요
14,체스, 꿀 잼
15,체스, 재미있어요 체스 레베 루가
16,체스, 정말로 재밌어요
17,체스, 진짜 너무너무 좋다!
18,체스, Good
19,체스, Jam
20,체스, 좋다
21,체스, 최고
22,체스," 킹이랑 룩이랑 같이 움직인다는 분들 그거 한 번도 움직이지 않은 킹과 룩을 공격, 방어로 움직일 수 있습니다 원래 그것도 게임 규칙이에요"
23,체스, 저기요 어렵다고 이길 수 있냐고 하는 분들ㅋㅋㅋㅋㅋ 이게 어딜 봐서 어려워요.. 어렵다길래 해봤더니 너네들이 못하는 거예요~~~ 괜히 투덜투덜 대지 말고 닥겜하세요 ^^d
24,체스, 제가 외국에 사는데 하교래서 체스 구엊이있어요 근데 체스를 살 수 없으니까 이걸로 연습하니까 애들 한... 서너 명? 정도 이겼어요! 이거 너무.. Good! Good!^^😉
25,체스, 와 제가 선수인데도 그랜드 마스터는 좀 어렵게 깼는데요? 그랜드 마스터 깨셨으면 동네 체스 왕정 도는 되시겠네요
26,체스," 은근 재미있는데, 엄청 쉬워서 좀 어렵게 해주세요.. 그리고 단계 좀 더 만들어주세요.. 재미있게 즐기고 있습니다..^^"
27,체스, 다 깼는데 그랜드 마스터부터는 너무 싸요... 공략법 아시는 분 없나요ㅜㅜ
28,체스, 초등학교 자녀분들한테 너무나 좋은 체스 게임입니다. 멋진 게임 만들어주신 게임 제작 관계자분들께 진심으로 감사드립니다
29,체스, 시간 x 초로 추가해주십쇼 실제 게임처럼 진행하고 싶습니다
30,체스, 뭐지? 게임하다 보니까 킹이랑 룩이 한 턴에 같이 움직이네요 버근가?
31,체스, 아니니 덜 이게 머가 어려움;: 쉽기만 한데
