,name,review
0,캔디크러쉬 프렌즈 사가, 굳굳굳굳굳굳굳잼잼잼
1,캔디크러쉬 프렌즈 사가, 너무 재미있어요~~
2,캔디크러쉬 프렌즈 사가, ☆☆☆☆☆☆
3,캔디크러쉬 프렌즈 사가, 재미있는 게임
4,캔디크러쉬 프렌즈 사가, 재미나요
5,캔디크러쉬 프렌즈 사가, 재밌음
6,캔디크러쉬 프렌즈 사가, 좋아요.
7,캔디크러쉬 프렌즈 사가, ﻿제가 해 본 카카오 게임 중에 최고입니다 댓글 중에 게임 로딩 시간 고치라 이런 거 있는데 원래 896인에서 게임하면 기다려야 하는 게 정상 아닌가요?? 핸드폰 기종마다 속도가 다른 건 당연한 건데.. 그리고 현질 안 하고도 업적 달성을 해서 충분히 좋은 차랑 캐릭터를 얻을 수 있는 거 같아요 ^^
8,캔디크러쉬 프렌즈 사가, 저는 왜 캐릭터 옷이 안 바뀌죠? 친구는 다 봐뀌는뎨요 캐릭터도 친구가 훨씬 많아요 판수는 내가 더 높은데요. 친구는 아직 못 모은 캐릭터 포함 29 갸야 요 저는 26개에요 캐릭터 옷 갈아입게 해주세요ㅠㅠ
9,캔디크러쉬 프렌즈 사가, 친구들이 하트를 안 보내주네요 ㅠ 하트.. 하트.. 하트~~
10,캔디크러쉬 프렌즈 사가, 색이 너무 예뻐서 게임하고 싶어지고 캐릭터들의 움직임도 익살스러우면서 재밌네요 자꾸 하고 싶어져요
11,캔디크러쉬 프렌즈 사가, 끝판은 580판 재밌쩡 더 풀어줘
12,캔디크러쉬 프렌즈 사가, 오래간만에 해보는 캔디 크러시 시리즈인데 지루할만한 요소는 줄이고 새로운 요소는 많이 넣은 것 같아 좋다.
13,캔디크러쉬 프렌즈 사가, 시간 가는 줄 모르고 게임하네요 ㅎ
14,캔디크러쉬 프렌즈 사가, 캐릭터 음성 소리가 기분 나쁘고 소름 끼치는 소리로 불쾌함 경쾌 발랄한 소리로 틀어주세요
15,캔디크러쉬 프렌즈 사가, 캐릭완전귀욤 내 스타일 ㅋ
16,캔디크러쉬 프렌즈 사가, 너무 재미있게 하고 있어요
17,캔디크러쉬 프렌즈 사가, 함 해봐 ㅋㅋ 넌 내가 좋아하는 사람이 있으면 좋겠다ㅣㅣㅣㅣ
18,캔디크러쉬 프렌즈 사가, 다 깼어요. 얼른 업데이트해주세요. 심심해요.
19,캔디크러쉬 프렌즈 사가, 현질의 조짐이 보임
20,캔디크러쉬 프렌즈 사가, 하트 받기가 어려운 것 말고는 너무 재밌어요~~~^^ 더 많이 하고 싶어요~
21,캔디크러쉬 프렌즈 사가, 재밌어요 ᄏᄏᄏ첨해 봤는데
22,캔디크러쉬 프렌즈 사가, 게임 난이도 쉽고 재밌는데 맵 배경이 몇 개 안 돼서 아쉬움
23,캔디크러쉬 프렌즈 사가, 580이후로는 또 2주 기다려야 되나요?
24,캔디크러쉬 프렌즈 사가, 재밌어요 ᄏ 미션도 있고 액션감이 좋아요
25,캔디크러쉬 프렌즈 사가, 오랜만에 하니까 재밌네요
26,캔디크러쉬 프렌즈 사가, 아직도 공사중이네ㅡㅡ 빨리 게임하고 싶다
27,캔디크러쉬 프렌즈 사가, 재밌네요~~ 중독성 강해요ㅡ시간 때우기 딱입니다
28,캔디크러쉬 프렌즈 사가, 재밌네요! 중독성 최고!
29,캔디크러쉬 프렌즈 사가, 난이도가 올라간 만큼 하트 충전도 빨리 되면 더 좋을 텐데..
30,캔디크러쉬 프렌즈 사가, 아직까진 재미남~
31,캔디크러쉬 프렌즈 사가, 재밌어요 친 그 추가는 없나요
32,캔디크러쉬 프렌즈 사가, 580판 깼어요 얼른 다음 업데이트 좀요..
33,캔디크러쉬 프렌즈 사가, Не плохо!
34,캔디크러쉬 프렌즈 사가, 너무 재밌습니다
35,캔디크러쉬 프렌즈 사가, 너무 어렵지 않아서 재미나고 시간 가는 줄 모르겠어요~^^
36,캔디크러쉬 프렌즈 사가, 중독돼요 굿
37,캔디크러쉬 프렌즈 사가, 최고네ㅎㅎ
38,캔디크러쉬 프렌즈 사가, 시간 보내기 재밌다
39,캔디크러쉬 프렌즈 사가, 너무 재밌다 ㅋㅋㅋ 간단히 하기 좋음
40,캔디크러쉬 프렌즈 사가, 캐릭터 특성 스킬이 추가되었으면 ...
41,캔디크러쉬 프렌즈 사가, 너무 재밌어요!! 완전 취향 저격!!
42,캔디크러쉬 프렌즈 사가, 오랜만에 집중해서 게임을 하네요^^
43,캔디크러쉬 프렌즈 사가, 즐겜하고 있네요
