,name,review
0,캔디크러쉬사가, 재미있네요
1,캔디크러쉬사가, 재미나요
2,캔디크러쉬사가, 굳
3,캔디크러쉬사가, 굿
4,캔디크러쉬사가," 이런 게임이 있다는 자체가 맘에 듭니다. 지루하지 않고, 꾸준히 사랑받는 게임인듯하네요. 번창하이소. 그리고 수고하이소. ㅋㅋㅋㅋㅋ 회사의 기원과 안녕을 바랍니다. 그라고 너무 난이도 올리지는 마요. 골머리 아파"
5,캔디크러쉬사가, 엄청 엄청 재미있어요ㅠ 처음엔 지루했는데 뭔가 끈기가 생기고 승부욕도 생겨서 재미있어요!! 친구들이랑 같이 대결해요ᅲᅮ꼭 한 번씩 해보세요
6,캔디크러쉬사가, 재미있네요. 캔디 깨고 스트레스도 깨고..
7,캔디크러쉬사가, 왜 아이템이 다 사라진 거요? 도넛 휠 40개 이상 있었는데 왜 없어진 거예요?
8,캔디크러쉬사가, 레벨 3828은 도대체 어찌 깨나요? 깨질 기미가 안 보이네요ᆢ ㅠ 전략 알려주실 분?
9,캔디크러쉬사가, 재밌음 but 하트 자동 생성 시간이 좀 짧아졌으면 합니다.
10,캔디크러쉬사가, Sk 광고 뭔가..... 이제 정만 그만둘 때가 된 것인가
11,캔디크러쉬사가, 제 핸드폰은 왜 동상이 재생이 안될까요?
12,캔디크러쉬사가, 상각보다 재미있어요. 시간도 잘 가고 좋네요 좀 더 어려운 미션이 많으면 좋겠어요 ^^
13,캔디크러쉬사가, 짝퉁은 가라 원조가 나가신다
14,캔디크러쉬사가, 시간 가는 줄 모르는 두뇌운동 게임
15,캔디크러쉬사가, 예전에 한번 해보고 접었었는데 ㅎㅎ 여전히 시간 가는 줄 모르고 하게 되네요
16,캔디크러쉬사가, 저금통이.. 왜 줄었어요? 다시 60개 해주세요~~~
17,캔디크러쉬사가, 개발자분들 너무하네 휴대폰과 피씨 버전이 너무 차이나네
18,캔디크러쉬사가, 처음 하는 게임이라 저에게는 좀 어려운 면도 많은데 즐겁게. 하고 있네요ᆢ
19,캔디크러쉬사가, 다시 시작해서 하는 너무 재밌어요
20,캔디크러쉬사가, 끊기긴 하는데 예전보다 빠르네요
21,캔디크러쉬사가, 재밌어요~~근데 하트 충전시간이 너무 길어요ㅜㅜ
22,캔디크러쉬사가, 단색 구별이 더 좋았다면
23,캔디크러쉬사가, 한번 시작하면 계속하는 게임 ~^^
24,캔디크러쉬사가, 하트 시간 좀 단축시켜주세요.
25,캔디크러쉬사가, 저금통 보관 좀 바꿔 주세요~
26,캔디크러쉬사가, 너무너무 재미있어서 잠도 안 자고 하루 종일 캔디 크러시 사과할 거예요! 캔디 크러시 사가 완전 꿀 잼
27,캔디크러쉬사가, 시간 가는 줄 모른다는... ㅋ
28,캔디크러쉬사가, 치매예방엔 좋을듯합니다.
29,캔디크러쉬사가, 다양한 모양으로 할 때마다 즐겁고 다음 단계가 기다려져요.
30,캔디크러쉬사가, 재미는 있는데 현질을 왜 강요하는 거죠?
31,캔디크러쉬사가, 짬 시간에는 너무 좋아
32,캔디크러쉬사가, 재밌어요 스트레스 풀립니다
33,캔디크러쉬사가, 시간 가는 줄 몰라요 ㅋㅋ
34,캔디크러쉬사가, 재밌나 간 만에 하니까
35,캔디크러쉬사가, 2435탄 되긴 되나요!
36,캔디크러쉬사가, 재밌어요~디자인도 예뻐요
37,캔디크러쉬사가, 돼지 저금통 짜증 나요
38,캔디크러쉬사가, 시간 가는 즐 몰라
39,캔디크러쉬사가, 옛날부터 지금까지 킬링타임 최고
40,캔디크러쉬사가, 계속 빠져들죠. 톡톡 터지는 기분
41,캔디크러쉬사가, 심심할 때마다 할 수 있어서 좋아요
42,캔디크러쉬사가, 참 재밌고 좋은 게임이다
43,캔디크러쉬사가, ㄱㄷ슩ㅇㅂㄴㅊ
44,캔디크러쉬사가, 적당한 긴장감이 스트레스 해소에 아주 좋아요~~
45,캔디크러쉬사가, 생각하면서 여유 있게 할 수 있어서 좋네요
46,캔디크러쉬사가, 점점 어려워져 슬슬 짜증이.........
47,캔디크러쉬사가, 오래간만에 하니 재미나요
48,캔디크러쉬사가, 머리 아프 200탄부터
