,name,review
0,토킹톰 골드런, 제가 미션 30번째까지 완료했더니 다이아몬드 금고가 열렸어요.
1,토킹톰 골드런, 오우!! 토킹 톰 골드는 넘나 재미있어요~~♥
2,토킹톰 골드런, 아기들 오락인 줄 알았는데 겁나 어렵네ㅠㅠ
3,토킹톰 골드런, 왕 최고 최고 완전 최고 내가 좋아하는 톰 골드는 내가 제일 좋아하는 게임은 톰 골드는
4,토킹톰 골드런, 대박 나세요 오늘 처음 해보는데 난 것까지 힘들어하지는 않아요!
5,토킹톰 골드런, 그림이 귀여웠고 또... 안 질리고 재미있어요.
6,토킹톰 골드런, 너~무대밋어용
7,토킹톰 골드런, 애들이 좀 싸게 살 수 있으면 좋겠네요.😀😍😘
8,토킹톰 골드런, 재밌고 하기 쉽네요
9,토킹톰 골드런, 아주 재미있어서 하루 종일 하고 싶어요.
10,토킹톰 골드런, 딱 좋아요. 그리고 사람을 더 만들었으면 좋아요.
11,토킹톰 골드런, 이 게임 정말 최고다
12,토킹톰 골드런, 좋아요 근데 재미있어요
13,토킹톰 골드런, 너무너무 좋아요
14,토킹톰 골드런, 재미있게 할게요
15,토킹톰 골드런, 너무 좋아요
16,토킹톰 골드런, 원청 재밌어요
17,토킹톰 골드런, 이 게임 업데이트 좀 해 주세요^^ 요새 이 게임 정말 재미있어요
18,토킹톰 골드런, 게임이 재미다
19,토킹톰 골드런, 정말 재미있어요
20,토킹톰 골드런, 재밌네요
21,토킹톰 골드런, 더 다양한 아이템이 있으면 좋겠어요
22,토킹톰 골드런, 너무 재미있어요
23,토킹톰 골드런, 좋은 거 같아요
24,토킹톰 골드런, 재미있어요
25,토킹톰 골드런, 이 게임 너무 재미있어요
26,토킹톰 골드런, 은근 재밌어요
27,토킹톰 골드런, 재밌어요😊
28,토킹톰 골드런, 이거 정말 재미있네요
29,토킹톰 골드런, 꿀 잼
30,토킹톰 골드런," 꿀 잼, 꿀 팁^^^♡"
31,토킹톰 골드런, 꿀 잼
32,토킹톰 골드런, good
33,토킹톰 골드런, 아주 재미었요
34,토킹톰 골드런, 너무 굿
35,토킹톰 골드런, 완전 재밌음
36,토킹톰 골드런, 너무 쉬움
37,토킹톰 골드런, 좋아요 ~♡
38,토킹톰 골드런, 재미있어요~
39,토킹톰 골드런, 너무 좋아요
40,토킹톰 골드런, 너무 재밌다
41,토킹톰 골드런, 재미있어요
42,토킹톰 골드런, 아~주 좋아요!!! ♡♡~
43,토킹톰 골드런, 좋아요
44,토킹톰 골드런, ..좋음 별로...
45,토킹톰 골드런, 좋아요
46,토킹톰 골드런, 최고
47,토킹톰 골드런, 굿
48,토킹톰 골드런, 최고
49,토킹톰 골드런, 굿
50,토킹톰 골드런, 😃👍👍👍👍👍👍💞💞💞💞💋💋💋💋💋💋💋
51,토킹톰 골드런, 재미있어요 하지만........... 아니에요☺😅재미있네.................
