,name,review
0,트리비아크랙, 갑자기 문제가 독일어로 나오게 됐어요ᅲᅲ 어떻게 바꾸나요
1,트리비아크랙, 중간광고 30초 빼고는 링 퍼펙트
2,트리비아크랙, 제일 비싼 왕관살껀데 왕관 모양이 너무 못생겼어요
3,트리비아크랙, 답변을 알려줄 때 문제가 바로 끝나고 알려주세요 나중에 답변 보기 말고요 ㄱ그거  변경해주세요
4,트리비아크랙, Me gusta mucho y aprendo igual
5,트리비아크랙, 괜찮아요 가끔씩 질문 오타 나고 말도 안되는 거 나오는 것만 빼면
6,트리비아크랙, It's really great!
7,트리비아크랙,재밌지만 하트 최대치가 좀 더 컸으면 좋겠습니다.
8,트리비아크랙,재밌음 근데 상대방 기다리기 넘나 귀찮
9,트리비아크랙, 재밌어요!!
10,트리비아크랙, 재밌어요
11,트리비아크랙, 재밌다
12,트리비아크랙,굿 재미있어요
13,트리비아크랙,굿 재미
14,트리비아크랙,ㅎ 이 게임 처음엔 하트 충전이 늦게 돼서 싫었는데 카드 모으고 나선 재밌네요 ㅎ
15,트리비아크랙,{프리비아 트랙 히트다 히트👍} (항상 비슷한 게임만 해서 불가사리 했는데 정말 프리비아 트랙 히트다 히트👍)
16,트리비아크랙,꿀 잼ㅋㅋㅋㅋㅋ 정말 재밌고 문제도 좋아요!!!
17,트리비아크랙,재미있어 잼 난다 심심할 때 하면 좋을 듯
18,트리비아크랙,으음 지식이 하나씩 쌓여가는 느낌 한 번에 퀴즈를 많이 풀 수 있는 게 아니라서 중독성 있음
19,트리비아크랙,ㄱㅊㄱㅊ 하릴없으음 이거 하세요
20,트리비아크랙,재밌어 맘에 들어
21,트리비아크랙, 난이도가 좀 있어서  만족
22,트리비아크랙, 재밌어요
23,트리비아크랙,저 타 아쥬죠타
24,트리비아크랙, 좋아요
25,트리비아크랙,정말 정말 재밌다 공심이만큼 재밌다 콩 심 씨~
26,트리비아크랙, 좋아요
27,트리비아크랙,시간 때우기에 가장 좋은 어플 무료한 시간을 정말 보람차게 보낼 수 있는 어플인 것 같습니다 ㅎ
28,트리비아크랙,졸잼 꿀 잼 그냥 퀴즈들이 재미있고 모르는 사람이랑 대결하는 게 재미져요
29,트리비아크랙,좋아요 이런 게임 원했는데 진짜 좋아요~ 재밌어요!!
30,트리비아크랙,좋아요 너무 좋아요
31,트리비아크랙,굿 굿
32,트리비아크랙,최고 제가 원래 퀴즈를 좋아하는데 이런 앱이 있어서 정말 좋은 것 같네요 재밌고 제 스타일이에요!
33,트리비아크랙, 완전 재미있어요 ㅎㅎ
34,트리비아크랙,진짜 재밌어요ㅠㅠㅠ 짱!
35,트리비아크랙,카드로 얻는 보석 오류 있던데 보석 4개 가지고 카드 보석 받으면 1개로 변합니다
36,트리비아크랙,좋음 좋음
37,트리비아크랙,완전재밌bb 이거 하세요 완전 취향 저격~
38,트리비아크랙,귀여워 귀여워요ㅋㅋ 재밌게 잘할게요
39,트리비아크랙,진짜 재밌음
40,트리비아크랙,"다양한 상식 문제 접할 수 있어서 좋아요! 문제도 다양하고 재미있어요! 다만 문제를 틀리거나 맞추었을 시에 정답이 너무 빨리 지나가요. 한 번 더 생각하여 볼 수 있도록 문제를 풀고 난 맨 마지막 ""계속""화면에서 문제와 함께 정답도 나온다면 좋겠어요. ^^"
41,트리비아크랙,"오옹 퀴즈 게임 이것저것 하다가 전부 식상해서 지웠는데 이거 재밌네요ㅋㅋㅋㅋ 다른 사람과 함께 한다는 것도 좋고 그냥 재밌어요! 다만, 페이스북을 사용하지 않는 유저로서 페이스북과 연동되어있는 기능들의 사용이 힘든 게 불편하네요.ㅜ 그것 말고는 굿 다 좋아요♥"
42,트리비아크랙,굿입니다 정말 재미있습니다. 질문도 재미있고 대결하는 방식도 재미있네요. 다만 딱 한가지 아쉬운 점은 하트? 생명? 충전하는 시간이 너무 기네요ㅜ그래도 정말 재미있습니다.
43,트리비아크랙,재밌습니다 머릿속 깊숙이서부터 지식을 끄집어내 맞추면 근거 없는 자신감도 붙습니다. 그런데 질문을 만들고 번역을 해놔도 아무도 평가를 안 해주네요. 지못미...
44,트리비아크랙,굿! 최고의 게임 중 하나. 하지만.. 단점 1하트가 너무 천천히 생긴다.. 큰 문제죠.. 2답 안 하는 사람이 너무 많네요.. 3 같은 문제가 왜 그렇게 많죠? 4가끔 틀린 답이 답이라고 나오네요..
45,트리비아크랙,재밌습니다 평범한 퀴즈나 위키 퀴즈보다도 훨씬 재밌는 게임! 아쉽다면 생각보다 문제 종류가 적어 보인다는 정도?
46,트리비아크랙,좋아요 지식적으로 게임하는 거라 신선하고 재밌네요 다만 아쉬운 건 하트가 부족해서 많이 못 한다는 거예요.
47,트리비아크랙,좋다!!! 플레이하다가 조금 렉 걸릴 때가 있긴 하지만 그래도 아주 재밌고 좋은 게임이다! 남녀노소 애들까지 재밌게 할 수 있는 것 같다^^
48,트리비아크랙,신선하고 재밌음 친구들 많이 불러서 같이하새염 모르는 사람이랑 하니까 꼬박꼬박 그 사람 차례 때 안 해줘서 약간 귀찮고 아예 답 안 하는 사람들 때문에 하트 줄어서 화남 하트 50분에 한 개 생겨요 님들아 아끼세요
49,트리비아크랙,좋음 좋음 모르는 사람이랑 하면 오래 기다려야 되는 것 하고 하트 충전이 느린 것 빼곤 다 좋은 것 같음
50,트리비아크랙,"좋아요! 모르던 지식도 알고 게임도 하고!       다만, 하트가 채워지는 시간이 느린 것 같아요"
51,트리비아크랙,유레카 이건 최고야... 혁명이라 규 이거 게임하면서 가분 나쁠 땐 딱 두 가지임 한 가지는 문제 틀릴 때 나머지 한 가지는 상대방이 이겼을 때 그거 빼면 이모티콘도 아기자기하고 지식도 확인 가능하고 사랑함♡
52,트리비아크랙,재밌습니다. 기존에 있던 퀴즈게임들이랑 비슷한 것 같은데 이게 제일 중독성이 심해요
53,트리비아크랙,재밌네요 정말 재밌어요 캐릭터를 다 모아야 이기는 건데 너무 귀엽고 좋네요
