,name,review
0,포우 Pou, 후 제가 애완동물을 기르고 싶은데 부모님이 반대하셔요.... 근데 어느 날 친구의 추천에 의해서 포우를 깔아봤죠 그런데.... 포우가 너무 귀엽고 애완동물 같아서 너무 좋네요~!제작자님 감사해요ᅲᅲ
1,포우 Pou, 저... 삭제했다가 다시 되돌리는 것을 모르는 분들이 많으셔서 알려드리려고 합니다.. 오른쪽 위에 포우 모양을 클릭하고 자신의 이메일과 비밀번호를 누릅니다. 그리고 다시 포우 모양에 들어가서 계정 누르고 게임 저장 누르면 됩니다
2,포우 Pou, 포우를 만드신 작가님!!! 저 이 게임만 보고 깜짝! 놀랐습니다!! 저가 찼는 게임이 없어서 그런 게임을 찼고 있었는데.. 그 게임이 동물 키우는 게임인데 포우가 제가 찼는 게임이랑 꼭 한번 해봤다는 듯이!! 똑같아요!! 포우를 만드신 작가님!! 정말 감사드립니다.!! 여러분들은 동물 키우는 게임 하시고 싶으시면 이 게임해보셔도 좋을 것 같고요.! 포우를 만드신 작가님!! 정말 좋은 게임인 것 같아요.! 정말 감사합니다.!!! 그럼 안녕히 계세요!!!!!!(이름. 나디아) 가짜임ㅋ
3,포우 Pou," 저는 이 게임을 즐기고 유전데요. 저만 그런가요?? 옷을 샀는데요, 안 사지고 돈만 줄어들어서요... 그것만 고치면 정말 최고예요!! 이 게임을 만들어주셔서 정~ 말 감사합니다~!! ^ ^"
4,포우 Pou, 비치발리볼이 레알 갓 게임 어렵다고 안 하고 있었지? 이건 미쳤어 개 재밌어 비치발리볼 개갓 게임이야 이건!!
5,포우 Pou, 안녕하세요 전이 게임이 너무 재밌어요 다만 좀 렉이 걸려요 와이파이 4칸이 터지는데 그런데도 렉이 걸리고 음식을 샀는데 돈만 없어지고 좀 그런 점을 고체 주세요
6,포우 Pou, 너무 재미있고 이 게임 최고네요. 이 게임 만드신 분 감사드려 오~^-^
7,포우 Pou, 너무너무 재밌고 캐릭터도 귀여워요. 돈도 많이 주시고 미니 게임도 재밌어요. 제작자님 이 게임 만드시느라 고생하셨어요! 별 10000000000000개 도 더 드리고 싶네요!
8,포우 Pou, 미니게임을 누르면 멈추는데... 홈버튼 누르면 게임을 한 것처럼 표시가 돼요. 오류 고치면 좋아질 것 같아요. 50억 다운로드가 즈 아
9,포우 Pou, 진짜 정말 재밌고요. 포우 꾸미면 핸드폰 바탕화면으로 쓰고 싶을 만큼 귀여워요
10,포우 Pou, 저는 와이파이가 필요 없는 게임을 찾고 있었어요 근데 이 게임을 깔려고 보니까 와이파이가 필요하다고 뜨는 거예요 그래서 처음엔 좀 실망했는데 막상 하니까 와이파이가 없어도 이 게임을 할 수 있더라고요 그리고 저가 저장공간이 적어서 걱정했는데 저장공간도 많이 안 필요하고 다양한 게임도 즐길 수 있다는 점이 너무 만족스럽습니다. 비행기에서도 할 수 있는 아주 좋은 게임인 거 같아요
11,포우 Pou, 재미있어요 그런데 스카프 같은 거 어른이 돼야 착용할 수 있네요 이것만 바꾸어 주시면 좋을 것 같아요
12,포우 Pou, 재미가 있는 게임이다. 꼭 깔아야 한다.🍿🍿🍿🌭🌭🌭😊😊😊⚾⚾⚾⚽⚽⚽🎁🎇🎁🎇🎁근데 버그가 있는데요. 중간중간에 포우가 튕겨요. 수정 부탁드려요.
13,포우 Pou, 이 앱 정말 잘 만든 것 같아요>⊙< 제가 웬만하면 리뷰 안 남기는데 이 앱은 정말 최고의 앱!! 만들어 주셔서 감자합니다♡
14,포우 Pou, 제가 키우기 게임을 좋아해서 찾고 있었는데 이 게임이 딱 맞더라고요ㅎ
15,포우 Pou, 제가 언니는 있는데 언니가 저랑 안 놀아줘서 심심했는데 포우가 있으니 심심하지 않아요
16,포우 Pou, 잠금을 좀 줄여주세요. ♡
