,name,review
0,히트맨 스나이퍼 (Hitman Sniper), 굿굳
1,히트맨 스나이퍼 (Hitman Sniper), 제 폰이 노트 4라 그런가 로딩이 약간 느린데 플레이할 땐 렉도 없고 그래픽도 괜찮고 재밌어요 최고 줌으로 유인이 동시 살 시체 처리 신속처리 은신 처리 헤드샷 보너스 한 번에 먹으면 기분 최고!
2,히트맨 스나이퍼 (Hitman Sniper), 정말 다 좋은데 맵을 좀 새롭게 만들어 주시면 안 되나요?? 슬슬 새로운 맵이 나와야 하지 않나... 싶은? 생각이 드네요 ㅜ 이제 사람 나오는 순서도 다 외울 거 같아요
3,히트맨 스나이퍼 (Hitman Sniper), 맵이 좀 많았으면 좋겠는데 하나뿐임. 그래도 굿
4,히트맨 스나이퍼 (Hitman Sniper), 게임에 있는 모든 것이 최고입니다! PERFECT 다만 맵이 조금 더 추가됐으면 좋겠습니다.
5,히트맨 스나이퍼 (Hitman Sniper), 이때까지 한 모바일 게임 중에서 제일 재미있고 그래픽도 가장 멋집니다!! 전 이 게임 강력 추천합니다!! 대신 새로운 맵도 추가했으면 합니다 ^^
6,히트맨 스나이퍼 (Hitman Sniper), 유료 게임이 무료여서 다운로드해 해보았는데 딱 내가 좋아하는 장르에다가 게임도 되게 재미있어요
7,히트맨 스나이퍼 (Hitman Sniper)," For a long time, I have been fan of Hitman Serious and I really thanks for I can play even on the mobile. Thank you for your work, SEL"
8,히트맨 스나이퍼 (Hitman Sniper), 예.... 뭐든지 다 좋아요 근데 맵이 하가 밖에 없는 것 한글화가 안대 있다는 게 조금 불편해 내여
9,히트맨 스나이퍼 (Hitman Sniper), 정말 재밌습니다. 스트레스가 많을 때 하면 좋은 게임이 될 것 같아요~~
10,히트맨 스나이퍼 (Hitman Sniper), 히트맨 모바일 버전도 나왔으면 좋겠어요ᅲ 스나이퍼 말고 암살 게임하는 걸로요
11,히트맨 스나이퍼 (Hitman Sniper), 아니 딴 건 다 좋은데 미션을 꼭 다 완료해야만 다음 단계로 넘어갈 수 있는 게 정말 짜증 나네요 이것돔 고쳐주세요
12,히트맨 스나이퍼 (Hitman Sniper), 엄청 재미있습니다. 사고 후회 안 합니다 진짜
13,히트맨 스나이퍼 (Hitman Sniper), 중말 만족감에 생기고 사길 잘했다는 생각이 든다
14,히트맨 스나이퍼 (Hitman Sniper), 살다 살다 이런 그래픽 처음 봤냐 그런대 미션이 하다 보면 점점 어려워 지내요ㅡ.ㅡ
15,히트맨 스나이퍼 (Hitman Sniper), 와이파이 없어도 되는 핵갓겜인데 새로운 맵이 좀 추가되었으면
16,히트맨 스나이퍼 (Hitman Sniper), 역시 돈 내고하는 게임이 꿀 잼이군
17,히트맨 스나이퍼 (Hitman Sniper), 이게 원ㄴ래 유료인 대 겁나 꿀 잼
18,히트맨 스나이퍼 (Hitman Sniper), 일반 총싸움이 아닌 표적을 찾아 제거하는 게 재미있네요~^^
19,히트맨 스나이퍼 (Hitman Sniper), 스나이퍼 작전 게임 중 이건 ㅎㄷㄷ.......최고
20,히트맨 스나이퍼 (Hitman Sniper), 이것 해보시면 재미있고 흥미진진해서 꿀 잼 해보시면 마음에 들 거임!!!
21,히트맨 스나이퍼 (Hitman Sniper), 다른 저격 게임보다 훨씬 재미있고 실감 나요 제 친구들에게 추천 해주어 어요
